tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.3, 0.3, 0.1]",3.1804444444444444,1.0746574762955985,"{'200': 1.0124792256492048, '400': 1.8998716882036193, '600': 4.570061960068311, '800': 11.488105730806879, '1000': 16.20404271550203}","{'200': 0.6416751216803006, '400': 0.3947345808008236, '600': 12.45489272269003, '800': 34.9994761925346, '1000': 46.03031753253133}"
0.01,0.2,"[0.1, 0.3]","[0.3, 0.3, 0.1]",3.131111111111112,0.8621580732150433,"{'200': 1.038318414713764, '400': 1.8870602968283765, '600': 5.052244448948001, '800': 6.833439465734692, '1000': 8.467239496857905}","{'200': 0.6035167517304414, '400': 0.5139072427098272, '600': 15.549869575194226, '800': 22.021539646224404, '1000': 29.138431463421327}"
0.01,0.2,"[0.1, 0.5]","[0.3, 0.3, 0.1]",2.870222222222223,1.0488480218027327,"{'200': 1.0467976249500208, '400': 4.378280663667619, '600': 22.739966803793703, '800': 30.522111396229324, '1000': 34.47067950153888}","{'200': 0.5492878055819317, '400': 11.113839203362392, '600': 66.04439824347229, '800': 88.79865722564418, '1000': 100.96065297593584}"
0.01,0.2,"[0.1, 0.7]","[0.3, 0.3, 0.1]",3.2533333333333343,1.32473225806408,"{'200': 0.9611064084800879, '400': 1.732763739625846, '600': 9.562073059226579, '800': 16.31435462490123, '1000': 19.77614981732298}","{'200': 0.5952427525232542, '400': 0.4673529617135021, '600': 29.75206580588402, '800': 46.018608663176, '1000': 59.4504350241497}"
0.01,0.2,"[0.1, 0.9]","[0.3, 0.3, 0.1]",3.384000000000001,1.0743936791408337,"{'200': 0.8996243118000635, '400': 1.7540680317663184, '600': 3.389552862581708, '800': 5.555941663681622, '1000': 6.553216687925108}","{'200': 0.6135963427935164, '400': 0.44061085621658136, '600': 9.050083420857138, '800': 22.6458219350462, '1000': 28.626538850325627}"
0.01,0.2,"[0.3, 0.1]","[0.3, 0.3, 0.1]",2.8857777777777787,0.8693662797665103,"{'200': 1.1216115030940195, '400': 2.5443903035541067, '600': 7.860355584478717, '800': 9.2757765736773, '1000': 11.673390018889547}","{'200': 0.6135075545776588, '400': 4.624170847196125, '600': 27.55047233674543, '800': 33.97635710623832, '1000': 38.76226087493852}"
0.01,0.2,"[0.3, 0.3]","[0.3, 0.3, 0.1]",3.396888888888888,1.3055434325678281,"{'200': 0.9458671819610176, '400': 1.8134872489272293, '600': 2.0641344568644526, '800': 2.441664719284942, '1000': 3.4610053554197395}","{'200': 0.6342688862065271, '400': 0.49568103067254965, '600': 0.3368520591713, '800': 1.5413214006427198, '1000': 7.637161250315729}"
0.01,0.2,"[0.3, 0.5]","[0.3, 0.3, 0.1]",3.4035555555555566,1.3726813267074622,"{'200': 0.9948079477849725, '400': 1.8186560424475653, '600': 4.0653061252558675, '800': 5.53448939868757, '1000': 6.04312635629289}","{'200': 0.640645935839364, '400': 0.5397976427183592, '600': 10.000980244048026, '800': 15.784106042574418, '1000': 17.645808068496514}"
0.01,0.2,"[0.3, 0.7]","[0.3, 0.3, 0.1]",3.155111111111112,0.9937239102872302,"{'200': 1.0471690322994454, '400': 9.188662091338232, '600': 20.251251139893984, '800': 23.438250586504648, '1000': 29.584251691812717}","{'200': 0.6207646624410217, '400': 29.704254430766643, '600': 59.51925869361094, '800': 71.79750170875465, '1000': 79.30426889576243}"
0.01,0.2,"[0.3, 0.9]","[0.3, 0.3, 0.1]",3.433333333333333,1.504440833739307,"{'200': 1.0376476888097148, '400': 6.595071046436829, '600': 15.88152812570097, '800': 22.8204466530923, '1000': 26.395608492399003}","{'200': 1.0245230527744753, '400': 31.872031449669937, '600': 49.30863607159003, '800': 65.59843400028547, '1000': 72.25878252713993}"
0.01,0.2,"[0.5, 0.1]","[0.3, 0.3, 0.1]",3.310666666666667,1.3566468467020691,"{'200': 1.1170908929002277, '400': 1.9141212647161832, '600': 2.1105162547332044, '800': 3.013194593762248, '1000': 6.151556254061843}","{'200': 0.6845555113871046, '400': 0.4624908690673214, '600': 0.3332150932004661, '800': 4.497805625886848, '1000': 17.19827448537087}"
0.01,0.2,"[0.5, 0.3]","[0.3, 0.3, 0.1]",3.309777777777779,1.4183722891460069,"{'200': 0.9270858539970669, '400': 1.9315691571450038, '600': 2.4242626740950857, '800': 5.247115237669219, '1000': 11.134762888983465}","{'200': 0.650061557670732, '400': 1.1336657981463447, '600': 2.6525708860252473, '800': 11.082363780587253, '1000': 26.99266771222125}"
0.01,0.2,"[0.5, 0.5]","[0.3, 0.3, 0.1]",3.5733333333333337,1.3347392587651303,"{'200': 0.803664175712077, '400': 1.6967367794346258, '600': 9.464017660644197, '800': 15.824432043259646, '1000': 18.32887247739973}","{'200': 0.6282343723612611, '400': 0.5065790977210174, '600': 32.09668555964652, '800': 48.81962278590091, '1000': 56.139295917850085}"
