tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.085,0.7,"[0.9, 0.3]","[0.3, 0.3, 0.3]",6.7056,1.871605846,"{'200': 0.09330714754190415, '400': 0.5246716984706576, '600': 1.3252090018375453, '800': 1.676163096563294, '1000': 1.858836640838335}","{'200': 0.1493534497505563, '400': 0.5069737446887128, '600': 0.3869836858378851, '800': 0.272115394674971, '1000': 0.24139525973473572}"
0.085,0.45,"[0.5, 0.9]","[0.3, 0.3, 0.9]",6.642,2.069391752,"{'200': 0.09377651548133543, '400': 0.4874549227007243, '600': 1.2985332837953913, '800': 1.6834507192837653, '1000': 1.8586296072748847}","{'200': 0.20743540807148744, '400': 0.48235418814783165, '600': 0.3977493747648848, '800': 0.2636987825044382, '1000': 0.2399423681284418}"
0.085,0.7,"[0.9, 0.7]","[0.3, 0.3, 0.7]",6.6292,1.955498787,"{'200': 0.13194053338459644, '400': 0.7642264302786547, '600': 1.56258304996845, '800': 1.8508428838829647, '1000': 2.021661357535441}","{'200': 0.26381170442561713, '400': 1.3618238553340212, '600': 1.3319222419892558, '800': 1.3219388053684966, '1000': 1.3101810326000383}"
0.085,0.45,"[0.7, 0.3]","[0.3, 0.5, 0.3]",6.626,1.984438223,"{'200': 0.0958016176865665, '400': 0.47835168992297933, '600': 1.3664430607644136, '800': 1.7050408306266136, '1000': 1.880495556770114}","{'200': 0.14882244365453332, '400': 0.4112347981916004, '600': 0.36002582080809514, '800': 0.31531726561803836, '1000': 0.2585479787565991}"
0.085,0.7,"[0.7, 0.3]","[0.3, 0.3, 0.7]",6.6,1.769554872,"{'200': 0.08255328973553547, '400': 0.4411329488118724, '600': 1.3614988978453864, '800': 1.6882017783883625, '1000': 1.8909698197656468}","{'200': 0.12532924684088223, '400': 0.3814994358718896, '600': 0.298512167280335, '800': 0.28233926076279964, '1000': 0.2643504707568558}"
0.085,0.7,"[0.3, 0.5]","[0.3, 0.3, 0.5]",6.5748,1.853915496,"{'200': 0.09090090033401087, '400': 0.45497446872576514, '600': 1.3573689923438055, '800': 1.7113534620498425, '1000': 1.878691617451836}","{'200': 0.14302999912599568, '400': 0.3841038711602077, '600': 0.31599616873292435, '800': 0.24235672007685977, '1000': 0.24005524086386143}"
0.085,0.9,"[0.5, 0.3]","[0.3, 0.3, 0.3]",6.574,1.70807176,"{'200': 0.07776583578059515, '400': 0.5820812204983689, '600': 1.4226811934666082, '800': 1.7420125988061534, '1000': 1.9306482037001147}","{'200': 0.1527704410873059, '400': 0.5394135821648883, '600': 0.3800162177539031, '800': 0.2690017466730207, '1000': 0.23399031689168556}"
0.085,0.7,"[0.5, 0.5]","[0.3, 0.7, 0.9]",6.5696,2.143440594,"{'200': 0.11737100726074122, '400': 0.5371234320423409, '600': 1.309360587390434, '800': 1.6482714305733805, '1000': 1.8454909405266962}","{'200': 0.24799544769959025, '400': 0.5122761600554967, '600': 0.402998084759735, '800': 0.2976763242503061, '1000': 0.277976285919048}"
0.085,0.7,"[0.3, 0.9]","[0.3, 0.7, 0.9]",6.562,1.746644048,"{'200': 0.09108489948466435, '400': 0.5179806768978849, '600': 1.3934230869964768, '800': 1.715460769518202, '1000': 1.8810427257935507}","{'200': 0.15146970466363252, '400': 0.45425308864531877, '600': 0.31713727891764193, '800': 0.24101018982023226, '1000': 0.24651868275147196}"
0.085,0.7,"[0.9, 0.1]","[0.3, 0.3, 0.3]",6.56,1.618962936,"{'200': 0.09237688209191885, '400': 0.5148533940370833, '600': 1.3735757950132736, '800': 1.698398721766191, '1000': 1.8785406075200346}","{'200': 0.1718494504169246, '400': 0.5094741742032991, '600': 0.361430348321618, '800': 0.2692038848224699, '1000': 0.24655693380079066}"
0.085,0.45,"[0.5, 0.7]","[0.3, 0.3, 0.3]",6.5396,1.705149441,"{'200': 0.09213590195124989, '400': 0.541377511923992, '600': 1.4395792860458028, '800': 1.7188948392064134, '1000': 1.8935926682099316}","{'200': 0.12728950869246483, '400': 0.4666738766088629, '600': 0.2377936267903369, '800': 0.22042538427080569, '1000': 0.22037995487837514}"
0.085,0.7,"[0.9, 0.5]","[0.3, 0.3, 0.3]",6.5216,2.140811154,"{'200': 0.1178435269528378, '400': 0.5316411543032205, '600': 1.3742039675171323, '800': 1.6578495310279706, '1000': 1.8497725847364959}","{'200': 0.21071404339091843, '400': 0.5360576259487313, '600': 0.33663223264995334, '800': 0.27653586701002836, '1000': 0.25758021420343835}"
0.085,0.7,"[0.3, 0.7]","[0.3, 0.3, 0.1]",6.5012,1.958803666,"{'200': 0.10713428479701466, '400': 0.5291264338080738, '600': 1.373552776081493, '800': 1.699563789664369, '1000': 1.8960403122690614}","{'200': 0.17708913472808996, '400': 0.5008395086015633, '600': 0.3774409289937991, '800': 0.27461208146958954, '1000': 0.24192764923790758}"
0.085,0.7,"[0.7, 0.3]","[0.3, 0.5, 0.5]",6.4884,1.830932246,"{'200': 0.07154993524722607, '400': 0.40748755248915475, '600': 1.3316032142992025, '800': 1.6603436768542754, '1000': 1.8463656274044151}","{'200': 0.11670371094712098, '400': 0.33006786532440485, '600': 0.3105541708188739, '800': 0.25423943076157113, '1000': 0.24771341795074112}"
