r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.1,0.08,0.2,0.1,1e-08,0.1,0.6054026544345776,0.41034265843465245,"{'200': 1.1423009009007763, '400': 1.277670599886141, '600': 1.3280937875533363, '800': 1.3683088212022168, '1000': 1.3663527151878774}","{'200': 0.27271229526916446, '400': 0.15291698222664568, '600': 0.10315614417097699, '800': 0.07997915677512663, '1000': 0.07145231097158943}"
0.1,0.08,0.2,0.1,1e-08,0.3,0.6256687201642802,0.40483799061047715,"{'200': 1.1768490721844331, '400': 1.3107834699499128, '600': 1.3597186162921036, '800': 1.4073730988094568, '1000': 1.4104896103667905}","{'200': 0.2684333381858675, '400': 0.15615180557662325, '600': 0.09297456863583693, '800': 0.07343036372176938, '1000': 0.07146769421774463}"
0.1,0.08,0.2,0.1,1e-08,0.5,0.691625552266404,0.46324455936245246,"{'200': 1.1214585677794313, '400': 1.2600276089509352, '600': 1.3326514475702356, '800': 1.3643137123046825, '1000': 1.3667771207360933}","{'200': 0.2844683542214379, '400': 0.14818167772518226, '600': 0.11128693718673137, '800': 0.09959662280718369, '1000': 0.08340206260001025}"
0.1,0.08,0.2,0.1,1e-08,0.7,0.7067329830830913,0.38471677404373894,"{'200': 1.200181238560832, '400': 1.3084172561121097, '600': 1.3496200414959918, '800': 1.3792395181513801, '1000': 1.3774461863960774}","{'200': 0.24284165621511727, '400': 0.12503101145411474, '600': 0.10538555863423855, '800': 0.07278906405661406, '1000': 0.06005487232565458}"
0.1,0.08,0.2,0.1,1e-08,0.9,0.724419731356287,0.3815198280522979,"{'200': 1.1623128581313582, '400': 1.298211152720368, '600': 1.3648948470094966, '800': 1.3896089538104794, '1000': 1.3953008075593163}","{'200': 0.24086208009744997, '400': 0.13680577422607557, '600': 0.09623760234283246, '800': 0.07664488179368427, '1000': 0.07017603651586664}"
0.1,0.08,0.2,0.3,1e-08,0.1,1.3850934741445988,0.7184952369860579,"{'200': 0.8966450232654056, '400': 1.1634355275651824, '600': 1.256339749992736, '800': 1.3018750218273898, '1000': 1.3176632630288903}","{'200': 0.33158338719714925, '400': 0.19120675226719355, '600': 0.14326536367903595, '800': 0.11131290227340425, '1000': 0.0941630935732237}"
0.1,0.08,0.2,0.3,1e-08,0.3,1.3906205829799725,0.652944108061575,"{'200': 0.8866490428888807, '400': 1.1649079207478112, '600': 1.2584653242911883, '800': 1.3121138622704243, '1000': 1.329596781106288}","{'200': 0.30616651989213056, '400': 0.1624030173077369, '600': 0.11622523184329804, '800': 0.10361016788448746, '1000': 0.08913930911507842}"
0.1,0.08,0.2,0.3,1e-08,0.5,1.5383786258456242,0.7244004265141158,"{'200': 0.8648301316491245, '400': 1.1759027636147843, '600': 1.262603450607575, '800': 1.2955610067551413, '1000': 1.313500912765268}","{'200': 0.3137536311178872, '400': 0.182926179976955, '600': 0.13864522099169754, '800': 0.12846499945451154, '1000': 0.11307290408389038}"
0.1,0.08,0.2,0.3,1e-08,0.7,1.5321145691655336,0.6014693188331085,"{'200': 0.85070262674117, '400': 1.1237821713741505, '600': 1.2236131099275043, '800': 1.280554203858084, '1000': 1.3026808021669918}","{'200': 0.29039644052281544, '400': 0.19319923729841312, '600': 0.15196151775042555, '800': 0.13526933127553192, '1000': 0.10590171755884657}"
0.1,0.08,0.2,0.3,1e-08,0.9,1.481633641802456,0.5393524373196013,"{'200': 0.8582009967016835, '400': 1.158014127950586, '600': 1.2549609507593762, '800': 1.2973111661473713, '1000': 1.317436213887563}","{'200': 0.2705672705782403, '400': 0.17622173337767782, '600': 0.1454172641301887, '800': 0.1261745951479972, '1000': 0.10400800562356759}"
0.1,0.08,0.2,0.5,1e-08,0.1,1.805522219555342,0.7272148158903299,"{'200': 0.7979918238135434, '400': 1.1401610691867319, '600': 1.2277679603639475, '800': 1.2740771048366222, '1000': 1.29386142118253}","{'200': 0.2796166871767401, '400': 0.17529789313778504, '600': 0.14531099172511547, '800': 0.12455946940648138, '1000': 0.09743311781009129}"
0.1,0.08,0.2,0.5,1e-08,0.3,1.8725844734245414,0.7859416609695541,"{'200': 0.7495486431116581, '400': 1.1176612028424797, '600': 1.2354135174393894, '800': 1.2779648700722748, '1000': 1.30781905302981}","{'200': 0.27782679492732854, '400': 0.15858876702635785, '600': 0.11975988636648434, '800': 0.10307270352687638, '1000': 0.08716052225492245}"
0.1,0.08,0.2,0.5,1e-08,0.5,2.0494519561564926,0.7986425551525602,"{'200': 0.6665281149448177, '400': 1.0714734588908494, '600': 1.2048403305948214, '800': 1.2554480904426033, '1000': 1.2863698889721322}","{'200': 0.3058955267575164, '400': 0.16447090380167817, '600': 0.10472860119039391, '800': 0.09826729622624672, '1000': 0.08842470881873997}"
0.1,0.08,0.2,0.5,1e-08,0.7,2.0671387044296883,0.7789655499957395,"{'200': 0.6780178279654633, '400': 1.0651156922192881, '600': 1.2014941300556548, '800': 1.2696489212921962, '1000': 1.2939101875884782}","{'200': 0.3129422991346539, '400': 0.19654384270852301, '600': 0.13611479125275902, '800': 0.1221663362658864, '1000': 0.10286144784353571}"
0.1,0.08,0.2,0.5,1e-08,0.9,2.1802601985936656,0.6914377562287356,"{'200': 0.6581720969388781, '400': 1.060615473587363, '600': 1.2227896324187468, '800': 1.282981220031183, '1000': 1.3075313325796483}","{'200': 0.302303936902343, '400': 0.18932398229502434, '600': 0.13711230903668023, '800': 0.11602424065132232, '1000': 0.10189065031017068}"
0.1,0.08,0.2,0.7,1e-08,0.1,1.1791165515463464,0.6186829679455681,"{'200': 382.0514209533137, '400': 450.84337962975195, '600': 481.0602897814622, '800': 503.2388182214803, '1000': 504.15605312017476}","{'200': 473.4957648431211, '400': 549.5927387527264, '600': 571.2511025292728, '800': 591.297201497508, '1000': 590.0440514400044}"
0.1,0.08,0.2,0.7,1e-08,0.3,1.4547350454703047,0.7325569249452438,"{'200': 136.50278712385392, '400': 175.53183878709973, '600': 189.38455228280392, '800': 192.5236272950852, '1000': 191.45448474975214}","{'200': 272.33689733267977, '400': 286.5310839482066, '600': 300.81442757285924, '800': 307.469568201872, '1000': 306.2598212632074}"
0.1,0.08,0.2,0.7,1e-08,0.5,1.561592482954192,0.766355426361149,"{'200': 128.3975325692695, '400': 171.92709758077424, '600': 181.62634560268765, '800': 189.69002148162835, '1000': 190.36295823162405}","{'200': 277.1234622544076, '400': 344.5018124659633, '600': 365.0323063706135, '800': 382.586484108999, '1000': 384.6692365268912}"
0.1,0.08,0.2,0.7,1e-08,0.7,1.9967601852592651,0.7379341421097726,"{'200': 0.7192299124931518, '400': 1.123739778176111, '600': 1.2382444923344973, '800': 1.2799160054620098, '1000': 1.3008525161438136}","{'200': 0.32155491464121, '400': 0.17916017047795416, '600': 0.12505604746403928, '800': 0.11156914153862339, '1000': 0.10710162271454526}"
0.1,0.08,0.2,0.7,1e-08,0.9,2.0516627996906425,0.7070673737863044,"{'200': 0.6868041077355218, '400': 1.1238192639526345, '600': 1.2201590486148117, '800': 1.277424027580903, '1000': 1.301128962639956}","{'200': 0.3092200766705962, '400': 0.15937669467911653, '600': 0.1360200242548641, '800': 0.10734086939018088, '1000': 0.0955088348638047}"
0.1,0.08,0.2,0.9,1e-08,0.1,1.691663777546649,0.5212915063898286,"{'200': 0.854120661338912, '400': 1.1805746367620162, '600': 1.2863735033500154, '800': 1.3325103382767658, '1000': 1.3505652981882545}","{'200': 0.27350871555126155, '400': 0.15203238391887663, '600': 0.11130663889920318, '800': 0.09771106936648989, '1000': 0.08280479590394457}"
0.1,0.08,0.2,0.9,1e-08,0.3,1.750619605123966,0.5698820589813861,"{'200': 0.7895766248957784, '400': 1.1622671738584074, '600': 1.2764917316229687, '800': 1.3230664211908876, '1000': 1.3302086750951392}","{'200': 0.28191430897224784, '400': 0.1404638789818587, '600': 0.09560471830395414, '800': 0.09389568733559912, '1000': 0.07865980670984866}"
0.1,0.08,0.2,0.9,1e-08,0.5,1.7601999271052802,0.5678464094966632,"{'200': 0.8319465501764335, '400': 1.172827768589776, '600': 1.2692966046713337, '800': 1.3189476887977787, '1000': 1.3301407676534063}","{'200': 0.2771797994575683, '400': 0.16248437347854672, '600': 0.11970321286480284, '800': 0.10806923072639868, '1000': 0.09311680858228429}"
0.1,0.08,0.2,0.9,1e-08,0.7,1.9035362829026339,0.6302707397152253,"{'200': 0.754988541294035, '400': 1.1375372743010361, '600': 1.2433606298340893, '800': 1.2883099215867444, '1000': 1.3119822388552769}","{'200': 0.3099384517177993, '400': 0.1898972350807476, '600': 0.12847903904402283, '800': 0.09984783890241955, '1000': 0.08341746667305645}"
0.1,0.08,0.2,0.9,1e-08,0.9,2.068612600119121,0.7843756582797635,"{'200': 0.7391607604799889, '400': 1.1350913823068165, '600': 1.2447274122930594, '800': 1.2951013943497525, '1000': 1.3178514449766494}","{'200': 0.32465632438864, '400': 0.17093099151824828, '600': 0.121549823127255, '800': 0.10336372082967643, '1000': 0.09101460311924249}"
0.1,0.08,0.4,0.1,1e-08,0.1,1.165483016419092,0.47497932260241293,"{'200': 0.9718681053965207, '400': 1.208102169050564, '600': 1.299116718948203, '800': 1.3322108042585021, '1000': 1.344089432751306}","{'200': 0.2633545817531714, '400': 0.20556158243663736, '600': 0.1399143332493695, '800': 0.12153525754781083, '1000': 0.10467196062534061}"
0.1,0.08,0.4,0.1,1e-08,0.3,1.1474277942235387,0.4722441486281904,"{'200': 1.0524769405800543, '400': 1.2501308817836438, '600': 1.3184896146541332, '800': 1.340054645791149, '1000': 1.3479693056336526}","{'200': 0.2334504499297739, '400': 0.1603903961294166, '600': 0.10535280713359395, '800': 0.09924381579890397, '1000': 0.09448468286628983}"
0.1,0.08,0.4,0.1,1e-08,0.5,1.1857490821487948,0.4555306461005698,"{'200': 0.9689951423789834, '400': 1.1969018102197595, '600': 1.2792295663833526, '800': 1.3180321260963699, '1000': 1.3319996910768264}","{'200': 0.2408460977587166, '400': 0.15511935379595831, '600': 0.12412953791146067, '800': 0.10767178621169628, '1000': 0.09175886133052864}"
0.1,0.08,0.4,0.1,1e-08,0.7,1.2634970797663823,0.5673258856647977,"{'200': 0.9713846302939668, '400': 1.2094005397015373, '600': 1.2733056408360364, '800': 1.314456358170085, '1000': 1.339252857581147}","{'200': 0.24031507066960686, '400': 0.13275334684331216, '600': 0.118547762650639, '800': 0.10683994392588157, '1000': 0.0828430211218422}"
0.1,0.08,0.4,0.1,1e-08,0.9,1.3769870478527177,0.7238609948814924,"{'200': 0.9397332161396446, '400': 1.192575101063564, '600': 1.2807027565276667, '800': 1.3190158961647296, '1000': 1.3239981278302038}","{'200': 0.31810894963902714, '400': 0.2039156748812891, '600': 0.14159217643696687, '800': 0.12762815089209698, '1000': 0.11898992487786676}"
0.1,0.08,0.4,0.3,1e-08,0.1,1.9374358837595906,0.7377558335630562,"{'200': 0.7317753090336448, '400': 1.0969584050350738, '600': 1.2187560108197273, '800': 1.2867690153282842, '1000': 1.3097103284540768}","{'200': 0.30457631470543317, '400': 0.17857914665265284, '600': 0.1441748722180275, '800': 0.1105613381945387, '1000': 0.09896726764464352}"
0.1,0.08,0.4,0.3,1e-08,0.3,2.04797806046706,0.7012820626932239,"{'200': 0.6518470123936438, '400': 1.082134826140746, '600': 1.2046648299433447, '800': 1.248314192823358, '1000': 1.2845827115400563}","{'200': 0.2709893847890285, '400': 0.15874666152929914, '600': 0.12360704237467215, '800': 0.11972072251368825, '1000': 0.09957222314411163}"
0.1,0.08,0.4,0.3,1e-08,0.5,2.192419838031488,0.7504494086313922,"{'200': 0.6297814381482779, '400': 1.1019171636756395, '600': 1.2107696210731322, '800': 1.2609549715560213, '1000': 1.2872299870980433}","{'200': 0.30383648965277543, '400': 0.1744268253589181, '600': 0.12369316418797519, '800': 0.12210277536704485, '1000': 0.09594945960001923}"
0.1,0.08,0.4,0.3,1e-08,0.7,2.181734094283099,0.7361186804050336,"{'200': 0.6457996916996407, '400': 1.0810112030456693, '600': 1.1904286265794761, '800': 1.2512339589441024, '1000': 1.2889617019528732}","{'200': 0.28073666938804226, '400': 0.13637444253360378, '600': 0.11455883187389386, '800': 0.10142202493040126, '1000': 0.08886145172753168}"
0.1,0.08,0.4,0.3,1e-08,0.9,2.318069445555645,0.6844301689936882,"{'200': 0.5814573645311538, '400': 1.0459879919660002, '600': 1.1766880351522866, '800': 1.2406204005254282, '1000': 1.276214193597101}","{'200': 0.2880081973427048, '400': 0.18306948847914903, '600': 0.13324306963762914, '800': 0.12363145661247033, '1000': 0.10201417111935066}"
0.1,0.08,0.4,0.5,1e-08,0.1,2.420873669893591,0.6759272213683147,"{'200': 0.5848803752723368, '400': 1.0934508629218318, '600': 1.2154919008289249, '800': 1.2617929489886333, '1000': 1.2862888021971801}","{'200': 0.30577177266326316, '400': 0.15694501267007704, '600': 0.12221373064476108, '800': 0.10163675992203726, '1000': 0.0860941099686707}"
0.1,0.08,0.4,0.5,1e-08,0.3,2.519624681085599,0.7653475681972863,"{'200': 0.5469149497367457, '400': 1.056262606106795, '600': 1.1882906723709796, '800': 1.2636174939440674, '1000': 1.304882327180381}","{'200': 0.3215964829731712, '400': 0.15332271454824245, '600': 0.1162360496644838, '800': 0.10745116733922704, '1000': 0.09139557326539599}"
0.1,0.08,0.4,0.5,1e-08,0.5,2.5605252864673624,0.8058250891258643,"{'200': 0.5318055962070029, '400': 1.0514736859217835, '600': 1.2006771279497248, '800': 1.2751846996273595, '1000': 1.3048592050284062}","{'200': 0.34783120667457584, '400': 0.16130009536288248, '600': 0.12896691298083224, '800': 0.1048502094400639, '1000': 0.08549262853313838}"
0.1,0.08,0.4,0.5,1e-08,0.7,2.6736467806313398,0.8817854272135317,"{'200': 0.4596535467677043, '400': 0.9920197120425152, '600': 1.1384216265241713, '800': 1.2126807671192996, '1000': 1.251512244738763}","{'200': 0.2928605713399661, '400': 0.19293163501466423, '600': 0.14657739022116775, '800': 0.1348002313829279, '1000': 0.10753970273312695}"
0.1,0.08,0.4,0.5,1e-08,0.9,2.5678947649145276,0.7500480156281054,"{'200': 0.5301516877682996, '400': 1.0873621286123707, '600': 1.2199625822825397, '800': 1.2716275285564482, '1000': 1.2923176581041689}","{'200': 0.35142547524754436, '400': 0.1699325950379771, '600': 0.12304635075301967, '800': 0.09249575317949456, '1000': 0.07854647558742538}"
0.1,0.08,0.4,0.7,1e-08,0.1,2.6397471797743823,0.8177626027798934,"{'200': 0.5115224646411144, '400': 1.0610766469040414, '600': 1.1967029368947713, '800': 1.2656715335706705, '1000': 1.2963500099876575}","{'200': 0.3711847013157351, '400': 0.1921413542160167, '600': 0.14252325368974816, '800': 0.10843482862019377, '1000': 0.09493435202540683}"
0.1,0.08,0.4,0.7,1e-08,0.3,2.7186005991590436,0.8780831756801522,"{'200': 0.4840120455133514, '400': 1.0377542426712887, '600': 1.1941107047596864, '800': 1.252370431677538, '1000': 1.2839906490958566}","{'200': 0.3543476425433452, '400': 0.17760021304931345, '600': 0.12125704933750245, '800': 0.11328551435508177, '1000': 0.09886678928052059}"
0.1,0.08,0.4,0.7,1e-08,0.5,2.8077712883697363,0.8095884432977494,"{'200': 0.42421673173565805, '400': 1.0327075277551752, '600': 1.2005988507291943, '800': 1.2756651750368115, '1000': 1.299713757555968}","{'200': 0.34511889325007267, '400': 0.18534571500645003, '600': 0.13880530961632706, '800': 0.10698428562912532, '1000': 0.08977777615920342}"
0.1,0.08,0.4,0.7,1e-08,0.7,2.865990168102338,0.8406800168598413,"{'200': 0.42430236531877175, '400': 1.0129371451752323, '600': 1.174253124282311, '800': 1.2485529101704682, '1000': 1.2784000168218452}","{'200': 0.3625302516658766, '400': 0.1554257778246776, '600': 0.12263117898146086, '800': 0.09887012389814548, '1000': 0.08116032577793536}"
0.1,0.08,0.4,0.7,1e-08,0.9,2.959951018303687,0.8865704633658169,"{'200': 0.37435867947248086, '400': 0.9994690137638944, '600': 1.1635218568807644, '800': 1.2353345463511332, '1000': 1.265909307167584}","{'200': 0.3259861350764335, '400': 0.16341936449694375, '600': 0.11713877299538392, '800': 0.09842305631655021, '1000': 0.086476516163417}"
0.1,0.08,0.4,0.9,1e-08,0.1,2.8287743019441556,0.7704274258702628,"{'200': 0.4287921690099778, '400': 0.9914413566014654, '600': 1.1491692835973728, '800': 1.2211925536730586, '1000': 1.2609869413360928}","{'200': 0.2993974075525537, '400': 0.16759237253095038, '600': 0.1278591147381781, '800': 0.11743985173434424, '1000': 0.08971795112837794}"
0.1,0.08,0.4,0.9,1e-08,0.3,2.7097572250224458,0.7754396906867279,"{'200': 0.4426666076855094, '400': 1.0249481384414687, '600': 1.1655436737666407, '800': 1.2480930219589437, '1000': 1.282769981723602}","{'200': 0.29818665273524, '400': 0.1746118911083548, '600': 0.1281214450895708, '800': 0.09736093532015092, '1000': 0.07827871629597223}"
0.1,0.08,0.4,0.9,1e-08,0.5,2.878149807540159,0.9245681107532122,"{'200': 0.394501201391094, '400': 0.9750406898928031, '600': 1.133030386459787, '800': 1.236661906725896, '1000': 1.2774039228918668}","{'200': 0.3010417718542705, '400': 0.19791867082184111, '600': 0.14198648291322188, '800': 0.10954618885612646, '1000': 0.08775898800716231}"
0.1,0.08,0.4,0.9,1e-08,0.7,2.953318487701239,0.90020449171786,"{'200': 0.34374018827893243, '400': 0.9669435719390145, '600': 1.1271816234997079, '800': 1.2044918110185174, '1000': 1.2450125804250085}","{'200': 0.2628964911296562, '400': 0.1900948483736848, '600': 0.12560337193136512, '800': 0.1063542761873866, '1000': 0.09506092709128428}"
0.1,0.08,0.4,0.9,1e-08,0.9,3.104761269790472,0.9052395674390581,"{'200': 0.307280808858186, '400': 0.9828511264081954, '600': 1.1346485122271508, '800': 1.2282093043479239, '1000': 1.2725730170519423}","{'200': 0.30699674562821827, '400': 0.16160024313182497, '600': 0.13638713686930398, '800': 0.10589906502378932, '1000': 0.0843020346922035}"
0.1,0.08,0.6,0.1,1e-08,0.1,1.3924629525917633,0.5448561978863568,"{'200': 0.8885852071679091, '400': 1.1432912327952682, '600': 1.2417293953425566, '800': 1.2831957232100752, '1000': 1.3130413627607553}","{'200': 0.26077518850361064, '400': 0.14901058296033579, '600': 0.11540300416589622, '800': 0.10254008192984423, '1000': 0.08400846963959835}"
0.1,0.08,0.6,0.1,1e-08,0.3,1.41825612715684,0.6123038835239647,"{'200': 0.902487860166074, '400': 1.193113243218792, '600': 1.2855704307156604, '800': 1.3227327665099575, '1000': 1.3369507722467202}","{'200': 0.31409021568136497, '400': 0.17449280420460342, '600': 0.15489737340101184, '800': 0.1366038411446762, '1000': 0.1133688517806685}"
0.1,0.08,0.6,0.1,1e-08,0.5,1.470579424131709,0.6026507872069705,"{'200': 0.8796628544934078, '400': 1.1924228467494922, '600': 1.274727983294787, '800': 1.3155358629810399, '1000': 1.3296166725943395}","{'200': 0.28435081771160386, '400': 0.16755877844000439, '600': 0.11775310832982085, '800': 0.10418566940735186, '1000': 0.08517739953918782}"
0.1,0.08,0.6,0.1,1e-08,0.7,1.4374167711194679,0.5749130831206709,"{'200': 0.9354548186531908, '400': 1.189390901086899, '600': 1.2678576628210203, '800': 1.3122275426023475, '1000': 1.3287879483070038}","{'200': 0.2759974120009357, '400': 0.19010279377559228, '600': 0.14808162337251246, '800': 0.1319286280938089, '1000': 0.11459740618676038}"
0.1,0.08,0.6,0.1,1e-08,0.9,1.342350499151043,0.4406316484584555,"{'200': 0.9542733087969838, '400': 1.190459992479986, '600': 1.2815354331391426, '800': 1.3220167657877364, '1000': 1.330982624755804}","{'200': 0.257097013450833, '400': 0.15964880218028593, '600': 0.12608028833135942, '800': 0.100232320605675, '1000': 0.09456998959003593}"
0.1,0.08,0.6,0.3,1e-08,0.1,2.5255202638433296,0.7520347844209777,"{'200': 0.5352183510152727, '400': 1.041738373097316, '600': 1.191705071256985, '800': 1.2470435409813045, '1000': 1.2745756264152126}","{'200': 0.33577222779420307, '400': 0.17693427566659617, '600': 0.12706103155465642, '800': 0.11457815414291213, '1000': 0.09921469278958026}"
0.1,0.08,0.6,0.3,1e-08,0.3,2.5347321119022856,0.9081266886014729,"{'200': 0.5093608413908557, '400': 1.0396560645805937, '600': 1.1931572299631716, '800': 1.267039937218219, '1000': 1.2959886548654822}","{'200': 0.31752841740338195, '400': 0.18583589425380234, '600': 0.11992207116579424, '800': 0.10700273161615582, '1000': 0.08979217422477681}"
0.1,0.08,0.6,0.3,1e-08,0.5,2.670330515330116,0.8550132286162425,"{'200': 0.4682450401316212, '400': 1.0553342316050238, '600': 1.2156195669162488, '800': 1.2597206973765762, '1000': 1.2878894066681608}","{'200': 0.3217367361858417, '400': 0.15632658765891494, '600': 0.12502501851541045, '800': 0.12056641047980364, '1000': 0.10007577837848329}"
