reservoir_size,frequency_mode,r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_dev
300,gold,0.3,0.01,0.1,0.1,1e-08,1.0,0.46682561271568473,0.279889426308888
300,gold,0.3,0.01,0.3,0.1,1e-08,1.0,1.1554487025628724,0.3948022646877984
300,gold,0.3,0.01,0.5,0.1,1e-08,1.0,1.669288743099449,0.6190830901171506
300,gold,0.3,0.01,0.7,0.1,1e-08,1.0,1.8296909086060225,0.7147460105538668
300,gold,0.3,0.01,0.9,0.1,1e-08,1.0,2.1018214790516576,0.606800740495167
300,gold,0.3,0.01,1.0,0.1,1e-08,1.0,1.9690748593220804,0.7079257943349127
300,gold,0.3,0.03,0.1,0.1,1e-08,1.0,0.4458073979251678,0.2604935151500084
300,gold,0.3,0.03,0.3,0.1,1e-08,1.0,1.1206027148838582,0.39324746891064954
300,gold,0.3,0.03,0.5,0.1,1e-08,1.0,1.6327834226738143,0.6510225909178066
300,gold,0.3,0.03,0.7,0.1,1e-08,1.0,2.02770461636931,0.5667603158242569
300,gold,0.3,0.03,0.9,0.1,1e-08,1.0,2.042638611088888,0.5674554093011809
300,gold,0.3,0.03,1.0,0.1,1e-08,1.0,2.1704072325786066,0.7903302757489564
300,gold,0.3,0.05,0.1,0.1,1e-08,1.0,0.458528948982586,0.2758848273318927
300,gold,0.3,0.05,0.3,0.1,1e-08,1.0,1.1670640317892105,0.5178666175838561
300,gold,0.3,0.05,0.5,0.1,1e-08,1.0,1.8866613329066333,0.8842458461073421
300,gold,0.3,0.05,0.7,0.1,1e-08,1.0,1.8042478064911864,0.4767405411870185
300,gold,0.3,0.05,0.9,0.1,1e-08,1.0,2.1410923540549924,0.7454016650195329
300,gold,0.3,0.05,1.0,0.1,1e-08,1.0,2.1764914526495454,0.7112724651584831
300,gold,0.3,0.07,0.1,0.1,1e-08,1.0,0.4657193908846046,0.2815633376267205
300,gold,0.3,0.07,0.3,0.1,1e-08,1.0,1.1338773768568158,0.36443252193538583
300,gold,0.3,0.07,0.5,0.1,1e-08,1.0,1.6355489772515144,0.6219684902313214
300,gold,0.3,0.07,0.7,0.1,1e-08,1.0,1.8595588980451778,0.4804990116801392
300,gold,0.3,0.07,0.9,0.1,1e-08,1.0,2.1510483505347096,0.5329616173211483
300,gold,0.3,0.07,1.0,0.1,1e-08,1.0,2.1460703522948505,0.5975185310093944
300,gold,0.3,0.09,0.1,0.1,1e-08,1.0,0.4939280475771403,0.3120158436637292
300,gold,0.3,0.09,0.3,0.1,1e-08,1.0,1.1217089367149382,0.3831969028925902
300,gold,0.3,0.09,0.5,0.1,1e-08,1.0,1.6134245406299181,0.6783496678023255
300,gold,0.3,0.09,0.7,0.1,1e-08,1.0,1.90380777128837,0.6105492737505254
300,gold,0.3,0.09,0.9,0.1,1e-08,1.0,2.0310232818625495,0.50873457033702
300,gold,0.3,0.09,1.0,0.1,1e-08,1.0,2.101268368136118,0.5307182099715781
300,gold,0.3,0.1,0.1,0.1,1e-08,1.0,0.48784382750620114,0.3206307216464029
300,gold,0.3,0.1,0.3,0.1,1e-08,1.0,1.1742544736912295,0.46113696605738214
300,gold,0.3,0.1,0.5,0.1,1e-08,1.0,1.498930581113157,0.5930473704372606
300,gold,0.3,0.1,0.7,0.1,1e-08,1.0,1.9381006480518446,0.5946865836936172
300,gold,0.3,0.1,0.9,0.1,1e-08,1.0,2.061444382217245,0.7260686377329595
300,gold,0.3,0.1,1.0,0.1,1e-08,1.0,2.1421985758860713,0.6303040472098016
300,gold,0.5,0.01,0.1,0.1,1e-08,1.0,0.4242360722191116,0.2394535911479627
300,gold,0.5,0.01,0.3,0.1,1e-08,1.0,1.2638584420086945,0.5301749174575358
300,gold,0.5,0.01,0.5,0.1,1e-08,1.0,1.6322303117582744,0.5406723563588953
300,gold,0.5,0.01,0.7,0.1,1e-08,1.0,1.8042478064911867,0.5275518445146814
300,gold,0.5,0.01,0.9,0.1,1e-08,1.0,1.9546939755180426,0.7758440893723586
300,gold,0.5,0.01,1.0,0.1,1e-08,1.0,2.416541589993867,0.8373903806985445
300,gold,0.5,0.03,0.1,0.1,1e-08,1.0,0.4198111848947923,0.24638530455552368
