r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.3,0.1,0.2,0.1,1e-08,0.1,0.9355552888675542,0.6167866044225483,"{'200': 1.1079868642157154, '400': 1.228378098560312, '600': 7.803704153259072, '800': 211.31705193854376, '1000': 314.89803214221894}","{'200': 0.3198727784281496, '400': 0.2063210253256188, '600': 43.192968085328616, '800': 1392.9167991702886, '1000': 2079.94011854987}"
0.3,0.1,0.2,0.1,1e-08,0.3,0.8964970530975814,0.5383460751851987,"{'200': 1.0824712333830935, '400': 1.2487652654980985, '600': 48.60821852995749, '800': 363.92513825719493, '1000': 493.93027473425207}","{'200': 0.3261430978280919, '400': 0.1724993090053314, '600': 313.77376346829544, '800': 1753.5452791898783, '1000': 2323.8954106416927}"
0.3,0.1,0.2,0.1,1e-08,0.5,1.0147771821745744,0.6805987651009691,"{'200': 1.028476852325612, '400': 1.1982191235037347, '600': 1.2749656500271929, '800': 1.3041008400246028, '1000': 1.3093065128406973}","{'200': 0.35686580158704917, '400': 0.20217049874412144, '600': 0.149368178250658, '800': 0.12879564183035958, '1000': 0.11554117508185772}"
0.3,0.1,0.2,0.1,1e-08,0.7,0.8695984567654303,0.35230808945911324,"{'200': 1.085186616682329, '400': 10.350267737686874, '600': 321.3912437069315, '800': 426.33873537257733, '1000': 469.88944974313563}","{'200': 0.29503021538266316, '400': 60.2044013645012, '600': 1484.6323384940836, '800': 1971.1182744774521, '1000': 2173.045998994369}"
0.3,0.1,0.2,0.1,1e-08,0.9,0.8950231574081485,0.37432017858541344,"{'200': 1.0555045927722218, '400': 1.2402486697658617, '600': 1.312340013134086, '800': 1.3395784121159462, '1000': 1.3414276373307439}","{'200': 0.29818650664940927, '400': 0.22549919516413908, '600': 0.1550839370696702, '800': 0.1222559241643641, '1000': 0.09896133589195942}"
0.3,0.1,0.2,0.3,1e-08,0.1,1.3780924696197925,0.7326888760463256,"{'200': 0.9126229804620554, '400': 1.2016757732839152, '600': 1.275796076754522, '800': 1.3278967860872346, '1000': 1.3406019688012554}","{'200': 0.3333242922172881, '400': 0.20947451746826581, '600': 0.15104276837455438, '800': 0.11848025887575163, '1000': 0.10559787708452238}"
0.3,0.1,0.2,0.3,1e-08,0.3,1.1846436603817199,0.6368760237585032,"{'200': 0.9996602557629584, '400': 1.2154372935158912, '600': 1.2903186996332305, '800': 1.3239737400181684, '1000': 1.3415830882120825}","{'200': 0.2816222627672679, '400': 0.19154543101449142, '600': 0.1550637286088771, '800': 0.13453409261000046, '1000': 0.09421681784880515}"
0.3,0.1,0.2,0.3,1e-08,0.5,1.3744077303962103,0.7823561328300009,"{'200': 0.9083865081548119, '400': 1.1788065844927051, '600': 1.2779456112400032, '800': 1.3147584743937129, '1000': 1.3422324064830236}","{'200': 0.3234604689962048, '400': 0.17539659143592368, '600': 0.13057048171096078, '800': 0.10679665766598637, '1000': 0.09174718597657072}"
0.3,0.1,0.2,0.3,1e-08,0.7,1.4698424762869922,0.7363150875802114,"{'200': 0.9179720256298446, '400': 1.2055791295921157, '600': 1.295208663075374, '800': 1.3306697984204994, '1000': 1.342572828633331}","{'200': 0.2895523758805375, '400': 0.19267902444409296, '600': 0.15494428762457832, '800': 0.1380365448386833, '1000': 0.11030894402762824}"
0.3,0.1,0.2,0.3,1e-08,0.9,1.4768434808117985,0.6691354541033275,"{'200': 0.8862234380457739, '400': 1.1932609341860945, '600': 1.2869713917585013, '800': 1.3194104510722278, '1000': 1.3257895802856954}","{'200': 0.2802422407879029, '400': 0.16384270320913427, '600': 0.12463225242824523, '800': 0.10831900997958101, '1000': 0.09961562583111654}"
