r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_NRMSEs_open_loop,std_NRMSEs_open_loop,mean_ADev,std_ADev
0.3,0.04,0.2,0.1,1e-08,0.1,4.279200000000001,1.7034015850644264,"{'200': 0.1994678155724512, '400': 0.8153875162801548, '600': 1.0723263901323334, '800': 1.1614121279425917, '1000': 1.2272617852614995}","{'200': 0.2831745921262741, '400': 0.3490512416337141, '600': 0.25820547720920634, '800': 0.15966586209528918, '1000': 0.1203526254830012}","{'200': 0.2473419599675809, '400': 0.1671691957562413, '600': 0.13579527002949668, '800': 0.1149918408861732, '1000': 0.10203343038490828}","{'200': 0.13112823511985866, '400': 0.07940064898979915, '600': 0.06597283595395378, '800': 0.05480388740006085, '1000': 0.048604755009829165}",35.51111111111111,12.023351764558875
0.3,0.04,0.2,0.1,1e-08,0.3,4.138400000000001,1.6917609287366817,"{'200': 0.17310975804986675, '400': 0.7734853660238923, '600': 1.0399298209701764, '800': 1.1267293777324687, '1000': 1.2041397216751355}","{'200': 0.23821110539679682, '400': 0.34799919645130345, '600': 0.2793700923551167, '800': 0.1649482792268416, '1000': 0.11530038397552675}","{'200': 0.2114637099340494, '400': 0.1459138510527166, '600': 0.11795758440321684, '800': 0.10080140654980128, '1000': 0.08963336463431444}","{'200': 0.10859599561078145, '400': 0.07542384142337778, '600': 0.06043639223142106, '800': 0.052607216998277945, '1000': 0.04711000148281793}",28.91111111111111,9.41823815140301
0.3,0.04,0.2,0.1,1e-08,0.5,4.240000000000001,1.4329655962373977,"{'200': 0.20447329205079445, '400': 0.8170025659389872, '600': 1.0728601177272832, '800': 1.1556925730394632, '1000': 1.2019128980606544}","{'200': 0.2715816538584862, '400': 0.334104266067976, '600': 0.27413502716209265, '800': 0.17209122070885702, '1000': 0.12708543372773393}","{'200': 0.2729381859566552, '400': 0.18316006678685415, '600': 0.14960715044863535, '800': 0.12629724950657606, '1000': 0.11202718859138808}","{'200': 0.1623616110183618, '400': 0.09674492575173406, '600': 0.08202873478097235, '800': 0.06723602873639677, '1000': 0.05964074585334004}",31.733333333333334,11.7121020031988
0.3,0.04,0.2,0.1,1e-08,0.7,4.144000000000002,1.6393769548215567,"{'200': 0.2151035508089397, '400': 0.8256592265492598, '600': 1.0644829989689955, '800': 1.126242885726583, '1000': 1.1942450037723946}","{'200': 0.2790616036055564, '400': 0.3386751834257554, '600': 0.2655808649570676, '800': 0.16191812765507405, '1000': 0.12662320691327505}","{'200': 0.2502409290416474, '400': 0.16912956043690355, '600': 0.1372294136814019, '800': 0.11648171227972016, '1000': 0.10333770390778578}","{'200': 0.12283807969522915, '400': 0.07352145289002028, '600': 0.06113554752378023, '800': 0.05126653152242583, '1000': 0.04542846026537608}",30.933333333333334,10.433706063629653
0.3,0.04,0.2,0.1,1e-08,0.9,4.1240000000000006,1.6212049839548361,"{'200': 0.21631567462340587, '400': 0.8563697526507432, '600': 1.0997461370442536, '800': 1.174069308413758, '1000': 1.2294072825886846}","{'200': 0.2797041894066622, '400': 0.32693864078759827, '600': 0.2691402237740013, '800': 0.18213149194362468, '1000': 0.14359179706524447}","{'200': 0.24207259801400452, '400': 0.1660669583003221, '600': 0.1342761173834592, '800': 0.11450310873396076, '1000': 0.10179478912642169}","{'200': 0.11117475377175921, '400': 0.07502845600825982, '600': 0.060846906765685854, '800': 0.05281900719814537, '1000': 0.04741487969976092}",31.177777777777777,9.56681507176155
0.3,0.04,0.2,0.3,1e-08,0.1,6.525200000000002,1.0569311046610368,"{'200': 0.017391320173510423, '400': 0.31018227275435656, '600': 0.799303798395505, '800': 0.9840823307735074, '1000': 1.0999576881574176}","{'200': 0.019618788231121013, '400': 0.16025838458858746, '600': 0.12762314221010249, '800': 0.10790521661865271, '1000': 0.08778562941061843}","{'200': 0.1470864112538673, '400': 0.09744843990327187, '600': 0.07979954496636726, '800': 0.06700456477625004, '1000': 0.05929807175041053}","{'200': 0.1383080206477623, '400': 0.07836278015613951, '600': 0.06661965618312696, '800': 0.053492921947055586, '1000': 0.04668182071287763}",28.333333333333332,11.041336473050313
0.3,0.04,0.2,0.3,1e-08,0.3,6.584,1.6262275363552294,"{'200': 0.024141349745076365, '400': 0.2995660848606961, '600': 0.7773206083842683, '800': 0.9676462264684366, '1000': 1.0819832234577829}","{'200': 0.04021720673801627, '400': 0.1954389255052825, '600': 0.1977954445302067, '800': 0.12058312344992493, '1000': 0.10631344590733298}","{'200': 0.14709397327698723, '400': 0.09683280315714765, '600': 0.07909872818277713, '800': 0.06646253367359693, '1000': 0.05877217517447845}","{'200': 0.10938394211628624, '400': 0.05733651405395193, '600': 0.049515060800646105, '800': 0.038197376957614035, '1000': 0.03304565051868431}",29.177777777777777,11.005632676828894
0.3,0.04,0.2,0.3,1e-08,0.5,6.553600000000001,1.4842201453962283,"{'200': 0.023186771592168656, '400': 0.3508461723600139, '600': 0.8403594312090108, '800': 0.995060352037685, '1000': 1.099828628251162}","{'200': 0.02829218840307583, '400': 0.2646343913238498, '600': 0.2509781666249904, '800': 0.17548293589359842, '1000': 0.13695572974381418}","{'200': 0.1460324677016193, '400': 0.0977963982859517, '600': 0.07977259905759124, '800': 0.06733846018485042, '1000': 0.059667457352293174}","{'200': 0.0936659168317892, '400': 0.054309744895253725, '600': 0.046035166199829364, '800': 0.03743221212224551, '1000': 0.03292096279627731}",29.68888888888889,11.077148093103352
0.3,0.04,0.2,0.3,1e-08,0.7,6.283199999999999,1.6173863360372498,"{'200': 0.03413869871363552, '400': 0.3774528949167889, '600': 0.8240387933336935, '800': 1.0029014608465106, '1000': 1.1035825785995939}","{'200': 0.04553093974204759, '400': 0.25432491333816054, '600': 0.2536552439541881, '800': 0.1371558888807694, '1000': 0.10948266320195653}","{'200': 0.1259022379371409, '400': 0.08637398957262596, '600': 0.0700609117551708, '800': 0.059885038649885744, '1000': 0.0531985604901694}","{'200': 0.07084283874067189, '400': 0.04898228343192065, '600': 0.03970625172175981, '800': 0.03503760522661536, '1000': 0.031222682639048857}",33.46666666666667,14.174468439964707
0.3,0.04,0.2,0.3,1e-08,0.9,6.167600000000001,1.4969640743852202,"{'200': 0.03542250336557056, '400': 0.35128759979438046, '600': 0.8314464123012931, '800': 1.0002745924612966, '1000': 1.1017173895217598}","{'200': 0.06765002223212302, '400': 0.265039187218093, '600': 0.24818335883102863, '800': 0.1534570990108674, '1000': 0.11926729480857826}","{'200': 0.11992761086454039, '400': 0.07956985854954479, '600': 0.06532887223908981, '800': 0.05484827521504579, '1000': 0.048600805542132905}","{'200': 0.09035796797840318, '400': 0.0526692142675937, '600': 0.044866490252260395, '800': 0.03619907423135089, '1000': 0.031943953514525066}",32.4,11.231701167281434
0.3,0.04,0.2,0.5,1e-08,0.1,7.609600000000001,1.8935344306349438,"{'200': 0.009575429818127014, '400': 0.24324390679175917, '600': 0.7095474645752505, '800': 0.9484625553443429, '1000': 1.0587272834898684}","{'200': 0.019112961538770405, '400': 0.37839830458333484, '600': 0.4226083710154379, '800': 0.22606384542628297, '1000': 0.18061068961686222}","{'200': 0.08199913424440182, '400': 0.054487384824646386, '600': 0.04478610270402237, '800': 0.03765484342032622, '1000': 0.03333942943826777}","{'200': 0.0610316313029336, '400': 0.03503755541163298, '600': 0.0298236886383312, '800': 0.02409596727522442, '1000': 0.021153017200994786}",30.68888888888889,13.150111486172483
0.3,0.04,0.2,0.5,1e-08,0.3,7.252400000000002,1.2485872977088948,"{'200': 0.011040740281403633, '400': 0.23528475234881985, '600': 0.7420579944068368, '800': 0.9753327365168609, '1000': 1.0898512789399037}","{'200': 0.02021512230822816, '400': 0.3312808868527847, '600': 0.3512818226129153, '800': 0.19867149426827774, '1000': 0.1519778600910525}","{'200': 0.06106981526366047, '400': 0.04113973210441018, '600': 0.0334416581518517, '800': 0.028394210175861176, '1000': 0.02516433846554932}","{'200': 0.05057371158648457, '400': 0.03197803311821937, '600': 0.026425485453838635, '800': 0.02234620872887948, '1000': 0.019764529081218576}",31.511111111111113,10.923211213277739
0.3,0.04,0.2,0.5,1e-08,0.5,7.4736,1.6059461510274873,"{'200': 0.01234884054651781, '400': 0.2504400036515437, '600': 0.7748062009864752, '800': 0.9544878913016676, '1000': 1.0685645579269936}","{'200': 0.025364740397188286, '400': 0.37435618456339337, '600': 0.40205172034886094, '800': 0.22536695750597638, '1000': 0.17358127563639372}","{'200': 0.07682402250538932, '400': 0.05191997074377253, '600': 0.042206323679368274, '800': 0.03570547115705869, '1000': 0.03167733593157031}","{'200': 0.057301047899392, '400': 0.03514910334070623, '600': 0.029070776010532987, '800': 0.024049497006132587, '1000': 0.02123692253686964}",31.466666666666665,11.210312712458611
0.3,0.04,0.2,0.5,1e-08,0.7,7.646400000000001,1.7160109090562332,"{'200': 0.010812508425700534, '400': 0.2146253091262682, '600': 0.6790240547857539, '800': 0.9314204202048504, '1000': 1.0517496097326455}","{'200': 0.02475055421955833, '400': 0.33843996927321035, '600': 0.3987883317815757, '800': 0.20603363373946054, '1000': 0.15312679488805805}","{'200': 0.07689130810026357, '400': 0.05318956082871808, '600': 0.04308505875325655, '800': 0.03694214619609313, '1000': 0.032856039014172646}","{'200': 0.051565078394704325, '400': 0.036499578679559185, '600': 0.029638436501096755, '800': 0.025917286052265377, '1000': 0.023168965312944725}",28.8,14.470813537754003
0.3,0.04,0.2,0.5,1e-08,0.9,7.240400000000002,1.2879872049053906,"{'200': 0.010538636770373415, '400': 0.2605715220903199, '600': 0.7867128178091815, '800': 0.985665946950867, '1000': 1.0942409529612724}","{'200': 0.018223665326760827, '400': 0.3654292916634713, '600': 0.3747998282227787, '800': 0.22285674345713943, '1000': 0.16350330457176163}","{'200': 0.06619805892462909, '400': 0.0452276060285792, '600': 0.03659393892137151, '800': 0.03115640524786077, '1000': 0.02764671591924673}","{'200': 0.04129919594622284, '400': 0.026079734909732956, '600': 0.021443182351569022, '800': 0.018059595410035316, '1000': 0.01597497609157405}",31.644444444444446,13.421633541174497
0.3,0.04,0.2,0.7,1e-08,0.1,7.666800000000002,1.5442578023115179,"{'200': 0.0070979778500418625, '400': 0.14601154686889714, '600': 0.6343781796507989, '800': 0.8832814175960091, '1000': 1.0217862999792129}","{'200': 0.012808042091261379, '400': 0.14857747903026472, '600': 0.24880587864467604, '800': 0.15172706042406248, '1000': 0.12173120921549005}","{'200': 0.04022746445531854, '400': 0.02766542462146986, '600': 0.022406335891768114, '800': 0.019148711412601136, '1000': 0.017015246878079728}","{'200': 0.017460430290980777, '400': 0.011998992550759627, '600': 0.009830940417621482, '800': 0.008672550493633373, '1000': 0.007752123468772862}",34.13333333333333,13.98824903664183
0.3,0.04,0.2,0.7,1e-08,0.3,7.584800000000002,1.4635538117882787,"{'200': 0.008677673408294182, '400': 0.149748959562535, '600': 0.6364584285812853, '800': 0.8926798423929868, '1000': 1.015927889988257}","{'200': 0.015622958406386327, '400': 0.15074345075775925, '600': 0.23946210855610026, '800': 0.13280973423152945, '1000': 0.12443262968301633}","{'200': 0.04459476284022524, '400': 0.030118455371745654, '600': 0.02454610077997617, '800': 0.020883446414539028, '1000': 0.018536617560829832}","{'200': 0.0291317163114384, '400': 0.018269511048065193, '600': 0.015160441377009606, '800': 0.012900694605601039, '1000': 0.01144978691141039}",33.666666666666664,12.308984974851139
0.3,0.04,0.2,0.7,1e-08,0.5,7.446800000000001,1.4689765689077552,"{'200': 0.007837028545741283, '400': 0.15547337994921173, '600': 0.6673434665159503, '800': 0.9396596369504076, '1000': 1.0590250044936065}","{'200': 0.012948259366283753, '400': 0.1475611104280257, '600': 0.21562421603054938, '800': 0.11990709725553902, '1000': 0.11622541724200834}","{'200': 0.05120630413888846, '400': 0.034303788593471454, '600': 0.02795957416518391, '800': 0.023644672621439575, '1000': 0.020954159434647894}","{'200': 0.030691485762443033, '400': 0.01754728907526585, '600': 0.01489734850870812, '800': 0.01226502033069984, '1000': 0.010776303799240912}",27.511111111111113,9.420125552884036
0.3,0.04,0.2,0.7,1e-08,0.7,7.2372000000000005,1.2223895287509623,"{'200': 0.007731446443669695, '400': 0.14195284226864124, '600': 0.6412526164839084, '800': 0.889093892241217, '1000': 1.0215484477715506}","{'200': 0.014244601941225017, '400': 0.11003828190118244, '600': 0.22472261841148183, '800': 0.1525585342802355, '1000': 0.12842610752950462}","{'200': 0.038611478719242094, '400': 0.026789090342027994, '600': 0.021594807277709533, '800': 0.018550608249560483, '1000': 0.01648531610558907}","{'200': 0.023132410073146457, '400': 0.015625414211073392, '600': 0.012671825836312718, '800': 0.011140892161954633, '1000': 0.009892761552197009}",27.844444444444445,12.418544476450542
0.3,0.04,0.2,0.7,1e-08,0.9,7.675200000000002,1.6560930408645522,"{'200': 0.007721268174676156, '400': 0.14792267384932814, '600': 0.5979208269837529, '800': 0.8760794808273714, '1000': 1.000239720367341}","{'200': 0.014678768572086016, '400': 0.14935970429035011, '600': 0.23766175183816568, '800': 0.1592827364919028, '1000': 0.12885018992672936}","{'200': 0.04276980218125462, '400': 0.02853220583512698, '600': 0.02329858539617906, '800': 0.01957598415039414, '1000': 0.017358387372813026}","{'200': 0.02892765611710947, '400': 0.016623503828715733, '600': 0.014060838118202315, '800': 0.011158323157607002, '1000': 0.00983643977331265}",29.066666666666666,9.149134749617948
0.3,0.04,0.2,0.9,1e-08,0.1,7.5416000000000025,1.436107182629486,"{'200': 0.007423694818289672, '400': 0.14418141704215254, '600': 0.5996186022452711, '800': 0.8501405470069391, '1000': 0.9935567591491348}","{'200': 0.014208623489637305, '400': 0.14462992195099933, '600': 0.21742953793817907, '800': 0.13478453599065252, '1000': 0.11326740917648338}","{'200': 0.03397739763323552, '400': 0.02280886942668912, '600': 0.018641434943931893, '800': 0.015749651042293245, '1000': 0.013964689980103041}","{'200': 0.02277125810940603, '400': 0.013183862637112057, '600': 0.011158834425464954, '800': 0.009089946283486718, '1000': 0.007983726999090153}",32.15555555555556,11.428921511392938
