r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_NRMSEs_open_loop,std_NRMSEs_open_loop,mean_ADev,std_ADev
0.1,0.02,0.2,0.1,1e-08,0.1,3.1156000000000006,1.4722626939510488,"{'200': 0.35547605063333715, '400': 0.9590618260677655, '600': 1.1275834613148294, '800': 1.1892866453161934, '1000': 1.2340324647525711}","{'200': 0.3414103830685454, '400': 0.24687529241102585, '600': 0.22425679669232848, '800': 0.1488237346131679, '1000': 0.12851873843412295}","{'200': 0.1963773310147561, '400': 0.13076000545064168, '600': 0.10614145281163445, '800': 0.0892120745960747, '1000': 0.07898068146775028}","{'200': 0.13238308351826478, '400': 0.07448169851491544, '600': 0.06254003845991934, '800': 0.049396415171540406, '1000': 0.04327340881643763}",34.4,11.13233528460623
0.1,0.02,0.2,0.1,1e-08,0.3,3.1960000000000006,1.572016284902927,"{'200': 0.376944615892207, '400': 0.9736495170483516, '600': 1.1474119141474322, '800': 1.2091186641045593, '1000': 1.2413246210854425}","{'200': 0.36915330258449575, '400': 0.24529010002865004, '600': 0.2091525382743586, '800': 0.14564731974204437, '1000': 0.11843508827528564}","{'200': 0.1773377440559116, '400': 0.12212488018043105, '600': 0.09891045461496017, '800': 0.08434985703310326, '1000': 0.0750105430876638}","{'200': 0.12298928285235307, '400': 0.08465426769686188, '600': 0.06874055065465436, '800': 0.05894815380773432, '1000': 0.052704057970021534}",31.511111111111116,10.808684208588373
0.1,0.02,0.2,0.1,1e-08,0.5,3.3528,1.5618469067101295,"{'200': 0.3674920536324984, '400': 0.97759938994552, '600': 1.1302329233995922, '800': 1.1834391486782236, '1000': 1.2265396124025305}","{'200': 0.42561166035396825, '400': 0.28738146290929056, '600': 0.22486387553418366, '800': 0.1853719497256106, '1000': 0.14540782817687667}","{'200': 0.22739350792717003, '400': 0.15377060111303906, '600': 0.1254538832185745, '800': 0.10625824185121019, '1000': 0.09431770199373236}","{'200': 0.10387113101748577, '400': 0.0619339165704553, '600': 0.05267462832557778, '800': 0.04345572456252717, '1000': 0.03864551296932539}",33.71111111111111,12.489323835842484
0.1,0.02,0.2,0.1,1e-08,0.7,3.506400000000001,1.7421156792819477,"{'200': 0.32419581620305127, '400': 0.9418754279236302, '600': 1.1180413289675601, '800': 1.1864829795930807, '1000': 1.233306661414622}","{'200': 0.3200441755583382, '400': 0.25507592452469646, '600': 0.24733729019857864, '800': 0.1548347281795286, '1000': 0.12243914556620174}","{'200': 0.19971950534934896, '400': 0.1366024835055191, '600': 0.11047084361137642, '800': 0.09397328551984349, '1000': 0.08341922312146433}","{'200': 0.10662433384239606, '400': 0.06572688376324184, '600': 0.053993008451284095, '800': 0.04499829539465321, '1000': 0.03975836898805209}",32.333333333333336,10.336558636434296
0.1,0.02,0.2,0.1,1e-08,0.9,3.2960000000000003,1.5958972397996058,"{'200': 0.35960402150125165, '400': 0.9226692561322724, '600': 1.1173396861941702, '800': 1.1762355329217107, '1000': 1.230418273959785}","{'200': 0.37536837120112737, '400': 0.2958671639424679, '600': 0.2054469858118137, '800': 0.12677568769810008, '1000': 0.10472990852591761}","{'200': 0.21996854697627657, '400': 0.1475666685819002, '600': 0.11957726037109347, '800': 0.10108808758082724, '1000': 0.08961051552406016}","{'200': 0.14449975289878164, '400': 0.08668743081050134, '600': 0.07131759569579539, '800': 0.058670781407653104, '1000': 0.05175421665680797}",34.62222222222222,12.044895440510867
0.1,0.02,0.2,0.3,1e-08,0.1,6.554399999999999,1.4564490516320852,"{'200': 0.02143635199353458, '400': 0.2861210801581346, '600': 0.7865901211852381, '800': 0.9586336399281052, '1000': 1.0725222903798777}","{'200': 0.028573399893256964, '400': 0.22369150399272786, '600': 0.23869198402998695, '800': 0.17377490260097722, '1000': 0.13248527246761102}","{'200': 0.09459629615629095, '400': 0.06332256958300517, '600': 0.05171789049939281, '800': 0.0438338788588788, '1000': 0.03884469079078203}","{'200': 0.06684390695457121, '400': 0.038901381353263015, '600': 0.0328286086047618, '800': 0.027162008129405148, '1000': 0.02382563050649538}",30.42222222222222,10.894420363733373
0.1,0.02,0.2,0.3,1e-08,0.3,6.697600000000001,1.4834583378039303,"{'200': 0.025238977025907883, '400': 0.27485065901250816, '600': 0.7957237624840791, '800': 0.9915481321078944, '1000': 1.104749153366083}","{'200': 0.04578477775771864, '400': 0.21045036053537952, '600': 0.19147698957924147, '800': 0.14162712739698224, '1000': 0.11413701060762636}","{'200': 0.10797255820736036, '400': 0.07195688461319608, '600': 0.05851123711651282, '800': 0.04943349664822495, '1000': 0.04376047041017061}","{'200': 0.07416787125270649, '400': 0.04251299595137668, '600': 0.03561678250219803, '800': 0.0291858211364578, '1000': 0.025534894202051264}",31.22222222222222,9.304452670962052
0.1,0.02,0.2,0.3,1e-08,0.5,6.488,1.5228588903769118,"{'200': 0.030837779608766516, '400': 0.3434868242792861, '600': 0.809976191087458, '800': 0.9879943869647647, '1000': 1.0930865493665631}","{'200': 0.06519192666148266, '400': 0.22305176591965928, '600': 0.22354564518586945, '800': 0.144511765826624, '1000': 0.12041767605156142}","{'200': 0.09280804403868545, '400': 0.06255367747841406, '600': 0.050821233372317726, '800': 0.04313663917799742, '1000': 0.03821616314228489}","{'200': 0.05546420229946084, '400': 0.032113162916287845, '600': 0.027039389355291116, '800': 0.02252093292359982, '1000': 0.01973754238301523}",28.488888888888887,10.800457237691832
0.1,0.02,0.2,0.3,1e-08,0.7,6.5852,1.916948658676074,"{'200': 0.0333658143849645, '400': 0.3093092719828342, '600': 0.7824217904712364, '800': 0.9807139270335479, '1000': 1.0915873162696006}","{'200': 0.06568250169924951, '400': 0.21489961878136035, '600': 0.26060334859240125, '800': 0.15492806261975575, '1000': 0.12829989105341885}","{'200': 0.11012118787981878, '400': 0.07298410434237412, '600': 0.059743703697180815, '800': 0.050315009936272914, '1000': 0.04452271314021115}","{'200': 0.07619850738412334, '400': 0.04099582781174471, '600': 0.03542922824542246, '800': 0.02794991684444827, '1000': 0.024288392245693027}",33.4,13.283908394076732
0.1,0.02,0.2,0.3,1e-08,0.9,6.656000000000002,1.4283069698072608,"{'200': 0.028786713586198914, '400': 0.28286975293500694, '600': 0.7772379971844732, '800': 0.9634029220339394, '1000': 1.0935537206810133}","{'200': 0.06500662962564593, '400': 0.19832490143111492, '600': 0.2157117781660251, '800': 0.15234070288354473, '1000': 0.12309554784751701}","{'200': 0.09442960741763341, '400': 0.06369753544110368, '600': 0.05178733604150459, '800': 0.04409474537440735, '1000': 0.03906919839423845}","{'200': 0.059689883893741566, '400': 0.03775698902012141, '600': 0.031012104135885264, '800': 0.027103171174701797, '1000': 0.023928957876908255}",30.622222222222224,13.14075744288888
