r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.1,0.06,0.2,0.1,1e-08,0.1,2.2488000000000006,0.9600929954957488,"{'200': 0.5617531525849844, '400': 1.1224799666176273, '600': 1.2507074491461145, '800': 1.2902258980800283, '1000': 1.320696321691481}","{'200': 0.4135693679261403, '400': 0.24976374002834476, '600': 0.21221426776265112, '800': 0.13798524818458877, '1000': 0.1179706139355566}"
0.1,0.06,0.2,0.1,1e-08,0.3,2.362400000000001,1.033290975475931,"{'200': 0.5100253116352564, '400': 1.0795117877807496, '600': 1.2349968371065574, '800': 1.2710868419264907, '1000': 1.3103404997640284}","{'200': 0.3696781255371672, '400': 0.2647765117128501, '600': 0.20490490778711642, '800': 0.1529495423000012, '1000': 0.11495105404129073}"
0.1,0.06,0.2,0.1,1e-08,0.5,2.6504000000000008,1.2299218836983103,"{'200': 0.4059747033161991, '400': 1.0381198918326502, '600': 1.1866248272642232, '800': 1.2272802204798396, '1000': 1.2667527280600523}","{'200': 0.3563587424893756, '400': 0.25587666061941994, '600': 0.21712035119096096, '800': 0.16091997793493196, '1000': 0.12524009478226855}"
0.1,0.06,0.2,0.1,1e-08,0.7,2.7688000000000006,1.2308589521143354,"{'200': 0.4164397130931992, '400': 1.006703582806341, '600': 1.1679115302895229, '800': 1.2268556352932398, '1000': 1.2613713865453784}","{'200': 0.3705853228484359, '400': 0.2701188818833592, '600': 0.20471741839710245, '800': 0.1378340558447057, '1000': 0.12247560362080792}"
0.1,0.06,0.2,0.1,1e-08,0.9,3.242400000000001,1.7649001784803584,"{'200': 0.35016216211875456, '400': 0.9715041115067826, '600': 1.15190800888409, '800': 1.2121422509942736, '1000': 1.2697167671835434}","{'200': 0.2867851347587694, '400': 0.3109709821935295, '600': 0.2751647754226456, '800': 0.16602376039467986, '1000': 0.12748899898366944}"
0.1,0.06,0.2,0.3,1e-08,0.1,4.328000000000001,1.5673927395518967,"{'200': 0.155183378715327, '400': 0.7645357491920909, '600': 1.0271490002845778, '800': 1.1351907575665878, '1000': 1.2000524495686797}","{'200': 0.2035568228978246, '400': 0.30750631176455734, '600': 0.22583572090533882, '800': 0.14182342851672497, '1000': 0.10589757950446681}"
0.1,0.06,0.2,0.3,1e-08,0.3,4.4012,1.9062581567038608,"{'200': 0.1443237112044002, '400': 0.7087384862307817, '600': 1.0036491202772484, '800': 1.1321912554245273, '1000': 1.2009135043007861}","{'200': 0.1788805745256806, '400': 0.32384122255390285, '600': 0.2347114289367814, '800': 0.12701695988783915, '1000': 0.09648284914300471}"
0.1,0.06,0.2,0.3,1e-08,0.5,4.316400000000002,1.699132202037263,"{'200': 0.14199907738656542, '400': 0.6978152395152194, '600': 1.0297303962919, '800': 1.1379013823664532, '1000': 1.2078996340726187}","{'200': 0.17620962451810726, '400': 0.29327068209538915, '600': 0.20684521132968714, '800': 0.126384810467736, '1000': 0.10617918315716252}"
0.1,0.06,0.2,0.3,1e-08,0.7,4.310000000000001,1.8175684856422873,"{'200': 0.16952369560605873, '400': 0.7380528692301412, '600': 1.0304208861171864, '800': 1.133358677582127, '1000': 1.1955286444658904}","{'200': 0.24902697827225723, '400': 0.336891005288263, '600': 0.2425469741479651, '800': 0.1563503599322841, '1000': 0.12241629857325713}"
0.1,0.06,0.2,0.3,1e-08,0.9,4.8812000000000015,1.5349603773387765,"{'200': 0.11525834049112667, '400': 0.6579863016152857, '600': 1.009427805351405, '800': 1.1343757482514103, '1000': 1.1947274875013338}","{'200': 0.18635002195413505, '400': 0.2870493976777299, '600': 0.19285247478386572, '800': 0.12299093169254237, '1000': 0.10899304217922494}"
0.1,0.06,0.2,0.5,1e-08,0.1,5.4492,1.577429098248159,"{'200': 0.0644368446218168, '400': 0.5932134506455854, '600': 0.9744060889196445, '800': 1.0972090367611196, '1000': 1.174789821790997}","{'200': 0.09093086672932955, '400': 0.34355987511581465, '600': 0.2756021052825042, '800': 0.17281296408869115, '1000': 0.12275864096167384}"
0.1,0.06,0.2,0.5,1e-08,0.3,5.2648,1.562216681513803,"{'200': 0.08321893015662028, '400': 0.645568403488209, '600': 0.9598820976902425, '800': 1.0800930198682541, '1000': 1.161712458759836}","{'200': 0.1309916208350476, '400': 0.2976908348965306, '600': 0.2700312975051993, '800': 0.17556197887463562, '1000': 0.12556382594536353}"
0.1,0.06,0.2,0.5,1e-08,0.5,5.0144,1.3217415178468142,"{'200': 0.07956501805327301, '400': 0.5840577610338341, '600': 0.9542768815958963, '800': 1.0688707118504917, '1000': 1.1494462659002727}","{'200': 0.11706641646376861, '400': 0.2530104495420195, '600': 0.19624650653353787, '800': 0.13647198290612594, '1000': 0.1186337919743649}"
0.1,0.06,0.2,0.5,1e-08,0.7,5.316800000000001,1.4789983637583914,"{'200': 0.07589521761616705, '400': 0.5586410362126603, '600': 0.9241660810872705, '800': 1.0724767578213021, '1000': 1.1584868180907577}","{'200': 0.14024996675197943, '400': 0.28414295811958434, '600': 0.23157589885274654, '800': 0.1556181556078212, '1000': 0.11884235498916432}"
0.1,0.06,0.2,0.5,1e-08,0.9,5.6668,1.9268887253808926,"{'200': 0.06320899826649161, '400': 0.5109162099132964, '600': 0.86817135403426, '800': 1.037940640012374, '1000': 1.1309304878113897}","{'200': 0.09599690662272987, '400': 0.25610607211571673, '600': 0.22914200907734952, '800': 0.14826959287090674, '1000': 0.11825992309813076}"
0.1,0.06,0.2,0.7,1e-08,0.1,5.7376000000000005,1.5279075364694026,"{'200': 0.04742819878738653, '400': 0.4534378434358907, '600': 0.9231084417939405, '800': 1.0583443904574255, '1000': 1.1485662985633942}","{'200': 0.0754541741890765, '400': 0.2876617348844583, '600': 0.2294266167269197, '800': 0.15664208999722865, '1000': 0.1300267954873587}"
0.1,0.06,0.2,0.7,1e-08,0.3,5.437600000000001,1.6309841936695768,"{'200': 0.05824985365373614, '400': 0.4753821193006483, '600': 0.9005407745794796, '800': 1.049653505513332, '1000': 1.1447076215730676}","{'200': 0.08763295730242555, '400': 0.3283660927679865, '600': 0.26091007700851315, '800': 0.16452019542851878, '1000': 0.12946173944404304}"
0.1,0.06,0.2,0.7,1e-08,0.5,5.7696000000000005,1.8295282014770908,"{'200': 0.054620180618712245, '400': 0.5151245484241902, '600': 0.894395611404827, '800': 1.0642469818180968, '1000': 1.1539728224687267}","{'200': 0.07366942112378311, '400': 0.3065958246357007, '600': 0.28540613299044126, '800': 0.15880596127726032, '1000': 0.11689731800252597}"
0.1,0.06,0.2,0.7,1e-08,0.7,5.881600000000001,1.5751441330875091,"{'200': 0.04595697936239923, '400': 0.43481681065054445, '600': 0.8803702023850407, '800': 1.0253719724745396, '1000': 1.1346395307522108}","{'200': 0.07213474109317357, '400': 0.3001737547429755, '600': 0.23242049454874514, '800': 0.16092385648961519, '1000': 0.12945273109866706}"
0.1,0.06,0.2,0.7,1e-08,0.9,5.8304,1.4776031402240588,"{'200': 0.03990160604992837, '400': 0.4012827889560836, '600': 0.8374847363898498, '800': 1.0100781200526672, '1000': 1.1097358707847542}","{'200': 0.05906657360204021, '400': 0.22451289307247355, '600': 0.18912376079580084, '800': 0.14025260863112268, '1000': 0.11173596396185137}"
0.1,0.06,0.2,0.9,1e-08,0.1,5.3652000000000015,1.7073954902130906,"{'200': 0.05940802144365205, '400': 0.5241813914934739, '600': 0.9318718279458514, '800': 1.0635691812450594, '1000': 1.1505031018153051}","{'200': 0.08042518384968732, '400': 0.27292741686355537, '600': 0.23241343358120614, '800': 0.17532437354207017, '1000': 0.12273954616939328}"
0.1,0.06,0.2,0.9,1e-08,0.3,5.3428,1.4529581411726904,"{'200': 0.05394987396102377, '400': 0.46429890344759545, '600': 0.9239437571217098, '800': 1.0562041189595086, '1000': 1.1422217644895727}","{'200': 0.07340045417192162, '400': 0.25129345582028745, '600': 0.18233815476089538, '800': 0.13742074744663588, '1000': 0.11031511412641547}"
0.1,0.06,0.2,0.9,1e-08,0.5,5.533599999999999,1.7056196058910669,"{'200': 0.050660196921885337, '400': 0.4656430771857864, '600': 0.8779303512576594, '800': 1.0481942459088462, '1000': 1.136141745659062}","{'200': 0.06712977621451001, '400': 0.24795242496805983, '600': 0.23541343982007956, '800': 0.1459006115522328, '1000': 0.1115742294372628}"
0.1,0.06,0.2,0.9,1e-08,0.7,5.375200000000001,1.3569781722636514,"{'200': 0.05390839950885485, '400': 0.47614791644135723, '600': 0.9220735480663682, '800': 1.0679612982818385, '1000': 1.1462976608763715}","{'200': 0.07300863486534134, '400': 0.23838084322854733, '600': 0.19068976972018206, '800': 0.12543857154373944, '1000': 0.09709659416206447}"
0.1,0.06,0.2,0.9,1e-08,0.9,6.033600000000002,1.54651836070575,"{'200': 0.03392438364351594, '400': 0.39614507159753576, '600': 0.8625113530731584, '800': 1.0308757081220818, '1000': 1.1290415634731654}","{'200': 0.0398238230480794, '400': 0.2314719016272251, '600': 0.2702051231855996, '800': 0.18124027020176778, '1000': 0.14232573286013045}"
0.1,0.06,0.4,0.1,1e-08,0.1,3.2164000000000006,1.4118183452555078,"{'200': 0.3266930380511403, '400': 0.9534958999184064, '600': 1.1360426902460206, '800': 1.1911624626127701, '1000': 1.2426328371944277}","{'200': 0.3057894714670961, '400': 0.2375399798777727, '600': 0.22333955989461798, '800': 0.1567841466790311, '1000': 0.1275076910278537}"
0.1,0.06,0.4,0.1,1e-08,0.3,3.303600000000001,1.5613821569366042,"{'200': 0.32730389113902514, '400': 0.9341275835273339, '600': 1.1406059067870085, '800': 1.201162000261138, '1000': 1.2504199250237031}","{'200': 0.37036393499094583, '400': 0.2833732175955073, '600': 0.23194201479241153, '800': 0.15191459649380745, '1000': 0.13227537753984292}"
0.1,0.06,0.4,0.1,1e-08,0.5,3.4488000000000008,1.7380433136144795,"{'200': 0.29979318307699165, '400': 0.9242955774306947, '600': 1.1293339052594802, '800': 1.1998195146654864, '1000': 1.2486113130875693}","{'200': 0.32199562684665806, '400': 0.2799262229504309, '600': 0.21677263817626521, '800': 0.143513334474344, '1000': 0.12180908418867727}"
0.1,0.06,0.4,0.1,1e-08,0.7,3.5980000000000008,1.5974169148972974,"{'200': 0.25705973356274975, '400': 0.8796540308847715, '600': 1.0763375399096242, '800': 1.1536756954674392, '1000': 1.2225974980061804}","{'200': 0.30087721945324997, '400': 0.2777020398624899, '600': 0.21849033618317334, '800': 0.13285342114618687, '1000': 0.1056727477910434}"
0.1,0.06,0.4,0.1,1e-08,0.9,4.138800000000001,1.703667854952954,"{'200': 0.21074462990709036, '400': 0.8338369904880133, '600': 1.0851262484452644, '800': 1.158559373731417, '1000': 1.222559419713312}","{'200': 0.2864147306180775, '400': 0.3238582536983182, '600': 0.22460493745942145, '800': 0.1414841216597389, '1000': 0.1121089096499749}"
0.1,0.06,0.4,0.3,1e-08,0.1,6.603200000000001,1.45264426478061,"{'200': 0.035644216012613646, '400': 0.3327299175899103, '600': 0.7867090841032376, '800': 0.9778489655232666, '1000': 1.076996409234325}","{'200': 0.11511793883567556, '400': 0.27295170835254245, '600': 0.2615221061251772, '800': 0.18344547407935904, '1000': 0.1497087213554}"
