reservoir_size,frequency_mode,r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_dev
300,gold,0.3,0.01,0.1,0.9,1e-08,1.0,4.637400000000001,1.375310597646946
300,gold,0.3,0.01,0.3,0.9,1e-08,1.0,7.554599999999999,0.8580438450335739
300,gold,0.3,0.01,0.5,0.9,1e-08,1.0,7.9914,1.1014027601200205
300,gold,0.3,0.01,0.7,0.9,1e-08,1.0,8.6274,1.2336077334387945
300,gold,0.3,0.01,0.9,0.9,1e-08,1.0,8.6598,1.5760803152123948
300,gold,0.3,0.01,1.0,0.9,1e-08,1.0,8.5908,1.3502794377461282
300,gold,0.3,0.03,0.1,0.9,1e-08,1.0,4.6164000000000005,1.527299263405833
300,gold,0.3,0.03,0.3,0.9,1e-08,1.0,8.07,1.5409957819539941
300,gold,0.3,0.03,0.5,0.9,1e-08,1.0,7.8738,0.9996585216962843
300,gold,0.3,0.03,0.7,0.9,1e-08,1.0,8.9004,1.5688782744368661
300,gold,0.3,0.03,0.9,0.9,1e-08,1.0,8.518800000000002,1.4059058858970612
300,gold,0.3,0.03,1.0,0.9,1e-08,1.0,8.6646,1.361276768331848
300,gold,0.3,0.05,0.1,0.9,1e-08,1.0,4.990200000000001,1.6105570340723734
300,gold,0.3,0.05,0.3,0.9,1e-08,1.0,7.679999999999999,0.8799077224345747
300,gold,0.3,0.05,0.5,0.9,1e-08,1.0,8.0694,1.138905105792401
300,gold,0.3,0.05,0.7,0.9,1e-08,1.0,8.823599999999999,1.6886417737341455
300,gold,0.3,0.05,0.9,0.9,1e-08,1.0,8.3988,1.1087240233710105
300,gold,0.3,0.05,1.0,0.9,1e-08,1.0,8.6904,1.9289943079231728
300,gold,0.3,0.07,0.1,0.9,1e-08,1.0,4.699200000000001,1.3103862636642678
300,gold,0.3,0.07,0.3,0.9,1e-08,1.0,7.652399999999999,1.2152487152842417
300,gold,0.3,0.07,0.5,0.9,1e-08,1.0,7.991399999999999,1.2729490327581858
