r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.1,0.1,0.2,0.1,1e-08,0.1,0.6982580828688524,0.5315598724857398,"{'200': 1.190009216447705, '400': 1.310259743399693, '600': 1.3583686554013383, '800': 1.3723515715036112, '1000': 1.3808378311564138}","{'200': 0.23964435073466187, '400': 0.11646920512061573, '600': 0.10859697198797556, '800': 0.09782306990737193, '1000': 0.08521781072196849}"
0.1,0.1,0.2,0.1,1e-08,0.3,0.662884586322462,0.43372119867176184,"{'200': 1.1122783250898962, '400': 1.299525529213188, '600': 1.355419858379787, '800': 1.3790267818107496, '1000': 1.3854556758754912}","{'200': 0.2712249261045662, '400': 0.12721836448765375, '600': 0.10051655781874777, '800': 0.0972166710252727, '1000': 0.07519380734820678}"
0.1,0.1,0.2,0.1,1e-08,0.5,0.6805713345956571,0.3645371194370357,"{'200': 1.20630487598699, '400': 1.3019479746557854, '600': 1.3598222205535706, '800': 1.3819911355443801, '1000': 1.3789962563537181}","{'200': 0.28878432343517285, '400': 0.12928351836694282, '600': 0.10431490724419178, '800': 0.08667251760436474, '1000': 0.07759886970836966}"
0.1,0.1,0.2,0.1,1e-08,0.7,0.7118916179961065,0.3980654327263722,"{'200': 1.175553398354816, '400': 1.275515348845069, '600': 1.3194635321179853, '800': 1.3521785342558472, '1000': 1.3603128206612203}","{'200': 0.26065975482889714, '400': 0.15676078493546547, '600': 0.11879399606696597, '800': 0.10030678592424985, '1000': 0.08137597696640596}"
0.1,0.1,0.2,0.1,1e-08,0.9,0.7472651145424971,0.37356714197280244,"{'200': 1.1768318432976648, '400': 1.3030563424587753, '600': 1.3450349107361894, '800': 1.375480173098913, '1000': 1.3731081199734596}","{'200': 0.23366901479277996, '400': 0.15000022109213382, '600': 0.11871781898993883, '800': 0.10227209684114111, '1000': 0.09184203066673405}"
0.1,0.1,0.2,0.3,1e-08,0.1,1.2881848325643832,0.597652207442631,"{'200': 0.8649664935340907, '400': 1.1240733191817762, '600': 1.2191135942114075, '800': 1.2623934455129169, '1000': 1.2953419050753876}","{'200': 0.2830458077901419, '400': 0.18703912206371615, '600': 0.14349624500898836, '800': 0.13048319961631705, '1000': 0.11255109940335752}"
0.1,0.1,0.2,0.3,1e-08,0.3,1.4635784196069024,0.6621688607592218,"{'200': 0.8024788093866737, '400': 1.111393650503813, '600': 1.2249748546963939, '800': 1.274241871739614, '1000': 1.3041140465611631}","{'200': 0.3042632806041294, '400': 0.21628247426080432, '600': 0.15006990652497829, '800': 0.1357007776545167, '1000': 0.10344458040329334}"
0.1,0.1,0.2,0.3,1e-08,0.5,1.4079388573308091,0.6180268887272975,"{'200': 0.8704120901487853, '400': 1.1598927849834544, '600': 1.2614133787110324, '800': 1.2962038027785252, '1000': 1.3126619150492027}","{'200': 0.27393793745418626, '400': 0.146218396268803, '600': 0.12467346525214669, '800': 0.10571031831906935, '1000': 0.09759283984838689}"
0.1,0.1,0.2,0.3,1e-08,0.7,1.6072832493266132,0.6957697069512024,"{'200': 0.825473915154428, '400': 1.1546298490068423, '600': 1.2600615188165234, '800': 1.2910799373117912, '1000': 1.3146703799991355}","{'200': 0.32206958771316296, '400': 0.17494530579081782, '600': 0.1374934436031457, '800': 0.12854813690154954, '1000': 0.10597371142536374}"
0.1,0.1,0.2,0.3,1e-08,0.9,1.674345503195812,0.6784938771161776,"{'200': 0.7871477962959778, '400': 1.113034063749635, '600': 1.2289223703777679, '800': 1.2932529478152528, '1000': 1.3089894147202412}","{'200': 0.2824734064236998, '400': 0.17564561371363435, '600': 0.13646172630728162, '800': 0.10088966109527435, '1000': 0.08918454022763977}"
