r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.3,0.08,0.2,0.1,1e-08,0.1,3.2644000000000006,1.3661627428677738,"{'200': 0.3462384107764924, '400': 0.9525796881444607, '600': 1.1357079405071357, '800': 1.1915979891201038, '1000': 1.255704168217005}","{'200': 0.28185682546582397, '400': 0.2574225288862573, '600': 0.2180505368187022, '800': 0.1435708645896432, '1000': 0.10771570911576633}"
0.3,0.08,0.2,0.1,1e-08,0.3,3.090800000000001,1.4314778936469823,"{'200': 0.3195579209008955, '400': 0.933683893724743, '600': 1.118882969108521, '800': 1.1953194955079707, '1000': 1.2444861210089293}","{'200': 0.256913833683081, '400': 0.24265402884369766, '600': 0.20394591418286043, '800': 0.13809801892810206, '1000': 0.11846811901330995}"
0.3,0.08,0.2,0.1,1e-08,0.5,3.1652000000000005,1.4980833621664713,"{'200': 0.2965640369892597, '400': 0.9078950150595424, '600': 1.1134147094689728, '800': 1.1655578238104727, '1000': 1.2353888822511598}","{'200': 0.23813095427041253, '400': 0.2934436698944121, '600': 0.25198242142853816, '800': 0.1714376058649264, '1000': 0.13307936296137576}"
0.3,0.08,0.2,0.1,1e-08,0.7,3.5036000000000014,1.3484986614750494,"{'200': 0.3113645590913079, '400': 0.9448481040541298, '600': 1.1138052427544005, '800': 1.1837347166668144, '1000': 1.2329160439415103}","{'200': 0.29549898703655675, '400': 0.22165986001213417, '600': 0.22808851365403496, '800': 0.14508724911569365, '1000': 0.12761742932766199}"
0.3,0.08,0.2,0.1,1e-08,0.9,3.354400000000001,1.339052441094074,"{'200': 0.3082141741430109, '400': 0.900225292662809, '600': 1.1168966667207962, '800': 1.1778292249649789, '1000': 1.2292943543341441}","{'200': 0.2913780519141819, '400': 0.24628184188475735, '600': 0.2192507874961097, '800': 0.14142078903692612, '1000': 0.10927294278304275}"
0.3,0.08,0.2,0.3,1e-08,0.1,4.098000000000001,1.729307838413971,"{'200': 0.24584573026316872, '400': 0.8499466313838967, '600': 1.0945288549783432, '800': 1.1621241749258826, '1000': 1.2151985131495626}","{'200': 0.3072959592371639, '400': 0.3750957757550485, '600': 0.28327125439918105, '800': 0.1697885427225559, '1000': 0.13260211293827937}"
0.3,0.08,0.2,0.3,1e-08,0.3,3.8544,1.8381344455724662,"{'200': 0.23152441055324932, '400': 0.8622053964299965, '600': 1.0854333464354342, '800': 1.142985298724306, '1000': 1.2055769548380604}","{'200': 0.2811289096818334, '400': 0.3090850415021158, '600': 0.24446950273307877, '800': 0.1666431348494808, '1000': 0.1329537711716287}"
0.3,0.08,0.2,0.3,1e-08,0.5,4.080400000000001,2.087271673740627,"{'200': 0.20563768047810219, '400': 0.8046779496892452, '600': 1.0123758989699019, '800': 1.1217351570569105, '1000': 1.2021090082142805}","{'200': 0.2582960346151002, '400': 0.31356895882170716, '600': 0.29160539344283865, '800': 0.1744240685977419, '1000': 0.12457351660115416}"
0.3,0.08,0.2,0.3,1e-08,0.7,4.268800000000001,1.8062011405156404,"{'200': 0.19097474918242138, '400': 0.802553520703055, '600': 1.034911974845725, '800': 1.1295556188190277, '1000': 1.195521166783931}","{'200': 0.24032786677120804, '400': 0.2858290550874199, '600': 0.23066463701883774, '800': 0.1690431489468719, '1000': 0.13670514480062082}"
0.3,0.08,0.2,0.3,1e-08,0.9,4.105200000000002,1.6558582548032303,"{'200': 0.18594076636077803, '400': 0.7825572418814997, '600': 1.0514372717930494, '800': 1.1291581916696363, '1000': 1.1937057783256848}","{'200': 0.2530191889663665, '400': 0.3256403508268822, '600': 0.23438762716253161, '800': 0.16512133195628495, '1000': 0.1351585675244951}"
