r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.1,0.08,0.2,0.1,1e-08,0.1,0.6684116951578356,0.5173187530026016,"{'200': 1.1962953018171127, '400': 1.2952728395314481, '600': 1.3502679891732419, '800': 1.3713363899184126, '1000': 1.3834166174932265}","{'200': 0.22025642156934372, '400': 0.15516001261521514, '600': 0.11782825885366924, '800': 0.09477168264099657, '1000': 0.07767232539010134}"
0.1,0.08,0.2,0.1,1e-08,0.3,0.6289849854655044,0.4210975055531035,"{'200': 1.176962828275515, '400': 1.290999783042536, '600': 1.3617793113754342, '800': 1.3728352992856339, '1000': 1.3745295541404066}","{'200': 0.24152047766909204, '400': 0.1291548992188705, '600': 0.10136731473262806, '800': 0.09819262761355453, '1000': 0.09074975706133546}"
0.1,0.08,0.2,0.1,1e-08,0.5,0.7288414184245852,0.538545279486332,"{'200': 1.1664212329667671, '400': 1.2906174891419393, '600': 1.3505173005342317, '800': 1.3755568089385648, '1000': 1.386645658521101}","{'200': 0.2555873994899298, '400': 0.15776586548150182, '600': 0.1029981215808795, '800': 0.09481648887319132, '1000': 0.07502445997595304}"
0.1,0.08,0.2,0.1,1e-08,0.7,0.6813082824403738,0.373508621916012,"{'200': 1.193517482885765, '400': 1.3186420736570752, '600': 1.3772661942452706, '800': 1.4118199697488363, '1000': 1.409655580631797}","{'200': 0.18905223992849413, '400': 0.15332714350206636, '600': 0.110674095203926, '800': 0.0852906550000084, '1000': 0.0720185749764388}"
0.1,0.08,0.2,0.1,1e-08,0.9,0.7163133050644055,0.3613664165610507,"{'200': 1.198023360981014, '400': 1.2772672886533567, '600': 1.3146053609226718, '800': 1.3463150305569347, '1000': 1.3562771648820955}","{'200': 0.1807984125141122, '400': 0.12698802894203545, '600': 0.09781976212552379, '800': 0.07907988768447316, '1000': 0.07110403235760399}"
0.1,0.08,0.2,0.3,1e-08,0.1,1.3497199775982085,0.6132989150056312,"{'200': 0.8835193520569556, '400': 1.1404139718854975, '600': 1.2510155630082411, '800': 1.304690814610105, '1000': 1.3183981002674345}","{'200': 0.29790001309070563, '400': 0.1888859092039008, '600': 0.15226771558395608, '800': 0.1393523971120964, '1000': 0.11012815778763975}"
0.1,0.08,0.2,0.3,1e-08,0.3,1.46615773706341,0.7964982967289495,"{'200': 0.837826965363003, '400': 1.1289321434077182, '600': 1.2188195406241433, '800': 1.282532221162078, '1000': 1.3103629929414373}","{'200': 0.3498695083676433, '400': 0.20701592361588567, '600': 0.15482929544105656, '800': 0.1210019062021776, '1000': 0.10017416818448373}"
0.1,0.08,0.2,0.3,1e-08,0.5,1.4639468935292608,0.6399964570367623,"{'200': 0.8547252533529855, '400': 1.1481297055970114, '600': 1.2468702702616208, '800': 1.2751324537791882, '1000': 1.2887307932921908}","{'200': 0.29926369656407265, '400': 0.18014521975138897, '600': 0.12933619868015372, '800': 0.11458167872966506, '1000': 0.1004600180415926}"
0.1,0.08,0.2,0.3,1e-08,0.7,1.5114800295134732,0.6188284494637025,"{'200': 0.8473180183008678, '400': 1.1326291268894197, '600': 1.2342327906774209, '800': 1.2884393964472483, '1000': 1.3146507877331455}","{'200': 0.2867512798115401, '400': 0.19011862916206515, '600': 0.1586908791991221, '800': 0.11856476754014085, '1000': 0.10105342471211086}"
0.1,0.08,0.2,0.3,1e-08,0.9,1.6772932945746777,0.7167784850264063,"{'200': 0.8171288045418704, '400': 1.1734172520635704, '600': 1.2428900651003885, '800': 1.2881291989271144, '1000': 1.305918876442332}","{'200': 0.3063029321987232, '400': 0.16202585537265757, '600': 0.13260853835318936, '800': 0.11569388053516148, '1000': 0.11111179710515645}"
0.1,0.08,0.2,0.5,1e-08,0.1,1.945542310051471,0.8940942090287646,"{'200': 0.7297061679070279, '400': 1.0909916484136557, '600': 1.2077751737095943, '800': 1.2814376638296145, '1000': 1.2917655908397736}","{'200': 0.32052246915029337, '400': 0.18791647481580492, '600': 0.1368036109976591, '800': 0.10959798417490693, '1000': 0.0962409290144899}"
0.1,0.08,0.2,0.5,1e-08,0.3,1.8722159995021823,0.690254439966749,"{'200': 0.7917771278429514, '400': 1.1533331474707391, '600': 1.2648144469392129, '800': 1.3003442876023643, '1000': 1.3123831196642517}","{'200': 0.2842392165642684, '400': 0.13406962656797078, '600': 0.10330128302078515, '800': 0.0913520767435148, '1000': 0.0830031453741087}"
0.1,0.08,0.2,0.5,1e-08,0.5,1.973546328150697,0.7623122585759353,"{'200': 0.7159940055248883, '400': 1.1074124485568742, '600': 1.224371057796388, '800': 1.2757758960575543, '1000': 1.3038306612441544}","{'200': 0.2971904810209016, '400': 0.15900049095281554, '600': 0.11976188789807377, '800': 0.10238835508402352, '1000': 0.08863790208783116}"
0.1,0.08,0.2,0.5,1e-08,0.7,1.9359619880701568,0.7156797577241433,"{'200': 0.7303444911670744, '400': 1.10164553486118, '600': 1.2352621580416239, '800': 1.293936619033637, '1000': 1.3193144969215946}","{'200': 0.29716613918424417, '400': 0.18498867006169656, '600': 0.13996639285225912, '800': 0.10650785583516008, '1000': 0.09151947600483913}"
0.1,0.08,0.2,0.5,1e-08,0.9,2.044661795165836,0.7193979397749136,"{'200': 0.7296790378977609, '400': 1.1054828588554768, '600': 1.2202305803856448, '800': 1.2735673133664351, '1000': 1.301886886297728}","{'200': 0.2995596184437816, '400': 0.18526650273580206, '600': 0.1345086959481447, '800': 0.12137321412948779, '1000': 0.10259274529334435}"
0.1,0.08,0.2,0.7,1e-08,0.1,1.52658746033016,0.7164156516201097,"{'200': 120.40560170332004, '400': 180.51494126722332, '600': 197.78102312087827, '800': 208.0959662640988, '1000': 209.19445711589262}","{'200': 291.6509166622205, '400': 339.60562209462864, '600': 357.5293155937383, '800': 373.88364113873484, '1000': 374.8639010220455}"
0.1,0.08,0.2,0.7,1e-08,0.3,1.6492892764754512,0.686391260325769,"{'200': 99.63407666950799, '400': 173.4540782587498, '600': 198.15979169102445, '800': 209.18796857725516, '1000': 212.18512842830273}","{'200': 270.1017240790015, '400': 359.7070169347562, '600': 400.29395976075267, '800': 421.3239307088797, '1000': 426.6987081103102}"
0.1,0.08,0.2,0.7,1e-08,0.5,1.7270372740930384,0.7364959571416361,"{'200': 96.60277460341175, '400': 129.04258204336017, '600': 146.56722766682304, '800': 158.286568456582, '1000': 162.10391805535517}","{'200': 241.38953582050297, '400': 299.17760147043754, '600': 324.79013491329016, '800': 341.6309320218949, '1000': 348.29471588068606}"
0.1,0.08,0.2,0.7,1e-08,0.7,1.918275239796962,0.6700791231749265,"{'200': 0.7581051103964123, '400': 7.76262618955562, '600': 12.705451345975456, '800': 14.83984723801268, '1000': 15.322999579618303}","{'200': 0.30490163104337603, '400': 43.93194427753566, '600': 75.93230308450808, '800': 89.79573737545675, '1000': 92.8527343402036}"
0.1,0.08,0.2,0.7,1e-08,0.9,2.1190935274821987,0.700427542128192,"{'200': 0.6994526489820386, '400': 1.1535653530508072, '600': 1.2446585617211543, '800': 1.2990796433126925, '1000': 1.3212847747557148}","{'200': 0.3350740322504756, '400': 0.17523943018543603, '600': 0.1424594637649861, '800': 0.11643144845950378, '1000': 0.0947521050048056}"
0.1,0.08,0.2,0.9,1e-08,0.1,1.651500120009601,0.4507139520532126,"{'200': 0.8407154515119515, '400': 1.1649441016794353, '600': 1.2431516514910765, '800': 1.301177865416516, '1000': 1.3250637568739982}","{'200': 0.24742060575624353, '400': 0.1506998402588965, '600': 0.10705145637624745, '800': 0.08881671423539379, '1000': 0.07735134202838659}"
0.1,0.08,0.2,0.9,1e-08,0.3,1.770148723008953,0.6815456865506637,"{'200': 0.7947355633943768, '400': 1.1717766765383237, '600': 1.2849180999315326, '800': 1.318986928689191, '1000': 1.3317507615418618}","{'200': 0.2804500658963714, '400': 0.14878083412339158, '600': 0.11067533161590444, '800': 0.09660728604071231, '1000': 0.08949725478242171}"
0.1,0.08,0.2,0.9,1e-08,0.5,1.7955734236516705,0.5856192575369296,"{'200': 0.7973497921379088, '400': 1.1565458641329593, '600': 1.267443792809347, '800': 1.3259517182725182, '1000': 1.3448731012037174}","{'200': 0.2685683054244682, '400': 0.15639302772165933, '600': 0.10789501822774425, '800': 0.08713812591406757, '1000': 0.08302955367977895}"
0.1,0.08,0.2,0.9,1e-08,0.7,1.87700616049284,0.5929493074822827,"{'200': 0.7576339927873604, '400': 1.1452204045999916, '600': 1.242889691301284, '800': 1.289525754372422, '1000': 1.3035070295461657}","{'200': 0.25396330336455997, '400': 0.17402386796388272, '600': 0.12881198917003361, '800': 0.10179427808314107, '1000': 0.08342849349579455}"
0.1,0.08,0.2,0.9,1e-08,0.9,2.117988105715124,0.779815317735597,"{'200': 0.6662461390289118, '400': 1.11598740130169, '600': 1.2411208842258494, '800': 1.3003446962541851, '1000': 1.3174852822098204}","{'200': 0.31367275714655973, '400': 0.1685090936812818, '600': 0.12864391561534383, '800': 0.10895028803790234, '1000': 0.08884700376990108}"
0.1,0.08,0.4,0.1,1e-08,0.1,1.177642655856914,0.5086680736411053,"{'200': 0.9501466891731438, '400': 1.1665818120500537, '600': 1.259794487495054, '800': 1.308360840456797, '1000': 1.3177312835272825}","{'200': 0.27309506405540207, '400': 0.1876957398907798, '600': 0.13941654452022337, '800': 0.1178175936638241, '1000': 0.10190190407038711}"
0.1,0.08,0.4,0.1,1e-08,0.3,1.211173782791513,0.4562588077622525,"{'200': 1.0358235846966601, '400': 1.2650011524944496, '600': 1.312192040877445, '800': 1.3434800445645598, '1000': 1.351493296132894}","{'200': 0.21571417745560678, '400': 0.12435264990165061, '600': 0.10726528467666517, '800': 0.10375157363774465, '1000': 0.09384840482371709}"
0.1,0.08,0.4,0.1,1e-08,0.5,1.1979087215866164,0.49218158501579,"{'200': 1.0233267417955032, '400': 1.2317620206906637, '600': 1.2900595224984084, '800': 1.3137837426232326, '1000': 1.3287983233798308}","{'200': 0.19851075836007767, '400': 0.14030179762694522, '600': 0.13417935563182276, '800': 0.12389383989804488, '1000': 0.10021222567207519}"
0.1,0.08,0.4,0.1,1e-08,0.7,1.249126596794411,0.4800127761899554,"{'200': 0.9684910114704136, '400': 1.2276350942327474, '600': 1.2925462955163376, '800': 1.3347078601774294, '1000': 1.3503398952730377}","{'200': 0.259508644757686, '400': 0.1755263862788066, '600': 0.15141966033366594, '800': 0.12204576386541607, '1000': 0.0971180090389443}"
0.1,0.08,0.4,0.1,1e-08,0.9,1.2738143495924128,0.5529019656481484,"{'200': 0.9086180687491713, '400': 1.140679106011162, '600': 1.2483070143438875, '800': 1.3015896496637913, '1000': 1.318962339856709}","{'200': 0.26026394467872765, '400': 0.18142060055245032, '600': 0.11939361540135646, '800': 0.10773511281809298, '1000': 0.09673581888856078}"
0.1,0.08,0.4,0.3,1e-08,0.1,2.1452551759696337,0.82320372970492,"{'200': 0.6377952101608324, '400': 1.104765638096982, '600': 1.205417887378764, '800': 1.2590152412224047, '1000': 1.28067939805169}","{'200': 0.33567197760803474, '400': 0.17991574001175267, '600': 0.14424746822958437, '800': 0.12122784456452357, '1000': 0.10446385880063616}"
0.1,0.08,0.4,0.3,1e-08,0.3,2.223371647509579,0.8426897905785585,"{'200': 0.6300780098233503, '400': 1.0818332828619728, '600': 1.2030012281021545, '800': 1.266287528736087, '1000': 1.2946893127352077}","{'200': 0.3481582172750021, '400': 0.18152655223456202, '600': 0.1420978373181524, '800': 0.12611143359067215, '1000': 0.10857082640003744}"
0.1,0.08,0.4,0.3,1e-08,0.5,2.292276270990568,0.8437283657973959,"{'200': 0.6117311523232949, '400': 1.0889079354199405, '600': 1.1998420936110439, '800': 1.2641203604691844, '1000': 1.2940031330147266}","{'200': 0.33575623275797967, '400': 0.17771868843339014, '600': 0.1417056118365194, '800': 0.1214152199443985, '1000': 0.09277054358115383}"
0.1,0.08,0.4,0.3,1e-08,0.7,2.2226346996648627,0.698508969509968,"{'200': 0.618679658170394, '400': 1.0929225527338366, '600': 1.2134543379942453, '800': 1.2778864432255352, '1000': 1.3054486953420161}","{'200': 0.3161711116262882, '400': 0.1688847922936416, '600': 0.13204222009201996, '800': 0.10073195468583031, '1000': 0.08998975841561478}"
0.1,0.08,0.4,0.3,1e-08,0.9,2.323965028313377,0.8720436531008818,"{'200': 0.5750797521177914, '400': 1.0553076499610983, '600': 1.2048321152999404, '800': 1.26354662734329, '1000': 1.2869290347878835}","{'200': 0.31204803209532106, '400': 0.1776857519215944, '600': 0.11689352055633746, '800': 0.09853896986293618, '1000': 0.0863985250922887}"
0.1,0.08,0.4,0.5,1e-08,0.1,2.514466046172584,0.7892831832309288,"{'200': 0.5607678790764252, '400': 1.0705716618891346, '600': 1.2061158522626676, '800': 1.2556965792265784, '1000': 1.2954711764664475}","{'200': 0.325272381829783, '400': 0.1765467640391483, '600': 0.12675041349359975, '800': 0.10708024402753648, '1000': 0.09116194397710925}"
0.1,0.08,0.4,0.5,1e-08,0.3,2.44850921407046,0.7775131555841275,"{'200': 0.5598231343531965, '400': 1.0895011725910626, '600': 1.2192697616883743, '800': 1.2655823318664137, '1000': 1.3021630253916046}","{'200': 0.31463050887460814, '400': 0.13109984973315078, '600': 0.10416208286732706, '800': 0.10193908675322355, '1000': 0.08492877307352112}"
0.1,0.08,0.4,0.5,1e-08,0.5,2.4842511845392083,0.7996356155389498,"{'200': 0.543676193515784, '400': 1.0543930964918167, '600': 1.1888849838800277, '800': 1.2434257607514982, '1000': 1.2765415735531909}","{'200': 0.3122080570401132, '400': 0.1765833764515586, '600': 0.10923534487839792, '800': 0.10819904361242327, '1000': 0.09616098482823267}"
0.1,0.08,0.4,0.5,1e-08,0.7,2.5774750868958405,0.8395789703302581,"{'200': 0.5143985116301839, '400': 1.0541242582106287, '600': 1.2026032740541353, '800': 1.258751648052116, '1000': 1.2859060815387886}","{'200': 0.3407493059361694, '400': 0.22471784859463625, '600': 0.16399077947495277, '800': 0.14058669612094973, '1000': 0.11385029813233966}"
0.1,0.08,0.4,0.5,1e-08,0.9,2.651538345289846,0.8480740916362198,"{'200': 0.509540180855576, '400': 1.0539001712540352, '600': 1.2139655926961943, '800': 1.2776585183767621, '1000': 1.3067563420656325}","{'200': 0.34996108275870963, '400': 0.15970248941594378, '600': 0.11648514806303427, '800': 0.09010580227482493, '1000': 0.07776539165971899}"
0.1,0.08,0.4,0.7,1e-08,0.1,2.581528300041781,0.7565949619731065,"{'200': 0.5425570898725763, '400': 1.073751912562017, '600': 1.1911473612626784, '800': 1.2548293818302447, '1000': 1.2981733284758312}","{'200': 0.3698118854246677, '400': 0.1898512926238107, '600': 0.14680731667715213, '800': 0.11573968050513932, '1000': 0.09390112175157345}"
0.1,0.08,0.4,0.7,1e-08,0.3,2.814035345049826,0.919732315693728,"{'200': 0.472794101597356, '400': 1.0296435996660032, '600': 1.1777546193204953, '800': 1.264653501092965, '1000': 1.2881512260271746}","{'200': 0.36880291723030495, '400': 0.21775825644073063, '600': 0.1615871132011477, '800': 0.1223614654576109, '1000': 0.09889045288746062}"
0.1,0.08,0.4,0.7,1e-08,0.5,2.842039363149052,0.8747260486741827,"{'200': 0.4234924992910081, '400': 1.002143285010402, '600': 1.1741062875149804, '800': 1.2575484759408102, '1000': 1.2896083737249233}","{'200': 0.35866782795760666, '400': 0.18682637773080685, '600': 0.13754793547588512, '800': 0.1017044081345567, '1000': 0.09021606500845436}"
0.1,0.08,0.4,0.7,1e-08,0.7,2.850145789440933,0.8506665615580362,"{'200': 0.40893105108462885, '400': 0.9952454221631465, '600': 1.1462581804748506, '800': 1.2284409304920334, '1000': 1.261411793407033}","{'200': 0.3617794424154182, '400': 0.18820924693314006, '600': 0.1394385161908037, '800': 0.10427234924790406, '1000': 0.0878120588041807}"
0.1,0.08,0.4,0.7,1e-08,0.9,2.99458756700536,0.9591494398688748,"{'200': 0.353560069164708, '400': 0.9543199225235237, '600': 1.1307495543135095, '800': 1.2161598211970481, '1000': 1.263774460515993}","{'200': 0.31832316351919476, '400': 0.19425515702683713, '600': 0.14274468439031182, '800': 0.12208599156785767, '1000': 0.10675879500393512}"
0.1,0.08,0.4,0.9,1e-08,0.1,2.84019699353726,0.9775743021011664,"{'200': 0.45737962673821825, '400': 1.0083632462287457, '600': 1.1779435684542092, '800': 1.2487998244935916, '1000': 1.2779885402330609}","{'200': 0.32996378530082726, '400': 0.21439362363351666, '600': 0.12942766856545926, '800': 0.10057141914220093, '1000': 0.08951248195677547}"
0.1,0.08,0.4,0.9,1e-08,0.3,2.731497186441582,0.7720356156407671,"{'200': 0.42185469315235813, '400': 0.992839008855424, '600': 1.1464008794563523, '800': 1.2299006169605706, '1000': 1.2615340011550598}","{'200': 0.29210997231387464, '400': 0.1783626234430897, '600': 0.13443596357628906, '800': 0.10013593124851357, '1000': 0.09024469781005283}"
0.1,0.08,0.4,0.9,1e-08,0.5,2.891414868745056,0.8573419825499592,"{'200': 0.36363209980688543, '400': 0.9997977315409715, '600': 1.172070318520507, '800': 1.2529531386488881, '1000': 1.2827656812943173}","{'200': 0.29453304097369987, '400': 0.15962949406317894, '600': 0.11178374443300354, '800': 0.09566345171722633, '1000': 0.08942992436608552}"
0.1,0.08,0.4,0.9,1e-08,0.7,3.0008516236854508,0.8471995180599876,"{'200': 0.33909326588050365, '400': 0.9614238678396215, '600': 1.1348443549765572, '800': 1.2211866025943514, '1000': 1.2624025836002901}","{'200': 0.2888891768916465, '400': 0.1922494343858307, '600': 0.12788748269829572, '800': 0.11096936132971097, '1000': 0.08844758776934177}"
0.1,0.08,0.4,0.9,1e-08,0.9,2.9654781271390607,0.9307819030626514,"{'200': 0.3354034028140872, '400': 0.9631992431858654, '600': 1.150998932382894, '800': 1.229276560646813, '1000': 1.270953195069396}","{'200': 0.29217874125441323, '400': 0.15985512749995098, '600': 0.11697890660973945, '800': 0.09891908009145824, '1000': 0.08451527205004582}"
0.1,0.08,0.6,0.1,1e-08,0.1,1.4064649616413758,0.6350962053987642,"{'200': 0.9114726374809087, '400': 1.1647768210921325, '600': 1.2491407534488157, '800': 1.2950611809999844, '1000': 1.3085998865473853}","{'200': 0.28647214914220487, '400': 0.1536191786922819, '600': 0.11165377364071258, '800': 0.09699437920152466, '1000': 0.09150321028147798}"
0.1,0.08,0.6,0.1,1e-08,0.3,1.4385221928865428,0.5309495701465566,"{'200': 0.878941125351509, '400': 1.1356911589591299, '600': 1.242102784870679, '800': 1.2975246401129445, '1000': 1.3196065794719287}","{'200': 0.29925245218490876, '400': 0.19989910317599213, '600': 0.15519392336795518, '800': 0.13059949521327036, '1000': 0.1092018425195967}"
0.1,0.08,0.6,0.1,1e-08,0.5,1.384356526299882,0.5773394940648868,"{'200': 0.9031056820975896, '400': 1.1643906248597071, '600': 1.2381255221029221, '800': 1.2864500050135257, '1000': 1.3056403144290383}","{'200': 0.2912306656085027, '400': 0.1411296054493285, '600': 0.12101956272805174, '800': 0.10569813015997506, '1000': 0.09193097681111533}"
0.1,0.08,0.6,0.1,1e-08,0.7,1.455840467237379,0.6944794106518477,"{'200': 0.8907745833124758, '400': 1.1735439261094633, '600': 1.2625218730052807, '800': 1.3102475778784946, '1000': 1.3292956625737102}","{'200': 0.3086902902281376, '400': 0.2033199458153437, '600': 0.1447540584673559, '800': 0.14202524439341702, '1000': 0.11854556035487507}"
0.1,0.08,0.6,0.1,1e-08,0.9,1.4820021157248136,0.6591900636214085,"{'200': 0.886263961168004, '400': 1.150518604968392, '600': 1.25098916777743, '800': 1.3192356636076203, '1000': 1.350030677985995}","{'200': 0.30265435071432956, '400': 0.18868412219641278, '600': 0.13931131724379203, '800': 0.10701144657450862, '1000': 0.08845110691902194}"
0.1,0.08,0.6,0.3,1e-08,0.1,2.4930945586758053,0.9511263410629136,"{'200': 0.5550692800371645, '400': 1.0636442921452767, '600': 1.1960244578850434, '800': 1.2581507391951345, '1000': 1.2909163732403546}","{'200': 0.34223113265900573, '400': 0.15666830233602985, '600': 0.09368078855054743, '800': 0.08983683587490207, '1000': 0.0762280236197001}"
0.1,0.08,0.6,0.3,1e-08,0.3,2.489041345529865,0.8740819682158943,"{'200': 0.5492207649431926, '400': 1.03936381703672, '600': 1.174496418280556, '800': 1.2442938327678499, '1000': 1.2746510958523942}","{'200': 0.352991044054782, '400': 0.216057404901193, '600': 0.15470100817415794, '800': 0.11680921820779325, '1000': 0.09727133229609493}"
0.1,0.08,0.6,0.3,1e-08,0.5,2.354179889946751,0.7347063251802992,"{'200': 0.5676274376713317, '400': 1.0765055716352545, '600': 1.2228957007497234, '800': 1.2745117251119849, '1000': 1.302369638997265}","{'200': 0.294813424447214, '400': 0.1698865786996048, '600': 0.11778510222177485, '800': 0.11160373171511119, '1000': 0.09770067582411338}"
0.1,0.08,0.6,0.3,1e-08,0.7,2.526257211688047,0.8200199839954804,"{'200': 0.5178921469480449, '400': 1.0775240852402257, '600': 1.2293222626717004, '800': 1.2955177980693482, '1000': 1.3106402952410166}","{'200': 0.3041178291308608, '400': 0.14464155143624255, '600': 0.1021271234779183, '800': 0.09449501167120587, '1000': 0.08739667767566878}"
0.1,0.08,0.6,0.3,1e-08,0.9,2.5973726787031857,0.7550860544034643,"{'200': 0.4979381701723502, '400': 1.0538970952318325, '600': 1.1972952409131097, '800': 1.263571752256892, '1000': 1.2900615834419833}","{'200': 0.3489257358096076, '400': 0.1618232842991442, '600': 0.11205996149854852, '800': 0.09005018913354683, '1000': 0.07088789174756172}"
0.1,0.08,0.6,0.5,1e-08,0.1,2.811824501515677,0.6682774141598544,"{'200': 0.4079981170536745, '400': 1.0093819825128387, '600': 1.1671430795166478, '800': 1.232163442760136, '1000': 1.2708100677649263}","{'200': 0.2793844221608071, '400': 0.16279349624342795, '600': 0.12335291928505529, '800': 0.10538716329769868, '1000': 0.08611175855770124}"
0.1,0.08,0.6,0.5,1e-08,0.3,2.952581539856522,0.7740668072172083,"{'200': 0.3685733045203349, '400': 0.9643228048927128, '600': 1.1530488064403313, '800': 1.2351588731482286, '1000': 1.2749850936793905}","{'200': 0.2939526064860714, '400': 0.18442873018741635, '600': 0.15384153287885766, '800': 0.12837115124613332, '1000': 0.10109552110167111}"
0.1,0.08,0.6,0.5,1e-08,0.5,2.99237672347121,0.7527556997462435,"{'200': 0.35126406561090284, '400': 1.000643810356481, '600': 1.164234373640858, '800': 1.2369141546530917, '1000': 1.2761135220495365}","{'200': 0.26365042598556065, '400': 0.15162796412765392, '600': 0.10960031779873809, '800': 0.0932093482729992, '1000': 0.07775764923516428}"
0.1,0.08,0.6,0.5,1e-08,0.7,2.9028375603381606,0.6850708149950702,"{'200': 0.34208614799433135, '400': 0.9790820780679325, '600': 1.1465679052718678, '800': 1.2242643435583687, '1000': 1.2586270443373624}","{'200': 0.2360643979641433, '400': 0.18777802660425433, '600': 0.13143338388951492, '800': 0.1105174401583919, '1000': 0.10149932190243435}"
