r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.3,0.04,0.2,0.1,1e-08,0.1,4.419200000000002,1.610780978283516,"{'200': 0.1840186927414939, '400': 0.7696124537244154, '600': 1.0543683833715167, '800': 1.1342471467196011, '1000': 1.1966532488590673}","{'200': 0.2564135809833065, '400': 0.3754144086775469, '600': 0.27472076611671997, '800': 0.16403805370492955, '1000': 0.11952946317367039}"
0.3,0.04,0.2,0.1,1e-08,0.3,4.198000000000001,1.6761637151543403,"{'200': 0.17354536727134634, '400': 0.7367600571930901, '600': 1.0190264947784564, '800': 1.1066407569387875, '1000': 1.1745654016546458}","{'200': 0.2213857060324829, '400': 0.36289498166791095, '600': 0.29272148058649466, '800': 0.1663521832233717, '1000': 0.13595024623844718}"
0.3,0.04,0.2,0.1,1e-08,0.5,4.276400000000001,1.5381944740506648,"{'200': 0.19304400807418717, '400': 0.7955770856526191, '600': 1.0613431825870359, '800': 1.152389796584255, '1000': 1.199058204232702}","{'200': 0.25921424372821866, '400': 0.3621430019266782, '600': 0.2768733809223197, '800': 0.17437076144413627, '1000': 0.13497454528861866}"
0.3,0.04,0.2,0.1,1e-08,0.7,4.5796,1.7804760711674843,"{'200': 0.1755938773616254, '400': 0.7368130165630479, '600': 1.0380782974787286, '800': 1.1285643404574286, '1000': 1.1988764837920542}","{'200': 0.2575250183885235, '400': 0.4001217082304556, '600': 0.2799673836933774, '800': 0.17209056724337654, '1000': 0.14139817490131076}"
0.3,0.04,0.2,0.1,1e-08,0.9,4.613200000000001,1.6263901622919392,"{'200': 0.1796215596719344, '400': 0.7346991858397134, '600': 1.0580142160108257, '800': 1.159373131823613, '1000': 1.2088535080648086}","{'200': 0.25572778775032357, '400': 0.364382597727663, '600': 0.281441193335243, '800': 0.1625520485230392, '1000': 0.13456757224036744}"
0.3,0.04,0.2,0.3,1e-08,0.1,6.484800000000001,1.451828419614384,"{'200': 0.020959457821539847, '400': 0.29918980250880695, '600': 0.7880284549433423, '800': 0.9683714997102987, '1000': 1.0683319513524603}","{'200': 0.036392850823295665, '400': 0.19167678818726994, '600': 0.162234498226291, '800': 0.13952013836176036, '1000': 0.11642106601642262}"
0.3,0.04,0.2,0.3,1e-08,0.3,6.3740000000000006,1.1707242203012627,"{'200': 0.02534543597956211, '400': 0.28695709766221905, '600': 0.759122408179297, '800': 0.9539520286711584, '1000': 1.0734414317322598}","{'200': 0.03826839684574999, '400': 0.16634764373006702, '600': 0.1929412643108061, '800': 0.1535881962493074, '1000': 0.13073951077734008}"
0.3,0.04,0.2,0.3,1e-08,0.5,6.5756000000000006,1.3634546710470437,"{'200': 0.029456866319352976, '400': 0.34405149287295306, '600': 0.8151507729921085, '800': 0.9911151115471626, '1000': 1.0820645363950316}","{'200': 0.048551079306317454, '400': 0.2978001556259929, '600': 0.2671387677015495, '800': 0.1739522040040159, '1000': 0.1450849838273819}"
0.3,0.04,0.2,0.3,1e-08,0.7,6.345200000000001,1.463220885580848,"{'200': 0.02754485344241155, '400': 0.3214019145311351, '600': 0.7811787948050762, '800': 0.9777886621785209, '1000': 1.0893776466738805}","{'200': 0.045493444988077274, '400': 0.19477884820853153, '600': 0.17112436955685395, '800': 0.11365223216209637, '1000': 0.09003235103377621}"
0.3,0.04,0.2,0.3,1e-08,0.9,6.333200000000001,1.2783349169916305,"{'200': 0.029616340485082097, '400': 0.36169799973935657, '600': 0.8206913994710523, '800': 1.0047515866067869, '1000': 1.1023054951554905}","{'200': 0.03902487501903599, '400': 0.20779022256300606, '600': 0.1590244534541822, '800': 0.11029872107647064, '1000': 0.0905364025125895}"
