r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs
0.3,0.02,0.2,0.1,1e-08,0.1,4.596400000000002,1.6520263436156215,"{'200': 0.20009789307896378, '400': 0.7724670077021847, '600': 1.0235861134507622, '800': 1.1205905527313988, '1000': 1.1846278052733763}","{'200': 0.2945898705472487, '400': 0.3980857549501384, '600': 0.3148197069936983, '800': 0.19193180596394488, '1000': 0.14593823875966333}"
0.3,0.02,0.2,0.1,1e-08,0.3,4.695200000000001,1.611095329271362,"{'200': 0.14735865839519613, '400': 0.7045035090811457, '600': 1.0321153616914516, '800': 1.1068341613684252, '1000': 1.1767305231077787}","{'200': 0.19721708959698894, '400': 0.32921049741623587, '600': 0.2698731898624901, '800': 0.17409586534490892, '1000': 0.12283321530804944}"
0.3,0.02,0.2,0.1,1e-08,0.5,4.3028,1.6710832893665115,"{'200': 0.21975894503192303, '400': 0.8402569025052232, '600': 1.0749176010604742, '800': 1.1277616561756372, '1000': 1.1884686870429253}","{'200': 0.30930934937151694, '400': 0.3705566277698861, '600': 0.2688444864688491, '800': 0.17387861845488142, '1000': 0.13085904278470353}"
0.3,0.02,0.2,0.1,1e-08,0.7,4.1256,1.5837572541270333,"{'200': 0.21297149591476733, '400': 0.8028944567332839, '600': 1.0462191704861714, '800': 1.1450668990600277, '1000': 1.2083974040405052}","{'200': 0.27605483391737057, '400': 0.36418379522965394, '600': 0.27583399373363704, '800': 0.17278455998990064, '1000': 0.14512938260047523}"
0.3,0.02,0.2,0.1,1e-08,0.9,4.625600000000001,1.6036620092775158,"{'200': 0.19146387177954508, '400': 0.7578219570571623, '600': 1.0265427801107945, '800': 1.1170812512387789, '1000': 1.1935802089224021}","{'200': 0.26935961292662697, '400': 0.37302114918771767, '600': 0.2930287817464275, '800': 0.1894494856256369, '1000': 0.1437012156234923}"
0.3,0.02,0.2,0.3,1e-08,0.1,6.4864,1.3531837421429505,"{'200': 0.01715040986771432, '400': 0.29307458461192576, '600': 0.7280639513288689, '800': 0.9510482200333167, '1000': 1.0659253095731511}","{'200': 0.025866741610386476, '400': 0.23653834657854975, '600': 0.26044513009131776, '800': 0.16081034402723848, '1000': 0.13061888610828948}"
0.3,0.02,0.2,0.3,1e-08,0.3,6.645599999999998,1.5183751315139489,"{'200': 0.021651967973182907, '400': 0.2990018475782042, '600': 0.7585174653701984, '800': 0.9623584307701593, '1000': 1.0820012472403253}","{'200': 0.034377894842712774, '400': 0.15681824159615557, '600': 0.1921696517886086, '800': 0.14042657679605805, '1000': 0.11815168691785204}"
0.3,0.02,0.2,0.3,1e-08,0.5,6.435599999999999,1.6401045820312798,"{'200': 0.027747399013904044, '400': 0.3363836577337646, '600': 0.7965213703044763, '800': 0.977522259307327, '1000': 1.0781681717778815}","{'200': 0.044438124627572316, '400': 0.23801669087225305, '600': 0.24629154906390988, '800': 0.16787705055427402, '1000': 0.126690656697346}"
0.3,0.02,0.2,0.3,1e-08,0.7,6.4508,1.0446776344882664,"{'200': 0.025698474944402517, '400': 0.29776822626835897, '600': 0.8177936001512129, '800': 0.9968400697548, '1000': 1.100090576596344}","{'200': 0.03323857188179856, '400': 0.1845684821008111, '600': 0.15442145970542437, '800': 0.11280484798848446, '1000': 0.10891672517626581}"
0.3,0.02,0.2,0.3,1e-08,0.9,6.3676,1.45825506685216,"{'200': 0.030357935647366836, '400': 0.33914957288803654, '600': 0.7589865609082227, '800': 0.9726282082426442, '1000': 1.0803538680041036}","{'200': 0.041553439916789225, '400': 0.19578969364629867, '600': 0.24820019004155058, '800': 0.14454252083796845, '1000': 0.12790374778487554}"
0.3,0.02,0.2,0.5,1e-08,0.1,7.619200000000003,1.6296142365602968,"{'200': 0.007051286537837747, '400': 0.21548461774975042, '600': 0.7108824457127645, '800': 0.937175524492444, '1000': 1.0575687057148246}","{'200': 0.012755147365749333, '400': 0.35217850806248907, '600': 0.3893932903362459, '800': 0.20785480076197715, '1000': 0.14477672886199533}"
0.3,0.02,0.2,0.5,1e-08,0.3,7.369600000000003,1.6445713848903,"{'200': 0.006660015369362428, '400': 0.18089616311912848, '600': 0.6669746706584335, '800': 0.9273154790240813, '1000': 1.0560667900126808}","{'200': 0.010118884146678211, '400': 0.2776911783945101, '600': 0.3515118736561798, '800': 0.19518816710051404, '1000': 0.15244677116257332}"
0.3,0.02,0.2,0.5,1e-08,0.5,7.7344,1.556163693189119,"{'200': 0.006450790861573177, '400': 0.19294955291559607, '600': 0.6561893489668529, '800': 0.9074324123860679, '1000': 1.025586508691873}","{'200': 0.01384878248788534, '400': 0.33588397575262546, '600': 0.3899652730875856, '800': 0.22155303365943577, '1000': 0.16523060829091224}"
0.3,0.02,0.2,0.5,1e-08,0.7,7.819199999999999,1.775279853994857,"{'200': 0.004774155056133371, '400': 0.18471441361997426, '600': 0.6688121708265949, '800': 0.888637011538742, '1000': 1.0206839235606446}","{'200': 0.007833680349166582, '400': 0.33729758488359846, '600': 0.40702525308509546, '800': 0.23026385733602844, '1000': 0.16311103579777442}"
0.3,0.02,0.2,0.5,1e-08,0.9,7.8128,1.838335595042429,"{'200': 0.006137448576606982, '400': 0.1698285901758907, '600': 0.6423831458310706, '800': 0.8941057996023715, '1000': 1.0327673281845124}","{'200': 0.009278246760579574, '400': 0.2885447496879606, '600': 0.3533256623981423, '800': 0.21937974194697196, '1000': 0.1392460663124}"
0.3,0.02,0.2,0.7,1e-08,0.1,7.694000000000001,1.5269430899676644,"{'200': 0.007494793532868284, '400': 0.14791147162244694, '600': 0.6129934464598533, '800': 0.8865567613488463, '1000': 1.0054919329021936}","{'200': 0.012886889607144356, '400': 0.1473232452356904, '600': 0.220788445465638, '800': 0.14668386710369055, '1000': 0.11797803590634062}"
0.3,0.02,0.2,0.7,1e-08,0.3,7.838400000000002,1.78338168657189,"{'200': 0.0061390205153298814, '400': 0.1444443271133957, '600': 0.6189535184075139, '800': 0.8935110434957247, '1000': 1.0258542528046488}","{'200': 0.010433876516970468, '400': 0.15057297162485975, '600': 0.27709423708630887, '800': 0.16724581899372556, '1000': 0.1256212519357715}"
0.3,0.02,0.2,0.7,1e-08,0.5,7.512800000000002,1.3708774416409364,"{'200': 0.006690366111984028, '400': 0.13483430368401503, '600': 0.6269744471657994, '800': 0.906317987837125, '1000': 1.0400545064350286}","{'200': 0.010613483863693212, '400': 0.12752484720349574, '600': 0.22995694983854723, '800': 0.13601803681175062, '1000': 0.10333965644758049}"
0.3,0.02,0.2,0.7,1e-08,0.7,7.748400000000001,1.7247661406695112,"{'200': 0.007126175897625723, '400': 0.15105285388796733, '600': 0.6326076525024439, '800': 0.8819857609501777, '1000': 1.0037132200404866}","{'200': 0.010936010530532815, '400': 0.14686941702559547, '600': 0.24292679083112245, '800': 0.1804483820034615, '1000': 0.15242931735085835}"
0.3,0.02,0.2,0.7,1e-08,0.9,7.756000000000002,1.612985802789349,"{'200': 0.006577555187440466, '400': 0.14831492427089604, '600': 0.5966054008797185, '800': 0.8653194504939743, '1000': 1.010046738768388}","{'200': 0.01172896092956042, '400': 0.14491015095941687, '600': 0.24204298443387445, '800': 0.15909699303612343, '1000': 0.12588758843837355}"
0.3,0.02,0.2,0.9,1e-08,0.1,7.804000000000003,1.518754226331568,"{'200': 0.008368731439029333, '400': 0.14408258637365673, '600': 0.6145232675519605, '800': 0.87458178169271, '1000': 1.011938071972906}","{'200': 0.01424018679033216, '400': 0.145128079121837, '600': 0.22506727633500792, '800': 0.13898356717731936, '1000': 0.13177385189714427}"
0.3,0.02,0.2,0.9,1e-08,0.3,7.668399999999999,1.4009993004994683,"{'200': 0.006784552475173184, '400': 0.1227514088643899, '600': 0.5882918617660136, '800': 0.8615804733332455, '1000': 1.008995778529027}","{'200': 0.009975215366583112, '400': 0.10119226172287019, '600': 0.19980559161352035, '800': 0.12047498510065507, '1000': 0.0925555254868388}"
0.3,0.02,0.2,0.9,1e-08,0.5,7.3888,1.394654136336318,"{'200': 0.007204844366074696, '400': 0.14711635119507716, '600': 0.6108625984278307, '800': 0.8740105097969245, '1000': 1.0113605110497093}","{'200': 0.011774058409345598, '400': 0.13681168740395036, '600': 0.21197848131642563, '800': 0.11895037517786113, '1000': 0.1037816575390692}"
0.3,0.02,0.2,0.9,1e-08,0.7,7.687199999999998,1.4991568830512705,"{'200': 0.006538472187229583, '400': 0.12726160174179102, '600': 0.5856339634424331, '800': 0.8652370268636262, '1000': 1.0100524437616452}","{'200': 0.009976809344732884, '400': 0.1365217420894141, '600': 0.21226700506300772, '800': 0.14747518750481173, '1000': 0.1243152317933389}"
0.3,0.02,0.2,0.9,1e-08,0.9,7.3468,1.4018442709516632,"{'200': 0.008745747026714459, '400': 0.1943155696971421, '600': 0.6764087599963173, '800': 0.9312473293770557, '1000': 1.0526282954194672}","{'200': 0.01584086047369286, '400': 0.24535299590664317, '600': 0.270179124745095, '800': 0.15503887729940835, '1000': 0.1263875772695796}"
0.3,0.02,0.4,0.1,1e-08,0.1,5.999600000000001,1.2638445474028837,"{'200': 0.03411278884539504, '400': 0.4215141729152188, '600': 0.8489597464802547, '800': 1.0143827653422588, '1000': 1.1111154059330408}","{'200': 0.06261205387213334, '400': 0.27368592048400014, '600': 0.2177792546571313, '800': 0.15471964367658245, '1000': 0.11318196983845927}"
0.3,0.02,0.4,0.1,1e-08,0.3,6.358000000000001,1.7420631446649693,"{'200': 0.02951567289774282, '400': 0.441107169406605, '600': 0.8615012090685897, '800': 1.0447780735914403, '1000': 1.15048263345325}","{'200': 0.04609067225236455, '400': 0.3299024861802961, '600': 0.33464467815402654, '800': 0.17341995601775798, '1000': 0.12581859877722087}"
0.3,0.02,0.4,0.1,1e-08,0.5,6.1204,1.0366256026164893,"{'200': 0.029959305016678824, '400': 0.4121052622260012, '600': 0.8275292740000292, '800': 0.9786899640184455, '1000': 1.088264190196167}","{'200': 0.03394661323076872, '400': 0.19450305464946321, '600': 0.16298709163388175, '800': 0.14084478951793658, '1000': 0.11269544039544584}"
0.3,0.02,0.4,0.1,1e-08,0.7,6.1288,1.2894535897037942,"{'200': 0.02847328599456975, '400': 0.4111263857437293, '600': 0.857881253523048, '800': 1.0281474071848768, '1000': 1.1278454944376883}","{'200': 0.03820782302440293, '400': 0.25678387640196565, '600': 0.21806790088345418, '800': 0.15029952456415666, '1000': 0.12742281000546524}"
0.3,0.02,0.4,0.1,1e-08,0.9,5.8336,1.4529409623243468,"{'200': 0.057085093528831114, '400': 0.4467743958804593, '600': 0.8717148587348404, '800': 1.034248408018706, '1000': 1.117725380248821}","{'200': 0.12135481551163828, '400': 0.31113404955235024, '600': 0.26691920558344295, '800': 0.1638359006944096, '1000': 0.11007238795119675}"
0.3,0.02,0.4,0.3,1e-08,0.1,7.953600000000001,1.8703669800335976,"{'200': 0.006437874523056359, '400': 0.11624842071089103, '600': 0.5860227885442711, '800': 0.8736941206861124, '1000': 1.0192917899438856}","{'200': 0.010068131782091134, '400': 0.13051960569140011, '600': 0.2478794149782201, '800': 0.17574697577474271, '1000': 0.12938361477236618}"
0.3,0.02,0.4,0.3,1e-08,0.3,7.720000000000001,1.696216967253895,"{'200': 0.0055026563670867775, '400': 0.15939162917907518, '600': 0.6088180545123354, '800': 0.8850376426039508, '1000': 1.0132028576867698}","{'200': 0.008842731564055463, '400': 0.28512986612260366, '600': 0.3527139651693034, '800': 0.17988848909081942, '1000': 0.13515712573924504}"
0.3,0.02,0.4,0.3,1e-08,0.5,7.685200000000001,1.4809767587642964,"{'200': 0.006173160346567397, '400': 0.1681141454214929, '600': 0.636706198767826, '800': 0.8795015347008857, '1000': 1.0167980785098187}","{'200': 0.010243865821754575, '400': 0.279758541539189, '600': 0.3446913810914761, '800': 0.19389319902196867, '1000': 0.15112122213700205}"
0.3,0.02,0.4,0.3,1e-08,0.7,8.146,1.6116431366775965,"{'200': 0.005647048929825967, '400': 0.14426512723014068, '600': 0.5777749803745514, '800': 0.844888993242867, '1000': 0.9846430025863646}","{'200': 0.012601292050870712, '400': 0.2794342689527566, '600': 0.3681008228025694, '800': 0.22370630516999818, '1000': 0.1721109627898605}"
0.3,0.02,0.4,0.3,1e-08,0.9,8.145999999999999,1.6932231985181394,"{'200': 0.0031896298563288627, '400': 0.1410760384855995, '600': 0.5643946472422441, '800': 0.8632172527341779, '1000': 1.0054327808708956}","{'200': 0.003535386246754723, '400': 0.2900722408966047, '600': 0.3558041326283837, '800': 0.2016286503812742, '1000': 0.15605207838632726}"
0.3,0.02,0.4,0.5,1e-08,0.1,8.2376,1.675649318920877,"{'200': 0.003679054524664491, '400': 0.10386880255969197, '600': 0.5593504713648872, '800': 0.8765762634516095, '1000': 1.0055085553088394}","{'200': 0.004405532463099466, '400': 0.13957773254458808, '600': 0.28063478412566834, '800': 0.1444325328858668, '1000': 0.13795755216704197}"
0.3,0.02,0.4,0.5,1e-08,0.3,8.166800000000002,1.7323512807741968,"{'200': 0.003844488956380724, '400': 0.11141454986869494, '600': 0.5515431143515619, '800': 0.8669561504565313, '1000': 1.0055557367945627}","{'200': 0.005459699543009098, '400': 0.14315178321552544, '600': 0.2605198362533211, '800': 0.13245087038667594, '1000': 0.10852621422477195}"
0.3,0.02,0.4,0.5,1e-08,0.5,7.901200000000001,1.6688370082185977,"{'200': 0.004896253266497441, '400': 0.10828720005329943, '600': 0.5493017431283455, '800': 0.8391475027219255, '1000': 0.9895654266047368}","{'200': 0.007767599880496731, '400': 0.1284705468383378, '600': 0.22334864174589833, '800': 0.13084458392416334, '1000': 0.10227601064287976}"
0.3,0.02,0.4,0.5,1e-08,0.7,8.22,2.031082863893052,"{'200': 0.00444497806111352, '400': 0.10706898453670283, '600': 0.561542042853988, '800': 0.845261097085667, '1000': 0.9898226807823739}","{'200': 0.007174777210742615, '400': 0.13413241184363203, '600': 0.26346872962420453, '800': 0.1839682423263734, '1000': 0.13924550838053693}"
0.3,0.02,0.4,0.5,1e-08,0.9,8.150400000000001,1.6893536752261211,"{'200': 0.005215135066357318, '400': 0.10004677519820271, '600': 0.5222809141510418, '800': 0.825458450245994, '1000': 0.9813328322985563}","{'200': 0.010097149531803806, '400': 0.11893598397984502, '600': 0.24112113188412188, '800': 0.1544883121120213, '1000': 0.11779495104812159}"
