r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_NRMSEs_open_loop,std_NRMSEs_open_loop,mean_ADev,std_ADev
0.5,0.08,0.2,0.1,1e-08,0.1,7.4681565636362,3.7188754646906426,"{'200': 0.00035243121368253683, '400': 0.0006528340635452298, '600': 0.001448459718292284, '800': 0.0020972437174172544, '1000': 0.002878610330880464}","{'200': 0.0003299975534744189, '400': 0.00048354316452127157, '600': 0.0018014721370244724, '800': 0.0025982522449348447, '1000': 0.0036831909537847016}","{'200': 0.2371878968387098, '400': 0.13608387922491796, '600': 0.10721327599577998, '800': 0.0934424432267227, '1000': 0.08321952843031978}","{'200': 0.10150978001013608, '400': 0.05765963284308795, '600': 0.05022445968377748, '800': 0.04771742849664063, '1000': 0.04049589406640383}",19.488888888888887,9.037261685125207
0.5,0.08,0.2,0.1,1e-08,0.3,7.456985003244703,3.70610089194132,"{'200': 0.0003254519966131128, '400': 0.0006287749929508029, '600': 0.0013581544857008672, '800': 0.0019718384078754383, '1000': 0.002717529931842388}","{'200': 0.000312941358029092, '400': 0.0005080743452125921, '600': 0.0017849726287597993, '800': 0.00256580235246757, '1000': 0.0036251376745652375}","{'200': 0.23642376213558927, '400': 0.1344878795014924, '600': 0.10547874593328826, '800': 0.09135961028463371, '1000': 0.08149322630702414}","{'200': 0.09989637463640628, '400': 0.053733826181083695, '600': 0.046712134641065495, '800': 0.043847790071318844, '1000': 0.037179742553366146}",20.2,10.598951730137173
0.5,0.08,0.2,0.1,1e-08,0.5,7.51312682792401,3.7357993080205167,"{'200': 0.00033992340071044286, '400': 0.0006433067425212313, '600': 0.0012868170908960468, '800': 0.001837191099921906, '1000': 0.0025045331032423814}","{'200': 0.00032799274557010624, '400': 0.0005375209350028482, '600': 0.0015773038491317653, '800': 0.0022588536448285654, '1000': 0.0031677597031588255}","{'200': 0.24560730734367506, '400': 0.14034187642448032, '600': 0.10988077591995711, '800': 0.0954696042529112, '1000': 0.08510650795185529}","{'200': 0.10424071907617993, '400': 0.05787477003764351, '600': 0.049391942801251504, '800': 0.047102511090031704, '1000': 0.03997679467071148}",19.444444444444443,10.307614349608103
0.5,0.08,0.2,0.1,1e-08,0.7,8.200998302086386,4.0539697674487885,"{'200': 0.00028487050664112456, '400': 0.0004929820139831473, '600': 0.0010122532570055968, '800': 0.0014142942494619153, '1000': 0.001917828652202266}","{'200': 0.00027621187685614976, '400': 0.00041814555785532305, '600': 0.0013435542621563045, '800': 0.0019348514498077245, '1000': 0.0027493307643672543}","{'200': 0.2516698298090449, '400': 0.14280016173034954, '600': 0.1114132773865763, '800': 0.09634239864126443, '1000': 0.08596211012152218}","{'200': 0.10827834700374879, '400': 0.057214191247174126, '600': 0.047796318044730515, '800': 0.044893713102993706, '1000': 0.038065198488833746}",16.622222222222224,9.517910342294186
0.5,0.08,0.2,0.1,1e-08,0.9,7.890372118658379,3.7717279609405603,"{'200': 0.000298021084952374, '400': 0.0005240161138333067, '600': 0.0010035471499260174, '800': 0.001419754779597149, '1000': 0.001905981673307001}","{'200': 0.0003196509953677311, '400': 0.0005728496414371363, '600': 0.0011940918687694591, '800': 0.0016877311145427206, '1000': 0.0023221157783522937}","{'200': 0.25113511177833026, '400': 0.14355466696040928, '600': 0.11265862210523457, '800': 0.09803269870709824, '1000': 0.08729497994700527}","{'200': 0.10932237332611648, '400': 0.06051390839669434, '600': 0.05146714969446124, '800': 0.04868665193856831, '1000': 0.04133613754053287}",17.288888888888888,10.442694888926415
0.5,0.08,0.2,0.3,1e-08,0.1,8.337707905521329,4.180601935332503,"{'200': 0.000355890797138005, '400': 0.0006284942798413393, '600': 0.001110779824762117, '800': 0.001545194256077458, '1000': 0.0021572513813140075}","{'200': 0.00026519379843567374, '400': 0.0003631352444720753, '600': 0.0010613948388736199, '800': 0.0015812454677379217, '1000': 0.0022743580934095216}","{'200': 0.111681363958724, '400': 0.0635035285926285, '600': 0.04959876419045057, '800': 0.042830843922687545, '1000': 0.03819581538821028}","{'200': 0.04881175896087905, '400': 0.02600040102950144, '600': 0.0218166485006859, '800': 0.020310919648631076, '1000': 0.017209452122807122}",16.4,9.476051685990086
0.5,0.08,0.2,0.3,1e-08,0.3,7.836691824234827,3.774132253424763,"{'200': 0.00034079322517336546, '400': 0.000616234440220779, '600': 0.001026318123361522, '800': 0.0013804167746506316, '1000': 0.0018892005710021652}","{'200': 0.0002447868567066914, '400': 0.00033741453484385954, '600': 0.0008567614915720446, '800': 0.0012760680190770444, '1000': 0.0018351682161280676}","{'200': 0.11132705645581784, '400': 0.06332547961620671, '600': 0.049414571366728686, '800': 0.042743348836705136, '1000': 0.03810216555969577}","{'200': 0.049544118692609294, '400': 0.02656064579461076, '600': 0.02207085709696786, '800': 0.020740674380801957, '1000': 0.017609840634377535}",17.0,9.182108206240608
0.5,0.08,0.2,0.3,1e-08,0.5,8.61541901129868,4.430304235394628,"{'200': 0.00037929015030325005, '400': 0.000694701264393998, '600': 0.0011081440491436264, '800': 0.0015014151858212786, '1000': 0.0020207032109161396}","{'200': 0.0003789648309082957, '400': 0.0007132088075091545, '600': 0.0011391959380547617, '800': 0.001596564114224183, '1000': 0.0020524636249803266}","{'200': 0.11446238152588013, '400': 0.06496488360358654, '600': 0.05064756118948328, '800': 0.04362891932969289, '1000': 0.038919625339751254}","{'200': 0.04993236934633728, '400': 0.026387748175524035, '600': 0.022006346345784692, '800': 0.020444208443814723, '1000': 0.017311596421250585}",16.822222222222223,8.623711211637852
0.5,0.08,0.2,0.3,1e-08,0.7,8.046868638379957,3.7328386949044186,"{'200': 0.00032443141951103124, '400': 0.0006223820948265231, '600': 0.0009681950284644095, '800': 0.0012668554541416526, '1000': 0.0017020781208365687}","{'200': 0.00024395314469345027, '400': 0.0003866968078339837, '600': 0.0008872751353944899, '800': 0.0012930249402244934, '1000': 0.0018299761361742087}","{'200': 0.11165630621054026, '400': 0.06346485745615592, '600': 0.04961423839278995, '800': 0.04297376901911152, '1000': 0.03828465334061177}","{'200': 0.05144985103235404, '400': 0.02734182208802276, '600': 0.022541432124794078, '800': 0.020901412754300207, '1000': 0.017807868529154194}",16.488888888888887,7.993392332899363
0.5,0.08,0.2,0.3,1e-08,0.9,8.107491710447945,3.926623219394057,"{'200': 0.00031689967560341435, '400': 0.0005907641125241708, '600': 0.0009542551903227693, '800': 0.0012450328185760343, '1000': 0.0016868618051169221}","{'200': 0.0002676295895826874, '400': 0.000488339387126248, '600': 0.0008737776705652802, '800': 0.0011850683762351, '1000': 0.0015222007072155327}","{'200': 0.11476705053834711, '400': 0.06524043979736319, '600': 0.050988343823360587, '800': 0.0441385356274748, '1000': 0.039371839366605745}","{'200': 0.04931520981533628, '400': 0.02631252130325159, '600': 0.022203346904876957, '800': 0.02083749530174934, '1000': 0.017674809676985183}",16.711111111111112,7.544305349724159
0.5,0.08,0.2,0.5,1e-08,0.1,7.41756896107244,3.58296554037055,"{'200': 0.0004258198208309868, '400': 0.0007488950523421384, '600': 0.0013099372376036006, '800': 0.00178670713480705, '1000': 0.0025380412408472996}","{'200': 0.0002775664110276839, '400': 0.00038815958087842236, '600': 0.0011297041541503572, '800': 0.0016715653246966826, '1000': 0.002384562825739974}","{'200': 0.055250244290987904, '400': 0.03168882463232384, '600': 0.02506321107191938, '800': 0.021743732621293622, '1000': 0.019344119479331085}","{'200': 0.02362967037537521, '400': 0.013537182398971222, '600': 0.01233460779998593, '800': 0.01161938444309954, '1000': 0.009851635721741647}",18.466666666666665,8.810599676904328
0.5,0.08,0.2,0.5,1e-08,0.3,7.780265976833702,3.636632794777816,"{'200': 0.000433661304904826, '400': 0.0007517765899806857, '600': 0.0010930818638735203, '800': 0.0015005434470437057, '1000': 0.002184039837804926}","{'200': 0.0002655974957619719, '400': 0.00042432598246079574, '600': 0.0006427902199225071, '800': 0.0009184041437304457, '1000': 0.0013115677693413125}","{'200': 0.06059535672819572, '400': 0.03447862602274477, '600': 0.02697010720431936, '800': 0.02331188332872966, '1000': 0.02077934530477639}","{'200': 0.027495550240968142, '400': 0.014779151852348533, '600': 0.012443391849467635, '800': 0.011620468106654744, '1000': 0.009895540988320673}",18.444444444444443,8.12829230542733
0.5,0.08,0.2,0.5,1e-08,0.5,7.891571325706055,3.8235675449421858,"{'200': 0.000427345252553914, '400': 0.000792142476699181, '600': 0.0011319114017156705, '800': 0.0014995772549903467, '1000': 0.0021287878950427405}","{'200': 0.00026597247303393126, '400': 0.0004221495115067105, '600': 0.0006095216381180102, '800': 0.0008646909287889772, '1000': 0.0012266235867708388}","{'200': 0.06263411339030557, '400': 0.03563846659595078, '600': 0.027872287382579856, '800': 0.02411008849512939, '1000': 0.021505895749816595}","{'200': 0.025924573628153064, '400': 0.013945981398066727, '600': 0.011912814947268742, '800': 0.01121275023815812, '1000': 0.009462610749783133}",16.57777777777778,7.481796839704838
