reservoir_size,frequency_mode,r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_dev
300,gold,0.3,0.01,0.1,0.5,1e-08,1.0,5.580809798117182,2.4458791144081737
300,gold,0.3,0.01,0.3,0.5,1e-08,1.0,8.067854761714269,4.443890848516766
300,gold,0.3,0.01,0.5,0.5,1e-08,1.0,9.013887110968875,4.149480354782025
300,gold,0.3,0.01,0.7,0.5,1e-08,1.0,10.210522175107341,4.624947983157951
300,gold,0.3,0.01,0.9,0.5,1e-08,1.0,9.77516267968104,4.72497032839227
300,gold,0.3,0.01,1.0,0.5,1e-08,1.0,9.493980185081472,4.649209213096182
300,gold,0.3,0.03,0.1,0.5,1e-08,1.0,6.401730138411071,3.7079758876550426
300,gold,0.3,0.03,0.3,0.5,1e-08,1.0,7.753914979865056,4.019515992760878
300,gold,0.3,0.03,0.5,0.5,1e-08,1.0,8.333416006613861,3.740892778421694
300,gold,0.3,0.03,0.7,0.5,1e-08,1.0,10.110404165666584,4.706627450705029
300,gold,0.3,0.03,0.9,0.5,1e-08,1.0,9.92768288129717,4.583648710039648
300,gold,0.3,0.03,1.0,0.5,1e-08,1.0,10.672485132143903,4.986569769454125
300,gold,0.3,0.05,0.1,0.5,1e-08,1.0,6.37242846094354,3.668759235536551
300,gold,0.3,0.05,0.3,0.5,1e-08,1.0,7.659761447582472,4.043450165754533
300,gold,0.3,0.05,0.5,0.5,1e-08,1.0,8.71031415846601,4.120393430889017
300,gold,0.3,0.05,0.7,0.5,1e-08,1.0,10.310166813345067,4.836391058143502
300,gold,0.3,0.05,0.9,0.5,1e-08,1.0,10.077031495853,4.718883584867284
300,gold,0.3,0.05,1.0,0.5,1e-08,1.0,9.269223537883029,4.552014720876792
300,gold,0.3,0.07,0.1,0.5,1e-08,1.0,6.776640131210496,3.951388175718195
300,gold,0.3,0.07,0.3,0.5,1e-08,1.0,6.782083900045335,3.220480672050178
300,gold,0.3,0.07,0.5,0.5,1e-08,1.0,9.628512280982477,4.5492059433320104
300,gold,0.3,0.07,0.7,0.5,1e-08,1.0,10.087303650958741,4.731370186637365
300,gold,0.3,0.07,0.9,0.5,1e-08,1.0,10.206072485798863,4.8443759534216
300,gold,0.3,0.07,1.0,0.5,1e-08,1.0,9.146383710696854,4.376133696154566
300,gold,0.3,0.09,0.1,0.5,1e-08,1.0,6.840639917860094,3.9688137114652133
300,gold,0.3,0.09,0.3,0.5,1e-08,1.0,7.368780169080192,3.7809193686879357
300,gold,0.3,0.09,0.5,0.5,1e-08,1.0,9.123661892951436,4.0967104287861495
300,gold,0.3,0.09,0.7,0.5,1e-08,1.0,9.58870176280769,4.611610106223918
300,gold,0.3,0.09,0.9,0.5,1e-08,1.0,9.883185988212388,4.8833885441848075
300,gold,0.3,0.09,1.0,0.5,1e-08,1.0,9.78349401285436,4.693498232504741
300,gold,0.3,0.1,0.1,0.5,1e-08,1.0,6.3562865029202325,2.9294900673348994
300,gold,0.3,0.1,0.3,0.5,1e-08,1.0,7.519643571485718,4.069807149545894
300,gold,0.3,0.1,0.5,0.5,1e-08,1.0,8.668988852441526,4.071892004482723
300,gold,0.3,0.1,0.7,0.5,1e-08,1.0,9.811943622156438,4.426287376371543
300,gold,0.3,0.1,0.9,0.5,1e-08,1.0,9.698949915993277,4.796357279530253
300,gold,0.3,0.1,1.0,0.5,1e-08,1.0,9.227188175054003,4.560575195683748
300,gold,0.5,0.01,0.1,0.5,1e-08,1.0,5.549756647198441,2.9899393459252654
300,gold,0.5,0.01,0.3,0.5,1e-08,1.0,7.841251966824012,4.242097911363908
300,gold,0.5,0.01,0.5,0.5,1e-08,1.0,9.366643331466516,4.4643891052468785
300,gold,0.5,0.01,0.7,0.5,1e-08,1.0,10.645455636450915,5.027150805775652
300,gold,0.5,0.01,0.9,0.5,1e-08,1.0,10.618284129397017,4.994684236517645
300,gold,0.5,0.01,1.0,0.5,1e-08,1.0,9.000396031682532,4.531081971585538
300,gold,0.5,0.03,0.1,0.5,1e-08,1.0,5.482395925007334,2.9695578374649108
300,gold,0.5,0.03,0.3,0.5,1e-08,1.0,7.605039736512253,4.050884888718028
300,gold,0.5,0.03,0.5,0.5,1e-08,1.0,10.226758807371255,4.871340506136556
300,gold,0.5,0.03,0.7,0.5,1e-08,1.0,10.300699389284473,4.796543215080154
300,gold,0.5,0.03,0.9,0.5,1e-08,1.0,9.585956209830119,4.652078637390912
300,gold,0.5,0.03,1.0,0.5,1e-08,1.0,9.079685708189988,4.43353760797044
300,gold,0.5,0.05,0.1,0.5,1e-08,1.0,4.998941915353228,1.965869424279552
300,gold,0.5,0.05,0.3,0.5,1e-08,1.0,6.911172227111501,3.252426531075885
300,gold,0.5,0.05,0.5,0.5,1e-08,1.0,9.378430274421952,4.505340091569862
300,gold,0.5,0.05,0.7,0.5,1e-08,1.0,10.590923273861907,4.803904563706883
300,gold,0.5,0.05,0.9,0.5,1e-08,1.0,10.287871029682373,4.7943892382879625
300,gold,0.5,0.05,1.0,0.5,1e-08,1.0,9.522997839827184,4.725852187813251
300,gold,0.5,0.07,0.1,0.5,1e-08,1.0,5.081971224364614,2.5554254633060047
300,gold,0.5,0.07,0.3,0.5,1e-08,1.0,7.188141718004105,3.5070871509601673
300,gold,0.5,0.07,0.5,0.5,1e-08,1.0,8.98098781235832,4.48693307345779
300,gold,0.5,0.07,0.7,0.5,1e-08,1.0,9.750168680161076,4.755989731107369
300,gold,0.5,0.07,0.9,0.5,1e-08,1.0,10.635041469984264,5.015650423954113
300,gold,0.5,0.07,1.0,0.5,1e-08,1.0,9.341033949382616,4.823936429231451
300,gold,0.5,0.09,0.1,0.5,1e-08,1.0,5.5232478598287855,3.0641737768969586
300,gold,0.5,0.09,0.3,0.5,1e-08,1.0,7.9092754086993615,3.852905514690241
300,gold,0.5,0.09,0.5,0.5,1e-08,1.0,9.480110408832706,4.405291629950165
300,gold,0.5,0.09,0.7,0.5,1e-08,1.0,10.14922060431501,4.938751466701082
300,gold,0.5,0.09,0.9,0.5,1e-08,1.0,10.43622556471184,4.957255808063598
300,gold,0.5,0.09,1.0,0.5,1e-08,1.0,9.939611835613514,4.865367726812443
300,gold,0.5,0.1,0.1,0.5,1e-08,1.0,4.9120782995973,2.4365026200862507
300,gold,0.5,0.1,0.3,0.5,1e-08,1.0,7.562862362322319,3.6618341338912335
300,gold,0.5,0.1,0.5,0.5,1e-08,1.0,9.090620582979971,4.458191287457441
300,gold,0.5,0.1,0.7,0.5,1e-08,1.0,10.678686294903592,4.953406395652528
300,gold,0.5,0.1,0.9,0.5,1e-08,1.0,10.206451182761286,4.9064448249087915
300,gold,0.5,0.1,1.0,0.5,1e-08,1.0,9.50851268101448,4.674952005186398
300,gold,0.7,0.01,0.1,0.5,1e-08,1.0,4.625830733125317,3.2664071059279123
300,gold,0.7,0.01,0.3,0.5,1e-08,1.0,8.543356135157477,4.458165248588941
300,gold,0.7,0.01,0.5,0.5,1e-08,1.0,10.162474997999839,4.931111212171863
300,gold,0.7,0.01,0.7,0.5,1e-08,1.0,9.832109235405499,4.9255496563709205
300,gold,0.7,0.01,0.9,0.5,1e-08,1.0,10.146096354375015,4.944519996200651
300,gold,0.7,0.01,1.0,0.5,1e-08,1.0,9.560488839107128,4.613281458330256
300,gold,0.7,0.03,0.1,0.5,1e-08,1.0,4.08490945942342,2.5844691941918607
300,gold,0.7,0.03,0.3,0.5,1e-08,1.0,8.009535429501026,3.5914750278309526
300,gold,0.7,0.03,0.5,0.5,1e-08,1.0,9.994428220924338,4.775813010242683
300,gold,0.7,0.03,0.7,0.5,1e-08,1.0,10.159540096541054,4.939657556544007
300,gold,0.7,0.03,0.9,0.5,1e-08,1.0,10.048155852468197,4.740157059394284
300,gold,0.7,0.03,1.0,0.5,1e-08,1.0,9.70103274928661,4.783423109518896
300,gold,0.7,0.05,0.1,0.5,1e-08,1.0,4.23856575192682,2.6013137876482038
300,gold,0.7,0.05,0.3,0.5,1e-08,1.0,7.372993172787155,3.4797192467257947
300,gold,0.7,0.05,0.5,0.5,1e-08,1.0,9.771044350214682,4.742868248406406
300,gold,0.7,0.05,0.7,0.5,1e-08,1.0,10.61766874683308,5.013039318413254
300,gold,0.7,0.05,0.9,0.5,1e-08,1.0,9.580275755393764,4.6180617185209965
300,gold,0.7,0.05,1.0,0.5,1e-08,1.0,9.533506680534442,4.6584688342912575
300,gold,0.7,0.07,0.1,0.5,1e-08,1.0,3.902472197775822,1.7504501459293422
300,gold,0.7,0.07,0.3,0.5,1e-08,1.0,8.186339573832571,4.1328934992854505
300,gold,0.7,0.07,0.5,0.5,1e-08,1.0,10.501124756647197,4.866525753852805
300,gold,0.7,0.07,0.7,0.5,1e-08,1.0,10.36924353948316,4.9854878462869845
300,gold,0.7,0.07,0.9,0.5,1e-08,1.0,10.03603754967064,4.77807368099277
300,gold,0.7,0.07,1.0,0.5,1e-08,1.0,10.02003760300824,4.805101094415409
300,gold,0.7,0.09,0.1,0.5,1e-08,1.0,3.6970764327812877,1.6871010832925641
300,gold,0.7,0.09,0.3,0.5,1e-08,1.0,7.997038429741044,3.9093093839645303
300,gold,0.7,0.09,0.5,0.5,1e-08,1.0,10.044984265407898,4.7743666256536885
300,gold,0.7,0.09,0.7,0.5,1e-08,1.0,9.968487478998318,4.8276008667940475
300,gold,0.7,0.09,0.9,0.5,1e-08,1.0,10.14855788463077,4.965647139442201
300,gold,0.7,0.09,1.0,0.5,1e-08,1.0,10.074096594394215,4.730712923127436
300,gold,0.7,0.1,0.1,0.5,1e-08,1.0,3.8473244526228765,1.7174935277451442
300,gold,0.7,0.1,0.3,0.5,1e-08,1.0,7.675998079846385,3.423983841043578
300,gold,0.7,0.1,0.5,0.5,1e-08,1.0,9.799730645118274,4.701247331951458
