cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[25, 30, 45, 95, 105]",0.92,0.2,0.7,1.00E-07,10.951,1.55168908
"[10, 20, 30, 60, 180]",0.92,0.4,0.3,1.00E-07,10.944,1.870845798
"[10, 20, 30, 60, 180]",0.92,0.4,0.4,1.00E-07,10.94,1.077478538
"[25, 50, 65, 70, 90]",0.92,0.4,0.4,1.00E-07,10.873,1.088490239
"[10, 20, 30, 60, 180]",0.94,0.4,0.4,1.00E-07,10.808,1.062890399
"[25, 45, 55, 65, 110]",0.94,0.2,0.6,1.00E-07,10.792,1.825129037
"[25, 50, 65, 70, 90]",0.92,0.2,0.7,1.00E-07,10.76,1.376619047
"[25, 50, 65, 70, 90]",0.92,0.4,0.5,1.00E-07,10.757,1.36814144
"[10, 20, 30, 60, 180]",0.92,0.2,0.7,1.00E-07,10.754,1.34479887
"[25, 45, 55, 65, 110]",0.96,0.4,0.6,1.00E-07,10.753,1.938559001
"[25, 45, 55, 65, 110]",0.92,0.2,0.7,1.00E-07,10.732,1.100061816
"[25, 50, 65, 70, 90]",0.94,0.4,0.4,1.00E-07,10.711,1.897129147
"[10, 20, 25, 55, 190]",0.94,0.4,0.7,1.00E-07,10.698,2.043300272
"[25, 50, 65, 70, 90]",0.95,0.2,0.7,1.00E-07,10.665,1.836604203
"[25, 45, 55, 65, 110]",0.92,0.4,0.5,1.00E-07,10.658,1.613553842
"[25, 30, 45, 95, 105]",0.92,0.2,0.6,1.00E-07,10.634,2.077220258
"[25, 50, 65, 70, 90]",0.95,0.4,0.4,1.00E-07,10.633,1.516328131
"[25, 45, 55, 65, 110]",0.95,0.2,0.6,1.00E-07,10.618,1.478240846
"[25, 45, 55, 65, 110]",0.92,0.6,0.3,1.00E-07,10.601,1.713679958
"[10, 20, 25, 55, 190]",0.92,0.4,0.6,1.00E-07,10.598,1.264751359
"[25, 45, 55, 65, 110]",0.92,0.2,0.6,1.00E-07,10.596,1.335958083
"[25, 45, 55, 65, 110]",0.96,0.2,0.6,1.00E-07,10.596,1.621118133
"[25, 45, 55, 65, 110]",0.94,0.2,0.7,1.00E-07,10.582,1.478646679
"[25, 50, 65, 70, 90]",0.96,0.2,0.5,1.00E-07,10.578,1.264419234
"[10, 20, 30, 60, 180]",0.94,0.4,0.5,1.00E-07,10.554,1.444743576
"[10, 20, 25, 55, 190]",0.92,0.4,0.4,1.00E-07,10.545,1.095132412
"[25, 30, 45, 95, 105]",0.94,0.2,0.6,1.00E-07,10.545,1.490877259
"[10, 20, 30, 60, 180]",0.92,0.4,0.5,1.00E-07,10.528,1.488481105
