cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.3,1e-06,6.805000000000005,2.0168577044501674
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.3,1e-07,8.781000000000004,0.9594889264603341
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.4,1e-06,8.511999999999999,1.4957325964222334
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.4,1e-07,9.556000000000004,1.5005279071046933
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.5,1e-06,8.523000000000005,1.898307403978609
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.5,1e-07,9.597000000000001,1.3855147058043082
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.6,1e-06,7.307000000000005,1.8035551003504187
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.6,1e-07,9.341000000000005,1.4467546440222687
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.7,1e-06,7.805000000000004,1.722845030755814
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.1,0.7,1e-07,9.440000000000007,1.5724884737256428
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.3,1e-06,8.216000000000003,1.9135474909183734
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.3,1e-07,9.360000000000003,1.0378439189011013
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.4,1e-06,8.949000000000005,1.6165825064004626
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.4,1e-07,10.151000000000003,1.48269315773696
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.5,1e-06,9.186000000000003,1.1587424217659403
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.5,1e-07,10.196000000000007,1.1982754274372802
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.6,1e-06,9.218000000000002,1.9070070791688252
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.6,1e-07,10.177000000000003,1.2550422303651783
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.7,1e-06,9.741000000000003,1.1882840569493456
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.2,0.7,1e-07,10.196000000000002,1.1824821351716035
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.3,1e-06,9.064000000000004,1.0929153672631744
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.3,1e-07,10.038000000000002,1.234615729690823
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.4,1e-06,9.347000000000007,1.3525572076625856
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.4,1e-07,10.546000000000005,1.6023120794651688
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.5,1e-06,9.469000000000003,0.759275312386754
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.5,1e-07,10.482000000000005,0.947943036263259
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.6,1e-06,9.525000000000004,1.1361844040471623
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.6,1e-07,10.153,1.802112926539284
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.7,1e-06,8.521000000000004,1.8773222951853514
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.4,0.7,1e-07,9.790000000000003,1.6007935532104063
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.3,1e-06,9.284000000000002,1.2157730051288345
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.3,1e-07,10.103000000000005,2.097791934391973
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.4,1e-06,7.589000000000003,2.365506076931534
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.4,1e-07,8.527000000000005,2.4977211613789128
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.5,1e-06,5.307000000000005,1.824568716162811
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.5,1e-07,5.843000000000006,2.649575626397555
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.6,1e-06,3.847000000000007,2.2096087889035934
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.6,1e-07,4.513000000000008,2.583341053751903
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.7,1e-06,3.1209999999999996,2.0899040647838363
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.6,0.7,1e-07,3.5740000000000025,2.5475643269601647
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.3,1e-06,6.329000000000003,2.601364834082294
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.3,1e-07,6.8860000000000054,2.7474286159971517
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.4,1e-06,3.776000000000006,1.5963408157407974
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.4,1e-07,3.7330000000000028,1.6855654837472172
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.5,1e-06,2.198000000000005,0.970709019222545
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.5,1e-07,2.0270000000000055,0.8233170713643703
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.6,1e-06,1.4920000000000044,0.6960862015583991
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.6,1e-07,1.8150000000000035,0.949649935502547
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.7,1e-06,1.1610000000000043,0.5987812622318744
"[5, 15, 20, 25, 30, 35, 75, 95]",0.92,0.8,0.7,1e-07,1.3460000000000023,0.7983006952270545
"[5, 15, 20, 25, 30, 35, 75, 95]",0.94,0.1,0.3,1e-06,7.478000000000003,2.7437703985574275
"[5, 15, 20, 25, 30, 35, 75, 95]",0.94,0.1,0.3,1e-07,7.624000000000005,2.3299407717794045
"[5, 15, 20, 25, 30, 35, 75, 95]",0.94,0.1,0.4,1e-06,7.549000000000004,1.7162689183225324
