cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.3,1e-06,6.790000000000006,1.8387985207738218
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.3,1e-07,8.438000000000002,1.8618152432505248
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.4,1e-06,7.5740000000000025,2.193318034394464
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.4,1e-07,9.165000000000004,1.1363252175323753
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.5,1e-06,7.174000000000005,1.8954587835139036
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.5,1e-07,9.107000000000005,1.5147313293122295
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.6,1e-06,7.427000000000005,1.5545195399222218
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.6,1e-07,9.181000000000004,1.3325535636513814
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.7,1e-06,9.106000000000002,1.6873067296730646
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.1,0.7,1e-07,9.901000000000003,1.462073527562824
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.3,1e-06,9.377000000000006,1.8959564868424592
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.3,1e-07,9.578000000000003,0.8748691330707686
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.4,1e-06,9.099000000000004,1.8955260483570273
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.4,1e-07,10.498000000000006,0.9996979543842247
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.5,1e-06,9.452000000000004,1.3902143719585143
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.5,1e-07,10.130000000000003,1.446920868603393
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.6,1e-06,9.451000000000006,1.0802124790984395
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.6,1e-07,10.019000000000004,0.9081514190926501
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.7,1e-06,9.948000000000002,1.6960235847416785
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.2,0.7,1e-07,10.306000000000008,1.298261915023313
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.3,1e-06,9.940000000000005,1.2362038666821944
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.3,1e-07,11.070000000000004,1.4573057331939645
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.4,1e-06,9.456000000000003,1.3292494122624277
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.4,1e-07,10.535000000000005,1.0903004173162534
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.5,1e-06,9.643,1.0400822082893288
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.5,1e-07,10.728000000000007,1.3263996381181657
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.6,1e-06,9.332000000000004,1.7575255332426898
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.6,1e-07,9.949000000000005,1.5430939699188762
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.7,1e-06,8.998000000000005,1.808799601945997
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.4,0.7,1e-07,9.571000000000002,1.5498448309427626
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.3,1e-06,8.486,1.4560508232888023
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.3,1e-07,9.536000000000003,1.6799952380884895
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.4,1e-06,7.5310000000000015,1.9603925627281873
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.4,1e-07,7.101000000000004,2.178921522221488
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.5,1e-06,4.628000000000005,1.3970740853655552
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.5,1e-07,5.6560000000000015,3.1584147922652597
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.6,1e-06,3.6460000000000066,1.2959182072955056
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.6,1e-07,4.2710000000000035,2.1340241329469536
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.7,1e-06,3.1120000000000063,1.3978039919817111
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.6,0.7,1e-07,3.102000000000005,1.6242155029428837
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.3,1e-06,6.392000000000006,2.3067067433898014
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.3,1e-07,7.566000000000005,2.84874779508471
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.4,1e-06,3.760000000000004,1.4373586887064778
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.4,1e-07,4.0370000000000035,1.9834543100359001
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.5,1e-06,2.3050000000000055,1.1195155202139895
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.5,1e-07,2.9160000000000066,1.737211558791847
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.6,1e-06,1.7390000000000014,1.0785448530311552
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.6,1e-07,2.0710000000000095,1.34777557478981
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.7,1e-06,1.3470000000000013,1.0293157921648761
"[5, 15, 25, 30, 35, 40, 45, 105]",0.92,0.8,0.7,1e-07,1.6110000000000042,1.0366190235568717
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.3,1e-06,5.924000000000002,1.0141715831159923
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.3,1e-07,8.325000000000003,2.063985222815319
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.4,1e-06,7.408000000000003,1.763172141340709
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.4,1e-07,8.585000000000004,1.986815290861233
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.5,1e-06,7.712000000000005,2.3780277542535098
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.5,1e-07,8.820000000000004,1.0308443141425405
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.6,1e-06,6.992000000000004,2.158688490727645
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.6,1e-07,9.162000000000004,1.5714566490998065
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.7,1e-06,7.589000000000003,1.5406813427831216
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.1,0.7,1e-07,9.772000000000007,1.1317490888001642
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.3,1e-06,8.539000000000005,1.5572986226154588
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.3,1e-07,8.902000000000005,0.7767084395060997
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.4,1e-06,8.791000000000002,1.6231139824423906
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.4,1e-07,9.628000000000004,0.7897695866517043
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.5,1e-06,9.194000000000004,1.5185269177726155
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.5,1e-07,10.338000000000005,1.3723104605008278
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.6,1e-06,9.174000000000003,1.479068625858852
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.6,1e-07,9.876000000000005,0.9322789282183723
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.7,1e-06,9.755000000000006,1.3544426898174786
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.2,0.7,1e-07,10.073000000000004,1.0584946858629012
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.3,1e-06,9.642000000000001,1.109142010745243
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.3,1e-07,10.439000000000004,1.1950142258567513
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.4,1e-06,9.502000000000002,0.9767886158222767
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.4,1e-07,10.424000000000007,1.0734914997334606
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.5,1e-06,9.617000000000006,1.1235706475340104
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.5,1e-07,10.570000000000006,1.1264013494310094
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.6,1e-06,9.223000000000004,1.7375761853800846
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.6,1e-07,10.169000000000006,1.7349175772929408
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.7,1e-06,9.251000000000003,1.9031287397336012
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.4,0.7,1e-07,10.091000000000005,1.9392418621719185
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.3,1e-06,8.714000000000006,1.6734527181847705
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.3,1e-07,9.601000000000003,1.8369373968646823
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.4,1e-06,7.7950000000000035,1.8291842444106063
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.4,1e-07,6.9120000000000035,2.0309643029851614
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.5,1e-06,4.8000000000000025,1.8108782399708718
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.5,1e-07,4.917000000000004,2.345065244294924
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.6,1e-06,3.460000000000002,1.3854818656337589
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.6,1e-07,4.346000000000006,2.4165107076112893
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.7,1e-06,2.976000000000005,1.415988700519887
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.6,0.7,1e-07,3.295000000000003,2.0433391788932176
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.3,1e-06,6.320000000000007,2.3251752622114332
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.3,1e-07,7.189000000000005,2.2981251053848255
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.4,1e-06,3.5910000000000037,1.4685840118971776
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.4,1e-07,3.917000000000003,1.5900097483977897
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.5,1e-06,2.6050000000000026,1.729032966718681
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.5,1e-07,2.666000000000004,1.2234884551968608
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.6,1e-06,1.7620000000000062,1.12928118730456
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.6,1e-07,2.2740000000000022,1.6151916294978739
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.7,1e-06,1.430000000000004,1.051579763974186
"[5, 15, 25, 30, 35, 40, 45, 105]",0.94,0.8,0.7,1e-07,1.5740000000000023,1.0308462542978907
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.3,1e-06,6.083000000000004,1.4672460598004702
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.3,1e-07,7.087000000000003,1.8533458932428146
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.4,1e-06,7.712000000000003,2.620896029986691
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.4,1e-07,7.910000000000002,2.1911412551453653
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.5,1e-06,7.498000000000006,1.7073945062579947
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.5,1e-07,8.334000000000007,1.5229589620209745
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.6,1e-06,7.2510000000000066,2.2042366025451963
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.6,1e-07,8.884000000000004,1.1629376595501575
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.7,1e-06,7.359000000000002,1.9035910800379394
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.1,0.7,1e-07,9.586000000000007,1.0253799295870785
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.3,1e-06,7.892000000000001,1.6687288575439672
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.3,1e-07,8.809000000000003,1.2414423063517728
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.4,1e-06,8.808000000000002,1.8333292121165778
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.4,1e-07,9.605000000000008,1.260489984093487
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.5,1e-06,9.155000000000003,1.4020966443152225
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.5,1e-07,9.954000000000004,0.9046789485778874
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.6,1e-06,8.755000000000004,1.3295393939255795
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.6,1e-07,10.083000000000004,1.6349223223138147
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.7,1e-06,9.089000000000008,0.5339091683048719
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.7,1e-07,9.853,0.959255440432841
