spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.01,0.1,1e-07,0.1,41.85045914784294,7.814770936429122
0.92,0.01,0.1,1e-07,0.3,42.009138508858484,7.639422721911282
0.92,0.01,0.1,1e-07,0.5,41.92957658834929,7.719496951334162
0.92,0.01,0.1,1e-07,0.7,41.817567627632435,7.8545962223384205
0.92,0.01,0.1,1e-07,0.9,41.74822874718866,7.936754513335205
0.92,0.01,0.2,1e-07,0.1,42.994106195162274,6.509538917438465
0.92,0.01,0.2,1e-07,0.3,42.93899067480954,6.56077673926688
0.92,0.01,0.2,1e-07,0.5,42.797201553902084,6.725434164088384
0.92,0.01,0.2,1e-07,0.7,42.46961979180556,7.096743638879578
0.92,0.01,0.2,1e-07,0.9,42.374945551199644,7.201930951566757
0.92,0.01,0.3,1e-07,0.1,43.619045079161886,5.846069091924231
0.92,0.01,0.3,1e-07,0.3,43.32391035727303,6.153984536124979
0.92,0.01,0.3,1e-07,0.5,43.021219475335805,6.467437283113797
0.92,0.01,0.3,1e-07,0.7,42.918544594678686,6.582367136486469
0.92,0.01,0.3,1e-07,0.9,42.679858833151094,6.851237976887618
0.92,0.01,0.4,1e-07,0.1,43.73283195989012,5.73569977894662
0.92,0.01,0.4,1e-07,0.3,43.36791387755465,6.112565050235438
0.92,0.01,0.4,1e-07,0.5,43.09011387577672,6.400760667135961
0.92,0.01,0.4,1e-07,0.7,42.94965819487781,6.549971909647123
0.92,0.01,0.4,1e-07,0.9,42.83853819416664,6.6737495573427115
0.92,0.01,0.5,1e-07,0.1,43.70482971971091,5.760925978757108
0.92,0.01,0.5,1e-07,0.3,43.277684436977175,6.2144236237509265
0.92,0.01,0.5,1e-07,0.5,43.04877723551218,6.440940934085383
0.92,0.01,0.5,1e-07,0.7,42.93587931478962,6.565120197733874
0.92,0.01,0.5,1e-07,0.9,42.79586811389356,6.723668498771046
0.92,0.01,0.6,1e-07,0.1,43.66349307944635,5.797974414820544
0.92,0.01,0.6,1e-07,0.3,43.190121876416775,6.303059634804612
0.92,0.01,0.6,1e-07,0.5,42.976326995048495,6.517727575660751
