cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 10, 10, 10, 260]",0.95,0.2,0.1,1e-08,5.350000000000004,1.095801076838309
"[10, 10, 10, 20, 250]",0.95,0.2,0.1,1e-08,5.132000000000002,1.1974038583535638
"[10, 10, 10, 30, 240]",0.95,0.2,0.1,1e-08,5.131000000000005,0.49073312502825583
"[10, 10, 10, 40, 230]",0.95,0.2,0.1,1e-08,5.261000000000003,1.0762987503476926
"[10, 10, 10, 50, 220]",0.95,0.2,0.1,1e-08,5.274000000000005,1.3625285318113525
"[10, 10, 10, 60, 210]",0.95,0.2,0.1,1e-08,5.287000000000001,1.6369883933614202
"[10, 10, 10, 70, 200]",0.95,0.2,0.1,1e-08,5.376000000000005,1.338799462204853
"[10, 10, 10, 80, 190]",0.95,0.2,0.1,1e-08,4.757000000000003,0.9698303975438178
"[10, 10, 10, 90, 180]",0.95,0.2,0.1,1e-08,5.103000000000003,0.5785939854509392
"[10, 10, 10, 100, 170]",0.95,0.2,0.1,1e-08,5.291000000000002,1.7188423429738968
"[10, 10, 10, 110, 160]",0.95,0.2,0.1,1e-08,4.9350000000000005,0.6659692185078869
"[10, 10, 10, 120, 150]",0.95,0.2,0.1,1e-08,5.611000000000004,1.5194008687637397
"[10, 10, 10, 130, 140]",0.95,0.2,0.1,1e-08,5.2180000000000035,0.4664289870923531
"[10, 10, 20, 20, 240]",0.95,0.2,0.1,1e-08,5.682000000000004,1.6600228914084307
"[10, 10, 20, 30, 230]",0.95,0.2,0.1,1e-08,5.818000000000005,1.7153646842581314
"[10, 10, 20, 40, 220]",0.95,0.2,0.1,1e-08,5.126000000000003,0.7526247404915715
"[10, 10, 20, 50, 210]",0.95,0.2,0.1,1e-08,5.487000000000002,1.20157022266699
"[10, 10, 20, 60, 200]",0.95,0.2,0.1,1e-08,5.644000000000003,1.8942608056970398
"[10, 10, 20, 70, 190]",0.95,0.2,0.1,1e-08,5.142000000000006,0.5620996352960912
"[10, 10, 20, 80, 180]",0.95,0.2,0.1,1e-08,5.395000000000003,0.9740405535705404
"[10, 10, 20, 90, 170]",0.95,0.2,0.1,1e-08,5.134000000000006,0.5038293361843892
"[10, 10, 20, 100, 160]",0.95,0.2,0.1,1e-08,5.424000000000004,1.4005084790889368
"[10, 10, 20, 110, 150]",0.95,0.2,0.1,1e-08,5.337000000000001,1.3809891382628618
"[10, 10, 20, 120, 140]",0.95,0.2,0.1,1e-08,5.453000000000006,0.8423366310448603
"[10, 10, 20, 130, 130]",0.95,0.2,0.1,1e-08,5.473000000000009,0.732646572366242
"[10, 10, 30, 30, 220]",0.95,0.2,0.1,1e-08,5.897000000000006,2.024522412817406
"[10, 10, 30, 40, 210]",0.95,0.2,0.1,1e-08,5.191000000000004,0.42612087487003103
"[10, 10, 30, 50, 200]",0.95,0.2,0.1,1e-08,5.204000000000003,0.895781223290595
"[10, 10, 30, 60, 190]",0.95,0.2,0.1,1e-08,5.3960000000000035,0.9490964123839084
"[10, 10, 30, 70, 180]",0.95,0.2,0.1,1e-08,5.198000000000003,0.9138030422361272
"[10, 10, 30, 80, 170]",0.95,0.2,0.1,1e-08,5.215000000000003,1.0502356878339267
"[10, 10, 30, 90, 160]",0.95,0.2,0.1,1e-08,5.486,1.0313117860278715
"[10, 10, 30, 100, 150]",0.95,0.2,0.1,1e-08,5.156000000000004,0.7257713138447973
"[10, 10, 30, 110, 140]",0.95,0.2,0.1,1e-08,4.963000000000003,0.6539197198433468
"[10, 10, 30, 120, 130]",0.95,0.2,0.1,1e-08,5.638000000000005,1.5063585230614913
"[10, 10, 40, 40, 200]",0.95,0.2,0.1,1e-08,5.447000000000001,1.201337171654986
"[10, 10, 40, 50, 190]",0.95,0.2,0.1,1e-08,5.5190000000000055,1.2117668917741546
"[10, 10, 40, 60, 180]",0.95,0.2,0.1,1e-08,6.0930000000000035,1.9710634185636942
"[10, 10, 40, 70, 170]",0.95,0.2,0.1,1e-08,5.183000000000004,1.3835935096696572
"[10, 10, 40, 80, 160]",0.95,0.2,0.1,1e-08,5.477000000000002,1.212621540300187
"[10, 10, 40, 90, 150]",0.95,0.2,0.1,1e-08,5.233000000000004,1.1803097051198035
"[10, 10, 40, 100, 140]",0.95,0.2,0.1,1e-08,5.109000000000004,0.5354054538384916
"[10, 10, 40, 110, 130]",0.95,0.2,0.1,1e-08,5.475000000000004,2.3009204679866686
"[10, 10, 40, 120, 120]",0.95,0.2,0.1,1e-08,5.370000000000006,0.7876420506803855
"[10, 10, 50, 50, 180]",0.95,0.2,0.1,1e-08,5.135000000000003,0.4937965167961395
"[10, 10, 50, 60, 170]",0.95,0.2,0.1,1e-08,5.182000000000004,0.4932707167468989
"[10, 10, 50, 70, 160]",0.95,0.2,0.1,1e-08,5.525000000000004,0.6286771826621366
"[10, 10, 50, 80, 150]",0.95,0.2,0.1,1e-08,5.233000000000002,0.28776900458527555
"[10, 10, 50, 90, 140]",0.95,0.2,0.1,1e-08,5.422000000000004,0.7699324645707556
"[10, 10, 50, 100, 130]",0.95,0.2,0.1,1e-08,5.249000000000002,0.37037683512876357
"[10, 10, 50, 110, 120]",0.95,0.2,0.1,1e-08,6.033000000000003,1.925702728875875
"[10, 10, 60, 60, 160]",0.95,0.2,0.1,1e-08,5.327000000000005,0.18955474143370957
"[10, 10, 60, 70, 150]",0.95,0.2,0.1,1e-08,5.475000000000001,0.8750285709621147
"[10, 10, 60, 80, 140]",0.95,0.2,0.1,1e-08,5.334000000000005,0.9622286630526026
"[10, 10, 60, 90, 130]",0.95,0.2,0.1,1e-08,4.765000000000002,0.8420184083498392
"[10, 10, 60, 100, 120]",0.95,0.2,0.1,1e-08,5.297000000000006,0.8866402878281546
"[10, 10, 60, 110, 110]",0.95,0.2,0.1,1e-08,5.791000000000006,1.6890526930797625
"[10, 10, 70, 70, 140]",0.95,0.2,0.1,1e-08,5.364000000000004,0.7899012596521138
"[10, 10, 70, 80, 130]",0.95,0.2,0.1,1e-08,5.6270000000000024,1.0772051800840883
"[10, 10, 70, 90, 120]",0.95,0.2,0.1,1e-08,5.428000000000004,0.7715283533351203
"[10, 10, 70, 100, 110]",0.95,0.2,0.1,1e-08,5.598000000000003,0.9166220595207151
"[10, 10, 80, 80, 120]",0.95,0.2,0.1,1e-08,5.783000000000006,1.9584818099742458
"[10, 10, 80, 90, 110]",0.95,0.2,0.1,1e-08,5.277000000000004,0.9048154507964634
"[10, 10, 80, 100, 100]",0.95,0.2,0.1,1e-08,5.458000000000007,0.998797276728368
"[10, 10, 90, 90, 100]",0.95,0.2,0.1,1e-08,5.677000000000001,1.690943819291462
"[10, 20, 20, 20, 230]",0.95,0.2,0.1,1e-08,5.298000000000006,1.019978431144502
"[10, 20, 20, 30, 220]",0.95,0.2,0.1,1e-08,4.994000000000004,0.6662161811304197
"[10, 20, 20, 40, 210]",0.95,0.2,0.1,1e-08,5.3450000000000015,1.127650211723475
"[10, 20, 20, 50, 200]",0.95,0.2,0.1,1e-08,5.4430000000000005,1.3205949416834826
"[10, 20, 20, 60, 190]",0.95,0.2,0.1,1e-08,5.503000000000002,0.8243609646265417
"[10, 20, 20, 70, 180]",0.95,0.2,0.1,1e-08,5.427000000000005,0.9540917146689828
"[10, 20, 20, 80, 170]",0.95,0.2,0.1,1e-08,5.434000000000002,0.7081553501880773
"[10, 20, 20, 90, 160]",0.95,0.2,0.1,1e-08,5.3640000000000025,0.8461111038155699
"[10, 20, 20, 100, 150]",0.95,0.2,0.1,1e-08,5.464000000000003,0.8915290236442085
"[10, 20, 20, 110, 140]",0.95,0.2,0.1,1e-08,5.588000000000004,0.9740308003343608
"[10, 20, 20, 120, 130]",0.95,0.2,0.1,1e-08,5.504000000000002,1.17201706472218
"[10, 20, 30, 30, 210]",0.95,0.2,0.1,1e-08,5.191000000000005,0.6727399200285371
"[10, 20, 30, 40, 200]",0.95,0.2,0.1,1e-08,5.367000000000004,0.7880171317934639
"[10, 20, 30, 50, 190]",0.95,0.2,0.1,1e-08,5.634000000000006,1.0375952968281978
"[10, 20, 30, 60, 180]",0.95,0.2,0.1,1e-08,5.398000000000005,0.94828054920472
"[10, 20, 30, 70, 170]",0.95,0.2,0.1,1e-08,5.424000000000001,1.2768649106307204
"[10, 20, 30, 80, 160]",0.95,0.2,0.1,1e-08,5.594000000000004,1.311107928433046
"[10, 20, 30, 90, 150]",0.95,0.2,0.1,1e-08,5.975000000000004,1.4873852896946376
"[10, 20, 30, 100, 140]",0.95,0.2,0.1,1e-08,5.382000000000002,0.8290211095020407
"[10, 20, 30, 110, 130]",0.95,0.2,0.1,1e-08,5.526000000000003,0.8211966877673074
"[10, 20, 30, 120, 120]",0.95,0.2,0.1,1e-08,5.607000000000002,1.5284014524986569
"[10, 20, 40, 40, 190]",0.95,0.2,0.1,1e-08,5.518000000000006,1.0155372962131923
"[10, 20, 40, 50, 180]",0.95,0.2,0.1,1e-08,5.661000000000003,1.2395075635106085
"[10, 20, 40, 60, 170]",0.95,0.2,0.1,1e-08,5.302000000000005,0.34228058665369654
"[10, 20, 40, 70, 160]",0.95,0.2,0.1,1e-08,5.815000000000003,1.312369993561271
"[10, 20, 40, 80, 150]",0.95,0.2,0.1,1e-08,5.663000000000004,1.3615179029304032
"[10, 20, 40, 90, 140]",0.95,0.2,0.1,1e-08,5.830000000000008,1.5625683985029248
"[10, 20, 40, 100, 130]",0.95,0.2,0.1,1e-08,5.371000000000005,0.9374747996613052
"[10, 20, 40, 110, 120]",0.95,0.2,0.1,1e-08,5.521000000000008,0.682157606422443
"[10, 20, 50, 50, 170]",0.95,0.2,0.1,1e-08,6.018000000000003,1.643689751747573
"[10, 20, 50, 60, 160]",0.95,0.2,0.1,1e-08,5.289000000000004,1.0394705383030352
"[10, 20, 50, 70, 150]",0.95,0.2,0.1,1e-08,5.1790000000000065,0.4718675661666079
"[10, 20, 50, 80, 140]",0.95,0.2,0.1,1e-08,5.294000000000004,0.32973322550207207
"[10, 20, 50, 90, 130]",0.95,0.2,0.1,1e-08,5.504000000000003,1.0357142463054188
"[10, 20, 50, 100, 120]",0.95,0.2,0.1,1e-08,5.963000000000003,1.8368045622765652
"[10, 20, 50, 110, 110]",0.95,0.2,0.1,1e-08,5.543000000000002,0.6304688731412492
"[10, 20, 60, 60, 150]",0.95,0.2,0.1,1e-08,5.936000000000004,1.996032063870721
"[10, 20, 60, 70, 140]",0.95,0.2,0.1,1e-08,5.446000000000005,0.7387584178877437
