cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 25, 30, 40, 50, 145]",0.95,0.2,0.1,1.00E-08,6.723,2.632217886
"[25, 30, 45, 50, 55, 95]",0.95,0.2,0.1,1.00E-08,6.713,2.381161691
"[15, 20, 45, 60, 65, 95]",0.95,0.2,0.1,1.00E-08,6.639,2.07024129
"[15, 35, 40, 50, 65, 95]",0.95,0.2,0.1,1.00E-08,6.616,1.973632185
"[20, 25, 35, 60, 75, 85]",0.95,0.2,0.1,1.00E-08,6.531,2.184797245
"[25, 35, 45, 55, 60, 80]",0.95,0.2,0.1,1.00E-08,6.52,1.799799989
"[30, 35, 40, 55, 65, 75]",0.95,0.2,0.1,1.00E-08,6.506,2.073085623
"[20, 25, 35, 40, 70, 110]",0.95,0.2,0.1,1.00E-08,6.478,1.987348988
"[15, 25, 40, 50, 60, 110]",0.95,0.2,0.1,1.00E-08,6.474,2.454156474
"[20, 35, 40, 45, 55, 105]",0.95,0.2,0.1,1.00E-08,6.46,1.938649014
"[10, 20, 55, 65, 70, 80]",0.95,0.2,0.1,1.00E-08,6.441,1.898604488
"[10, 25, 50, 65, 70, 80]",0.95,0.2,0.1,1.00E-08,6.437,1.881672394
"[25, 40, 50, 55, 60, 70]",0.95,0.2,0.1,1.00E-08,6.437,1.581509089
"[15, 25, 40, 45, 55, 120]",0.95,0.2,0.1,1.00E-08,6.434,2.418024814
"[15, 30, 45, 50, 60, 100]",0.95,0.2,0.1,1.00E-08,6.43,2.205805975
"[10, 30, 50, 65, 70, 75]",0.95,0.2,0.1,1.00E-08,6.417,1.641112732
"[25, 30, 50, 55, 60, 80]",0.95,0.2,0.1,1.00E-08,6.407,2.097639388
"[25, 40, 45, 55, 60, 75]",0.95,0.2,0.1,1.00E-08,6.407,1.788510833
"[15, 20, 30, 45, 90, 100]",0.95,0.2,0.1,1.00E-08,6.403,1.860067472
"[10, 25, 30, 35, 60, 140]",0.95,0.2,0.1,1.00E-08,6.399,1.924208669
"[10, 15, 40, 60, 85, 90]",0.95,0.2,0.1,1.00E-08,6.381,1.769445958
"[15, 30, 40, 55, 65, 95]",0.95,0.2,0.1,1.00E-08,6.37,2.204699526
"[10, 15, 45, 55, 60, 115]",0.95,0.2,0.1,1.00E-08,6.364,2.035805492
"[20, 40, 45, 50, 60, 85]",0.95,0.2,0.1,1.00E-08,6.356,1.541292964
"[10, 15, 30, 60, 90, 95]",0.95,0.2,0.1,1.00E-08,6.35,1.770395436
"[15, 20, 40, 50, 65, 110]",0.95,0.2,0.1,1.00E-08,6.346,1.995125059
"[15, 20, 30, 65, 80, 90]",0.95,0.2,0.1,1.00E-08,6.345,1.84021602
"[10, 20, 50, 55, 80, 85]",0.95,0.2,0.1,1.00E-08,6.344,1.70212338
"[10, 40, 45, 50, 60, 95]",0.95,0.2,0.1,1.00E-08,6.337,1.836761008
"[15, 30, 35, 55, 75, 90]",0.95,0.2,0.1,1.00E-08,6.332,1.709846777
"[25, 30, 45, 60, 65, 75]",0.95,0.2,0.1,1.00E-08,6.323,2.163887936
"[10, 40, 50, 55, 70, 75]",0.95,0.2,0.1,1.00E-08,6.322,1.855455739
"[15, 20, 25, 70, 75, 95]",0.95,0.2,0.1,1.00E-08,6.322,1.878977381
"[10, 20, 35, 60, 85, 90]",0.95,0.2,0.1,1.00E-08,6.319,1.632157774
"[15, 20, 30, 50, 85, 100]",0.95,0.2,0.1,1.00E-08,6.307,1.936153661
"[30, 40, 45, 50, 55, 80]",0.95,0.2,0.1,1.00E-08,6.307,1.641831599
"[15, 25, 35, 50, 70, 105]",0.95,0.2,0.1,1.00E-08,6.299,2.131829965
"[10, 25, 50, 55, 70, 90]",0.95,0.2,0.1,1.00E-08,6.292,1.843739678
"[15, 25, 40, 45, 50, 125]",0.95,0.2,0.1,1.00E-08,6.289,1.976446053
"[10, 40, 55, 60, 65, 70]",0.95,0.2,0.1,1.00E-08,6.287,1.516816073
"[15, 25, 35, 40, 75, 110]",0.95,0.2,0.1,1.00E-08,6.284,1.604364048
"[10, 30, 35, 55, 65, 105]",0.95,0.2,0.1,1.00E-08,6.282,1.522128772
"[10, 20, 35, 50, 90, 95]",0.95,0.2,0.1,1.00E-08,6.279,1.605097816
"[10, 15, 20, 55, 70, 130]",0.95,0.2,0.1,1.00E-08,6.271,2.024287282
"[10, 20, 40, 65, 70, 95]",0.95,0.2,0.1,1.00E-08,6.261,1.785950447
"[10, 15, 30, 40, 90, 115]",0.95,0.2,0.1,1.00E-08,6.26,1.609534094
"[10, 35, 50, 55, 65, 85]",0.95,0.2,0.1,1.00E-08,6.26,2.161527238
"[15, 35, 40, 50, 55, 105]",0.95,0.2,0.1,1.00E-08,6.257,2.004048652
"[10, 20, 30, 65, 70, 105]",0.95,0.2,0.1,1.00E-08,6.253,2.264449381
"[10, 30, 40, 60, 75, 85]",0.95,0.2,0.1,1.00E-08,6.247,1.974925568
"[15, 35, 40, 45, 50, 115]",0.95,0.2,0.1,1.00E-08,6.242,1.796929604
"[25, 30, 45, 55, 60, 85]",0.95,0.2,0.1,1.00E-08,6.241,1.852290204
"[20, 30, 40, 50, 75, 85]",0.95,0.2,0.1,1.00E-08,6.24,1.826570557
"[10, 15, 55, 65, 75, 80]",0.95,0.2,0.1,1.00E-08,6.239,1.736703486
"[10, 20, 45, 50, 55, 120]",0.95,0.2,0.1,1.00E-08,6.238,1.438775869
"[10, 20, 35, 50, 55, 130]",0.95,0.2,0.1,1.00E-08,6.236,2.204863715
"[15, 25, 45, 55, 75, 85]",0.95,0.2,0.1,1.00E-08,6.236,1.583282666
"[10, 30, 35, 50, 65, 110]",0.95,0.2,0.1,1.00E-08,6.235,1.74976427
"[10, 20, 30, 35, 75, 130]",0.95,0.2,0.1,1.00E-08,6.229,2.195782093
"[10, 30, 35, 40, 90, 95]",0.95,0.2,0.1,1.00E-08,6.226,1.694580774
"[15, 20, 35, 45, 85, 100]",0.95,0.2,0.1,1.00E-08,6.226,1.984893952
"[15, 25, 35, 40, 90, 95]",0.95,0.2,0.1,1.00E-08,6.223,1.433768112
"[15, 20, 25, 55, 70, 115]",0.95,0.2,0.1,1.00E-08,6.222,1.72103341
"[20, 25, 35, 55, 60, 105]",0.95,0.2,0.1,1.00E-08,6.221,1.747037206
"[15, 30, 50, 60, 65, 80]",0.95,0.2,0.1,1.00E-08,6.22,1.852490216
"[15, 25, 50, 55, 70, 85]",0.95,0.2,0.1,1.00E-08,6.217,1.401531662
"[10, 15, 45, 50, 70, 110]",0.95,0.2,0.1,1.00E-08,6.215,1.75572065
"[20, 25, 35, 65, 70, 85]",0.95,0.2,0.1,1.00E-08,6.213,1.951094821
"[10, 20, 25, 45, 80, 120]",0.95,0.2,0.1,1.00E-08,6.211,1.968008892
"[15, 30, 45, 50, 65, 95]",0.95,0.2,0.1,1.00E-08,6.208,1.771184914
"[15, 30, 35, 40, 60, 120]",0.95,0.2,0.1,1.00E-08,6.207,1.814114384
"[10, 15, 25, 55, 70, 125]",0.95,0.2,0.1,1.00E-08,6.206,1.396640254
"[10, 25, 30, 35, 85, 115]",0.95,0.2,0.1,1.00E-08,6.205,1.638741895
"[15, 25, 55, 60, 70, 75]",0.95,0.2,0.1,1.00E-08,6.203,1.650300276
"[10, 30, 50, 55, 65, 90]",0.95,0.2,0.1,1.00E-08,6.202,1.712832741
"[10, 15, 30, 45, 75, 125]",0.95,0.2,0.1,1.00E-08,6.199,1.901393962
"[10, 30, 35, 40, 55, 130]",0.95,0.2,0.1,1.00E-08,6.199,1.408353294
"[30, 35, 45, 50, 65, 75]",0.95,0.2,0.1,1.00E-08,6.198,1.429516002
"[10, 20, 45, 55, 80, 90]",0.95,0.2,0.1,1.00E-08,6.197,1.669709855
"[10, 25, 45, 50, 70, 100]",0.95,0.2,0.1,1.00E-08,6.197,1.652528668
"[10, 20, 40, 50, 85, 95]",0.95,0.2,0.1,1.00E-08,6.196,1.623004621
"[10, 15, 20, 65, 70, 120]",0.95,0.2,0.1,1.00E-08,6.195,1.87314575
"[10, 25, 55, 65, 70, 75]",0.95,0.2,0.1,1.00E-08,6.193,1.911504905
"[25, 30, 35, 45, 65, 100]",0.95,0.2,0.1,1.00E-08,6.185,1.793832489
"[10, 15, 35, 40, 50, 150]",0.95,0.2,0.1,1.00E-08,6.183,1.418904859
