cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 10, 15, 20, 25, 40, 45, 60, 80]",0.95,0.2,0.1,1.00E-08,6.653,2.175300209
"[5, 10, 15, 20, 40, 45, 50, 55, 60]",0.95,0.2,0.1,1.00E-08,6.475,1.769360054
"[5, 10, 15, 25, 35, 45, 50, 55, 60]",0.95,0.2,0.1,1.00E-08,6.382,1.503913561
"[5, 10, 15, 25, 30, 40, 50, 55, 70]",0.95,0.2,0.1,1.00E-08,6.355,2.141288164
"[5, 10, 15, 20, 30, 40, 45, 60, 75]",0.95,0.2,0.1,1.00E-08,6.319,1.933116396
"[5, 10, 15, 20, 30, 35, 45, 65, 75]",0.95,0.2,0.1,1.00E-08,6.307,1.649306218
"[5, 10, 20, 25, 30, 40, 50, 55, 65]",0.95,0.2,0.1,1.00E-08,6.299,1.877886844
"[5, 10, 15, 20, 25, 35, 45, 60, 85]",0.95,0.2,0.1,1.00E-08,6.262,2.038871256
"[5, 10, 15, 20, 25, 30, 40, 65, 90]",0.95,0.2,0.1,1.00E-08,6.248,1.494662504
"[5, 15, 20, 25, 35, 40, 45, 55, 60]",0.95,0.2,0.1,1.00E-08,6.247,1.749597382
"[5, 10, 20, 25, 30, 35, 45, 50, 80]",0.95,0.2,0.1,1.00E-08,6.203,1.419088087
"[5, 10, 15, 25, 30, 35, 55, 60, 65]",0.95,0.2,0.1,1.00E-08,6.161,1.578536981
"[5, 15, 20, 25, 30, 35, 45, 60, 65]",0.95,0.2,0.1,1.00E-08,6.146,1.830039344
"[5, 10, 15, 20, 30, 40, 55, 60, 65]",0.95,0.2,0.1,1.00E-08,6.144,1.335164409
"[5, 15, 20, 25, 30, 35, 45, 55, 70]",0.95,0.2,0.1,1.00E-08,6.126,1.690149106
"[5, 10, 15, 20, 25, 40, 50, 65, 70]",0.95,0.2,0.1,1.00E-08,6.106,1.64853996
"[5, 10, 15, 20, 25, 40, 55, 60, 70]",0.95,0.2,0.1,1.00E-08,6.101,1.459499572
"[10, 15, 20, 25, 30, 35, 40, 55, 70]",0.95,0.2,0.1,1.00E-08,6.076,1.32164443
"[5, 10, 20, 25, 30, 40, 45, 55, 70]",0.95,0.2,0.1,1.00E-08,6.074,1.348897327
"[5, 10, 15, 25, 30, 35, 40, 60, 80]",0.95,0.2,0.1,1.00E-08,6.061,1.635597444
"[5, 15, 20, 25, 30, 40, 45, 55, 65]",0.95,0.2,0.1,1.00E-08,6.027,1.707012302
"[5, 10, 15, 20, 25, 30, 35, 45, 115]",0.95,0.2,0.1,1.00E-08,6.026,1.575831209
"[5, 10, 15, 20, 30, 40, 45, 65, 70]",0.95,0.2,0.1,1.00E-08,6.019,1.266340791
"[5, 10, 20, 25, 35, 40, 45, 55, 65]",0.95,0.2,0.1,1.00E-08,6.019,1.252061899
"[5, 10, 15, 25, 30, 35, 40, 45, 95]",0.95,0.2,0.1,1.00E-08,6.016,1.271591129
"[10, 15, 20, 25, 30, 35, 50, 55, 60]",0.95,0.2,0.1,1.00E-08,6.008,1.545320679
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.95,0.2,0.1,1.00E-08,6.005,1.501917108
"[5, 10, 20, 25, 30, 35, 45, 55, 75]",0.95,0.2,0.1,1.00E-08,6.004,1.558519811
"[5, 10, 15, 20, 30, 35, 40, 50, 95]",0.95,0.2,0.1,1.00E-08,5.993,1.929127005
"[5, 10, 20, 25, 30, 35, 50, 60, 65]",0.95,0.2,0.1,1.00E-08,5.991,1.184355943
"[5, 10, 15, 20, 25, 35, 45, 50, 95]",0.95,0.2,0.1,1.00E-08,5.98,1.359705851
"[5, 10, 15, 25, 30, 35, 45, 50, 85]",0.95,0.2,0.1,1.00E-08,5.976,1.44922876
"[5, 15, 20, 25, 30, 40, 50, 55, 60]",0.95,0.2,0.1,1.00E-08,5.974,1.915046736
"[5, 10, 15, 20, 25, 30, 40, 75, 80]",0.95,0.2,0.1,1.00E-08,5.957,1.325643617
"[5, 10, 20, 25, 30, 40, 45, 60, 65]",0.95,0.2,0.1,1.00E-08,5.947,1.907598228
"[5, 10, 15, 25, 35, 40, 45, 50, 75]",0.95,0.2,0.1,1.00E-08,5.943,1.597000626
"[5, 10, 15, 20, 25, 30, 45, 50, 100]",0.95,0.2,0.1,1.00E-08,5.937,1.602513962
"[10, 15, 20, 25, 30, 35, 40, 45, 80]",0.95,0.2,0.1,1.00E-08,5.936,1.584785159
"[5, 10, 15, 25, 30, 40, 50, 60, 65]",0.95,0.2,0.1,1.00E-08,5.929,1.35743103
"[5, 10, 15, 20, 25, 30, 40, 60, 95]",0.95,0.2,0.1,1.00E-08,5.925,1.850533707
"[5, 15, 20, 25, 30, 35, 40, 45, 85]",0.95,0.2,0.1,1.00E-08,5.921,1.39504086
"[5, 10, 20, 25, 35, 40, 45, 50, 70]",0.95,0.2,0.1,1.00E-08,5.901,1.500752811
"[5, 10, 15, 20, 25, 30, 45, 70, 80]",0.95,0.2,0.1,1.00E-08,5.897,1.248507509
"[5, 10, 15, 20, 25, 35, 40, 55, 95]",0.95,0.2,0.1,1.00E-08,5.895,1.476480613
"[5, 10, 15, 20, 25, 35, 40, 70, 80]",0.95,0.2,0.1,1.00E-08,5.887,1.229378298
"[5, 10, 15, 25, 30, 35, 40, 50, 90]",0.95,0.2,0.1,1.00E-08,5.884,1.125443912
"[5, 10, 15, 20, 25, 30, 35, 50, 110]",0.95,0.2,0.1,1.00E-08,5.883,1.156464872
"[5, 10, 15, 20, 25, 35, 50, 65, 75]",0.95,0.2,0.1,1.00E-08,5.882,1.53911533
"[5, 10, 15, 20, 25, 30, 40, 55, 100]",0.95,0.2,0.1,1.00E-08,5.881,1.552732752
"[5, 10, 20, 25, 30, 35, 50, 55, 70]",0.95,0.2,0.1,1.00E-08,5.878,1.385552597
"[5, 10, 20, 30, 35, 40, 45, 55, 60]",0.95,0.2,0.1,1.00E-08,5.869,1.145870412
"[5, 10, 20, 25, 30, 35, 45, 60, 70]",0.95,0.2,0.1,1.00E-08,5.868,1.161109814
"[5, 10, 15, 20, 25, 30, 40, 45, 110]",0.95,0.2,0.1,1.00E-08,5.865,1.436118031
"[5, 10, 15, 20, 25, 30, 35, 65, 95]",0.95,0.2,0.1,1.00E-08,5.864,1.403019601
"[5, 10, 15, 20, 25, 35, 55, 65, 70]",0.95,0.2,0.1,1.00E-08,5.863,1.159245876
"[5, 10, 15, 20, 25, 40, 45, 55, 85]",0.95,0.2,0.1,1.00E-08,5.848,1.374429336
"[5, 10, 15, 30, 35, 40, 50, 55, 60]",0.95,0.2,0.1,1.00E-08,5.844,1.165119736
"[5, 10, 15, 20, 30, 35, 45, 55, 85]",0.95,0.2,0.1,1.00E-08,5.842,1.037610717
"[5, 10, 15, 20, 25, 35, 40, 50, 100]",0.95,0.2,0.1,1.00E-08,5.834,1.358397585
"[5, 10, 15, 25, 30, 40, 45, 60, 70]",0.95,0.2,0.1,1.00E-08,5.824,1.348934394
"[5, 10, 15, 20, 25, 35, 45, 55, 90]",0.95,0.2,0.1,1.00E-08,5.821,1.343896945
"[5, 10, 15, 20, 25, 30, 50, 55, 90]",0.95,0.2,0.1,1.00E-08,5.818,1.56472234
"[5, 10, 15, 20, 25, 35, 50, 60, 80]",0.95,0.2,0.1,1.00E-08,5.814,1.345200357
"[5, 10, 15, 20, 35, 40, 45, 50, 80]",0.95,0.2,0.1,1.00E-08,5.813,1.547491842
"[5, 10, 25, 30, 35, 40, 45, 50, 60]",0.95,0.2,0.1,1.00E-08,5.809,1.358933037
"[5, 10, 15, 25, 30, 35, 45, 65, 70]",0.95,0.2,0.1,1.00E-08,5.808,1.336359233
"[5, 10, 15, 30, 35, 40, 45, 55, 65]",0.95,0.2,0.1,1.00E-08,5.797,1.233000811
"[5, 10, 15, 20, 25, 30, 35, 40, 120]",0.95,0.2,0.1,1.00E-08,5.792,1.268012618
"[5, 10, 15, 20, 30, 45, 50, 55, 70]",0.95,0.2,0.1,1.00E-08,5.788,1.227508045
"[5, 10, 15, 20, 30, 35, 40, 65, 80]",0.95,0.2,0.1,1.00E-08,5.78,1.23683467
"[5, 10, 15, 20, 25, 35, 50, 55, 85]",0.95,0.2,0.1,1.00E-08,5.774,1.220247516
"[5, 10, 15, 20, 25, 30, 55, 60, 80]",0.95,0.2,0.1,1.00E-08,5.766,1.525347174
"[10, 15, 20, 30, 35, 40, 45, 50, 55]",0.95,0.2,0.1,1.00E-08,5.764,1.103369385
"[5, 10, 15, 25, 30, 35, 50, 60, 70]",0.95,0.2,0.1,1.00E-08,5.763,1.110266184
"[5, 10, 20, 25, 30, 35, 40, 60, 75]",0.95,0.2,0.1,1.00E-08,5.751,1.082709102
"[5, 10, 15, 25, 35, 40, 50, 55, 65]",0.95,0.2,0.1,1.00E-08,5.744,0.994818576
"[5, 10, 15, 25, 30, 40, 45, 55, 75]",0.95,0.2,0.1,1.00E-08,5.743,0.969892262
"[5, 10, 15, 20, 25, 30, 50, 65, 80]",0.95,0.2,0.1,1.00E-08,5.742,1.670639399
"[5, 10, 15, 25, 30, 45, 50, 55, 65]",0.95,0.2,0.1,1.00E-08,5.733,1.008786895
"[5, 10, 15, 20, 30, 35, 40, 60, 85]",0.95,0.2,0.1,1.00E-08,5.729,1.007402104
"[5, 10, 15, 20, 25, 35, 45, 70, 75]",0.95,0.2,0.1,1.00E-08,5.721,1.638322007
"[5, 10, 15, 20, 35, 45, 50, 55, 65]",0.95,0.2,0.1,1.00E-08,5.718,0.989725214
"[5, 10, 15, 20, 30, 35, 45, 50, 90]",0.95,0.2,0.1,1.00E-08,5.712,1.29822032
"[5, 10, 15, 20, 30, 35, 50, 65, 70]",0.95,0.2,0.1,1.00E-08,5.708,0.885379015
"[5, 10, 15, 20, 25, 30, 35, 55, 105]",0.95,0.2,0.1,1.00E-08,5.707,0.983123085
"[5, 10, 15, 25, 35, 40, 45, 60, 65]",0.95,0.2,0.1,1.00E-08,5.7,1.019195761
"[5, 10, 15, 20, 30, 35, 45, 60, 80]",0.95,0.2,0.1,1.00E-08,5.697,0.864251699
"[5, 10, 20, 25, 30, 45, 50, 55, 60]",0.95,0.2,0.1,1.00E-08,5.696,0.987959513
"[5, 10, 15, 20, 25, 35, 40, 65, 85]",0.95,0.2,0.1,1.00E-08,5.692,0.882165517
"[5, 10, 15, 20, 30, 35, 40, 55, 90]",0.95,0.2,0.1,1.00E-08,5.687,0.866955016
"[5, 10, 20, 30, 35, 40, 45, 50, 65]",0.95,0.2,0.1,1.00E-08,5.686,0.857580317
"[5, 10, 15, 20, 25, 40, 50, 60, 75]",0.95,0.2,0.1,1.00E-08,5.685,1.140944784
"[5, 10, 15, 20, 35, 40, 50, 60, 65]",0.95,0.2,0.1,1.00E-08,5.683,0.872176014
"[10, 15, 20, 25, 30, 40, 45, 50, 65]",0.95,0.2,0.1,1.00E-08,5.679,0.878372928
"[5, 10, 15, 20, 25, 30, 35, 75, 85]",0.95,0.2,0.1,1.00E-08,5.666,1.017528378
"[10, 15, 20, 25, 35, 40, 45, 50, 60]",0.95,0.2,0.1,1.00E-08,5.656,0.873260557
"[5, 10, 15, 20, 25, 30, 45, 65, 85]",0.95,0.2,0.1,1.00E-08,5.654,1.048600973
"[5, 10, 15, 20, 25, 45, 50, 55, 75]",0.95,0.2,0.1,1.00E-08,5.653,1.127373496
"[5, 10, 15, 20, 30, 35, 50, 60, 75]",0.95,0.2,0.1,1.00E-08,5.648,1.129006643
"[5, 15, 20, 25, 35, 40, 45, 50, 65]",0.95,0.2,0.1,1.00E-08,5.647,1.51092389
"[5, 10, 15, 20, 25, 40, 50, 55, 80]",0.95,0.2,0.1,1.00E-08,5.646,0.909727432
"[5, 10, 15, 20, 30, 45, 50, 60, 65]",0.95,0.2,0.1,1.00E-08,5.646,0.941893837
"[5, 10, 15, 20, 25, 35, 40, 45, 105]",0.95,0.2,0.1,1.00E-08,5.645,1.149206248
"[5, 10, 15, 20, 25, 40, 45, 50, 90]",0.95,0.2,0.1,1.00E-08,5.629,0.965287004
