spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,5,0.1,1e-07,0.1,2.534666666666668,1.0739699975118278
0.92,5,0.1,1e-07,0.3,2.5884444444444457,1.0733580857509357
0.92,5,0.1,1e-07,0.5,3.2435555555555564,1.078997797455389
0.92,5,0.1,1e-07,0.7,4.809333333333335,1.1736332949908632
0.92,5,0.1,1e-07,0.9,4.826666666666666,1.0798024510684048
0.92,5,0.2,1e-07,0.1,4.986666666666669,1.6313157607008866
0.92,5,0.2,1e-07,0.3,5.804000000000001,1.6085084878717781
0.92,5,0.2,1e-07,0.5,6.009333333333332,1.2386271970747829
0.92,5,0.2,1e-07,0.7,6.702222222222223,1.945598895386301
0.92,5,0.2,1e-07,0.9,6.815111111111112,1.5255754793552088
0.92,5,0.3,1e-07,0.1,5.513333333333334,1.6173338829347792
0.92,5,0.3,1e-07,0.3,7.057777777777778,1.5263855474637378
0.92,5,0.3,1e-07,0.5,8.031111111111112,1.9313808787407603
0.92,5,0.3,1e-07,0.7,8.046222222222225,1.7959897164873737
0.92,5,0.3,1e-07,0.9,8.470666666666668,1.8895906670199476
0.92,5,0.4,1e-07,0.1,6.111999999999999,1.5187679217049588
0.92,5,0.4,1e-07,0.3,7.995555555555556,1.8107721564208834
0.92,5,0.4,1e-07,0.5,9.004444444444445,2.0697907092860657
0.92,5,0.4,1e-07,0.7,8.349777777777778,1.5767004772821405
0.92,5,0.4,1e-07,0.9,9.3,2.1642673895185256
0.92,5,0.5,1e-07,0.1,6.922666666666667,1.5740088945110828
0.92,5,0.5,1e-07,0.3,8.644444444444447,1.9378746153173478
0.92,5,0.5,1e-07,0.5,9.328444444444447,2.2049338166490324
0.92,5,0.5,1e-07,0.7,9.364000000000003,1.9485588976927994
0.92,5,0.5,1e-07,0.9,9.411555555555555,1.9421202108984514
0.92,5,0.6,1e-07,0.1,7.538222222222223,1.4134328406619565
0.92,5,0.6,1e-07,0.3,9.586222222222224,2.2591318774047195
0.92,5,0.6,1e-07,0.5,9.289777777777779,1.8736897512530244
0.92,5,0.6,1e-07,0.7,9.580444444444444,2.071733525931638
0.92,5,0.6,1e-07,0.9,9.51288888888889,1.8962098128427103
0.92,5,0.7,1e-07,0.1,7.826666666666666,1.694419599089251
0.92,5,0.7,1e-07,0.3,9.892000000000003,1.9875183856591958
0.92,5,0.7,1e-07,0.5,10.26266666666667,1.8787873157379407
