cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 15, 20, 25, 30, 200]",0.95,0.1,0.5,1e-08,0.3009129619258439,0.13565453956070173
"[10, 15, 20, 25, 35, 195]",0.95,0.1,0.5,1e-08,0.2880230418433486,0.17311112404660176
"[10, 15, 20, 25, 40, 190]",0.95,0.1,0.5,1e-08,0.2760220817665424,0.14390035801748066
"[10, 15, 20, 25, 45, 185]",0.95,0.1,0.5,1e-08,0.26668800170680435,0.08252259352356553
"[10, 15, 20, 25, 50, 180]",0.95,0.1,0.5,1e-08,0.27335520174947414,0.13793210700574224
"[10, 15, 20, 25, 55, 175]",0.95,0.1,0.5,1e-08,0.25246464161577414,0.06315058256691482
"[10, 15, 20, 25, 60, 170]",0.95,0.1,0.5,1e-08,0.2649100816954256,0.07661834845914056
"[10, 15, 20, 25, 65, 165]",0.95,0.1,0.5,1e-08,0.2537980816243084,0.06939299471248155
"[10, 15, 20, 25, 70, 160]",0.95,0.1,0.5,1e-08,0.25602048163853197,0.0778208201264891
"[10, 15, 20, 25, 75, 155]",0.95,0.1,0.5,1e-08,0.2573539216470659,0.0697479629336856
"[10, 15, 20, 25, 80, 150]",0.95,0.1,0.5,1e-08,0.2595763216612888,0.08160052443209034
"[10, 15, 20, 25, 85, 145]",0.95,0.1,0.5,1e-08,0.2506867216043961,0.09957145746376726
"[10, 15, 20, 25, 90, 140]",0.95,0.1,0.5,1e-08,0.24757536158448343,0.06970829637967599
"[10, 15, 20, 25, 95, 135]",0.95,0.1,0.5,1e-08,0.2649100816954258,0.1075182335278797
"[10, 15, 20, 25, 100, 130]",0.95,0.1,0.5,1e-08,0.25335360162146403,0.06240157322877836
"[10, 15, 20, 25, 105, 125]",0.95,0.1,0.5,1e-08,0.2409081615418131,0.05796332818797683
"[10, 15, 20, 25, 110, 120]",0.95,0.1,0.5,1e-08,0.26935488172387223,0.08344394403371959
"[10, 15, 20, 30, 35, 190]",0.95,0.1,0.5,1e-08,0.2591318416584454,0.06746146401011333
"[10, 15, 20, 30, 40, 185]",0.95,0.1,0.5,1e-08,0.2871340818376595,0.09881461259364846
"[10, 15, 20, 30, 45, 180]",0.95,0.1,0.5,1e-08,0.25957632166128963,0.08268283868632077
