cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 15, 20, 25, 30, 35, 165]",0.95,0.1,0.5,1e-08,0.2778000017779209,0.09468571709349256
"[10, 15, 20, 25, 30, 40, 160]",0.95,0.1,0.5,1e-08,0.2866896018348143,0.10541768875404538
"[10, 15, 20, 25, 30, 45, 155]",0.95,0.1,0.5,1e-08,0.2564649616413773,0.10794185658700206
"[10, 15, 20, 25, 30, 50, 150]",0.95,0.1,0.5,1e-08,0.2609097616698236,0.07751812805145848
"[10, 15, 20, 25, 30, 55, 145]",0.95,0.1,0.5,1e-08,0.2533536016214637,0.08337999413746917
"[10, 15, 20, 25, 30, 60, 140]",0.95,0.1,0.5,1e-08,0.25957632166128947,0.07285134365788506
"[10, 15, 20, 25, 30, 65, 135]",0.95,0.1,0.5,1e-08,0.25113120160724095,0.06740872997885629
"[10, 15, 20, 25, 30, 70, 130]",0.95,0.1,0.5,1e-08,0.25824288165275533,0.07166197681693698
"[10, 15, 20, 25, 30, 75, 125]",0.95,0.1,0.5,1e-08,0.25157568161008564,0.0806140185359836
"[10, 15, 20, 25, 30, 80, 120]",0.95,0.1,0.5,1e-08,0.2489088015930171,0.0660767027909714
"[10, 15, 20, 25, 30, 85, 115]",0.95,0.1,0.5,1e-08,0.25513152163284253,0.0888671046724031
"[10, 15, 20, 25, 30, 90, 110]",0.95,0.1,0.5,1e-08,0.248464321590173,0.06779449365704789
"[10, 15, 20, 25, 30, 95, 105]",0.95,0.1,0.5,1e-08,0.23779680152190125,0.06398042231092735
"[10, 15, 20, 25, 35, 40, 155]",0.95,0.1,0.5,1e-08,0.2622432016783569,0.0688011398987978
"[10, 15, 20, 25, 35, 45, 150]",0.95,0.1,0.5,1e-08,0.26268768168120227,0.08901149035004746
"[10, 15, 20, 25, 35, 50, 145]",0.95,0.1,0.5,1e-08,0.2631321616840462,0.1402938306840485
"[10, 15, 20, 25, 35, 55, 140]",0.95,0.1,0.5,1e-08,0.2377968015219003,0.06425772859518099
"[10, 15, 20, 25, 35, 60, 135]",0.95,0.1,0.5,1e-08,0.24668640157879465,0.08176499302213992
"[10, 15, 20, 25, 35, 65, 130]",0.95,0.1,0.5,1e-08,0.24313056155603713,0.08348181715221768
"[10, 15, 20, 25, 35, 70, 125]",0.95,0.1,0.5,1e-08,0.23779680152190094,0.06589706484339818
"[10, 15, 20, 25, 35, 75, 120]",0.95,0.1,0.5,1e-08,0.24401952156172543,0.06923623215589016
"[10, 15, 20, 25, 35, 80, 115]",0.95,0.1,0.5,1e-08,0.24313056155603635,0.05656608357978069
"[10, 15, 20, 25, 35, 85, 110]",0.95,0.1,0.5,1e-08,0.23557440150767725,0.06094402752576711
