cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 15, 20, 25, 30, 35, 165]",0.95,0.1,0.5,1e-08,44.09908348223413,5.388047938387721
"[10, 15, 20, 25, 30, 40, 160]",0.95,0.1,0.5,1e-08,44.08441564214026,5.4010541975628135
"[10, 15, 20, 25, 30, 45, 155]",0.95,0.1,0.5,1e-08,44.10130588224835,5.386168803903052
"[10, 15, 20, 25, 30, 50, 150]",0.95,0.1,0.5,1e-08,44.09019388217724,5.3979835470460324
"[10, 15, 20, 25, 30, 55, 145]",0.95,0.1,0.5,1e-08,44.10441724226826,5.38346898614152
"[10, 15, 20, 25, 30, 60, 140]",0.95,0.1,0.5,1e-08,44.10441724226827,5.383495408627059
"[10, 15, 20, 25, 30, 65, 135]",0.95,0.1,0.5,1e-08,44.08085980211749,5.404398960909855
"[10, 15, 20, 25, 30, 70, 130]",0.95,0.1,0.5,1e-08,44.09152732218577,5.395224827904271
"[10, 15, 20, 25, 30, 75, 125]",0.95,0.1,0.5,1e-08,44.14575388253283,5.347282679088573
"[10, 15, 20, 25, 30, 80, 120]",0.95,0.1,0.5,1e-08,44.12930812242757,5.361678576710473
"[10, 15, 20, 25, 30, 85, 115]",0.95,0.1,0.5,1e-08,44.129752602430415,5.3614500827823415
"[10, 15, 20, 25, 30, 90, 110]",0.95,0.1,0.5,1e-08,44.16708892266937,5.327895155576477
"[10, 15, 20, 25, 30, 95, 105]",0.95,0.1,0.5,1e-08,44.12041852237068,5.369410346743108
"[10, 15, 20, 25, 35, 40, 155]",0.95,0.1,0.5,1e-08,44.114640282333696,5.374070207263951
"[10, 15, 20, 25, 35, 45, 150]",0.95,0.1,0.5,1e-08,44.16175516263524,5.333728068520075
"[10, 15, 20, 25, 35, 50, 145]",0.95,0.1,0.5,1e-08,44.16264412264093,5.331766094542332
"[10, 15, 20, 25, 35, 55, 140]",0.95,0.1,0.5,1e-08,44.163088602643775,5.331730300400942
"[10, 15, 20, 25, 35, 60, 135]",0.95,0.1,0.5,1e-08,44.151976602572645,5.341585734526754
"[10, 15, 20, 25, 35, 65, 130]",0.95,0.1,0.5,1e-08,44.14797628254705,5.344945682465317
"[10, 15, 20, 25, 35, 70, 125]",0.95,0.1,0.5,1e-08,44.180867802757554,5.315986668748209
"[10, 15, 20, 25, 35, 75, 120]",0.95,0.1,0.5,1e-08,44.1484207625499,5.344721574222356
"[10, 15, 20, 25, 35, 80, 115]",0.95,0.1,0.5,1e-08,44.14086460250152,5.351164034197676
"[10, 15, 20, 25, 35, 85, 110]",0.95,0.1,0.5,1e-08,44.15064316256411,5.342398988924276
"[10, 15, 20, 25, 35, 90, 105]",0.95,0.1,0.5,1e-08,44.13419740245887,5.358887195776431
"[10, 15, 20, 25, 35, 95, 100]",0.95,0.1,0.5,1e-08,44.125752282404804,5.366373314579379
"[10, 15, 20, 25, 40, 45, 145]",0.95,0.1,0.5,1e-08,44.15775484260963,5.337736573743816
"[10, 15, 20, 25, 40, 50, 140]",0.95,0.1,0.5,1e-08,44.14886524255274,5.344507400314981
"[10, 15, 20, 25, 40, 55, 135]",0.95,0.1,0.5,1e-08,44.12308540238775,5.3670711691786135
"[10, 15, 20, 25, 40, 60, 130]",0.95,0.1,0.5,1e-08,44.14975420255843,5.345216684532786
