cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 15, 20, 25, 30, 35, 165]",0.95,0.1,0.5,1e-08,114.36692713194833,59.178074973385456
"[10, 15, 20, 25, 30, 40, 160]",0.95,0.1,0.5,1e-08,115.51235209927907,59.7893934276694
"[10, 15, 20, 25, 30, 45, 155]",0.95,0.1,0.5,1e-08,111.99207047674928,60.521624629784306
"[10, 15, 20, 25, 30, 50, 150]",0.95,0.1,0.5,1e-08,104.06476962601454,44.60578251604415
"[10, 15, 20, 25, 30, 55, 145]",0.95,0.1,0.5,1e-08,94.52489532495933,41.06808748258892
"[10, 15, 20, 25, 30, 60, 140]",0.95,0.1,0.5,1e-08,113.16594216426203,59.89483734946922
"[10, 15, 20, 25, 30, 65, 135]",0.95,0.1,0.5,1e-08,108.49979109439869,54.304182935672756
"[10, 15, 20, 25, 30, 70, 130]",0.95,0.1,0.5,1e-08,108.93804837720353,54.126471916548475
"[10, 15, 20, 25, 30, 75, 125]",0.95,0.1,0.5,1e-08,105.01995715212774,52.92790547301078
"[10, 15, 20, 25, 30, 80, 120]",0.95,0.1,0.5,1e-08,111.04666151069867,57.87806260252011
"[10, 15, 20, 25, 30, 85, 115]",0.95,0.1,0.5,1e-08,106.9041078841863,57.606335469974766
"[10, 15, 20, 25, 30, 90, 110]",0.95,0.1,0.5,1e-08,112.34987687903921,60.05387164719145
"[10, 15, 20, 25, 30, 95, 105]",0.95,0.1,0.5,1e-08,110.54128774746425,59.66220023665452
"[10, 15, 20, 25, 35, 40, 155]",0.95,0.1,0.5,1e-08,114.41359753224702,55.253391123667896
"[10, 15, 20, 25, 35, 45, 150]",0.95,0.1,0.5,1e-08,108.94738245726325,55.68496427756992
"[10, 15, 20, 25, 35, 50, 145]",0.95,0.1,0.5,1e-08,108.98249637748799,58.25123448687742
"[10, 15, 20, 25, 35, 55, 140]",0.95,0.1,0.5,1e-08,108.55135077472866,52.9193512535139
"[10, 15, 20, 25, 35, 60, 135]",0.95,0.1,0.5,1e-08,105.99025699833764,52.43771742811029
"[10, 15, 20, 25, 35, 65, 130]",0.95,0.1,0.5,1e-08,117.14981642975886,60.496383948294344
"[10, 15, 20, 25, 35, 70, 125]",0.95,0.1,0.5,1e-08,123.4098727898232,64.5485159961352
"[10, 15, 20, 25, 35, 75, 120]",0.95,0.1,0.5,1e-08,121.04479469468671,61.95477796290458
"[10, 15, 20, 25, 35, 80, 115]",0.95,0.1,0.5,1e-08,107.83396005013739,54.45015444631304
"[10, 15, 20, 25, 35, 85, 110]",0.95,0.1,0.5,1e-08,115.44923593887515,59.34580019559411
"[10, 15, 20, 25, 35, 90, 105]",0.95,0.1,0.5,1e-08,113.66553768745946,59.207035210215665
"[10, 15, 20, 25, 35, 95, 100]",0.95,0.1,0.5,1e-08,122.65114542496734,62.729566584770595
"[10, 15, 20, 25, 40, 45, 145]",0.95,0.1,0.5,1e-08,107.93130117076035,53.889330396271035
"[10, 15, 20, 25, 40, 50, 140]",0.95,0.1,0.5,1e-08,114.639837853695,59.00511281449989
"[10, 15, 20, 25, 40, 55, 135]",0.95,0.1,0.5,1e-08,129.66503986985626,68.63879683791664
"[10, 15, 20, 25, 40, 60, 130]",0.95,0.1,0.5,1e-08,121.7790756593861,63.603297826325225
"[10, 15, 20, 25, 40, 65, 125]",0.95,0.1,0.5,1e-08,113.35973544550232,57.46153076183514
"[10, 15, 20, 25, 40, 70, 120]",0.95,0.1,0.5,1e-08,123.33742254935953,62.7224225429569
"[10, 15, 20, 25, 40, 75, 115]",0.95,0.1,0.5,1e-08,116.16351530344653,61.19890471457896
"[10, 15, 20, 25, 40, 80, 110]",0.95,0.1,0.5,1e-08,118.63704651927712,59.25814543540347
"[10, 15, 20, 25, 40, 85, 105]",0.95,0.1,0.5,1e-08,108.86648709674553,54.28990341223444
"[10, 15, 20, 25, 40, 90, 100]",0.95,0.1,0.5,1e-08,98.47009983020862,43.71980529111522
