cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 10, 15, 20, 25, 30, 35, 40, 120]",0.95,0.1,0.5,1e-08,108.21799077259517,54.45481510789627
"[5, 10, 15, 20, 25, 30, 35, 45, 115]",0.95,0.1,0.5,1e-08,112.93881288280839,57.25492802982502
"[5, 10, 15, 20, 25, 30, 35, 50, 110]",0.95,0.1,0.5,1e-08,116.31419402441082,59.12311445429409
"[5, 10, 15, 20, 25, 30, 35, 55, 105]",0.95,0.1,0.5,1e-08,110.43550150678722,55.23549302377726
"[5, 10, 15, 20, 25, 30, 35, 60, 100]",0.95,0.1,0.5,1e-08,114.70473193411031,56.98092611134535
"[5, 10, 15, 20, 25, 30, 35, 65, 95]",0.95,0.1,0.5,1e-08,107.97752709105617,53.54955080425905
"[5, 10, 15, 20, 25, 30, 35, 70, 90]",0.95,0.1,0.5,1e-08,107.90552133059535,53.99436817251941
"[5, 10, 15, 20, 25, 30, 35, 75, 85]",0.95,0.1,0.5,1e-08,115.587024739757,59.3574858338414
"[5, 10, 15, 20, 25, 30, 40, 45, 110]",0.95,0.1,0.5,1e-08,104.1767785867314,51.78703460150471
"[5, 10, 15, 20, 25, 30, 40, 50, 105]",0.95,0.1,0.5,1e-08,111.23378759189626,58.108907979818234
"[5, 10, 15, 20, 25, 30, 40, 55, 100]",0.95,0.1,0.5,1e-08,115.28744521783966,59.075704201798814
"[5, 10, 15, 20, 25, 30, 40, 60, 95]",0.95,0.1,0.5,1e-08,117.9494359548764,65.22582135434203
"[5, 10, 15, 20, 25, 30, 40, 65, 90]",0.95,0.1,0.5,1e-08,108.4713443742166,53.85028286032883
"[5, 10, 15, 20, 25, 30, 40, 70, 85]",0.95,0.1,0.5,1e-08,110.30793574597078,54.672055373797704
"[5, 10, 15, 20, 25, 30, 40, 75, 80]",0.95,0.1,0.5,1e-08,115.81459850121345,59.482197121826864
"[5, 10, 15, 20, 25, 30, 45, 50, 100]",0.95,0.1,0.5,1e-08,112.31609639882303,57.482623961532724
"[5, 10, 15, 20, 25, 30, 45, 55, 95]",0.95,0.1,0.5,1e-08,128.89564498493218,64.26830615469417
"[5, 10, 15, 20, 25, 30, 45, 60, 90]",0.95,0.1,0.5,1e-08,120.96523277417752,61.60868080081103
"[5, 10, 15, 20, 25, 30, 45, 65, 85]",0.95,0.1,0.5,1e-08,112.91303304264343,60.87419760308799
"[5, 10, 15, 20, 25, 30, 45, 70, 80]",0.95,0.1,0.5,1e-08,114.2273604110551,57.02084032863195
