cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 10, 20, 35, 40, 45, 70, 75]",0.95,0.1,0.5,1e-08,6.136000000000003,1.487217237363497
"[5, 10, 20, 35, 40, 50, 55, 85]",0.95,0.1,0.5,1e-08,6.917777777777778,1.934878565111619
"[5, 10, 20, 35, 40, 50, 60, 80]",0.95,0.1,0.5,1e-08,6.461333333333334,1.8236149691082153
"[5, 10, 20, 35, 40, 50, 65, 75]",0.95,0.1,0.5,1e-08,6.495111111111113,1.5205505175899972
"[5, 10, 20, 35, 40, 55, 60, 75]",0.95,0.1,0.5,1e-08,6.661777777777778,1.730381189717571
"[5, 10, 20, 35, 40, 55, 65, 70]",0.95,0.1,0.5,1e-08,6.771111111111112,1.6530943674377219
"[5, 10, 20, 35, 45, 50, 55, 80]",0.95,0.1,0.5,1e-08,6.380000000000001,1.3253226022369042
"[5, 10, 20, 35, 45, 50, 60, 75]",0.95,0.1,0.5,1e-08,6.618666666666669,1.382946291236375
"[5, 10, 20, 35, 45, 50, 65, 70]",0.95,0.1,0.5,1e-08,6.597777777777779,1.5167639366447805
"[5, 10, 20, 35, 45, 55, 60, 70]",0.95,0.1,0.5,1e-08,6.42311111111111,1.50987243349632
"[5, 10, 20, 35, 50, 55, 60, 65]",0.95,0.1,0.5,1e-08,6.478222222222224,1.622096433479272
"[5, 10, 20, 40, 45, 50, 55, 75]",0.95,0.1,0.5,1e-08,6.401333333333334,1.7179750353896948
"[5, 10, 20, 40, 45, 50, 60, 70]",0.95,0.1,0.5,1e-08,6.218222222222224,1.5688287051723782
"[5, 10, 20, 40, 45, 55, 60, 65]",0.95,0.1,0.5,1e-08,6.242222222222225,1.8556015962351982
"[5, 10, 25, 30, 35, 40, 45, 110]",0.95,0.1,0.5,1e-08,6.499555555555557,1.9247140688719406
"[5, 10, 25, 30, 35, 40, 50, 105]",0.95,0.1,0.5,1e-08,6.246222222222223,1.6972438951153055
"[5, 10, 25, 30, 35, 40, 55, 100]",0.95,0.1,0.5,1e-08,6.146666666666667,1.9154668708524656
"[5, 10, 25, 30, 35, 40, 60, 95]",0.95,0.1,0.5,1e-08,6.410222222222223,1.9144207001816371
"[5, 10, 25, 30, 35, 40, 65, 90]",0.95,0.1,0.5,1e-08,6.35111111111111,2.0337007561173057
"[5, 10, 25, 30, 35, 40, 70, 85]",0.95,0.1,0.5,1e-08,6.413777777777778,2.048265704214599
"[5, 10, 25, 30, 35, 40, 75, 80]",0.95,0.1,0.5,1e-08,6.284000000000002,1.5783231608260708
"[5, 10, 25, 30, 35, 45, 50, 100]",0.95,0.1,0.5,1e-08,5.9222222222222225,1.7032216387238874
"[5, 10, 25, 30, 35, 45, 55, 95]",0.95,0.1,0.5,1e-08,6.096000000000001,1.497871675263123
"[5, 10, 25, 30, 35, 45, 60, 90]",0.95,0.1,0.5,1e-08,6.027111111111112,1.8483730049511384
"[5, 10, 25, 30, 35, 45, 65, 85]",0.95,0.1,0.5,1e-08,6.105777777777779,1.5630660594398562
"[5, 10, 25, 30, 35, 45, 70, 80]",0.95,0.1,0.5,1e-08,5.995555555555556,1.6072109113555222
"[5, 10, 25, 30, 35, 50, 55, 90]",0.95,0.1,0.5,1e-08,6.176444444444446,1.8024639377567533
"[5, 10, 25, 30, 35, 50, 60, 85]",0.95,0.1,0.5,1e-08,6.2093333333333325,1.891598266017391
"[5, 10, 25, 30, 35, 50, 65, 80]",0.95,0.1,0.5,1e-08,6.48711111111111,1.873118163469937
"[5, 10, 25, 30, 35, 50, 70, 75]",0.95,0.1,0.5,1e-08,6.269777777777779,1.5287794534477337
"[5, 10, 25, 30, 35, 55, 60, 80]",0.95,0.1,0.5,1e-08,6.267555555555557,1.5611692990341928
"[5, 10, 25, 30, 35, 55, 65, 75]",0.95,0.1,0.5,1e-08,5.87688888888889,1.7646753837112776
"[5, 10, 25, 30, 35, 60, 65, 70]",0.95,0.1,0.5,1e-08,6.420888888888891,1.6888968420865371
