cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 10, 15, 20, 25, 30, 35, 40, 120]",0.95,0.1,0.5,1e-08,6.29288888888889,2.3073068689826077
"[5, 10, 15, 20, 25, 30, 35, 45, 115]",0.95,0.1,0.5,1e-08,6.3897777777777796,1.6680347570171565
"[5, 10, 15, 20, 25, 30, 35, 50, 110]",0.95,0.1,0.5,1e-08,6.429777777777779,1.9680723664302013
"[5, 10, 15, 20, 25, 30, 35, 55, 105]",0.95,0.1,0.5,1e-08,5.841777777777779,2.0097708978210425
"[5, 10, 15, 20, 25, 30, 35, 60, 100]",0.95,0.1,0.5,1e-08,6.473333333333334,1.9766413713952036
"[5, 10, 15, 20, 25, 30, 35, 65, 95]",0.95,0.1,0.5,1e-08,6.704888888888889,1.7004373584100483
"[5, 10, 15, 20, 25, 30, 35, 70, 90]",0.95,0.1,0.5,1e-08,6.498666666666668,1.9377118235462958
"[5, 10, 15, 20, 25, 30, 35, 75, 85]",0.95,0.1,0.5,1e-08,6.496444444444445,1.5520325820685816
"[5, 10, 15, 20, 25, 30, 40, 45, 110]",0.95,0.1,0.5,1e-08,5.907111111111112,1.8018911327605198
"[5, 10, 15, 20, 25, 30, 40, 50, 105]",0.95,0.1,0.5,1e-08,6.69511111111111,1.6761180311424932
"[5, 10, 15, 20, 25, 30, 40, 55, 100]",0.95,0.1,0.5,1e-08,6.256444444444445,1.6654037289038695
"[5, 10, 15, 20, 25, 30, 40, 60, 95]",0.95,0.1,0.5,1e-08,6.126222222222224,1.7325732806549645
"[5, 10, 15, 20, 25, 30, 40, 65, 90]",0.95,0.1,0.5,1e-08,6.192444444444447,1.840465104931125
"[5, 10, 15, 20, 25, 30, 40, 70, 85]",0.95,0.1,0.5,1e-08,6.427111111111111,1.659601856165404
"[5, 10, 15, 20, 25, 30, 40, 75, 80]",0.95,0.1,0.5,1e-08,6.560888888888891,1.453216848882693
"[5, 10, 15, 20, 25, 30, 45, 50, 100]",0.95,0.1,0.5,1e-08,6.302222222222222,1.802290997454677
"[5, 10, 15, 20, 25, 30, 45, 55, 95]",0.95,0.1,0.5,1e-08,5.994666666666668,2.2182852236205632
"[5, 10, 15, 20, 25, 30, 45, 60, 90]",0.95,0.1,0.5,1e-08,6.153333333333334,2.0752981044231267
"[5, 10, 15, 20, 25, 30, 45, 65, 85]",0.95,0.1,0.5,1e-08,6.207555555555556,1.6041351502435548
"[5, 10, 15, 20, 25, 30, 45, 70, 80]",0.95,0.1,0.5,1e-08,6.232000000000001,2.0834859677419906
"[5, 10, 15, 20, 25, 30, 50, 55, 90]",0.95,0.1,0.5,1e-08,6.077333333333335,1.790694961305371
"[5, 10, 15, 20, 25, 30, 50, 60, 85]",0.95,0.1,0.5,1e-08,6.666666666666668,2.0480972199146756
