cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.1,1e-08,1.4672284893902636,0.6846686053421459
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.2,1e-08,1.3605532887075418,0.8063563099860007
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.3,1e-08,0.9454089660506183,0.5833460952736793
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.4,1e-08,0.35336160226151525,0.13760945836033717
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.5,1e-08,0.271577281738096,0.0668702401092618
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.6,1e-08,0.2773555217750764,0.0654065576895783
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.7,1e-08,0.3222480020623883,0.09718776584903012
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.8,1e-08,0.35158368225013653,0.15604603499726002
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.1,0.9,1e-08,0.3298041621107482,0.2025610025466172
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.1,1e-08,2.7824448178076473,0.9628897829997977
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.2,1e-08,3.138028820083385,1.0475545971483606
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.3,1e-08,3.2500377808002434,0.9620067082345727
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.4,1e-08,3.3336000213350405,0.9719853904734856
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.5,1e-08,3.5638406628085804,1.0050484090141902
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.6,1e-08,3.7598563440630817,0.8820631464152114
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.7,1e-08,3.9394262652123295,1.118635813796438
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.8,1e-08,3.8771990648140746,0.9674284674485749
"[5, 15, 20, 25, 30, 35, 50, 55, 65]",0.92,0.3,0.9,1e-08,4.191446426825259,0.9795617258590116
