cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.1,1e-08,95.0600492483843,57.54335675343729
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.2,1e-08,107.18768612600118,53.689745963632916
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.3,1e-08,135.5775128676961,64.69287207895749
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.4,1e-08,139.17202265070097,63.9800723877022
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.5,1e-08,129.6481496297482,61.44270432653428
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.6,1e-08,125.52293072334678,61.27822915864144
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.7,1e-08,123.95569423331645,62.058849911415166
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.8,1e-08,121.46705069738911,61.16952831144003
"[10, 20, 30, 40, 90, 110]",0.92,0.1,0.9,1e-08,120.16516876905709,59.6348115196443
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.1,1e-08,107.48415428789862,61.28153267203644
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.2,1e-08,135.35393942626527,61.342133472585466
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.3,1e-08,133.73380981589642,63.01024440790617
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.4,1e-08,137.2380901583238,63.32795564277456
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.5,1e-08,139.22669369105088,64.2871786039365
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.6,1e-08,138.26350552488645,65.08008857816856
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.7,1e-08,139.62805913361962,65.68279794716399
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.8,1e-08,138.39151576570572,62.879897935960635
"[10, 20, 30, 40, 90, 110]",0.92,0.3,0.9,1e-08,136.81538967561852,64.0169978813204
"[10, 20, 30, 40, 90, 110]",0.92,0.5,0.1,1e-08,106.77298628334714,55.060791294975445
"[10, 20, 30, 40, 90, 110]",0.92,0.5,0.2,1e-08,132.82884853010466,67.95467348148829
"[10, 20, 30, 40, 90, 110]",0.92,0.5,0.3,1e-08,134.88101270323853,64.93594028870668
"[10, 20, 30, 40, 90, 110]",0.92,0.5,0.4,1e-08,140.18143673716122,65.13344078885052
