cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.1,1e-08,3.7591111111111117,1.4843596782185204
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.2,1e-08,5.564444444444446,1.7000281769632926
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.3,1e-08,6.409777777777777,1.426483615809463
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.4,1e-08,6.82977777777778,1.842990913209514
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.5,1e-08,6.798222222222224,1.6551861780327357
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.6,1e-08,6.6640000000000015,2.242397922859465
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.7,1e-08,5.92088888888889,2.32419527026474
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.8,1e-08,5.146222222222223,2.4272630117881864
"[10, 15, 40, 70, 75, 90]",0.92,0.1,0.9,1e-08,5.01288888888889,2.3491167344554764
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.1,1e-08,6.8839999999999995,1.836521349363156
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.2,1e-08,7.938666666666669,1.6955859033253242
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.3,1e-08,9.692,1.838058879482495
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.4,1e-08,9.352,1.7847073834229643
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.5,1e-08,10.19866666666667,2.320311856434629
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.6,1e-08,10.330222222222222,1.9452717478130161
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.7,1e-08,10.818222222222223,2.328917048175815
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.8,1e-08,10.610222222222223,2.166244562872078
"[10, 15, 40, 70, 75, 90]",0.92,0.3,0.9,1e-08,10.10088888888889,2.1792310797080314
"[10, 15, 40, 70, 75, 90]",0.92,0.5,0.1,1e-08,8.32,1.9214855364188064
