cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.1,1e-08,3.728444444444446,1.6567786086332392
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.2,1e-08,5.280000000000002,1.5613840014551195
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.3,1e-08,6.358222222222222,2.4234991129805037
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.4,1e-08,7.163555555555556,1.8134818022008328
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.5,1e-08,6.814222222222223,1.4716558910725002
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.6,1e-08,6.89688888888889,1.6651190444225799
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.7,1e-08,6.412000000000001,1.9193258075573194
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.8,1e-08,6.253777777777779,2.2314552191477497
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.1,0.9,1e-08,6.257777777777778,2.2524819781140075
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.1,1e-08,7.627555555555557,1.735850935171509
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.2,1e-08,8.168444444444445,1.7238844451548698
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.3,1e-08,9.469777777777779,2.01313739542027
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.4,1e-08,9.636,2.2156718569720057
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.5,1e-08,10.456444444444445,1.9361418170687987
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.6,1e-08,10.397333333333334,1.787520194136124
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.7,1e-08,10.144888888888891,1.6938904886840593
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.8,1e-08,10.040888888888889,2.2193650966208254
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.3,0.9,1e-08,9.906666666666666,2.0770406297850257
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.5,0.1,1e-08,8.236,1.4663975510678466
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.5,0.2,1e-08,9.412444444444446,2.0564318132311454
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.5,0.3,1e-08,10.014666666666667,2.022818276014378
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.5,0.4,1e-08,10.316444444444446,2.127555880509689
"[15, 20, 25, 30, 35, 40, 55, 80]",0.92,0.5,0.5,1e-08,10.522666666666668,2.0906802720645734
