spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.01,0.1,1e-07,0.1,3.0977777777777793,1.440562990082371
0.92,0.01,0.1,1e-07,0.3,2.5142222222222235,1.2397750492889856
0.92,0.01,0.1,1e-07,0.5,3.6684444444444453,1.5766940879300526
0.92,0.01,0.1,1e-07,0.7,5.299111111111113,1.648983285707654
0.92,0.01,0.1,1e-07,0.9,5.6751111111111125,1.6372505709569218
0.92,0.01,0.2,1e-07,0.1,5.524000000000001,1.39424595311508
0.92,0.01,0.2,1e-07,0.3,4.920000000000001,1.9508174924602477
0.92,0.01,0.2,1e-07,0.5,7.1960000000000015,1.4787297852473849
0.92,0.01,0.2,1e-07,0.7,7.707555555555556,1.5396062347316903
0.92,0.01,0.2,1e-07,0.9,8.36577777777778,2.189399196013868
0.92,0.01,0.3,1e-07,0.1,6.404,1.4972721863442202
0.92,0.01,0.3,1e-07,0.3,7.384444444444445,1.746701724273566
0.92,0.01,0.3,1e-07,0.5,8.352444444444446,1.7312925878346956
0.92,0.01,0.3,1e-07,0.7,8.98488888888889,2.024758555946003
0.92,0.01,0.3,1e-07,0.9,8.78711111111111,1.7584546526516112
0.92,0.01,0.4,1e-07,0.1,7.350666666666669,1.8065884361906495
0.92,0.01,0.4,1e-07,0.3,8.726666666666668,2.069099643162053
0.92,0.01,0.4,1e-07,0.5,9.407111111111112,1.9084753917689525
0.92,0.01,0.4,1e-07,0.7,9.875111111111112,1.9993516973950687
0.92,0.01,0.4,1e-07,0.9,9.446666666666667,1.993821567855169
0.92,0.01,0.5,1e-07,0.1,7.885333333333335,1.6089438910180947
0.92,0.01,0.5,1e-07,0.3,10.02888888888889,1.9665267997972942
0.92,0.01,0.5,1e-07,0.5,10.297777777777778,1.7963133714346897
0.92,0.01,0.5,1e-07,0.7,9.984444444444446,1.9673914546430427
0.92,0.01,0.5,1e-07,0.9,9.821777777777779,2.0610194768489256
