reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.005,8.48050821843525,4.803565947985343,"{'200': 0.011466018533782228, '400': 0.019952721139423656, '600': 0.017603166577708485, '800': 0.022463156837806385, '1000': 0.027020196292729327}","{'200': 0.036700083547560255, '400': 0.0789323954109298, '600': 0.059748780441469106, '800': 0.07695105968256973, '1000': 0.10167297109833118}",19.6,12.10950040257648
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.01,8.658180209972352,4.688703798557862,"{'200': 0.011113527539044545, '400': 0.026988438710521194, '600': 0.012223527199784942, '800': 0.014815511445645742, '1000': 0.016415479360356335}","{'200': 0.034889775423354245, '400': 0.1177958142487588, '600': 0.028120584930654037, '800': 0.030052372363998957, '1000': 0.03659587285048634}",17.68888888888889,10.660044240521543
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.005,9.066036838502631,4.74973253117167,"{'200': 0.010572654340783133, '400': 0.02679688827080222, '600': 0.010241663654543534, '800': 0.01162670809377069, '1000': 0.01182122006085615}","{'200': 0.03439685091161696, '400': 0.11658874694539546, '600': 0.023891803545284494, '800': 0.021146823371813398, '1000': 0.020124883294702123}",15.955555555555556,8.640873298343443
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.01,8.867946769074857,4.92421203071152,"{'200': 0.012237534916812419, '400': 0.02869195502691576, '600': 0.013211817443291602, '800': 0.017215376406424777, '1000': 0.01855084225553193}","{'200': 0.037185305652646154, '400': 0.11206749227643704, '600': 0.03274161172171218, '800': 0.03861312799249819, '1000': 0.04453568732716221}",17.355555555555554,10.914120426830468
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.005,8.916893351468115,4.795046316840535,"{'200': 0.008719412557985591, '400': 0.026428306141241843, '600': 0.016376940666867432, '800': 0.018391216549396457, '1000': 0.020502905742684152}","{'200': 0.027059275628792817, '400': 0.11539900269595436, '600': 0.047130914334525015, '800': 0.0544965453290893, '1000': 0.06936538797966864}",18.044444444444444,11.81139855404385
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.01,8.701982825292689,4.959507170868376,"{'200': 0.009470677364978298, '400': 0.028775359129772853, '600': 0.014877820349291807, '800': 0.01671891043659893, '1000': 0.018092406962779046}","{'200': 0.026970255521893093, '400': 0.12423105604498808, '600': 0.03488139517158938, '800': 0.03698407202356329, '1000': 0.04554091187544093}",17.377777777777776,11.294617968826056
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.005,8.862392546959311,4.719943881168133,"{'200': 0.009413724714407072, '400': 0.027602495720578935, '600': 0.011076834638045312, '800': 0.013571605435935327, '1000': 0.014661312083869362}","{'200': 0.028975845787033473, '400': 0.11264045876249923, '600': 0.022991024078086238, '800': 0.02201374620182565, '1000': 0.022721309052779068}",16.288888888888888,11.79759339342322
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.01,8.304382572828048,4.568186369939377,"{'200': 0.009191476034853896, '400': 0.02710793453521263, '600': 0.0123843967756527, '800': 0.016095806967324242, '1000': 0.018342911172772206}","{'200': 0.030277250834382978, '400': 0.11709787996417373, '600': 0.030786418735599373, '800': 0.034261301218964015, '1000': 0.04348111921982641}",18.933333333333334,11.838543453952058
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.005,7.719863811327127,4.68011483505721,"{'200': 0.016836620541195613, '400': 0.03406819926978074, '600': 0.024835538966613484, '800': 0.0316729221428389, '1000': 0.0357907309998833}","{'200': 0.05603287641230221, '400': 0.135824485596429, '600': 0.06901284947056281, '800': 0.08094689935494309, '1000': 0.0986079905616445}",22.42222222222222,14.09726354673746
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.01,7.028931203385158,4.452138396496211,"{'200': 0.01853037974531025, '400': 0.037707657348372094, '600': 0.07151173453730873, '800': 0.08319170501547045, '1000': 0.0854207361812628}","{'200': 0.06764934956896478, '400': 0.15703587451181406, '600': 0.35003677874375305, '800': 0.39204889757349587, '1000': 0.39413370391560626}",25.177777777777777,18.005294145999134
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.005,8.400003555840021,4.683137333507404,"{'200': 0.013245963924609907, '400': 0.029113515794218836, '600': 0.0209712258430946, '800': 0.02517710099647975, '1000': 0.027660938584374493}","{'200': 0.04726035842129567, '400': 0.1188207693300603, '600': 0.06560845990406221, '800': 0.07514251945476227, '1000': 0.09090557155207475}",17.333333333333332,12.620970203945848
