reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.04,3,0.005,10.738457298806127,4.968970332822951,"{'200': 0.007536153096210855, '400': 0.020777365938356045, '600': 0.006577829903375447, '800': 0.007003481914517189, '1000': 0.0070538814756186605}","{'200': 0.02434600186226917, '400': 0.09671408142417912, '600': 0.01781317981874948, '800': 0.013783317043997979, '1000': 0.012663631990442934}",13.6,8.890444308357146
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.04,3,0.01,9.556039149798648,4.693603054021109,"{'200': 0.010543639892546038, '400': 0.024798276111514167, '600': 0.009343700021004611, '800': 0.012751965839853167, '1000': 0.013185367622900993}","{'200': 0.03935407428622588, '400': 0.11238413269355876, '600': 0.026231923975859685, '800': 0.03128432866952977, '1000': 0.032982109643293664}",17.266666666666666,12.522690516729135
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.04,5,0.005,9.740180547777154,4.566659189220504,"{'200': 0.00776373085795831, '400': 0.013971111805018453, '600': 0.005589204612726588, '800': 0.006686775147610712, '1000': 0.007389526992024481}","{'200': 0.029426555670012476, '400': 0.05954333627679715, '600': 0.012524197611545405, '800': 0.012777381182335162, '1000': 0.015047441806843769}",14.177777777777777,8.316753877669363
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.04,5,0.01,9.08803282040341,4.472155891519427,"{'200': 0.0077854175302306105, '400': 0.015053226070986655, '600': 0.005605655178328135, '800': 0.006663960595685645, '1000': 0.007208154803484474}","{'200': 0.02710903378329359, '400': 0.06649853168659521, '600': 0.012525678444174902, '800': 0.011072371591072407, '1000': 0.011687103062264972}",15.977777777777778,7.881028948300508
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.04,7,0.005,9.060230151745472,4.4458173650883,"{'200': 0.007331657281185863, '400': 0.01721930383903655, '600': 0.007368701325926573, '800': 0.008685389415998088, '1000': 0.009828318925260641}","{'200': 0.02320686497266836, '400': 0.07649802609697996, '600': 0.016839609109256394, '800': 0.017011146413507313, '1000': 0.019997291065589954}",14.6,7.976075336766685
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.04,7,0.01,8.43181410068361,4.040013830824404,"{'200': 0.006709083964499983, '400': 0.018622864842556746, '600': 0.006873284855492561, '800': 0.007763796064648833, '1000': 0.008303698877838982}","{'200': 0.018053368997921662, '400': 0.07841542029090998, '600': 0.015358096912536678, '800': 0.014088745411505288, '1000': 0.015395289846094852}",16.288888888888888,8.698971132578386
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.06,3,0.005,10.141599327946235,4.870960958476496,"{'200': 0.007900691277221419, '400': 0.015299453507999005, '600': 0.005810096912884861, '800': 0.006917895423555574, '1000': 0.007350129362914995}","{'200': 0.02561929717062688, '400': 0.0639911325377076, '600': 0.012701167119225292, '800': 0.01227791984519846, '1000': 0.013075537247376827}",13.533333333333333,7.713192162349732
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.06,3,0.01,9.55398787458552,4.640621740915205,"{'200': 0.006989408871018272, '400': 0.01498397832690726, '600': 0.0058800190754723395, '800': 0.0071614078405463615, '1000': 0.00788623912479061}","{'200': 0.020952027842504366, '400': 0.06243675673486917, '600': 0.013006369969601467, '800': 0.01310649749614959, '1000': 0.014728585691772935}",14.022222222222222,8.923100828471105
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.06,5,0.005,9.804085660186146,4.8227164045798965,"{'200': 0.009053821632045593, '400': 0.02305586917142789, '600': 0.008600409673737508, '800': 0.009708007551267364, '1000': 0.010082694988305696}","{'200': 0.0304630572633436, '400': 0.10101375916474861, '600': 0.02151659529150967, '800': 0.0207463814439047, '1000': 0.021459830454293942}",15.71111111111111,9.950147340555588
300,3,0.92,0.83,0.6,1e-08,4,0.3,0.1,0.06,5,0.01,10.156526299881767,4.729531858399836,"{'200': 0.008081265029784684, '400': 0.020924183264237894, '600': 0.007474425955588293, '800': 0.008568804785669187, '1000': 0.008952658938196275}","{'200': 0.02304539843850306, '400': 0.09498239663522075, '600': 0.01926921402082893, '800': 0.017639429213212498, '1000': 0.01724240698775468}",12.822222222222223,9.645468455621792
