reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.005,3.9640424567298727,0.9141403587334492,"{'200': 0.24825193447033458, '400': 1.4410433030561494, '600': 1.8777376187565007, '800': 2.070051308231006, '1000': 2.1395095113488787}","{'200': 0.4399952185624623, '400': 0.4164458963495378, '600': 0.29602931998955323, '800': 0.2728698101717168, '1000': 0.23314537157140464}",55.06666666666667,15.303449139182824
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.01,4.06242499399952,0.9165939725080452,"{'200': 0.1970970736621691, '400': 1.4423898213489248, '600': 1.8422205783265821, '800': 2.0177749438517787, '1000': 2.0946795511646457}","{'200': 0.37631548901950995, '400': 0.3601622805738533, '600': 0.282677233511996, '800': 0.28390506931584636, '1000': 0.24253227855641665}",58.68888888888889,12.69614503561739
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.005,4.073110737747909,1.1127219409836242,"{'200': 0.21103130831928493, '400': 1.3582184329008382, '600': 1.7942542487582294, '800': 2.0068374794539356, '1000': 2.1105402674300184}","{'200': 0.3986095760045871, '400': 0.4596847494343716, '600': 0.34322429508505403, '800': 0.31111497770772417, '1000': 0.24186562075384274}",54.68888888888889,12.998841353874962
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.01,4.043264350036891,0.8189224951307617,"{'200': 0.18257912139497473, '400': 1.4584792780742393, '600': 1.8393192042931787, '800': 2.0257648824507406, '1000': 2.1064864191626222}","{'200': 0.34773882581518634, '400': 0.3779546776904117, '600': 0.3102898840033665, '800': 0.30609820668038873, '1000': 0.2411157651428712}",57.75555555555555,12.600097981198498
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.005,4.0086278013352175,0.9452949821359832,"{'200': 0.21794758835064834, '400': 1.404388022486511, '600': 1.823601931924177, '800': 2.016116357396149, '1000': 2.118839184746184}","{'200': 0.39081631335974304, '400': 0.3969455215460415, '600': 0.2945808152563677, '800': 0.30341805722483206, '1000': 0.25498433274461574}",56.53333333333333,11.731439241059329
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.01,4.046949089260473,0.8746142847357623,"{'200': 0.1714173450827727, '400': 1.3871823134998256, '600': 1.804100413432493, '800': 1.9712727259276823, '1000': 2.066354153824889}","{'200': 0.30169944775043733, '400': 0.37774162105334175, '600': 0.28036491887589, '800': 0.3021020504938888, '1000': 0.2523672525048404}",51.71111111111111,11.822055136663886
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.005,4.383365780373541,1.1169145406709737,"{'200': 0.143975585394476, '400': 1.30625101114775, '600': 1.7773970143311413, '800': 1.9836171215748273, '1000': 2.085096140353381}","{'200': 0.32801517110970446, '400': 0.489975028187739, '600': 0.3080831650473178, '800': 0.2784109247093971, '1000': 0.23755993982639437}",54.333333333333336,11.923832344417534
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.01,4.176651909930573,1.0854612602116316,"{'200': 0.18057203993122758, '400': 1.3942326233580975, '600': 1.8564213058428305, '800': 2.0083225603862958, '1000': 2.1171822392866386}","{'200': 0.31416437005839376, '400': 0.44364681112322796, '600': 0.2969879264145579, '800': 0.2844110691154184, '1000': 0.2338654381367153}",54.84444444444444,11.393868829926921
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.005,3.965147878496946,0.873476273637084,"{'200': 0.18832699570480393, '400': 1.469923004680463, '600': 1.8676370881865185, '800': 2.0511593749624932, '1000': 2.1264917568965025}","{'200': 0.3029467985641286, '400': 0.41947590982792643, '600': 0.3166321371585839, '800': 0.32433179938088, '1000': 0.2537950960667572}",54.888888888888886,11.370961499895193
300,3,0.95,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.01,3.9876247877607978,1.0086549449994953,"{'200': 0.23481144087217692, '400': 1.4484752413557451, '600': 1.8530496715527678, '800': 2.045699874316644, '1000': 2.1265617411137017}","{'200': 0.41593522852200004, '400': 0.4835019427120175, '600': 0.3310371860231002, '800': 0.3111445331579443, '1000': 0.26432503292910403}",55.24444444444445,11.093853264169018
