reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.005,11.0192,1.4674939727303828,"{'200': 0.0006900598404742545, '400': 0.013806937590314764, '600': 0.23041420467719373, '800': 1.0054254918008838, '1000': 1.4262067873292443}","{'200': 0.001295265568435733, '400': 0.017740880685355034, '600': 0.28167221582927787, '800': 0.3701793638002658, '1000': 0.2659471794212709}",26.022222222222226,10.109377140696628
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.01,11.0864,1.3533628633888255,"{'200': 0.0005986683992178925, '400': 0.010482613276935098, '600': 0.21840090425733102, '800': 1.0380528665945352, '1000': 1.473153268440904}","{'200': 0.0012266382868623394, '400': 0.010084241177219734, '600': 0.25383301907487665, '800': 0.33610316221256736, '1000': 0.24663169855861364}",29.622222222222224,12.054116657601323
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.005,11.024800000000004,1.4330764669060754,"{'200': 0.0005501319903949483, '400': 0.015388628836382399, '600': 0.26879934269460176, '800': 1.131607103816287, '1000': 1.5137938482489353}","{'200': 0.0009271923598124346, '400': 0.0183993444750043, '600': 0.31499456457201486, '800': 0.3858748969655145, '1000': 0.2819768948202723}",28.4,12.298870770205784
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.01,11.0112,1.112785046628503,"{'200': 0.0005434299672661826, '400': 0.012755801779484837, '600': 0.22084855928064884, '800': 0.9982085591991049, '1000': 1.4297904623405147}","{'200': 0.0008318640667660753, '400': 0.015957129772893715, '600': 0.2714051399287315, '800': 0.37988950057595905, '1000': 0.25115724340850776}",29.377777777777776,12.158744249649924
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.005,11.176000000000002,1.1104651277730428,"{'200': 0.00047925353831533476, '400': 0.016525155661598224, '600': 0.2690263328167911, '800': 1.127731406117819, '1000': 1.4690902937798396}","{'200': 0.0008677149588940092, '400': 0.02819544733045259, '600': 0.33232178943143187, '800': 0.36887546877681093, '1000': 0.2872376591435356}",28.022222222222226,12.754936105748566
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.01,11.162000000000004,1.2679192403303925,"{'200': 0.0005164249182523943, '400': 0.011654688003490597, '600': 0.2532275158376841, '800': 1.0549293305505978, '1000': 1.4691662434402317}","{'200': 0.0008567559794044479, '400': 0.012622924399766223, '600': 0.306742857876898, '800': 0.3873625037977903, '1000': 0.26542335457883204}",27.866666666666667,11.77115117564973
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.005,11.1872,1.070381315233034,"{'200': 0.00037016376770973927, '400': 0.010183985210942288, '600': 0.2021773196208097, '800': 1.0471130876920804, '1000': 1.4775605309908668}","{'200': 0.0005424472801074209, '400': 0.012218236491675765, '600': 0.27639396503119584, '800': 0.36569454753163677, '1000': 0.2410184301130165}",27.11111111111111,13.93512304649613
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.01,10.9312,1.1684366307164455,"{'200': 0.0006519978839078299, '400': 0.01636499181098126, '600': 0.2423211612420648, '800': 1.0982743055984074, '1000': 1.4976816653803895}","{'200': 0.0009035017455640287, '400': 0.021796003928259887, '600': 0.2748383986008495, '800': 0.34210808152044564, '1000': 0.28539332739977163}",27.68888888888889,11.583172127841744
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.005,11.1568,1.1452570715782548,"{'200': 0.0005171174595963613, '400': 0.014029751303853288, '600': 0.2307716903000306, '800': 1.1077674203310264, '1000': 1.5011473488551537}","{'200': 0.0010691327677818739, '400': 0.01698621494114888, '600': 0.30998757658643833, '800': 0.3198309627942698, '1000': 0.2218293170936972}",32.044444444444444,13.053659436777032
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.01,11.311600000000002,1.4240086516591108,"{'200': 0.0004830617531756425, '400': 0.011378684482506807, '600': 0.21783459327133942, '800': 1.0360026278387737, '1000': 1.4343187955117103}","{'200': 0.000924322717588893, '400': 0.01676987768700181, '600': 0.3009330902263775, '800': 0.3921973170294208, '1000': 0.2791725360903854}",26.866666666666667,11.40292360172016
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.005,11.196400000000002,1.2895756821528543,"{'200': 0.0005883633049379232, '400': 0.014197944990039948, '600': 0.23453962411233445, '800': 1.0621769064195021, '1000': 1.4420234978111042}","{'200': 0.0009590530121866103, '400': 0.021416847563415577, '600': 0.29646626164941026, '800': 0.3671991949244429, '1000': 0.28322903084262174}",28.64444444444445,12.624765002091117
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.01,11.510400000000004,1.4904444437817863,"{'200': 0.00038395689079251025, '400': 0.011675170309792999, '600': 0.21767136651102215, '800': 1.016109876136613, '1000': 1.4493159133597213}","{'200': 0.0005706059916074585, '400': 0.017985259555808385, '600': 0.32016932307130097, '800': 0.4498635416244413, '1000': 0.298983289343882}",23.822222222222223,7.883284394179001
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.005,11.3128,1.183017565381005,"{'200': 0.00033031749345853684, '400': 0.012015837197232402, '600': 0.2227985278919001, '800': 1.0600674135572337, '1000': 1.454981524460428}","{'200': 0.0003534718208535585, '400': 0.015919700766901832, '600': 0.3259648456602052, '800': 0.37847915305846647, '1000': 0.3013251687603723}",28.933333333333334,10.983624174196784
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.01,11.3192,1.3955848093183016,"{'200': 0.0005637685118257237, '400': 0.013288669806238385, '600': 0.22604297746159527, '800': 1.0166350633563634, '1000': 1.423121099999888}","{'200': 0.0008141991187344953, '400': 0.01796682395357124, '600': 0.30096733254892966, '800': 0.4119663108042727, '1000': 0.2941035510218364}",31.4,11.61301951355556
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.005,11.2992,1.357249335973313,"{'200': 0.0006244627200503904, '400': 0.014661215136112389, '600': 0.20271843372630802, '800': 1.0267007101071521, '1000': 1.448434603219619}","{'200': 0.0012002584040279735, '400': 0.021022174880502092, '600': 0.2843415628745303, '800': 0.3736579206267367, '1000': 0.26071820901526316}",28.91111111111111,11.165068984654718
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.01,11.285600000000002,1.1300565649559322,"{'200': 0.0004554529318003229, '400': 0.011544415670204311, '600': 0.1899039510938988, '800': 1.0290020601678491, '1000': 1.457753448118528}","{'200': 0.0007203559186330679, '400': 0.016129142337082836, '600': 0.2803750032934885, '800': 0.372008031479271, '1000': 0.27318876442504114}",25.57777777777778,10.878089883162982
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,7,0.005,11.192800000000002,1.272335553224856,"{'200': 0.0005257900896107585, '400': 0.012699790425378306, '600': 0.17175947670901753, '800': 0.9299891560188333, '1000': 1.3946713532848212}","{'200': 0.000926734732450312, '400': 0.016772337957430727, '600': 0.19921747224989103, '800': 0.3305483425736161, '1000': 0.23704122514785034}",29.33333333333333,12.635048256514276
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.05,0.04,7,0.01,11.2044,1.385948570474388,"{'200': 0.0006688686677895408, '400': 0.016202287641165627, '600': 0.2520303877700669, '800': 1.0357945144642544, '1000': 1.4570408523903313}","{'200': 0.0013924661633403677, '400': 0.02923033778951071, '600': 0.29836689023487134, '800': 0.3899842870579573, '1000': 0.3032241312483891}",28.288888888888888,10.04351028104378
