tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.2,"[0.1, 0.1]","[0.3, 0.1, 0.1]",2.940000000000001,0.9018499505645792,"{'200': 1.1209341293327202, '400': 1.9021966167010498, '600': 2.1020514752455592, '800': 2.2491118078059444, '1000': 6.958919652405425}","{'200': 0.585716403793998, '400': 0.36451209772397036, '600': 0.26554764379523743, '800': 0.36951511823275596, '1000': 18.127286118899132}"
0.01,0.2,"[0.1, 0.3]","[0.3, 0.1, 0.1]",2.6893333333333342,0.9254101793259032,"{'200': 1.2592857855376773, '400': 1.8796445203026624, '600': 5.872579642193509, '800': 11.258169223510045, '1000': 17.124005346645706}","{'200': 0.5376994308069137, '400': 0.36985772095546005, '600': 18.201807352590734, '800': 36.53180099925565, '1000': 52.46035116235414}"
0.01,0.2,"[0.1, 0.5]","[0.3, 0.1, 0.1]",2.788444444444446,0.9767837371372456,"{'200': 1.2479117920116205, '400': 1.9594491492645514, '600': 2.233250133205842, '800': 6.734188771097532, '1000': 12.030016665237852}","{'200': 0.5444311561762989, '400': 0.3655874802990327, '600': 0.5693707206996331, '800': 20.92814994593972, '1000': 48.47139138911469}"
0.01,0.2,"[0.1, 0.7]","[0.3, 0.1, 0.1]",3.119111111111112,1.713854424288808,"{'200': 1.216819071962613, '400': 1.845801453484388, '600': 2.1394841812193945, '800': 10.60404706895587, '1000': 18.686409661947}","{'200': 0.5985325139032907, '400': 0.5915213221531987, '600': 0.48251492120805467, '800': 32.199653512958584, '1000': 54.65068076621818}"
0.01,0.2,"[0.1, 0.9]","[0.3, 0.1, 0.1]",2.728000000000001,0.8016471931106742,"{'200': 1.1976913582679294, '400': 1.9828043048142427, '600': 2.9417096151051374, '800': 8.589178164635362, '1000': 14.36067379266439}","{'200': 0.5581995591878837, '400': 0.3186653967244258, '600': 5.0264474492512665, '800': 29.705348515087078, '1000': 47.339922007071856}"
0.01,0.2,"[0.3, 0.1]","[0.3, 0.1, 0.1]",2.827555555555556,0.972495428279584,"{'200': 1.0909806318192161, '400': 1.9167338283370539, '600': 5.473121107853566, '800': 6.457505553101225, '1000': 9.045521009805427}","{'200': 0.6070374776505362, '400': 0.337875006444481, '600': 22.326730440788836, '800': 28.184118674223235, '1000': 33.097311264068914}"
0.01,0.2,"[0.3, 0.3]","[0.3, 0.1, 0.1]",3.14177777777778,1.2735659279517126,"{'200': 0.9743699629043828, '400': 1.8022805701433295, '600': 4.9403215464622185, '800': 6.790308767299609, '1000': 10.997538379335055}","{'200': 0.5717847251455666, '400': 0.4689475935864098, '600': 18.9714354868214, '800': 21.58219727185127, '1000': 33.567531779699905}"
0.01,0.2,"[0.3, 0.5]","[0.3, 0.1, 0.1]",3.0564444444444456,1.0835849052628872,"{'200': 0.9816134769940277, '400': 1.8135014023777014, '600': 2.076127689609662, '800': 4.5421435333602656, '1000': 7.723362942692244}","{'200': 0.5837880725019845, '400': 0.3895781673591572, '600': 0.30013727872832485, '800': 15.58025549519188, '1000': 19.578852132485558}"
0.01,0.2,"[0.3, 0.7]","[0.3, 0.1, 0.1]",2.9591111111111115,1.2459709684904332,"{'200': 2.4622801285582967, '400': 4.705771488373744, '600': 6.529172277808949, '800': 7.47845780737993, '1000': 14.259458446285}","{'200': 8.9958697097088, '400': 18.59281424785781, '600': 22.58935293295207, '800': 25.258631026028855, '1000': 37.08896139474289}"
0.01,0.2,"[0.3, 0.9]","[0.3, 0.1, 0.1]",3.1822222222222227,1.4828214680712042,"{'200': 0.9514009553962662, '400': 1.6560552983916346, '600': 1.9741820085207151, '800': 4.3872573734444025, '1000': 4.978173013436676}","{'200': 0.6337006283422288, '400': 0.5395887635683129, '600': 0.34787821396939006, '800': 15.193510442540676, '1000': 18.504590280878222}"
0.01,0.2,"[0.5, 0.1]","[0.3, 0.1, 0.1]",2.903555555555557,1.1713034630142334,"{'200': 0.9685305326575291, '400': 1.762955475113711, '600': 2.0003229237505864, '800': 2.1558680376677484, '1000': 4.1366835024956465}","{'200': 0.5746946641279369, '400': 0.5365795523918994, '600': 0.3610735652713168, '800': 0.2980178263547825, '1000': 12.618132389982673}"
0.01,0.2,"[0.5, 0.3]","[0.3, 0.1, 0.1]",3.20088888888889,1.3347256434226016,"{'200': 1.0296477090919873, '400': 2.943673627650659, '600': 6.697481473649991, '800': 11.354426360580216, '1000': 20.004801123722732}","{'200': 0.6717861735781535, '400': 7.413677937326172, '600': 24.765039619624105, '800': 39.11720013078674, '1000': 57.93785539455868}"
0.01,0.2,"[0.5, 0.5]","[0.3, 0.1, 0.1]",3.323111111111112,1.0530797631966533,"{'200': 0.9555056002997528, '400': 1.7660819413559916, '600': 9.520230543600976, '800': 18.89521736804144, '1000': 24.647387335923998}","{'200': 0.6600143253781522, '400': 0.49180937351017334, '600': 49.684374171936014, '800': 63.09088509248944, '1000': 72.60331976160316}"
0.01,0.2,"[0.5, 0.7]","[0.3, 0.1, 0.1]",3.4182222222222225,1.4785748226494455,"{'200': 0.9144365605083562, '400': 1.6541586444888943, '600': 3.0755417773629663, '800': 4.9760003593155435, '1000': 6.89059979555842}","{'200': 0.6364583802847875, '400': 0.4535086255735354, '600': 7.465095277515118, '800': 19.080695448134755, '1000': 24.755194047696587}"
0.01,0.2,"[0.5, 0.9]","[0.3, 0.1, 0.1]",3.4862222222222234,1.388964904586448,"{'200': 0.9042032875795941, '400': 1.6938899672427716, '600': 1.9937827973579674, '800': 13.399566350938674, '1000': 23.27329671204967}","{'200': 0.6502943367424866, '400': 0.5268811044218299, '600': 0.3833551870818789, '800': 39.12066645568173, '1000': 56.26193924885929}"
0.01,0.2,"[0.7, 0.1]","[0.3, 0.1, 0.1]",3.038666666666668,1.1611901940107254,"{'200': 1.0560713313913899, '400': 1.821696832826744, '600': 2.0911550891547734, '800': 2.2233932557520126, '1000': 3.177569094757992}","{'200': 0.6710511564247226, '400': 0.4584636145964254, '600': 0.36480933477922256, '800': 0.42344683563173063, '1000': 6.033381237528753}"
0.01,0.2,"[0.7, 0.3]","[0.3, 0.1, 0.1]",3.2448888888888896,1.420254472069037,"{'200': 0.9118805313647683, '400': 1.765937331403951, '600': 2.0229064581055605, '800': 8.273797812269466, '1000': 13.412295928465927}","{'200': 0.5992306703962191, '400': 0.47448641710115214, '600': 0.3311824134273228, '800': 23.151990824646383, '1000': 37.51335390099649}"
