reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.04,3,0.005,7.578956983225324,4.575642264714653,"{'200': 0.013976331375111194, '400': 0.026302771770245644, '600': 0.019968165246610287, '800': 0.02849495865342192, '1000': 0.033487100621613204}","{'200': 0.039709164631305124, '400': 0.10453985043775123, '600': 0.04544919616168921, '800': 0.05854325813566978, '1000': 0.07271013991239265}",22.555555555555557,11.76540230327993
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.04,3,0.01,8.780720235396608,4.696009568752599,"{'200': 0.013783155202685284, '400': 0.02388953723098178, '600': 0.017884123928928436, '800': 0.02172944219939506, '1000': 0.02593530217704135}","{'200': 0.04895197457629171, '400': 0.10752870399202268, '600': 0.06118971159421579, '800': 0.08020108220029576, '1000': 0.10756413749098588}",17.42222222222222,12.662260442202761
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.04,5,0.005,7.133325332693281,4.417706194427201,"{'200': 0.020841792039887452, '400': 0.034583386358297045, '600': 0.08557377959616576, '800': 0.11355100753591713, '1000': 0.13649817391676528}","{'200': 0.06523582544271582, '400': 0.11102754551985852, '600': 0.3906291755348307, '800': 0.5042127064450896, '1000': 0.6155921184869866}",26.644444444444446,20.138581606851126
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.04,5,0.01,7.961945844556452,5.0055108560866595,"{'200': 0.019247165758405762, '400': 0.03420273306431982, '600': 0.07195197823933171, '800': 0.09738675081385094, '1000': 0.11652237098018133}","{'200': 0.05462053023883957, '400': 0.1133205553191251, '600': 0.3515174376238283, '800': 0.4785711664343965, '1000': 0.5740938127982829}",23.844444444444445,26.6682962465051
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.04,7,0.005,7.868817949880434,4.327160581893649,"{'200': 0.011356608528981915, '400': 0.025621525773275606, '600': 0.0096753060533728, '800': 0.011705048204159582, '1000': 0.012312649943713675}","{'200': 0.04027719714466517, '400': 0.11843591849420519, '600': 0.022625717156631742, '800': 0.01986348384123708, '1000': 0.018904622077275696}",19.155555555555555,9.371245750356794
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.04,7,0.01,9.14262829915282,4.779882724362667,"{'200': 0.011901648641721383, '400': 0.027184729819387795, '600': 0.009435968541449267, '800': 0.010374198105424004, '1000': 0.01091461398844237}","{'200': 0.04116797689094382, '400': 0.131372599950577, '600': 0.024858157209601814, '800': 0.021086318022157317, '1000': 0.01856276143443888}",14.71111111111111,7.69883749441642
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.06,3,0.005,8.342567849872433,4.341956175280981,"{'200': 0.012054689275159111, '400': 0.02701644478167298, '600': 0.011532525277160128, '800': 0.014745393908320449, '1000': 0.01517116820253931}","{'200': 0.03518951922128049, '400': 0.1078242525591895, '600': 0.025820426250529434, '800': 0.02849354035630931, '1000': 0.03029132845149325}",19.31111111111111,11.133178087185511
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.06,3,0.01,8.387822136882061,4.355604524914513,"{'200': 0.01081579199889914, '400': 0.022125630254615093, '600': 0.073364361756545, '800': 0.10144058698899734, '1000': 0.12232393405699316}","{'200': 0.03378556564422458, '400': 0.09723927014548692, '600': 0.45543180313548565, '800': 0.6451850658874332, '1000': 0.7994928422939439}",18.11111111111111,15.067584370609381
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.06,5,0.005,9.077239956974335,4.999554603535584,"{'200': 0.01557990670352896, '400': 0.03292497952195725, '600': 0.014579497207485678, '800': 0.016552307823473, '1000': 0.017451099096942604}","{'200': 0.06040285522426479, '400': 0.15445356805735877, '600': 0.0361428548806335, '800': 0.03660429401566218, '1000': 0.04303320119141526}",17.22222222222222,9.91942849807362
300,3,0.98,0.83,0.6,1e-08,4,0.3,0.1,0.06,5,0.01,9.107472597807822,4.8088817930332395,"{'200': 0.010251408218518053, '400': 0.023897966476081074, '600': 0.010873867880135663, '800': 0.012211866263576827, '1000': 0.013006377592329851}","{'200': 0.04049181059322451, '400': 0.10931178011263204, '600': 0.02640980757489731, '800': 0.0258846944304217, '1000': 0.029560200345381114}",16.11111111111111,11.051841922346846
