reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.005,4.1361197784711665,1.036356079289019,"{'200': 0.19317099165330384, '400': 1.3397342361788123, '600': 1.7897992529113875, '800': 2.0064749105855055, '1000': 2.078271186019258}","{'200': 0.38125619449273845, '400': 0.462741674893455, '600': 0.31228074889428864, '800': 0.2976219838069241, '1000': 0.23875781199397875}",53.888888888888886,10.80786179330629
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.01,4.056897885164147,1.0415630926430715,"{'200': 0.24422320135731304, '400': 1.4092875222905183, '600': 1.835656203858564, '800': 2.026398602774831, '1000': 2.1180562401780745}","{'200': 0.44807407009922556, '400': 0.4454706706751045, '600': 0.32000962131233823, '800': 0.30139430172227044, '1000': 0.2517657559214332}",53.77777777777778,11.093319088309942
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.005,4.049159932794623,0.9325960690492822,"{'200': 0.19979169288087387, '400': 1.3778223590790832, '600': 1.833964676643894, '800': 2.0433282658650107, '1000': 2.1189338276185703}","{'200': 0.33566791903045323, '400': 0.3924651303465406, '600': 0.30974272292439115, '800': 0.32339615198645005, '1000': 0.26164795065874613}",56.577777777777776,10.929041614765858
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.01,4.118801504120329,1.0850569158089722,"{'200': 0.21585827075718053, '400': 1.3941241317664994, '600': 1.879817601857003, '800': 2.0728202247746164, '1000': 2.1577650149608263}","{'200': 0.4171223622224273, '400': 0.4640609549755732, '600': 0.31551486663717127, '800': 0.3115441167631302, '1000': 0.257691096170085}",56.08888888888889,12.241681478951278
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.005,4.247030429100995,1.0817589862594983,"{'200': 0.18255678837525388, '400': 1.3000327285741615, '600': 1.7809976834548753, '800': 1.985711138251421, '1000': 2.083342404855659}","{'200': 0.3750900251088609, '400': 0.4772531366104782, '600': 0.2969071821761553, '800': 0.29628788505940795, '1000': 0.23620554736780255}",50.8,11.523116862299984
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.01,4.1269079304122105,0.9577012230333549,"{'200': 0.170925467172463, '400': 1.3388030138571665, '600': 1.7953465022532307, '800': 1.9810530249770637, '1000': 2.0827006172998783}","{'200': 0.3267949747786401, '400': 0.35922123122683797, '600': 0.29028054239769474, '800': 0.2834300087275919, '1000': 0.23923573491902103}",54.044444444444444,10.89129225177528
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.005,4.224921993759501,1.123423994968579,"{'200': 0.17973475469514064, '400': 1.3443876289950591, '600': 1.8211318955313711, '800': 2.033393945463538, '1000': 2.1395058000548235}","{'200': 0.34118965877179236, '400': 0.465416569250656, '600': 0.35960710782450006, '800': 0.3462430377133884, '1000': 0.27677423042741855}",53.955555555555556,13.303225265669067
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.01,4.052844672018206,0.8403931371326907,"{'200': 0.15998136560674356, '400': 1.3791103093918282, '600': 1.8360903647877644, '800': 2.0245065993617093, '1000': 2.1296384185634265}","{'200': 0.28269042672066447, '400': 0.32195348827142617, '600': 0.2612812098180887, '800': 0.29080494967919107, '1000': 0.25902069879614925}",55.55555555555556,13.247315125137295
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.005,4.176651909930573,1.1136937626545642,"{'200': 0.21110383893461648, '400': 1.3273264704852539, '600': 1.8426471940185905, '800': 2.038279690264601, '1000': 2.117903681453981}","{'200': 0.3708588349047493, '400': 0.5080610405947413, '600': 0.27683890553776663, '800': 0.2912809403842458, '1000': 0.23417132322946466}",55.044444444444444,10.015444862933903
300,3,0.92,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.01,4.035157923745009,0.9837021263203549,"{'200': 0.18889272512326855, '400': 1.3888948516987005, '600': 1.845808882265894, '800': 2.035441808113256, '1000': 2.1286344599550926}","{'200': 0.3366539535617294, '400': 0.3741400513207816, '600': 0.29649086689624193, '800': 0.2883726059717485, '1000': 0.2241734533831251}",54.46666666666667,10.225458424931373
