reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_ADev,std_ADev
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.005,11.170800000000002,1.1549424920748217,"{'200': 0.00043908069021570247, '400': 0.011303934145351855, '600': 0.20458803185705776, '800': 1.0558614588066266, '1000': 1.4710505291956402}","{'200': 0.0008116218345100818, '400': 0.016007700413419767, '600': 0.289171623955278, '800': 0.3335725774417315, '1000': 0.24657027689795136}",28.733333333333334,10.869733718500703
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.04,3,0.01,10.921600000000002,1.0226236062207836,"{'200': 0.0005053088971156821, '400': 0.015504092451370669, '600': 0.21902207258534848, '800': 1.1104358309859674, '1000': 1.4727554539920684}","{'200': 0.0007219979169384168, '400': 0.01878596701509051, '600': 0.2684478589074133, '800': 0.3521231002649588, '1000': 0.24486744763469312}",28.022222222222222,11.457145056230464
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.005,10.888800000000002,1.1210042640418458,"{'200': 0.0005150689826540479, '400': 0.01655165213290348, '600': 0.25595365023783684, '800': 1.070226474439407, '1000': 1.4921420467730302}","{'200': 0.0008023311499968173, '400': 0.01965022850125595, '600': 0.2739487296398322, '800': 0.3236160240788037, '1000': 0.2118384008337827}",25.866666666666667,10.554830384446944
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.04,5,0.01,11.197999999999999,1.278319521872368,"{'200': 0.0007992543998787545, '400': 0.014624761927258936, '600': 0.2440697168740946, '800': 1.0870636090848351, '1000': 1.504349893550336}","{'200': 0.0016548304671322896, '400': 0.020214969929899122, '600': 0.2987602505360563, '800': 0.38429536976485934, '1000': 0.2680707279235873}",28.133333333333333,11.590417497992805
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.005,10.8704,1.1372798424310517,"{'200': 0.0005676942303056444, '400': 0.017036214660753893, '600': 0.2533863460097481, '800': 1.1043407397149176, '1000': 1.4699067398997248}","{'200': 0.0007834598075108702, '400': 0.02358642681805146, '600': 0.2840927750379318, '800': 0.2914263870263455, '1000': 0.2504020581308717}",28.844444444444445,12.608560681899254
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.04,7,0.01,10.716800000000001,1.241007074919398,"{'200': 0.0006766189708231382, '400': 0.013899939670410245, '600': 0.28166844401695046, '800': 1.1194726619233397, '1000': 1.5037006312422654}","{'200': 0.0011440472893359556, '400': 0.013658645262412013, '600': 0.32072781723374444, '800': 0.30647453834666233, '1000': 0.24930859892303392}",29.244444444444444,13.6644804032703
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.005,11.262000000000002,1.268593551930641,"{'200': 0.0004125553401629663, '400': 0.013104354041480403, '600': 0.24485615334242827, '800': 1.0774262266744752, '1000': 1.47379561721338}","{'200': 0.0005501245466244208, '400': 0.019053527866581956, '600': 0.30330705912019634, '800': 0.3481683991749797, '1000': 0.24308604760151095}",28.91111111111111,10.588929695619168
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.06,3,0.01,11.2832,1.413139257115165,"{'200': 0.0004439676756027754, '400': 0.011952585274841582, '600': 0.2135014882782053, '800': 1.0480206278904638, '1000': 1.4482777600039274}","{'200': 0.000830377474086271, '400': 0.01596125484544997, '600': 0.27444268618133594, '800': 0.38438259957932847, '1000': 0.27231465963248963}",28.511111111111113,11.218283137058444
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.005,11.035600000000004,1.4212976605904903,"{'200': 0.0005898870974186845, '400': 0.012829838597621183, '600': 0.24580093689405721, '800': 1.1061162176061141, '1000': 1.4707600670887422}","{'200': 0.0010906644699599794, '400': 0.017129992109825354, '600': 0.2998150141181179, '800': 0.3969702708491497, '1000': 0.2678354314804717}",30.333333333333332,10.02884728060896
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.06,5,0.01,11.249199999999998,1.321558837131363,"{'200': 0.0004976887132485401, '400': 0.013825821879158103, '600': 0.19928505404055905, '800': 0.9742240003834083, '1000': 1.445113668310044}","{'200': 0.0007373315274970016, '400': 0.018178137876727212, '600': 0.2526963582312381, '800': 0.3883909319435346, '1000': 0.25260331825928534}",30.555555555555557,10.99202853699101
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.005,10.765600000000001,1.557920870904553,"{'200': 0.000639144456425047, '400': 0.014047799892765967, '600': 0.29483189956269096, '800': 1.1221095905737852, '1000': 1.5151079912569827}","{'200': 0.0011125657053041534, '400': 0.014642569180448583, '600': 0.31139892917040346, '800': 0.36156274225728546, '1000': 0.28086586195879204}",30.77777777777778,11.274137343473608
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.1,0.06,7,0.01,11.120400000000002,1.2887720667363953,"{'200': 0.0006492305771325118, '400': 0.01394448891220216, '600': 0.24571369362928114, '800': 1.05269128074641, '1000': 1.4267401346911794}","{'200': 0.0009980876715220753, '400': 0.017292315662422862, '600': 0.2973176283425262, '800': 0.38571500678407217, '1000': 0.2867697407521904}",28.044444444444444,12.366541878176427
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.005,11.4052,1.700820790089303,"{'200': 0.0005360551814158075, '400': 0.011566816544443448, '600': 0.2220510118031651, '800': 0.9473093144169882, '1000': 1.372019083688324}","{'200': 0.0009161183902016106, '400': 0.01373347892121222, '600': 0.32229038962313766, '800': 0.41825933426229156, '1000': 0.33875764816521403}",26.77777777777778,9.268558293472948
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.04,3,0.01,10.949200000000001,0.8686095555541622,"{'200': 0.0005478825506459787, '400': 0.01304461321413952, '600': 0.23227389878531132, '800': 1.0961578659621556, '1000': 1.4984992584074033}","{'200': 0.000740040606157111, '400': 0.012712492278319795, '600': 0.274785825446219, '800': 0.2482818108552367, '1000': 0.23514822212846845}",26.333333333333332,9.496198069637016
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.005,11.054800000000002,1.3524535333977283,"{'200': 0.00045875079633625265, '400': 0.012919300673966926, '600': 0.24341657094185998, '800': 1.005457823961252, '1000': 1.4555331835396508}","{'200': 0.0006503217934379719, '400': 0.013984461185205566, '600': 0.2851287130560545, '800': 0.40351453700219947, '1000': 0.2911244800593061}",29.488888888888887,11.807007753819994
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.04,5,0.01,11.509600000000002,1.5216146161232809,"{'200': 0.0004660020783348844, '400': 0.012863750206529101, '600': 0.1900367980839118, '800': 0.9730141176803777, '1000': 1.4213504821706313}","{'200': 0.0007239907234573166, '400': 0.020407876636324783, '600': 0.27354932531585546, '800': 0.41025193496439005, '1000': 0.2587358268885437}",28.044444444444444,10.829908290481821
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.04,7,0.005,11.289200000000003,1.312353976638925,"{'200': 0.000458344295740124, '400': 0.011331903164772566, '600': 0.21757649857749897, '800': 0.9821379978198209, '1000': 1.4232087187988327}","{'200': 0.000790284779055835, '400': 0.017520558378007613, '600': 0.27897164484412135, '800': 0.3929487202775175, '1000': 0.3038661574925498}",26.066666666666666,11.168208848731693
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.04,7,0.01,11.214400000000001,1.4768655456743511,"{'200': 0.0005724315787711857, '400': 0.01352649761720629, '600': 0.21598902367838188, '800': 1.027110588768025, '1000': 1.4353592051999138}","{'200': 0.0010079599290909774, '400': 0.01847120643006217, '600': 0.2730766433532148, '800': 0.37073659372828416, '1000': 0.2566872096407066}",29.08888888888889,11.436437328356767
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.06,3,0.005,10.923200000000001,1.1670760729275533,"{'200': 0.0005381981071236282, '400': 0.014594486336896886, '600': 0.23880542615813338, '800': 1.1242317695508919, '1000': 1.488257309985719}","{'200': 0.000870174466767474, '400': 0.02132940771846306, '600': 0.29106822337784016, '800': 0.31263071853491814, '1000': 0.2544226914947963}",26.666666666666668,10.498677165349081
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.06,3,0.01,11.262000000000002,1.3569660275776985,"{'200': 0.0005687390509443606, '400': 0.014563206264699992, '600': 0.21258705938929973, '800': 1.008399747608134, '1000': 1.4158150087363623}","{'200': 0.001030316386042016, '400': 0.021979177114553206, '600': 0.2602939589262957, '800': 0.35706982221572947, '1000': 0.29004283536537584}",27.133333333333333,10.242829470197947
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.06,5,0.005,11.378800000000002,1.5196660685821737,"{'200': 0.0005709078611250813, '400': 0.011459538371347906, '600': 0.25068647368235775, '800': 1.0608164907413866, '1000': 1.4932745245242365}","{'200': 0.001015515114387807, '400': 0.014108140839444203, '600': 0.31731153053616923, '800': 0.4318104109217484, '1000': 0.2956064601731277}",29.844444444444445,10.968552128812133
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.06,5,0.01,11.432400000000001,1.5125598963346871,"{'200': 0.0006786577833426667, '400': 0.012971699707285558, '600': 0.18117385188435653, '800': 1.0101131836632455, '1000': 1.4051255730168077}","{'200': 0.0012539067919772327, '400': 0.015083581552541138, '600': 0.21349544808995094, '800': 0.3676047229736998, '1000': 0.2811614909540654}",28.68888888888889,11.904849100209773
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.06,7,0.005,11.054000000000002,1.35208224601908,"{'200': 0.0006539590581318053, '400': 0.01387620610195935, '600': 0.23585053476806372, '800': 1.025151141291353, '1000': 1.4284326805566732}","{'200': 0.0010831119070289156, '400': 0.017167678399547446, '600': 0.25151255286570356, '800': 0.3087348577994311, '1000': 0.2394919913689477}",29.377777777777776,11.561024346943366
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.05,0.06,7,0.01,11.038000000000002,1.2672755028011864,"{'200': 0.000859286994776049, '400': 0.016149886456325695, '600': 0.23841838415972716, '800': 1.0401698309773066, '1000': 1.4294057557644935}","{'200': 0.0015168355291252343, '400': 0.019077533942643825, '600': 0.2795548578523302, '800': 0.3241982068042957, '1000': 0.25889101401281917}",27.6,10.90443334917806
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.2,0.04,3,0.005,11.5408,1.5464082772670353,"{'200': 0.0004742731709133713, '400': 0.013280209220485228, '600': 0.20109971327433712, '800': 1.0638400022999701, '1000': 1.483815471527177}","{'200': 0.000643942409631947, '400': 0.016342441877047365, '600': 0.3002347975096281, '800': 0.42571948382324654, '1000': 0.299787459563277}",30.511111111111113,12.51065718537106
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.2,0.04,3,0.01,10.894000000000002,1.2482358751453988,"{'200': 0.0006323359125854887, '400': 0.013263691359146323, '600': 0.220591290007748, '800': 1.0027112154141835, '1000': 1.4312435929104532}","{'200': 0.0012323255424865596, '400': 0.018723212033954863, '600': 0.2816795168371388, '800': 0.36505353656121187, '1000': 0.2546599538438553}",28.68888888888889,11.087174216127636
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.2,0.04,5,0.005,11.2292,1.1783422932238325,"{'200': 0.0005814173786056475, '400': 0.01552888010839756, '600': 0.21047738306042552, '800': 1.0097214121422933, '1000': 1.4038559113851508}","{'200': 0.000841801084873744, '400': 0.019646539559581424, '600': 0.25876484181326515, '800': 0.30555225295213273, '1000': 0.24490155905463554}",27.88888888888889,12.226060003528387
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.2,0.04,5,0.01,11.258400000000002,1.3164147674650262,"{'200': 0.000633943828690884, '400': 0.012073980855580882, '600': 0.23150710993856904, '800': 1.0082432113062325, '1000': 1.4222480791864915}","{'200': 0.0011286225762556505, '400': 0.013492947912455837, '600': 0.2961136435481083, '800': 0.3797729804323452, '1000': 0.25985471217221573}",27.955555555555556,11.67134297814867
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.2,0.04,7,0.005,11.0944,1.3006591559666973,"{'200': 0.0004537083602204397, '400': 0.012760877660544904, '600': 0.2516972375813064, '800': 1.0501452524254928, '1000': 1.466271101910815}","{'200': 0.0006395229513438375, '400': 0.014830661945654989, '600': 0.29012941692998967, '800': 0.36390027024517596, '1000': 0.2708543742662502}",29.555555555555557,10.839343062413484
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.2,0.04,7,0.01,11.099199999999998,1.1895885675308073,"{'200': 0.000496191397265532, '400': 0.0120754481438716, '600': 0.2674065715381484, '800': 1.079305217690196, '1000': 1.4863366462635617}","{'200': 0.0007547187566930804, '400': 0.011651748417589307, '600': 0.3077849035870558, '800': 0.3508654280670079, '1000': 0.2706053238848863}",28.31111111111111,9.261202758994637
300,3,0.98,1.0,0.7,1e-08,6,0.3,0.2,0.06,3,0.005,11.013200000000003,1.381287862829468,"{'200': 0.0006225223761330095, '400': 0.01974061204325846, '600': 0.25873023837475484, '800': 1.0488137841220726, '1000': 1.430255517892745}","{'200': 0.0008487552418628552, '400': 0.03250975669402443, '600': 0.25863510207679613, '800': 0.3095448563260457, '1000': 0.23012776293737422}",28.266666666666666,10.1530509919159
