reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.02,3,0.005,9.466199999999999,1.7103495432220859
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.02,3,0.01,8.979600000000001,1.1628030959711104
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.02,5,0.005,9.360600000000002,1.5363010251900509
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.02,5,0.01,9.333600000000002,1.503948084210356
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.02,7,0.005,9.270000000000001,1.3705949073303896
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.02,7,0.01,8.8278,1.2829819796084427
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.04,3,0.005,9.615000000000002,1.3491443955337026
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.04,3,0.01,9.733200000000004,1.661442794681779
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.04,5,0.005,9.4278,1.4357914751105045
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.04,5,0.01,9.362400000000003,1.2006844048291787
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.04,7,0.005,9.3516,1.1924619239204244
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.04,7,0.01,9.519600000000002,1.5738406018399698
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.06,3,0.005,8.403599999999999,2.6800451936487932
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.06,3,0.01,8.1714,2.458066728142261
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.06,5,0.005,9.506400000000001,1.6655122455268823
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.06,5,0.01,9.576600000000003,2.156444490359072
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.06,7,0.005,8.9418,1.4033820434935032
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.05,0.06,7,0.01,9.123600000000001,1.1338069676977642
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.02,3,0.005,9.406200000000002,1.1095525043908465
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.02,3,0.01,9.727200000000002,1.7390186197968096
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.02,5,0.005,9.538800000000004,1.9704858690180962
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.02,5,0.01,9.687000000000001,1.7519347590592527
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.02,7,0.005,9.208200000000001,1.3877341099792853
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.02,7,0.01,9.529200000000001,1.6787712649435003
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.04,3,0.005,9.249600000000003,1.331641032711143
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.04,3,0.01,9.6012,1.4227866178735304
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.04,5,0.005,9.625200000000001,1.3500234664627129
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.04,5,0.01,9.498600000000001,1.1872738689956928
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.04,7,0.005,9.354600000000001,1.296401187904423
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.04,7,0.01,9.438600000000001,1.5981424342029098
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.06,3,0.005,8.911200000000001,1.1600059310193203
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.06,3,0.01,9.129,1.4367720069656138
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.06,5,0.005,9.165,1.1574161740705025
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.06,5,0.01,9.220200000000002,1.4357012084692278
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.06,7,0.005,9.4806,1.562507484782073
300,3,0.98,0.6,0.3,1e-08,6,0.2,0.1,0.06,7,0.01,9.739800000000002,1.2654
