cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 25, 30, 35, 45, 60, 95]",0.95,0.2,0.1,1.00E-08,6.742,1.939854634
"[10, 15, 20, 25, 45, 75, 110]",0.95,0.2,0.1,1.00E-08,6.694,2.591594876
"[10, 15, 25, 40, 55, 75, 80]",0.95,0.2,0.1,1.00E-08,6.574,1.635702907
"[25, 30, 35, 40, 50, 55, 65]",0.95,0.2,0.1,1.00E-08,6.47,1.996982724
"[10, 20, 25, 30, 60, 75, 80]",0.95,0.2,0.1,1.00E-08,6.43,1.940118553
"[10, 25, 30, 35, 50, 65, 85]",0.95,0.2,0.1,1.00E-08,6.422,1.859278355
"[10, 15, 20, 45, 50, 75, 85]",0.95,0.2,0.1,1.00E-08,6.403,1.947062146
"[10, 20, 25, 50, 55, 65, 75]",0.95,0.2,0.1,1.00E-08,6.389,1.873824698
"[10, 15, 25, 35, 50, 80, 85]",0.95,0.2,0.1,1.00E-08,6.373,1.764520048
"[15, 20, 25, 40, 45, 55, 100]",0.95,0.2,0.1,1.00E-08,6.364,2.699619232
"[10, 15, 20, 25, 40, 60, 130]",0.95,0.2,0.1,1.00E-08,6.358,2.018602487
"[15, 20, 30, 35, 50, 70, 80]",0.95,0.2,0.1,1.00E-08,6.356,2.076618405
"[10, 20, 25, 30, 50, 80, 85]",0.95,0.2,0.1,1.00E-08,6.354,1.729509757
"[10, 15, 30, 40, 55, 60, 90]",0.95,0.2,0.1,1.00E-08,6.334,2.106068375
"[15, 20, 25, 40, 45, 70, 85]",0.95,0.2,0.1,1.00E-08,6.3,2.327651177
"[10, 20, 25, 30, 40, 70, 105]",0.95,0.2,0.1,1.00E-08,6.29,2.367289589
"[10, 20, 35, 45, 50, 55, 85]",0.95,0.2,0.1,1.00E-08,6.288,1.792466457
"[20, 25, 30, 35, 45, 70, 75]",0.95,0.2,0.1,1.00E-08,6.288,1.784493205
"[10, 15, 20, 25, 35, 65, 130]",0.95,0.2,0.1,1.00E-08,6.287,1.891171859
"[15, 20, 30, 35, 50, 60, 90]",0.95,0.2,0.1,1.00E-08,6.285,1.553973938
"[10, 25, 30, 40, 45, 60, 90]",0.95,0.2,0.1,1.00E-08,6.275,1.725918596
"[20, 25, 35, 40, 50, 55, 75]",0.95,0.2,0.1,1.00E-08,6.275,1.908076256
"[15, 25, 30, 35, 50, 65, 80]",0.95,0.2,0.1,1.00E-08,6.268,1.831462803
"[10, 15, 25, 45, 55, 70, 80]",0.95,0.2,0.1,1.00E-08,6.265,2.831062521
"[10, 20, 25, 35, 55, 75, 80]",0.95,0.2,0.1,1.00E-08,6.261,1.570572825
