cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 30, 75, 185]",0.95,0.2,0.1,1.00E-08,6.614,2.251800169
"[15, 40, 85, 160]",0.95,0.2,0.1,1.00E-08,6.467,1.947154591
"[30, 55, 65, 150]",0.95,0.2,0.1,1.00E-08,6.411,1.891353748
"[35, 40, 60, 165]",0.95,0.2,0.1,1.00E-08,6.312,1.4777334
"[10, 20, 55, 215]",0.95,0.2,0.1,1.00E-08,6.302,1.986281954
"[15, 40, 70, 175]",0.95,0.2,0.1,1.00E-08,6.298,2.202007266
"[40, 65, 80, 115]",0.95,0.2,0.1,1.00E-08,6.275,2.045364271
"[25, 30, 95, 150]",0.95,0.2,0.1,1.00E-08,6.274,1.527076946
"[25, 60, 95, 120]",0.95,0.2,0.1,1.00E-08,6.27,1.90162562
"[30, 45, 60, 165]",0.95,0.2,0.1,1.00E-08,6.27,1.540655705
"[35, 70, 75, 120]",0.95,0.2,0.1,1.00E-08,6.26,1.661926593
"[50, 75, 85, 90]",0.95,0.2,0.1,1.00E-08,6.213,1.536128575
"[40, 60, 65, 135]",0.95,0.2,0.1,1.00E-08,6.211,1.505901391
"[50, 70, 85, 95]",0.95,0.2,0.1,1.00E-08,6.204,1.796102447
"[10, 40, 70, 180]",0.95,0.2,0.1,1.00E-08,6.194,1.538728046
"[15, 30, 105, 150]",0.95,0.2,0.1,1.00E-08,6.185,1.680962522
"[30, 55, 80, 135]",0.95,0.2,0.1,1.00E-08,6.177,1.864170325
"[20, 30, 45, 205]",0.95,0.2,0.1,1.00E-08,6.173,2.093334899
"[25, 50, 90, 135]",0.95,0.2,0.1,1.00E-08,6.165,1.610960893
"[30, 50, 75, 145]",0.95,0.2,0.1,1.00E-08,6.161,2.245461868
"[15, 25, 60, 200]",0.95,0.2,0.1,1.00E-08,6.16,1.696502284
"[10, 65, 80, 145]",0.95,0.2,0.1,1.00E-08,6.149,1.336674605
"[10, 50, 100, 140]",0.95,0.2,0.1,1.00E-08,6.146,1.690894438
"[45, 60, 70, 125]",0.95,0.2,0.1,1.00E-08,6.146,1.417590914
"[40, 60, 75, 125]",0.95,0.2,0.1,1.00E-08,6.14,1.34971108
"[20, 50, 95, 135]",0.95,0.2,0.1,1.00E-08,6.134,2.413628803
"[15, 30, 60, 195]",0.95,0.2,0.1,1.00E-08,6.098,1.373068097
"[10, 30, 80, 180]",0.95,0.2,0.1,1.00E-08,6.091,1.731732947
"[10, 55, 60, 175]",0.95,0.2,0.1,1.00E-08,6.082,1.953938587
"[10, 55, 105, 130]",0.95,0.2,0.1,1.00E-08,6.075,1.465317372
"[15, 40, 100, 145]",0.95,0.2,0.1,1.00E-08,6.074,1.552302806
"[25, 30, 85, 160]",0.95,0.2,0.1,1.00E-08,6.073,1.67400448
"[40, 45, 90, 125]",0.95,0.2,0.1,1.00E-08,6.069,1.679303129
"[45, 50, 60, 145]",0.95,0.2,0.1,1.00E-08,6.069,1.356679402
"[20, 50, 100, 130]",0.95,0.2,0.1,1.00E-08,6.064,2.027861928
"[10, 25, 95, 170]",0.95,0.2,0.1,1.00E-08,6.059,1.658004524
"[20, 35, 90, 155]",0.95,0.2,0.1,1.00E-08,6.058,1.564147052
"[25, 65, 75, 135]",0.95,0.2,0.1,1.00E-08,6.053,1.465882328
"[25, 30, 80, 165]",0.95,0.2,0.1,1.00E-08,6.049,1.442559877
"[10, 15, 30, 245]",0.95,0.2,0.1,1.00E-08,6.046,1.454112788
"[40, 50, 70, 140]",0.95,0.2,0.1,1.00E-08,6.042,1.688856418
"[25, 60, 75, 140]",0.95,0.2,0.1,1.00E-08,6.027,1.808151266
"[30, 50, 60, 160]",0.95,0.2,0.1,1.00E-08,6.026,1.608416613
"[20, 35, 85, 160]",0.95,0.2,0.1,1.00E-08,6.025,1.910140047
"[20, 25, 105, 150]",0.95,0.2,0.1,1.00E-08,6.013,1.732977496
"[45, 50, 65, 140]",0.95,0.2,0.1,1.00E-08,6.012,1.810794301
"[30, 80, 85, 105]",0.95,0.2,0.1,1.00E-08,6.011,1.710596095
"[40, 55, 90, 115]",0.95,0.2,0.1,1.00E-08,6.01,1.569821646
"[25, 65, 95, 115]",0.95,0.2,0.1,1.00E-08,6.004,1.372364383
"[35, 40, 80, 145]",0.95,0.2,0.1,1.00E-08,5.994,1.906327359
"[20, 35, 80, 165]",0.95,0.2,0.1,1.00E-08,5.989,1.783978419
"[55, 65, 85, 95]",0.95,0.2,0.1,1.00E-08,5.989,1.448384963
"[10, 70, 105, 115]",0.95,0.2,0.1,1.00E-08,5.981,1.424787353
"[10, 35, 110, 145]",0.95,0.2,0.1,1.00E-08,5.98,1.796975236
"[15, 70, 80, 135]",0.95,0.2,0.1,1.00E-08,5.977,1.991163228
"[30, 55, 105, 110]",0.95,0.2,0.1,1.00E-08,5.974,1.941938207
"[55, 60, 80, 105]",0.95,0.2,0.1,1.00E-08,5.971,1.760164481
"[40, 75, 85, 100]",0.95,0.2,0.1,1.00E-08,5.97,1.690993791
"[35, 40, 45, 180]",0.95,0.2,0.1,1.00E-08,5.965,1.893693481
"[15, 40, 65, 180]",0.95,0.2,0.1,1.00E-08,5.964,1.344984758
"[15, 25, 100, 160]",0.95,0.2,0.1,1.00E-08,5.962,1.835536979
"[10, 45, 105, 140]",0.95,0.2,0.1,1.00E-08,5.961,1.663964843
"[20, 65, 85, 130]",0.95,0.2,0.1,1.00E-08,5.959,1.433282596
"[10, 45, 115, 130]",0.95,0.2,0.1,1.00E-08,5.958,1.695310001
"[15, 30, 95, 160]",0.95,0.2,0.1,1.00E-08,5.958,1.419970422
"[20, 35, 115, 130]",0.95,0.2,0.1,1.00E-08,5.956,1.91198954
"[10, 15, 90, 185]",0.95,0.2,0.1,1.00E-08,5.951,1.648362521
"[10, 70, 85, 135]",0.95,0.2,0.1,1.00E-08,5.951,1.455602624
"[25, 55, 105, 115]",0.95,0.2,0.1,1.00E-08,5.95,1.521137732
"[10, 75, 85, 130]",0.95,0.2,0.1,1.00E-08,5.947,1.345336761
"[10, 30, 85, 175]",0.95,0.2,0.1,1.00E-08,5.946,1.669504118
"[35, 50, 70, 145]",0.95,0.2,0.1,1.00E-08,5.946,1.295640382
"[20, 30, 120, 130]",0.95,0.2,0.1,1.00E-08,5.944,1.586513158
