cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[25, 50, 65, 70, 90]",0.95,0.2,0.1,1.00E-08,7.308,2.860485274
"[25, 45, 55, 65, 110]",0.95,0.2,0.1,1.00E-08,6.928,2.333035791
"[10, 20, 30, 60, 180]",0.95,0.2,0.1,1.00E-08,6.614,2.028261324
"[10, 20, 25, 55, 190]",0.95,0.2,0.1,1.00E-08,6.589,1.66123418
"[25, 30, 45, 95, 105]",0.95,0.2,0.1,1.00E-08,6.554,1.814630541
"[10, 15, 55, 60, 160]",0.95,0.2,0.1,1.00E-08,6.528,2.19652817
"[10, 20, 55, 100, 115]",0.95,0.2,0.1,1.00E-08,6.469,1.994065947
"[30, 35, 45, 80, 110]",0.95,0.2,0.1,1.00E-08,6.463,1.877831462
"[25, 30, 40, 60, 145]",0.95,0.2,0.1,1.00E-08,6.459,1.970172327
"[10, 35, 60, 75, 120]",0.95,0.2,0.1,1.00E-08,6.453,1.953952661
"[10, 20, 25, 45, 200]",0.95,0.2,0.1,1.00E-08,6.446,1.656757073
"[10, 15, 45, 85, 145]",0.95,0.2,0.1,1.00E-08,6.444,1.984798227
"[20, 35, 40, 95, 110]",0.95,0.2,0.1,1.00E-08,6.444,2.04759957
"[25, 35, 65, 80, 95]",0.95,0.2,0.1,1.00E-08,6.436,2.469725491
"[10, 20, 40, 100, 130]",0.95,0.2,0.1,1.00E-08,6.415,2.121422872
"[35, 50, 60, 70, 85]",0.95,0.2,0.1,1.00E-08,6.412,1.92469634
"[20, 45, 65, 80, 90]",0.95,0.2,0.1,1.00E-08,6.371,1.804122779
"[15, 30, 55, 90, 110]",0.95,0.2,0.1,1.00E-08,6.368,1.924540465
"[15, 20, 25, 115, 125]",0.95,0.2,0.1,1.00E-08,6.362,2.150850065
"[15, 25, 35, 40, 185]",0.95,0.2,0.1,1.00E-08,6.335,2.124616436
"[35, 40, 60, 70, 95]",0.95,0.2,0.1,1.00E-08,6.332,1.771105869
"[30, 35, 45, 90, 100]",0.95,0.2,0.1,1.00E-08,6.327,2.439231641
"[10, 20, 25, 35, 210]",0.95,0.2,0.1,1.00E-08,6.323,1.720142727
"[10, 35, 55, 60, 140]",0.95,0.2,0.1,1.00E-08,6.323,2.285583295
"[40, 45, 60, 65, 90]",0.95,0.2,0.1,1.00E-08,6.321,1.649066099
"[15, 60, 65, 70, 90]",0.95,0.2,0.1,1.00E-08,6.307,2.254624359
"[10, 15, 30, 75, 170]",0.95,0.2,0.1,1.00E-08,6.297,2.624700173
"[15, 35, 60, 70, 120]",0.95,0.2,0.1,1.00E-08,6.294,2.137223432
"[25, 50, 70, 75, 80]",0.95,0.2,0.1,1.00E-08,6.291,1.689478914
"[10, 20, 70, 85, 115]",0.95,0.2,0.1,1.00E-08,6.29,2.385837379
"[40, 45, 50, 75, 90]",0.95,0.2,0.1,1.00E-08,6.29,1.75897129
"[10, 40, 70, 75, 105]",0.95,0.2,0.1,1.00E-08,6.289,1.623360404
"[10, 25, 55, 60, 150]",0.95,0.2,0.1,1.00E-08,6.287,1.927820272
"[10, 45, 60, 90, 95]",0.95,0.2,0.1,1.00E-08,6.28,1.746184412
"[30, 35, 40, 90, 105]",0.95,0.2,0.1,1.00E-08,6.279,2.270228843
"[30, 40, 45, 75, 110]",0.95,0.2,0.1,1.00E-08,6.259,1.582485071
"[15, 35, 60, 90, 100]",0.95,0.2,0.1,1.00E-08,6.256,1.565983397
"[15, 20, 70, 95, 100]",0.95,0.2,0.1,1.00E-08,6.252,2.410696165
"[10, 35, 50, 75, 130]",0.95,0.2,0.1,1.00E-08,6.251,1.601705029
"[15, 25, 75, 90, 95]",0.95,0.2,0.1,1.00E-08,6.25,1.955612436
"[10, 25, 40, 70, 155]",0.95,0.2,0.1,1.00E-08,6.243,1.830412795
"[10, 30, 40, 60, 160]",0.95,0.2,0.1,1.00E-08,6.236,1.823388055
"[25, 50, 55, 70, 100]",0.95,0.2,0.1,1.00E-08,6.233,1.816108752
"[20, 50, 55, 60, 115]",0.95,0.2,0.1,1.00E-08,6.229,1.7315135
"[45, 55, 60, 65, 75]",0.95,0.2,0.1,1.00E-08,6.228,1.948993586
"[10, 30, 65, 80, 115]",0.95,0.2,0.1,1.00E-08,6.227,1.716930692
"[20, 45, 55, 65, 115]",0.95,0.2,0.1,1.00E-08,6.227,1.756009966
"[20, 25, 50, 95, 110]",0.95,0.2,0.1,1.00E-08,6.226,1.432132675
"[20, 35, 50, 65, 130]",0.95,0.2,0.1,1.00E-08,6.226,1.498493911
"[15, 45, 60, 85, 95]",0.95,0.2,0.1,1.00E-08,6.224,2.125385612
"[35, 40, 55, 60, 110]",0.95,0.2,0.1,1.00E-08,6.218,1.68866693
"[35, 45, 55, 70, 95]",0.95,0.2,0.1,1.00E-08,6.207,1.932234717
"[25, 50, 65, 75, 85]",0.95,0.2,0.1,1.00E-08,6.206,1.770108471
"[45, 50, 55, 60, 90]",0.95,0.2,0.1,1.00E-08,6.203,1.757979238
"[10, 65, 70, 75, 80]",0.95,0.2,0.1,1.00E-08,6.202,1.395906874
"[10, 15, 75, 90, 110]",0.95,0.2,0.1,1.00E-08,6.2,1.649739373
"[30, 40, 50, 70, 110]",0.95,0.2,0.1,1.00E-08,6.199,2.05975217
"[30, 45, 55, 70, 100]",0.95,0.2,0.1,1.00E-08,6.199,1.989436855
"[10, 55, 70, 75, 90]",0.95,0.2,0.1,1.00E-08,6.197,1.670009281
"[15, 35, 60, 80, 110]",0.95,0.2,0.1,1.00E-08,6.197,1.577064044
"[10, 30, 35, 100, 125]",0.95,0.2,0.1,1.00E-08,6.186,1.68756748
"[10, 40, 60, 75, 115]",0.95,0.2,0.1,1.00E-08,6.182,1.725791413
"[25, 35, 40, 70, 130]",0.95,0.2,0.1,1.00E-08,6.18,1.985457126
"[30, 40, 60, 75, 95]",0.95,0.2,0.1,1.00E-08,6.178,1.577997465
"[25, 45, 55, 70, 105]",0.95,0.2,0.1,1.00E-08,6.176,1.579045281
"[30, 35, 40, 45, 150]",0.95,0.2,0.1,1.00E-08,6.166,2.001920078
"[15, 40, 75, 80, 90]",0.95,0.2,0.1,1.00E-08,6.162,1.411125792
"[15, 25, 30, 35, 195]",0.95,0.2,0.1,1.00E-08,6.161,2.249617523
"[20, 40, 65, 75, 100]",0.95,0.2,0.1,1.00E-08,6.157,2.019567033
"[15, 20, 65, 80, 120]",0.95,0.2,0.1,1.00E-08,6.155,1.848727941
"[25, 45, 50, 60, 120]",0.95,0.2,0.1,1.00E-08,6.152,1.541913097
"[25, 40, 45, 60, 130]",0.95,0.2,0.1,1.00E-08,6.151,1.3465285
"[25, 40, 70, 80, 85]",0.95,0.2,0.1,1.00E-08,6.151,1.520795516
"[20, 35, 50, 75, 120]",0.95,0.2,0.1,1.00E-08,6.15,1.899152443
"[15, 25, 35, 95, 130]",0.95,0.2,0.1,1.00E-08,6.144,1.573767454
"[15, 40, 45, 75, 125]",0.95,0.2,0.1,1.00E-08,6.142,1.579239057
"[20, 40, 45, 50, 145]",0.95,0.2,0.1,1.00E-08,6.136,1.933810746
"[10, 15, 40, 110, 125]",0.95,0.2,0.1,1.00E-08,6.134,1.802454993
"[25, 30, 55, 90, 100]",0.95,0.2,0.1,1.00E-08,6.134,2.063638534
"[10, 55, 60, 70, 105]",0.95,0.2,0.1,1.00E-08,6.129,1.524643893
"[30, 35, 50, 60, 125]",0.95,0.2,0.1,1.00E-08,6.127,1.557514366
"[10, 40, 60, 70, 120]",0.95,0.2,0.1,1.00E-08,6.124,1.514379081
"[10, 15, 20, 125, 130]",0.95,0.2,0.1,1.00E-08,6.123,1.667180554
"[25, 30, 45, 50, 150]",0.95,0.2,0.1,1.00E-08,6.123,1.989656
"[10, 20, 45, 100, 125]",0.95,0.2,0.1,1.00E-08,6.119,1.476922137
"[15, 25, 30, 55, 175]",0.95,0.2,0.1,1.00E-08,6.119,1.875872863
"[25, 45, 50, 80, 100]",0.95,0.2,0.1,1.00E-08,6.115,1.528958796
"[35, 40, 65, 70, 90]",0.95,0.2,0.1,1.00E-08,6.115,1.545753861
"[15, 35, 45, 100, 105]",0.95,0.2,0.1,1.00E-08,6.113,1.785309777
"[10, 30, 50, 55, 155]",0.95,0.2,0.1,1.00E-08,6.112,1.528978744
"[25, 30, 60, 80, 105]",0.95,0.2,0.1,1.00E-08,6.109,1.739787056
"[10, 30, 50, 60, 150]",0.95,0.2,0.1,1.00E-08,6.107,1.619768811
"[15, 30, 50, 75, 130]",0.95,0.2,0.1,1.00E-08,6.107,2.043783501
"[10, 50, 55, 85, 100]",0.95,0.2,0.1,1.00E-08,6.104,2.115718318
"[20, 25, 75, 85, 95]",0.95,0.2,0.1,1.00E-08,6.102,1.538439469
"[20, 40, 50, 55, 135]",0.95,0.2,0.1,1.00E-08,6.1,1.971009893
"[10, 40, 50, 95, 105]",0.95,0.2,0.1,1.00E-08,6.098,1.470957511
"[15, 20, 55, 75, 135]",0.95,0.2,0.1,1.00E-08,6.098,1.590344617
"[15, 40, 60, 85, 100]",0.95,0.2,0.1,1.00E-08,6.098,1.716460311
"[15, 45, 55, 65, 120]",0.95,0.2,0.1,1.00E-08,6.098,1.528252597
"[25, 40, 45, 70, 120]",0.95,0.2,0.1,1.00E-08,6.097,1.637818977
"[10, 35, 40, 95, 120]",0.95,0.2,0.1,1.00E-08,6.093,1.618274081
"[25, 35, 55, 90, 95]",0.95,0.2,0.1,1.00E-08,6.093,1.666364606
"[10, 35, 45, 55, 155]",0.95,0.2,0.1,1.00E-08,6.087,1.673502614
"[15, 35, 45, 95, 110]",0.95,0.2,0.1,1.00E-08,6.084,1.663184897
"[10, 25, 45, 55, 165]",0.95,0.2,0.1,1.00E-08,6.082,1.662226218
"[15, 45, 50, 60, 130]",0.95,0.2,0.1,1.00E-08,6.08,1.593348675
"[20, 35, 55, 70, 120]",0.95,0.2,0.1,1.00E-08,6.079,1.835870093
"[10, 40, 65, 85, 100]",0.95,0.2,0.1,1.00E-08,6.077,1.604596834
"[30, 45, 60, 80, 85]",0.95,0.2,0.1,1.00E-08,6.074,1.749321011
"[15, 40, 50, 65, 130]",0.95,0.2,0.1,1.00E-08,6.071,1.408892828
"[30, 45, 50, 60, 115]",0.95,0.2,0.1,1.00E-08,6.068,1.642064554
"[15, 30, 35, 70, 150]",0.95,0.2,0.1,1.00E-08,6.067,1.890124599
"[10, 40, 55, 80, 115]",0.95,0.2,0.1,1.00E-08,6.066,1.449290861
"[15, 30, 65, 80, 110]",0.95,0.2,0.1,1.00E-08,6.065,1.405288227
"[10, 40, 65, 80, 105]",0.95,0.2,0.1,1.00E-08,6.062,1.360189693
"[25, 30, 55, 75, 115]",0.95,0.2,0.1,1.00E-08,6.06,1.455472432
"[10, 15, 20, 50, 205]",0.95,0.2,0.1,1.00E-08,6.058,1.640486513
"[15, 25, 50, 70, 140]",0.95,0.2,0.1,1.00E-08,6.058,1.324868295
"[25, 35, 55, 75, 110]",0.95,0.2,0.1,1.00E-08,6.057,1.626508838
"[10, 15, 45, 90, 140]",0.95,0.2,0.1,1.00E-08,6.056,1.668047961
"[15, 50, 60, 65, 110]",0.95,0.2,0.1,1.00E-08,6.052,2.120560303
"[30, 35, 45, 70, 120]",0.95,0.2,0.1,1.00E-08,6.052,1.60794776
"[15, 20, 45, 55, 165]",0.95,0.2,0.1,1.00E-08,6.051,1.565432528
"[20, 35, 50, 90, 105]",0.95,0.2,0.1,1.00E-08,6.051,1.301360442
"[10, 45, 65, 85, 95]",0.95,0.2,0.1,1.00E-08,6.05,1.333649129
"[15, 30, 35, 75, 145]",0.95,0.2,0.1,1.00E-08,6.045,1.598572801
"[20, 40, 60, 70, 110]",0.95,0.2,0.1,1.00E-08,6.043,1.232968369
"[15, 25, 50, 75, 135]",0.95,0.2,0.1,1.00E-08,6.042,1.765512957
"[35, 45, 55, 75, 90]",0.95,0.2,0.1,1.00E-08,6.04,1.459561578
"[25, 35, 50, 85, 105]",0.95,0.2,0.1,1.00E-08,6.037,1.611276202
"[15, 45, 50, 85, 105]",0.95,0.2,0.1,1.00E-08,6.034,1.6971753
"[25, 50, 60, 70, 95]",0.95,0.2,0.1,1.00E-08,6.03,1.710385921
"[15, 25, 45, 65, 150]",0.95,0.2,0.1,1.00E-08,6.029,1.257783368
"[25, 35, 50, 70, 120]",0.95,0.2,0.1,1.00E-08,6.025,1.501810574
"[20, 40, 45, 60, 135]",0.95,0.2,0.1,1.00E-08,6.024,1.60085727
"[25, 30, 50, 55, 140]",0.95,0.2,0.1,1.00E-08,6.023,1.709155054
"[15, 40, 45, 60, 140]",0.95,0.2,0.1,1.00E-08,6.022,1.633338912
"[20, 35, 45, 55, 145]",0.95,0.2,0.1,1.00E-08,6.021,1.84331739
"[30, 35, 40, 60, 135]",0.95,0.2,0.1,1.00E-08,6.021,1.261673096
"[10, 40, 55, 70, 125]",0.95,0.2,0.1,1.00E-08,6.019,1.590439876
"[15, 20, 55, 70, 140]",0.95,0.2,0.1,1.00E-08,6.019,1.332373446
"[20, 30, 50, 95, 105]",0.95,0.2,0.1,1.00E-08,6.015,1.767969174
"[35, 45, 55, 80, 85]",0.95,0.2,0.1,1.00E-08,6.015,1.458271237
"[10, 25, 30, 50, 185]",0.95,0.2,0.1,1.00E-08,6.013,1.672331008
"[10, 30, 50, 75, 135]",0.95,0.2,0.1,1.00E-08,6.013,1.460085956
"[15, 30, 65, 85, 105]",0.95,0.2,0.1,1.00E-08,6.013,1.615911817
"[30, 40, 55, 75, 100]",0.95,0.2,0.1,1.00E-08,6.011,1.548566757
"[10, 35, 45, 60, 150]",0.95,0.2,0.1,1.00E-08,6.01,2.222129609
"[10, 30, 40, 100, 120]",0.95,0.2,0.1,1.00E-08,6.008,1.92286661
"[10, 30, 35, 95, 130]",0.95,0.2,0.1,1.00E-08,6.007,1.460606381
"[30, 35, 60, 80, 95]",0.95,0.2,0.1,1.00E-08,6.005,1.831795567
"[20, 25, 50, 55, 150]",0.95,0.2,0.1,1.00E-08,6.003,1.258892767
"[10, 25, 35, 105, 125]",0.95,0.2,0.1,1.00E-08,6.002,1.533295797
"[10, 30, 45, 100, 115]",0.95,0.2,0.1,1.00E-08,6.002,1.509780116
"[30, 40, 60, 80, 90]",0.95,0.2,0.1,1.00E-08,6.002,1.995684344
"[35, 40, 45, 50, 130]",0.95,0.2,0.1,1.00E-08,6,1.267643483
"[15, 25, 35, 50, 175]",0.95,0.2,0.1,1.00E-08,5.999,1.272626811
"[15, 55, 60, 80, 90]",0.95,0.2,0.1,1.00E-08,5.997,1.729870226
"[10, 25, 50, 100, 115]",0.95,0.2,0.1,1.00E-08,5.996,1.452592166
"[20, 30, 40, 75, 135]",0.95,0.2,0.1,1.00E-08,5.994,1.677606629
"[10, 25, 30, 75, 160]",0.95,0.2,0.1,1.00E-08,5.992,1.599767483
"[30, 45, 60, 70, 95]",0.95,0.2,0.1,1.00E-08,5.991,1.450909715
"[30, 40, 55, 70, 105]",0.95,0.2,0.1,1.00E-08,5.989,2.097240806
"[25, 35, 45, 80, 115]",0.95,0.2,0.1,1.00E-08,5.988,1.805086148
"[30, 50, 65, 70, 85]",0.95,0.2,0.1,1.00E-08,5.988,2.206811274
"[15, 20, 25, 105, 135]",0.95,0.2,0.1,1.00E-08,5.987,1.693059656
"[15, 35, 50, 90, 110]",0.95,0.2,0.1,1.00E-08,5.987,1.7295696
"[20, 45, 50, 70, 115]",0.95,0.2,0.1,1.00E-08,5.987,1.861239103
"[10, 15, 45, 65, 165]",0.95,0.2,0.1,1.00E-08,5.986,2.019416747
"[10, 15, 20, 35, 220]",0.95,0.2,0.1,1.00E-08,5.982,2.005591185
"[15, 25, 50, 55, 155]",0.95,0.2,0.1,1.00E-08,5.982,1.452871639
"[15, 45, 50, 75, 115]",0.95,0.2,0.1,1.00E-08,5.982,1.34327808
"[25, 55, 65, 75, 80]",0.95,0.2,0.1,1.00E-08,5.979,1.162023666
"[10, 15, 60, 90, 125]",0.95,0.2,0.1,1.00E-08,5.975,1.782356586
"[10, 20, 60, 65, 145]",0.95,0.2,0.1,1.00E-08,5.975,1.448887504
"[10, 35, 45, 90, 120]",0.95,0.2,0.1,1.00E-08,5.975,1.631819537
"[10, 35, 65, 85, 105]",0.95,0.2,0.1,1.00E-08,5.975,1.515214506
"[10, 35, 40, 70, 145]",0.95,0.2,0.1,1.00E-08,5.973,1.778789195
"[15, 35, 60, 65, 125]",0.95,0.2,0.1,1.00E-08,5.972,1.153141795
"[15, 30, 45, 60, 150]",0.95,0.2,0.1,1.00E-08,5.971,1.436878213
"[30, 35, 50, 80, 105]",0.95,0.2,0.1,1.00E-08,5.971,1.779038785
"[10, 60, 65, 70, 95]",0.95,0.2,0.1,1.00E-08,5.97,1.523804449
"[10, 15, 70, 85, 120]",0.95,0.2,0.1,1.00E-08,5.969,1.543106931
"[15, 45, 50, 70, 120]",0.95,0.2,0.1,1.00E-08,5.969,1.663724436
"[10, 35, 75, 80, 100]",0.95,0.2,0.1,1.00E-08,5.967,1.498763157
"[15, 35, 60, 85, 105]",0.95,0.2,0.1,1.00E-08,5.965,1.448141913
"[20, 30, 45, 65, 140]",0.95,0.2,0.1,1.00E-08,5.965,1.411635576
"[20, 45, 70, 80, 85]",0.95,0.2,0.1,1.00E-08,5.965,1.350109255
"[10, 35, 45, 65, 145]",0.95,0.2,0.1,1.00E-08,5.962,1.432632542
"[20, 30, 45, 70, 135]",0.95,0.2,0.1,1.00E-08,5.962,1.508719987
"[15, 20, 45, 70, 150]",0.95,0.2,0.1,1.00E-08,5.96,1.411708185
"[30, 35, 50, 65, 120]",0.95,0.2,0.1,1.00E-08,5.96,1.372297344
"[10, 40, 65, 90, 95]",0.95,0.2,0.1,1.00E-08,5.959,1.392457899
"[15, 40, 45, 95, 105]",0.95,0.2,0.1,1.00E-08,5.959,1.739741073
"[30, 35, 55, 75, 105]",0.95,0.2,0.1,1.00E-08,5.959,1.543845523
"[15, 35, 45, 85, 120]",0.95,0.2,0.1,1.00E-08,5.958,1.464607797
