cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 15, 20, 25, 30, 35, 165]",0.95,0.2,0.1,1e-08,5.473000000000003,0.7238031500345933
"[10, 15, 20, 25, 30, 40, 160]",0.95,0.2,0.1,1e-08,5.458000000000003,0.6868449606716234
"[10, 15, 20, 25, 30, 45, 155]",0.95,0.2,0.1,1e-08,5.517000000000003,0.8534465419696754
"[10, 15, 20, 25, 30, 50, 150]",0.95,0.2,0.1,1e-08,5.587000000000001,0.799781845255315
"[10, 15, 20, 25, 30, 55, 145]",0.95,0.2,0.1,1e-08,5.632000000000002,0.8977393831173925
"[10, 15, 20, 25, 30, 60, 140]",0.95,0.2,0.1,1e-08,5.235000000000004,0.46591308202281395
"[10, 15, 20, 25, 30, 65, 135]",0.95,0.2,0.1,1e-08,5.644000000000004,1.1317526231469488
"[10, 15, 20, 25, 30, 70, 130]",0.95,0.2,0.1,1e-08,6.016000000000003,1.643673933601186
"[10, 15, 20, 25, 30, 75, 125]",0.95,0.2,0.1,1e-08,5.225000000000003,0.4069336555263051
"[10, 15, 20, 25, 30, 80, 120]",0.95,0.2,0.1,1e-08,5.5930000000000035,1.1387936599753257
"[10, 15, 20, 25, 30, 85, 115]",0.95,0.2,0.1,1e-08,5.358000000000001,0.06161168720299816
"[10, 15, 20, 25, 30, 90, 110]",0.95,0.2,0.1,1e-08,5.247000000000005,0.4670021413227161
"[10, 15, 20, 25, 30, 95, 105]",0.95,0.2,0.1,1e-08,5.292000000000003,0.3380769143257179
"[10, 15, 20, 25, 35, 40, 155]",0.95,0.2,0.1,1e-08,5.622000000000002,1.125253749160608
"[10, 15, 20, 25, 35, 45, 150]",0.95,0.2,0.1,1e-08,5.657000000000004,1.113916962793905
"[10, 15, 20, 25, 35, 50, 145]",0.95,0.2,0.1,1e-08,5.206000000000003,0.48237329942690815
"[10, 15, 20, 25, 35, 55, 140]",0.95,0.2,0.1,1e-08,5.6560000000000015,1.0942321508711004
"[10, 15, 20, 25, 35, 60, 135]",0.95,0.2,0.1,1e-08,5.444000000000007,0.7474918059751556
"[10, 15, 20, 25, 35, 65, 130]",0.95,0.2,0.1,1e-08,6.2870000000000035,1.891171858927687
"[10, 15, 20, 25, 35, 70, 125]",0.95,0.2,0.1,1e-08,5.550000000000004,0.8366241689074022
"[10, 15, 20, 25, 35, 75, 120]",0.95,0.2,0.1,1e-08,5.961000000000007,1.5427958387291594
"[10, 15, 20, 25, 35, 80, 115]",0.95,0.2,0.1,1e-08,5.5620000000000065,1.1453366317375837
"[10, 15, 20, 25, 35, 85, 110]",0.95,0.2,0.1,1e-08,5.528000000000003,0.643129846920509
"[10, 15, 20, 25, 35, 90, 105]",0.95,0.2,0.1,1e-08,5.473000000000002,0.6812422476623139
"[10, 15, 20, 25, 35, 95, 100]",0.95,0.2,0.1,1e-08,5.482000000000002,1.0495503799246577
"[10, 15, 20, 25, 40, 45, 145]",0.95,0.2,0.1,1e-08,5.6190000000000015,1.6454236536527593
"[10, 15, 20, 25, 40, 50, 140]",0.95,0.2,0.1,1e-08,5.562,0.9677582342713502
"[10, 15, 20, 25, 40, 55, 135]",0.95,0.2,0.1,1e-08,5.5290000000000035,0.6348377745534682
"[10, 15, 20, 25, 40, 60, 130]",0.95,0.2,0.1,1e-08,6.358000000000007,2.018602486870557
"[10, 15, 20, 25, 40, 65, 125]",0.95,0.2,0.1,1e-08,5.359000000000002,0.06402343321003974
"[10, 15, 20, 25, 40, 70, 120]",0.95,0.2,0.1,1e-08,5.281000000000004,0.28393485168256327
"[10, 15, 20, 25, 40, 75, 115]",0.95,0.2,0.1,1e-08,5.603000000000006,0.9762023355841764
"[10, 15, 20, 25, 40, 80, 110]",0.95,0.2,0.1,1e-08,5.457000000000005,0.6957089908862761
"[10, 15, 20, 25, 40, 85, 105]",0.95,0.2,0.1,1e-08,5.761000000000005,1.1104679193925373
"[10, 15, 20, 25, 40, 90, 100]",0.95,0.2,0.1,1e-08,5.373000000000005,0.7615320085196691
"[10, 15, 20, 25, 45, 50, 135]",0.95,0.2,0.1,1e-08,5.7160000000000055,1.0260916138435185
"[10, 15, 20, 25, 45, 55, 130]",0.95,0.2,0.1,1e-08,5.895000000000003,1.6263194643119805
"[10, 15, 20, 25, 45, 60, 125]",0.95,0.2,0.1,1e-08,5.696000000000007,1.3924166043250141
"[10, 15, 20, 25, 45, 65, 120]",0.95,0.2,0.1,1e-08,5.150000000000003,0.5611595138639314
"[10, 15, 20, 25, 45, 70, 115]",0.95,0.2,0.1,1e-08,5.433000000000004,0.7340919560926952
"[10, 15, 20, 25, 45, 75, 110]",0.95,0.2,0.1,1e-08,6.694000000000004,2.5915948757473637
"[10, 15, 20, 25, 45, 80, 105]",0.95,0.2,0.1,1e-08,5.513000000000005,0.6595233127039581
"[10, 15, 20, 25, 45, 85, 100]",0.95,0.2,0.1,1e-08,5.513000000000005,1.2308415820080199
"[10, 15, 20, 25, 45, 90, 95]",0.95,0.2,0.1,1e-08,5.3040000000000065,0.32952086428631516
