cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 20, 30, 40, 50, 150]",0.95,0.2,0.1,1e-08,5.788000000000006,1.243565840637319
"[10, 20, 30, 40, 60, 140]",0.95,0.2,0.1,1e-08,5.944000000000003,1.4008654467863781
"[10, 20, 30, 40, 70, 130]",0.95,0.2,0.1,1e-08,5.7900000000000045,1.6141932969753034
"[10, 20, 30, 40, 80, 120]",0.95,0.2,0.1,1e-08,6.038000000000006,1.7601238592780903
"[10, 20, 30, 40, 90, 110]",0.95,0.2,0.1,1e-08,5.116000000000004,0.5462087513030136
"[10, 20, 30, 50, 60, 130]",0.95,0.2,0.1,1e-08,5.918000000000006,1.5824272495125968
"[10, 20, 30, 50, 70, 120]",0.95,0.2,0.1,1e-08,5.1750000000000025,0.5685024186404153
"[10, 20, 30, 50, 80, 110]",0.95,0.2,0.1,1e-08,5.487000000000002,0.7300486285173075
"[10, 20, 30, 50, 90, 100]",0.95,0.2,0.1,1e-08,6.028000000000004,1.5910298551567148
"[10, 20, 30, 60, 70, 110]",0.95,0.2,0.1,1e-08,5.387000000000005,0.7710324247397115
"[10, 20, 30, 60, 80, 100]",0.95,0.2,0.1,1e-08,5.867000000000006,1.58870104173189
"[10, 20, 30, 70, 80, 90]",0.95,0.2,0.1,1e-08,5.941000000000005,1.3021747194597224
"[10, 20, 40, 50, 60, 120]",0.95,0.2,0.1,1e-08,5.836000000000003,1.1627656685678323
"[10, 20, 40, 50, 70, 110]",0.95,0.2,0.1,1e-08,5.856000000000003,1.141027607027982
"[10, 20, 40, 50, 80, 100]",0.95,0.2,0.1,1e-08,5.249000000000004,0.47148594888925466
"[10, 20, 40, 60, 70, 100]",0.95,0.2,0.1,1e-08,5.499000000000004,1.2236907289017114
"[10, 20, 40, 60, 80, 90]",0.95,0.2,0.1,1e-08,5.717000000000006,1.0286160605395986
"[10, 20, 50, 60, 70, 90]",0.95,0.2,0.1,1e-08,5.532000000000005,0.8498564584681323
"[10, 30, 40, 50, 60, 110]",0.95,0.2,0.1,1e-08,5.510000000000001,0.6404529647054499
"[10, 30, 40, 50, 70, 100]",0.95,0.2,0.1,1e-08,5.587000000000006,1.202984206047611
"[10, 30, 40, 50, 80, 90]",0.95,0.2,0.1,1e-08,5.693000000000003,1.172199215150735
"[10, 30, 40, 60, 70, 90]",0.95,0.2,0.1,1e-08,6.023000000000003,2.1071808180599967
"[10, 30, 50, 60, 70, 80]",0.95,0.2,0.1,1e-08,6.179000000000004,1.416057555327466
"[20, 30, 40, 50, 60, 100]",0.95,0.2,0.1,1e-08,5.467000000000003,0.7488197379877211
"[20, 30, 40, 50, 70, 90]",0.95,0.2,0.1,1e-08,5.998000000000003,1.529456112479202
"[20, 30, 40, 60, 70, 80]",0.95,0.2,0.1,1e-08,5.748000000000005,0.9820061099606245
