spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,5,0.1,1e-07,0.1,1.0027468864175813,0.4791226415746913
0.92,5,0.1,1e-07,0.3,0.19157088122605537,0.060739456858555654
0.92,5,0.1,1e-07,0.5,0.3480278422273787,0.10587211372258686
0.92,5,0.1,1e-07,0.7,0.43692384279631336,0.2102846120517657
0.92,5,0.1,1e-07,0.9,0.5698233636468697,0.4182545018037488
0.92,5,0.2,1e-07,0.1,1.8921513721097694,0.5797229159895938
0.92,5,0.2,1e-07,0.3,0.4373683227991582,0.11697849000966126
0.92,5,0.2,1e-07,0.5,0.6867216043950195,0.4414874681597376
0.92,5,0.2,1e-07,0.7,1.1183116871571952,0.7029369388804757
0.92,5,0.2,1e-07,0.9,1.3636646487274542,0.9741533469971566
0.92,5,0.3,1e-07,0.1,2.2290672142660313,0.6874210524661484
0.92,5,0.3,1e-07,0.3,1.5356784098283425,0.9112859053051532
0.92,5,0.3,1e-07,0.5,1.6654665706589866,0.9661083440689554
0.92,5,0.3,1e-07,0.7,2.553982096345486,1.082124336568341
0.92,5,0.3,1e-07,0.9,2.9135664186468255,1.041526764889977
0.92,5,0.4,1e-07,0.1,2.6073196966868473,0.983814492231005
0.92,5,0.4,1e-07,0.3,2.4886435359273196,0.8987770337716443
0.92,5,0.4,1e-07,0.5,2.8962316985358845,1.079342057976766
0.92,5,0.4,1e-07,0.7,3.2535936208230005,0.9105550121438535
0.92,5,0.4,1e-07,0.9,3.5749526628796975,0.8504525244058337
0.92,5,0.5,1e-07,0.1,2.769110417722308,1.004732274563237
0.92,5,0.5,1e-07,0.3,3.200700500484484,1.1254066903017899
0.92,5,0.5,1e-07,0.5,3.26603906090265,1.1233836165573283
0.92,5,0.5,1e-07,0.7,3.8696429047657155,1.4497173018868568
0.92,5,0.5,1e-07,0.9,3.9674285053915423,1.0650351175883392
0.92,5,0.6,1e-07,0.1,2.9313456187606133,0.9741649067728089
0.92,5,0.6,1e-07,0.3,3.419384661884062,1.0551627612906673
0.92,5,0.6,1e-07,0.5,3.6887395436079333,1.1286724043394318
0.92,5,0.6,1e-07,0.7,3.935870425189571,1.1215006479171736
0.92,5,0.6,1e-07,0.9,4.054546585949099,0.8173739509568971
0.92,5,0.7,1e-07,0.1,3.1198051399667537,0.9287722087782931
0.92,5,0.7,1e-07,0.3,3.6647376234543216,1.0283398128645693
0.92,5,0.7,1e-07,0.5,3.8118605043959084,1.1027435107473664
0.92,5,0.7,1e-07,0.7,4.1434425865180335,1.0095466780170195
0.92,5,0.7,1e-07,0.9,4.152776666577772,0.8855516439874955
0.92,5,0.8,1e-07,0.1,3.281595861002214,0.9458160571939452
0.92,5,0.8,1e-07,0.3,3.810527064387374,1.0867382454723225
0.92,5,0.8,1e-07,0.5,4.054991065951943,1.0758671292932667
0.92,5,0.8,1e-07,0.7,4.439021788409739,1.3935653875104332
0.92,5,0.8,1e-07,0.9,4.380350428034244,1.1697697000901115
0.92,5,0.9,1e-07,0.1,3.306042261158671,0.991380338568921
0.92,5,0.9,1e-07,0.3,3.97765154545697,1.043646618713198
0.92,5,0.9,1e-07,0.5,4.1772230667342285,1.195598001055338
0.92,5,0.9,1e-07,0.7,4.384350748059846,1.256611394585061
0.92,5,0.9,1e-07,0.9,4.487025628716965,1.1148068867318792
0.92,5,1.0,1e-07,0.1,3.353601621463051,1.1921729253754085
0.92,5,1.0,1e-07,0.3,4.128774746424158,1.1702369255728082
0.92,5,1.0,1e-07,0.5,4.228338267061365,0.9997545940960816
0.92,5,1.0,1e-07,0.7,4.388795548088291,1.1190850199025464
0.92,5,1.0,1e-07,0.9,4.617258269550454,1.113585726023238
0.92,10,0.1,1e-07,0.1,0.9347414459823461,0.4209406325067934
0.92,10,0.1,1e-07,0.3,0.20401632130570546,0.06031513389283703
0.92,10,0.1,1e-07,0.5,0.47914944306655705,0.18389658470471934
0.92,10,0.1,1e-07,0.7,0.8067312051630809,0.6895960777609361
0.92,10,0.1,1e-07,0.9,0.8542905654674603,0.8185260665944787
0.92,10,0.2,1e-07,0.1,1.930376652354411,0.7756865026722278
0.92,10,0.2,1e-07,0.3,0.5924918437919487,0.4159667952981451
0.92,10,0.2,1e-07,0.5,0.7920633650692065,0.3154762379917856
0.92,10,0.2,1e-07,0.7,2.0677209732334143,1.23964954843208
0.92,10,0.2,1e-07,0.9,2.4677529757936196,1.0007846047021642
0.92,10,0.3,1e-07,0.1,2.0975011334240077,0.7606290589687551
0.92,10,0.3,1e-07,0.3,1.7396947311340467,0.9991950008354212
0.92,10,0.3,1e-07,0.5,2.4770870558533584,1.1693132701056645
0.92,10,0.3,1e-07,0.7,2.6162092967437407,1.0678898244257564
0.92,10,0.3,1e-07,0.9,3.056244499559965,0.9879845673121849
0.92,10,0.4,1e-07,0.1,2.3437430549999565,0.8040907379793586
0.92,10,0.4,1e-07,0.3,2.727773777457752,0.9553079976233935
0.92,10,0.4,1e-07,0.5,3.0891360197704714,1.0681974395667837
0.92,10,0.4,1e-07,0.7,3.3656025815398576,1.0494045791424262
0.92,10,0.4,1e-07,0.9,3.590064982976417,1.0347324539054403
0.92,10,0.5,1e-07,0.1,2.701549457289917,1.0063046896893184
0.92,10,0.5,1e-07,0.3,3.137584340080541,0.9802244388225176
0.92,10,0.5,1e-07,0.5,3.560284822785824,1.0843909316388578
0.92,10,0.5,1e-07,0.7,3.6411801833035535,1.267855036118735
0.92,10,0.5,1e-07,0.9,3.8523081846547735,1.003996208160976
0.92,10,0.6,1e-07,0.1,2.7944457778844543,0.8866084854163764
0.92,10,0.6,1e-07,0.3,3.481167382279472,0.9521635225343904
0.92,10,0.6,1e-07,0.5,3.712296983758702,0.9090051833744995
0.92,10,0.6,1e-07,0.7,3.7940813042821206,0.9975416686895129
0.92,10,0.6,1e-07,0.9,4.106106266279081,0.7924900207997043
0.92,10,0.7,1e-07,0.1,2.9384572988061275,0.9251116391300047
0.92,10,0.7,1e-07,0.3,3.6136224231271847,1.0083222594035854
0.92,10,0.7,1e-07,0.5,3.91675778506725,0.8749875330354364
0.92,10,0.7,1e-07,0.7,4.18211234676552,1.1883698019193034
0.92,10,0.7,1e-07,0.9,4.28967650745393,1.0653893609113032
0.92,10,0.8,1e-07,0.1,2.993128339156022,0.906701511372325
0.92,10,0.8,1e-07,0.3,3.778080024179713,1.1200358096858163
0.92,10,0.8,1e-07,0.5,4.034100505818244,0.8786835679465544
0.92,10,0.8,1e-07,0.7,4.200780506884997,1.0796952668521917
0.92,10,0.8,1e-07,0.9,4.271008347334455,0.8924748941747348
0.92,10,0.9,1e-07,0.1,3.137139860077696,0.9159379477716099
0.92,10,0.9,1e-07,0.3,3.954983065311892,1.145629078785102
