spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.01,0.1,1e-07,0.1,1.2147638477744895,0.6561202367982186
0.92,0.01,0.1,1e-07,0.3,0.34136064218470935,0.1606449363932683
0.92,0.01,0.1,1e-07,0.5,0.64494048412762,0.285311156407781
0.92,0.01,0.1,1e-07,0.7,0.6409401641020176,0.28651761573455153
0.92,0.01,0.1,1e-07,0.9,0.9449644860477734,0.8120546255582538
0.92,0.01,0.2,1e-07,0.1,2.0152723328977435,0.8849075565137927
0.92,0.01,0.2,1e-07,0.3,0.7316140846823307,0.46524424898693095
0.92,0.01,0.2,1e-07,0.5,1.677467530735793,1.0713391785405604
0.92,0.01,0.2,1e-07,0.7,1.6788009707443268,1.070997233342058
0.92,0.01,0.2,1e-07,0.9,1.4138908890489026,1.1044459646042137
0.92,0.01,0.3,1e-07,0.1,2.2628476944822262,0.7667059738425731
0.92,0.01,0.3,1e-07,0.3,2.3192966548434995,0.9427614702756896
0.92,0.01,0.3,1e-07,0.5,3.083357779733491,1.1319637777653486
0.92,0.01,0.3,1e-07,0.7,3.5042803424273954,1.0730224144240286
0.92,0.01,0.3,1e-07,0.9,3.6411801833035535,1.0236439120454481
0.92,0.01,0.4,1e-07,0.1,2.5193126561236023,1.0663431920889155
0.92,0.01,0.4,1e-07,0.3,2.9829052990905938,0.9978872049497269
0.92,0.01,0.4,1e-07,0.5,3.7985261043105676,1.2073106207169766
0.92,0.01,0.4,1e-07,0.7,3.9180912250757847,1.179052223508922
0.92,0.01,0.4,1e-07,0.9,3.960761305348873,1.0169304212530375
0.92,0.01,0.5,1e-07,0.1,2.6042083366669337,0.9036021560917625
0.92,0.01,0.5,1e-07,0.3,3.424273941915354,0.9265690736442761
0.92,0.01,0.5,1e-07,0.5,3.8834217848539008,1.0041427956651796
0.92,0.01,0.5,1e-07,0.7,4.0398787458552246,0.9902036878317125
0.92,0.01,0.5,1e-07,0.9,4.301232987527891,1.1076059968001701
0.92,0.01,0.6,1e-07,0.1,2.903787858584243,0.9669259704150514
0.92,0.01,0.6,1e-07,0.3,3.5420611426691915,0.9538973732494761
0.92,0.01,0.6,1e-07,0.5,3.961650265354562,0.9463422895070585
0.92,0.01,0.6,1e-07,0.7,4.150554266563549,0.9297302021581013
0.92,0.01,0.6,1e-07,0.9,4.426131868327244,1.0851664087318826
0.92,0.01,0.7,1e-07,0.1,3.1500297801601915,1.057222199193925
0.92,0.01,0.7,1e-07,0.3,3.6442915433234666,1.022354637358859
0.92,0.01,0.7,1e-07,0.5,4.274564187357211,1.1811194472164033
0.92,0.01,0.7,1e-07,0.7,4.491914908748257,0.9727213073886021
0.92,0.01,0.7,1e-07,0.9,4.633704029655705,1.0801934060577278
0.92,0.01,0.8,1e-07,0.1,3.088691539767627,0.9628922451161126
0.92,0.01,0.8,1e-07,0.3,3.7198531438070606,0.9220281008511982
0.92,0.01,0.8,1e-07,0.5,4.189224026811035,0.9565195203213757
0.92,0.01,0.8,1e-07,0.7,4.443466588438187,1.0060621994601433
0.92,0.01,0.8,1e-07,0.9,4.701264990088098,1.2192262291855798
0.92,0.01,0.9,1e-07,0.1,3.306486741161516,1.1167734987357383
0.92,0.01,0.9,1e-07,0.3,3.9389817852094837,0.8952279670887218
0.92,0.01,0.9,1e-07,0.5,4.37723906801433,1.0140980512668092
0.92,0.01,0.9,1e-07,0.7,4.438577308406896,1.0090258012629174
0.92,0.01,0.9,1e-07,0.9,4.634148509658551,1.1124024749674084
0.92,0.01,1.0,1e-07,0.1,3.3358224213492647,1.0589469049925608
0.92,0.01,1.0,1e-07,0.3,4.1354419464668295,0.9913402824393412
0.92,0.01,1.0,1e-07,0.5,4.535918429029879,1.2440994485624484
0.92,0.01,1.0,1e-07,0.7,4.499026588793771,0.8991025172249107
0.92,0.01,1.0,1e-07,0.9,4.740823710341273,1.026025453996554
0.92,0.05,0.1,1e-07,0.1,1.2969926483007543,0.5794706781740924
0.92,0.05,0.1,1e-07,0.3,0.3369158421562618,0.11400370539633345
0.92,0.05,0.1,1e-07,0.5,0.6498297641589117,0.44674463751928856
0.92,0.05,0.1,1e-07,0.7,0.4089216026170997,0.26988758427189435
0.92,0.05,0.1,1e-07,0.9,0.46403712296983884,0.3925525996724845
0.92,0.05,0.2,1e-07,0.1,1.8517036918509044,0.7275194049640538
0.92,0.05,0.2,1e-07,0.3,0.6142713639313375,0.1713157632222165
0.92,0.05,0.2,1e-07,0.5,0.7516156848103405,0.5877202282286593
0.92,0.05,0.2,1e-07,0.7,0.6476073641446879,0.48167073798814486
0.92,0.05,0.2,1e-07,0.9,0.8769590456125387,0.6777228429179701
0.92,0.05,0.3,1e-07,0.1,2.3633001751251217,0.8412194762120678
0.92,0.05,0.3,1e-07,0.3,2.1588393738165736,0.9892237739946953
0.92,0.05,0.3,1e-07,0.5,1.7445840111653392,1.04029592746886
0.92,0.05,0.3,1e-07,0.7,2.39263585531287,1.1634620459604827
0.92,0.05,0.3,1e-07,0.9,2.6891040172102665,1.2276381578517757
0.92,0.05,0.4,1e-07,0.1,2.5504262563227282,0.847627677359313
0.92,0.05,0.4,1e-07,0.3,2.9429020988345744,0.9804330190195975
0.92,0.05,0.4,1e-07,0.5,3.285151701024971,1.1221367539578566
