spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,5,0.1,1e-07,0.1,41.604217226267,8.108031237591575
0.92,5,0.1,1e-07,0.3,41.747784267185814,7.935864770088506
0.92,5,0.1,1e-07,0.5,41.65755482660835,8.043125789045256
0.92,5,0.1,1e-07,0.7,41.632219466446195,8.073985919482483
0.92,5,0.1,1e-07,0.9,41.660221706625414,8.041400551735828
0.92,5,0.2,1e-07,0.1,42.36338907112569,7.208341616018686
0.92,5,0.2,1e-07,0.3,42.60563067267603,6.942821750824048
0.92,5,0.2,1e-07,0.5,42.40472571139024,7.164060047307999
0.92,5,0.2,1e-07,0.7,42.286494030633555,7.2962956321199135
0.92,5,0.2,1e-07,0.9,42.30160635073028,7.285914037376232
0.92,5,0.3,1e-07,0.1,43.15723035620627,6.324067259836023
0.92,5,0.3,1e-07,0.3,43.21367931656754,6.272484823454262
0.92,5,0.3,1e-07,0.5,42.978549395062714,6.51460867952544
0.92,5,0.3,1e-07,0.7,42.90832155461325,6.593801053601663
0.92,5,0.3,1e-07,0.9,42.816758674027255,6.700041789427511
0.92,5,0.4,1e-07,0.1,43.63904667928989,5.823914130106539
0.92,5,0.4,1e-07,0.3,43.38969339769403,6.083013633820285
0.92,5,0.4,1e-07,0.5,43.05366651554346,6.433664427628983
0.92,5,0.4,1e-07,0.7,43.00255131521633,6.487682346797396
0.92,5,0.4,1e-07,0.9,42.954547474909106,6.540531472965333
0.92,5,0.5,1e-07,0.1,43.663937559449195,5.798939559889803
0.92,5,0.5,1e-07,0.3,43.423918357913074,6.047889870349652
0.92,5,0.5,1e-07,0.5,43.02877563538416,6.459301493934642
0.92,5,0.5,1e-07,0.7,42.99455067516512,6.496463826821317
0.92,5,0.5,1e-07,0.9,42.97410459503427,6.51873884231813
0.92,5,0.6,1e-07,0.1,43.6590482794179,5.8035452873487205
0.92,5,0.6,1e-07,0.3,43.29768603710518,6.1863060841637605
0.92,5,0.6,1e-07,0.5,43.01677467530736,6.472288964348932
0.92,5,0.6,1e-07,0.7,42.983883155096855,6.50810868303512
0.92,5,0.6,1e-07,0.9,42.963437074965995,6.530475304963365
0.92,5,0.7,1e-07,0.1,43.64571387933257,5.815451579432719
0.92,5,0.7,1e-07,0.3,43.13011707603275,6.355140667419844
0.92,5,0.7,1e-07,0.5,43.006551635241934,6.483415084267404
0.92,5,0.7,1e-07,0.7,42.974993555039966,6.517820783033014
0.92,5,0.7,1e-07,0.9,42.91676667466731,6.584622084319164
0.92,5,0.8,1e-07,0.1,43.63282395925007,5.825783374008231
0.92,5,0.8,1e-07,0.3,43.091002835782405,6.394723250426109
0.92,5,0.8,1e-07,0.5,42.997662035185044,6.493050020283156
0.92,5,0.8,1e-07,0.7,42.96699291498876,6.526555173519953
0.92,5,0.8,1e-07,0.9,42.729196113466855,6.806836566940983
0.92,5,0.9,1e-07,0.1,43.619489559164734,5.837354438967055
0.92,5,0.9,1e-07,0.3,43.04255451547235,6.445398467541066
0.92,5,0.9,1e-07,0.5,42.99055035513952,6.500801296386314
0.92,5,0.9,1e-07,0.7,42.95899227493754,6.535250411245714
0.92,5,0.9,1e-07,0.9,42.65807931301171,6.884951714154618
0.92,5,1.0,1e-07,0.1,43.61015547910499,5.846574122498374
0.92,5,1.0,1e-07,0.3,43.03277595540977,6.457802741467028
0.92,5,1.0,1e-07,0.5,42.98299419509116,6.509744988555874
0.92,5,1.0,1e-07,0.7,42.87765243441699,6.630502281546855
0.92,5,1.0,1e-07,0.9,42.45095163168609,7.113099822941495
0.92,10,0.1,1e-07,0.1,41.60243930625562,8.110257887033393
0.92,10,0.1,1e-07,0.3,41.67311162670791,8.02391209382654
0.92,10,0.1,1e-07,0.5,41.59221626619018,8.122504602819372
0.92,10,0.1,1e-07,0.7,41.593549706198715,8.120995180991155
0.92,10,0.1,1e-07,0.9,41.61088442630965,8.099975036043501
0.92,10,0.2,1e-07,0.1,42.404281231387394,7.162611149043625
0.92,10,0.2,1e-07,0.3,42.366055951142755,7.205175685816387
0.92,10,0.2,1e-07,0.5,42.10559066947579,7.509577583290744
0.92,10,0.2,1e-07,0.7,42.08736698935915,7.532180659053882
0.92,10,0.2,1e-07,0.9,42.11047994950708,7.503177181018343
0.92,10,0.3,1e-07,0.1,43.17767643633712,6.304111228968887
0.92,10,0.3,1e-07,0.3,42.97499355503995,6.5181563185373
0.92,10,0.3,1e-07,0.5,42.84253851419225,6.666802606437817
0.92,10,0.3,1e-07,0.7,42.74519739356926,6.776088736267641
0.92,10,0.3,1e-07,0.9,42.65319003298041,6.881135249202318
0.92,10,0.4,1e-07,0.1,43.62482331919887,5.8384110031808305
0.92,10,0.4,1e-07,0.3,43.27501755696011,6.198962378070422
0.92,10,0.4,1e-07,0.5,43.03055355539554,6.457206000711925
0.92,10,0.4,1e-07,0.7,43.00210683521348,6.48813652149167
0.92,10,0.4,1e-07,0.9,42.96654843498591,6.527211254908296
0.92,10,0.5,1e-07,0.1,43.6679378794748,5.795020264005245
0.92,10,0.5,1e-07,0.3,43.35235707745508,6.119326843914402
0.92,10,0.5,1e-07,0.5,43.031442515401224,6.456248010160409
0.92,10,0.5,1e-07,0.7,42.99766203518503,6.493004836387732
0.92,10,0.5,1e-07,0.9,42.97810491505987,6.514351084801778
0.92,10,0.6,1e-07,0.1,43.66304859944351,5.799356546082698
0.92,10,0.6,1e-07,0.3,43.258127316852004,6.220780471299552
0.92,10,0.6,1e-07,0.5,43.0172191553102,6.471761237713346
