cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 15, 25, 30, 35, 40, 45, 105]",0.95,0.2,0.1,1.00E-08,7.081,2.192135717
"[10, 15, 20, 30, 35, 55, 60, 75]",0.95,0.2,0.1,1.00E-08,6.681,1.91070118
"[5, 15, 20, 25, 35, 55, 70, 75]",0.95,0.2,0.1,1.00E-08,6.662,2.592889508
"[5, 10, 25, 30, 35, 60, 65, 70]",0.95,0.2,0.1,1.00E-08,6.636,2.123804134
"[5, 10, 20, 30, 35, 50, 60, 90]",0.95,0.2,0.1,1.00E-08,6.587,1.731453436
"[5, 15, 20, 25, 30, 35, 75, 95]",0.95,0.2,0.1,1.00E-08,6.582,2.024765665
"[5, 10, 15, 35, 40, 45, 65, 85]",0.95,0.2,0.1,1.00E-08,6.543,1.830762409
"[5, 10, 15, 20, 25, 30, 95, 100]",0.95,0.2,0.1,1.00E-08,6.538,1.862083779
"[5, 15, 25, 35, 40, 45, 55, 80]",0.95,0.2,0.1,1.00E-08,6.532,1.82237647
"[10, 15, 25, 30, 40, 45, 55, 80]",0.95,0.2,0.1,1.00E-08,6.516,1.768441121
"[5, 10, 20, 25, 35, 40, 75, 90]",0.95,0.2,0.1,1.00E-08,6.513,2.592352407
"[5, 10, 25, 30, 35, 50, 65, 80]",0.95,0.2,0.1,1.00E-08,6.512,1.490106036
"[5, 10, 15, 25, 30, 55, 70, 90]",0.95,0.2,0.1,1.00E-08,6.492,2.051978557
"[5, 20, 25, 30, 45, 50, 55, 70]",0.95,0.2,0.1,1.00E-08,6.491,2.129774401
"[5, 10, 20, 25, 30, 55, 75, 80]",0.95,0.2,0.1,1.00E-08,6.482,2.342356933
"[5, 10, 20, 25, 30, 45, 55, 110]",0.95,0.2,0.1,1.00E-08,6.468,2.368657003
"[5, 10, 15, 20, 45, 50, 55, 100]",0.95,0.2,0.1,1.00E-08,6.459,2.426589994
"[15, 20, 25, 30, 35, 45, 50, 80]",0.95,0.2,0.1,1.00E-08,6.446,1.587263053
"[5, 10, 20, 25, 50, 55, 60, 75]",0.95,0.2,0.1,1.00E-08,6.432,1.969095224
"[5, 10, 25, 35, 40, 45, 50, 90]",0.95,0.2,0.1,1.00E-08,6.421,1.632268054
"[10, 15, 25, 30, 40, 45, 60, 75]",0.95,0.2,0.1,1.00E-08,6.407,1.77743945
"[10, 15, 25, 35, 40, 45, 50, 80]",0.95,0.2,0.1,1.00E-08,6.398,1.75243716
"[5, 10, 20, 35, 45, 55, 60, 70]",0.95,0.2,0.1,1.00E-08,6.397,2.1815891
"[5, 10, 15, 20, 35, 40, 75, 100]",0.95,0.2,0.1,1.00E-08,6.396,1.792803391
"[5, 10, 20, 30, 40, 55, 60, 80]",0.95,0.2,0.1,1.00E-08,6.393,1.628180273
"[10, 15, 20, 30, 40, 50, 55, 80]",0.95,0.2,0.1,1.00E-08,6.372,1.72548428
"[10, 15, 20, 30, 35, 45, 50, 95]",0.95,0.2,0.1,1.00E-08,6.371,1.821345382
"[10, 20, 25, 30, 35, 40, 55, 85]",0.95,0.2,0.1,1.00E-08,6.362,1.453422169
"[5, 10, 20, 30, 35, 45, 60, 95]",0.95,0.2,0.1,1.00E-08,6.352,2.082838448
"[5, 10, 20, 25, 40, 45, 75, 80]",0.95,0.2,0.1,1.00E-08,6.332,1.769399898
"[10, 15, 20, 30, 45, 50, 60, 70]",0.95,0.2,0.1,1.00E-08,6.33,2.158402187
"[5, 10, 15, 30, 40, 50, 60, 90]",0.95,0.2,0.1,1.00E-08,6.329,1.679100652
"[5, 15, 20, 25, 45, 50, 65, 75]",0.95,0.2,0.1,1.00E-08,6.325,1.472805147
"[5, 10, 15, 20, 35, 50, 75, 90]",0.95,0.2,0.1,1.00E-08,6.316,1.864077252
"[10, 15, 20, 25, 35, 45, 70, 80]",0.95,0.2,0.1,1.00E-08,6.314,1.996688258
"[5, 15, 25, 30, 35, 40, 55, 95]",0.95,0.2,0.1,1.00E-08,6.31,1.638956985
"[5, 10, 15, 35, 40, 55, 65, 75]",0.95,0.2,0.1,1.00E-08,6.306,1.856858638
"[5, 10, 25, 30, 40, 50, 55, 85]",0.95,0.2,0.1,1.00E-08,6.302,1.566357558
"[5, 10, 15, 25, 35, 45, 80, 85]",0.95,0.2,0.1,1.00E-08,6.298,1.57898575
"[5, 15, 20, 30, 45, 50, 55, 80]",0.95,0.2,0.1,1.00E-08,6.298,2.151259166
"[5, 10, 15, 30, 40, 50, 70, 80]",0.95,0.2,0.1,1.00E-08,6.295,1.880168875
"[10, 15, 20, 25, 35, 45, 55, 95]",0.95,0.2,0.1,1.00E-08,6.285,1.5550418
"[5, 10, 15, 30, 35, 50, 70, 85]",0.95,0.2,0.1,1.00E-08,6.274,1.978070777
"[5, 15, 20, 25, 40, 45, 50, 100]",0.95,0.2,0.1,1.00E-08,6.269,1.565125874
"[5, 10, 15, 20, 40, 45, 60, 105]",0.95,0.2,0.1,1.00E-08,6.254,1.940269054
"[5, 15, 20, 25, 30, 40, 70, 95]",0.95,0.2,0.1,1.00E-08,6.253,1.474072929
"[5, 10, 20, 25, 30, 45, 50, 115]",0.95,0.2,0.1,1.00E-08,6.25,2.317528856
"[5, 10, 15, 35, 40, 50, 60, 85]",0.95,0.2,0.1,1.00E-08,6.234,1.659458948
"[5, 10, 20, 35, 40, 50, 55, 85]",0.95,0.2,0.1,1.00E-08,6.233,1.46802282
"[5, 15, 20, 30, 40, 55, 60, 75]",0.95,0.2,0.1,1.00E-08,6.223,2.156666641
"[5, 15, 25, 30, 40, 50, 55, 80]",0.95,0.2,0.1,1.00E-08,6.215,1.657406106
"[5, 10, 25, 30, 40, 50, 60, 80]",0.95,0.2,0.1,1.00E-08,6.214,1.937391029
"[5, 10, 20, 30, 45, 50, 65, 75]",0.95,0.2,0.1,1.00E-08,6.211,1.770790501
"[5, 10, 15, 20, 35, 50, 55, 110]",0.95,0.2,0.1,1.00E-08,6.202,1.766181191
"[5, 10, 20, 35, 40, 55, 65, 70]",0.95,0.2,0.1,1.00E-08,6.2,1.706012896
"[5, 10, 25, 30, 35, 40, 70, 85]",0.95,0.2,0.1,1.00E-08,6.2,2.359016744
"[10, 15, 20, 25, 35, 60, 65, 70]",0.95,0.2,0.1,1.00E-08,6.196,1.862971819
"[5, 10, 20, 30, 40, 60, 65, 70]",0.95,0.2,0.1,1.00E-08,6.191,1.630183732
"[5, 20, 25, 35, 40, 50, 55, 70]",0.95,0.2,0.1,1.00E-08,6.189,1.792422662
"[10, 15, 20, 30, 40, 45, 55, 85]",0.95,0.2,0.1,1.00E-08,6.187,2.001692034
"[5, 15, 20, 25, 30, 45, 60, 100]",0.95,0.2,0.1,1.00E-08,6.186,1.452736728
"[5, 10, 15, 20, 25, 50, 85, 90]",0.95,0.2,0.1,1.00E-08,6.185,1.553896715
"[5, 10, 15, 25, 30, 40, 50, 125]",0.95,0.2,0.1,1.00E-08,6.181,1.599418332
"[5, 15, 20, 35, 40, 55, 60, 70]",0.95,0.2,0.1,1.00E-08,6.176,1.401108133
"[5, 15, 25, 35, 40, 45, 65, 70]",0.95,0.2,0.1,1.00E-08,6.172,1.69060226
"[5, 10, 15, 20, 40, 45, 50, 115]",0.95,0.2,0.1,1.00E-08,6.169,2.38476393
"[5, 10, 15, 20, 35, 50, 60, 105]",0.95,0.2,0.1,1.00E-08,6.167,1.646551244
"[5, 10, 20, 25, 40, 45, 60, 95]",0.95,0.2,0.1,1.00E-08,6.167,1.319807183
"[5, 10, 15, 30, 35, 40, 80, 85]",0.95,0.2,0.1,1.00E-08,6.159,1.59498558
"[10, 15, 20, 25, 30, 40, 55, 105]",0.95,0.2,0.1,1.00E-08,6.156,1.546306567
"[5, 15, 20, 35, 40, 45, 55, 85]",0.95,0.2,0.1,1.00E-08,6.155,1.683126555
"[5, 15, 25, 30, 35, 50, 55, 85]",0.95,0.2,0.1,1.00E-08,6.153,1.638112023
"[10, 15, 25, 35, 40, 50, 60, 65]",0.95,0.2,0.1,1.00E-08,6.148,1.49056231
"[10, 15, 20, 25, 35, 45, 65, 85]",0.95,0.2,0.1,1.00E-08,6.138,1.785529613
"[10, 15, 25, 30, 40, 45, 50, 85]",0.95,0.2,0.1,1.00E-08,6.137,1.384749436
"[5, 10, 15, 25, 40, 60, 70, 75]",0.95,0.2,0.1,1.00E-08,6.136,1.915260818
"[5, 10, 15, 20, 30, 40, 75, 105]",0.95,0.2,0.1,1.00E-08,6.135,1.543876614
"[5, 10, 20, 25, 40, 50, 55, 95]",0.95,0.2,0.1,1.00E-08,6.133,1.781362119
"[10, 15, 20, 25, 30, 40, 50, 110]",0.95,0.2,0.1,1.00E-08,6.133,2.016306276
"[5, 10, 15, 30, 45, 60, 65, 70]",0.95,0.2,0.1,1.00E-08,6.131,1.529999673
"[5, 15, 25, 30, 35, 45, 70, 75]",0.95,0.2,0.1,1.00E-08,6.131,1.484472634
"[5, 15, 30, 35, 40, 45, 60, 70]",0.95,0.2,0.1,1.00E-08,6.122,1.494923409
"[5, 10, 15, 25, 45, 50, 55, 95]",0.95,0.2,0.1,1.00E-08,6.12,1.406086768
"[5, 15, 20, 25, 30, 45, 70, 90]",0.95,0.2,0.1,1.00E-08,6.116,1.696580089
"[5, 10, 20, 25, 30, 50, 75, 85]",0.95,0.2,0.1,1.00E-08,6.115,1.69092726
"[5, 15, 20, 30, 50, 55, 60, 65]",0.95,0.2,0.1,1.00E-08,6.111,1.719517083
"[10, 15, 20, 35, 40, 50, 60, 70]",0.95,0.2,0.1,1.00E-08,6.111,1.528495666
"[10, 15, 25, 30, 35, 40, 45, 100]",0.95,0.2,0.1,1.00E-08,6.109,1.770395154
"[5, 10, 20, 25, 40, 55, 60, 85]",0.95,0.2,0.1,1.00E-08,6.108,1.684118761
"[5, 20, 25, 30, 40, 45, 60, 75]",0.95,0.2,0.1,1.00E-08,6.108,1.528547023
"[10, 15, 20, 25, 30, 40, 70, 90]",0.95,0.2,0.1,1.00E-08,6.104,1.263148447
"[5, 10, 15, 25, 35, 60, 65, 85]",0.95,0.2,0.1,1.00E-08,6.103,1.974429285
"[5, 15, 25, 30, 35, 45, 60, 85]",0.95,0.2,0.1,1.00E-08,6.103,1.644424215
"[5, 15, 20, 30, 35, 60, 65, 70]",0.95,0.2,0.1,1.00E-08,6.089,1.329638673
"[5, 10, 15, 20, 45, 60, 70, 75]",0.95,0.2,0.1,1.00E-08,6.087,1.640149688
"[5, 15, 20, 25, 35, 45, 70, 85]",0.95,0.2,0.1,1.00E-08,6.087,1.477339162
