spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.01,0.2,1e-07,0.3,4.8835555555555565,2.5007742406041245
0.92,0.01,0.2,1e-07,0.5,6.846666666666668,2.4908650884559935
0.92,0.01,0.2,1e-07,0.7,7.706666666666667,2.8352417102525065
0.92,0.01,0.4,1e-07,0.3,9.856888888888891,1.7799423489068678
0.92,0.01,0.4,1e-07,0.5,10.084888888888889,2.0657940332120046
0.92,0.01,0.4,1e-07,0.7,10.642666666666669,2.0354878203189193
0.92,0.01,0.6,1e-07,0.3,10.519555555555556,2.2036434028475615
0.92,0.01,0.6,1e-07,0.5,11.157333333333337,2.049843788086193
0.92,0.01,0.6,1e-07,0.7,10.77555555555556,1.901610493538517
0.92,0.01,0.8,1e-07,0.3,10.333333333333334,1.7317736572658675
0.92,0.01,0.8,1e-07,0.5,10.701333333333334,2.1484770833727267
0.92,0.01,0.8,1e-07,0.7,10.95288888888889,1.7573270387118198
0.92,0.01,1.0,1e-07,0.3,10.10977777777778,1.8982079137835814
0.92,0.01,1.0,1e-07,0.5,10.568000000000001,1.9992282955625096
0.92,0.01,1.0,1e-07,0.7,10.051555555555556,2.2560594511035337
0.92,0.05,0.2,1e-07,0.3,4.845333333333334,2.568912956442428
0.92,0.05,0.2,1e-07,0.5,6.3773333333333335,2.71282910957874
0.92,0.05,0.2,1e-07,0.7,7.613333333333332,2.161057354372829
0.92,0.05,0.4,1e-07,0.3,7.726222222222224,2.2093129036360697
0.92,0.05,0.4,1e-07,0.5,9.540444444444445,1.948489962971959
0.92,0.05,0.4,1e-07,0.7,9.855555555555556,2.0930483410625493
0.92,0.05,0.6,1e-07,0.3,9.576444444444448,1.963137121554348
0.92,0.05,0.6,1e-07,0.5,10.482222222222221,2.1670060133115445
0.92,0.05,0.6,1e-07,0.7,10.562666666666669,2.4106415927899545
0.92,0.05,0.8,1e-07,0.3,9.604444444444447,1.9767173186939735
0.92,0.05,0.8,1e-07,0.5,10.049777777777779,2.1492184511159595
0.92,0.05,0.8,1e-07,0.7,10.728000000000002,1.6543190609902172
0.92,0.05,1.0,1e-07,0.3,10.361333333333334,1.9407325077574875
0.92,0.05,1.0,1e-07,0.5,9.904444444444447,1.9734139122687373
0.92,0.05,1.0,1e-07,0.7,9.659111111111113,1.9818507873222635
0.92,0.1,0.2,1e-07,0.3,3.9955555555555566,2.464629388912531
0.92,0.1,0.2,1e-07,0.5,5.0728888888888894,2.136585669002686
0.92,0.1,0.2,1e-07,0.7,7.934666666666666,1.786713432223783
0.92,0.1,0.4,1e-07,0.3,8.196888888888891,2.666243151554239
0.92,0.1,0.4,1e-07,0.5,9.301777777777778,1.8193469999350977
0.92,0.1,0.4,1e-07,0.7,9.109333333333334,1.7766515321431686
0.92,0.1,0.6,1e-07,0.3,9.868,2.0039001971156147
0.92,0.1,0.6,1e-07,0.5,10.26577777777778,2.1924096219952336
0.92,0.1,0.6,1e-07,0.7,10.320444444444444,1.6956020963468412
0.92,0.1,0.8,1e-07,0.3,9.532888888888891,2.040828396316034
0.92,0.1,0.8,1e-07,0.5,10.129777777777779,2.027949691342781
0.92,0.1,0.8,1e-07,0.7,10.35511111111111,1.8200569249000271
0.92,0.1,1.0,1e-07,0.3,9.818666666666669,2.234057196124476
0.92,0.1,1.0,1e-07,0.5,10.569777777777777,1.842035696226552
0.92,0.1,1.0,1e-07,0.7,11.092,1.779530025346892
