input_scale,leaking_rate,ridge_alpha,cycle_weight,connect_weight,combine_factor,mean_T_VPT,std_dev
0.1,0.4,1e-06,0.6,0.6,0.3,9.191000000000006,0.958404403161841
0.1,0.4,1e-06,0.6,0.6,0.4,9.225000000000005,1.009215041505034
0.1,0.4,1e-06,0.6,0.6,0.5,9.454000000000004,0.9025763125631003
0.1,0.4,1e-06,0.6,0.6,0.6,9.863000000000003,1.105518430420769
0.1,0.4,1e-06,0.6,0.6,0.7,10.076000000000004,1.1498278131963933
0.1,0.4,1e-06,0.6,0.8,0.3,9.079000000000004,0.8115534486403221
0.1,0.4,1e-06,0.6,0.8,0.4,9.106000000000003,0.8300867424552696
0.1,0.4,1e-06,0.6,0.8,0.5,9.515000000000004,0.9589134476061966
0.1,0.4,1e-06,0.6,0.8,0.6,9.720000000000006,1.404677899021696
0.1,0.4,1e-06,0.6,0.8,0.7,9.931000000000008,0.9391799614557385
0.1,0.4,1e-06,0.6,1.0,0.3,9.126000000000007,0.8553619117075537
0.1,0.4,1e-06,0.6,1.0,0.4,9.101,0.7546515752319095
0.1,0.4,1e-06,0.6,1.0,0.5,9.529000000000005,1.1292559497297314
0.1,0.4,1e-06,0.6,1.0,0.6,9.793000000000003,2.1235185424196326
0.1,0.4,1e-06,0.6,1.0,0.7,9.837000000000005,1.3463175702634202
0.1,0.4,1e-06,0.8,0.6,0.3,9.360000000000005,1.0745231500530854
0.1,0.4,1e-06,0.8,0.6,0.4,9.267000000000005,0.9264399602780542
0.1,0.4,1e-06,0.8,0.6,0.5,9.424000000000003,1.2184514762599257
0.1,0.4,1e-06,0.8,0.6,0.6,9.219000000000003,1.0608953765569917
0.1,0.4,1e-06,0.8,0.6,0.7,9.469000000000005,1.044767438236857
0.1,0.4,1e-06,0.8,0.8,0.3,9.261,0.9026289381578677
0.1,0.4,1e-06,0.8,0.8,0.4,9.314000000000005,0.9168445887935419
0.1,0.4,1e-06,0.8,0.8,0.5,9.381000000000006,0.9716269860393979
0.1,0.4,1e-06,0.8,0.8,0.6,9.283000000000008,0.9499952631460836
0.1,0.4,1e-06,0.8,0.8,0.7,10.106000000000005,2.17204143606884
0.1,0.4,1e-06,0.8,1.0,0.3,9.399000000000003,1.1309195373677146
0.1,0.4,1e-06,0.8,1.0,0.4,9.449000000000003,1.077394542403109
0.1,0.4,1e-06,0.8,1.0,0.5,9.411000000000005,0.9703705477805886
0.1,0.4,1e-06,0.8,1.0,0.6,9.237000000000005,1.3903276592228182
0.1,0.4,1e-06,0.8,1.0,0.7,9.679000000000006,1.282208641368479
0.1,0.4,1e-06,1.0,0.6,0.3,3.671000000000002,1.261467003135636
0.1,0.4,1e-06,1.0,0.6,0.4,4.184000000000002,1.1580086355463837
0.1,0.4,1e-06,1.0,0.6,0.5,4.669000000000006,1.2529720667277457
0.1,0.4,1e-06,1.0,0.6,0.6,4.682000000000005,1.0966658561293845
0.1,0.4,1e-06,1.0,0.6,0.7,4.856000000000002,0.6784865510826279
0.1,0.4,1e-06,1.0,0.8,0.3,3.8140000000000014,1.2769823804579292
0.1,0.4,1e-06,1.0,0.8,0.4,4.385000000000005,1.3749309073549842
0.1,0.4,1e-06,1.0,0.8,0.5,4.625000000000002,1.2277438657961195
0.1,0.4,1e-06,1.0,0.8,0.6,4.805000000000005,1.490192940528174
0.1,0.4,1e-06,1.0,0.8,0.7,4.924000000000002,0.6357546696643296
0.1,0.4,1e-06,1.0,1.0,0.3,4.072,1.0994434955922003
0.1,0.4,1e-06,1.0,1.0,0.4,4.524000000000003,0.8108908681197492
0.1,0.4,1e-06,1.0,1.0,0.5,4.502000000000001,0.7514226507099748
0.1,0.4,1e-06,1.0,1.0,0.6,4.782000000000004,1.0826061148912862
0.1,0.4,1e-06,1.0,1.0,0.7,5.219000000000003,1.0440014367806199
0.1,0.4,1e-07,0.6,0.6,0.3,10.906000000000002,1.2053895635851497
0.1,0.4,1e-07,0.6,0.6,0.4,10.826000000000004,1.2323165177826683
0.1,0.4,1e-07,0.6,0.6,0.5,10.911000000000001,1.074513378232211
0.1,0.4,1e-07,0.6,0.6,0.6,11.259000000000006,1.2510711410627313
0.1,0.4,1e-07,0.6,0.6,0.7,11.133000000000006,1.1424233015830847
0.1,0.4,1e-07,0.6,0.8,0.3,10.864000000000003,1.3896992480389403
0.1,0.4,1e-07,0.6,0.8,0.4,10.867000000000006,1.1796317221912935
0.1,0.4,1e-07,0.6,0.8,0.5,10.872000000000003,0.9922983422338277
0.1,0.4,1e-07,0.6,0.8,0.6,11.082000000000004,0.9358611008050306
0.1,0.4,1e-07,0.6,0.8,0.7,11.113000000000003,1.160470163338976
0.1,0.4,1e-07,0.6,1.0,0.3,10.573000000000006,0.9304681617336494
0.1,0.4,1e-07,0.6,1.0,0.4,10.575000000000003,0.9723965240579592
0.1,0.4,1e-07,0.6,1.0,0.5,10.798000000000004,0.9036127489140428
0.1,0.4,1e-07,0.6,1.0,0.6,10.860000000000003,0.9668505572217434
0.1,0.4,1e-07,0.6,1.0,0.7,10.907000000000004,1.170252536848351
0.1,0.4,1e-07,0.8,0.6,0.3,10.330000000000007,1.0109698313995312
0.1,0.4,1e-07,0.8,0.6,0.4,10.490000000000006,1.4513924348707317
0.1,0.4,1e-07,0.8,0.6,0.5,10.407000000000009,1.1378448927687819
0.1,0.4,1e-07,0.8,0.6,0.6,10.487000000000004,1.3014803110304796
0.1,0.4,1e-07,0.8,0.6,0.7,10.545000000000003,1.428661961417046
0.1,0.4,1e-07,0.8,0.8,0.3,10.389000000000006,0.9971454257027912
0.1,0.4,1e-07,0.8,0.8,0.4,10.780000000000006,1.5150181517064412
0.1,0.4,1e-07,0.8,0.8,0.5,10.448000000000006,1.193405211987945
0.1,0.4,1e-07,0.8,0.8,0.6,10.581000000000007,1.678767107135471
0.1,0.4,1e-07,0.8,0.8,0.7,10.439000000000009,1.275860102048808
0.1,0.4,1e-07,0.8,1.0,0.3,10.339000000000004,1.045322438293564
0.1,0.4,1e-07,0.8,1.0,0.4,10.749000000000006,1.4562894629846095
0.1,0.4,1e-07,0.8,1.0,0.5,10.639000000000005,1.3130647356471035
0.1,0.4,1e-07,0.8,1.0,0.6,10.454000000000004,1.2594300298150756
0.1,0.4,1e-07,0.8,1.0,0.7,10.376000000000003,1.2178604189314988
0.1,0.4,1e-07,1.0,0.6,0.3,3.6400000000000032,1.150756273065674
0.1,0.4,1e-07,1.0,0.6,0.4,4.032000000000004,1.0936800263331135
0.1,0.4,1e-07,1.0,0.6,0.5,4.538000000000002,1.2044069079841753
0.1,0.4,1e-07,1.0,0.6,0.6,4.512000000000003,0.7182590062087643
0.1,0.4,1e-07,1.0,0.6,0.7,4.934,0.6416260593211575
0.1,0.4,1e-07,1.0,0.8,0.3,3.8810000000000016,1.6285511966161828
0.1,0.4,1e-07,1.0,0.8,0.4,4.268000000000006,1.082892423096585
0.1,0.4,1e-07,1.0,0.8,0.5,4.557,1.1156034241611101
0.1,0.4,1e-07,1.0,0.8,0.6,4.556000000000002,0.7297287167160098
0.1,0.4,1e-07,1.0,0.8,0.7,5.211000000000003,1.0569668868985476
0.1,0.4,1e-07,1.0,1.0,0.3,4.4079999999999995,0.9412629813181842
0.1,0.4,1e-07,1.0,1.0,0.4,4.893000000000005,1.8079410941731486
0.1,0.4,1e-07,1.0,1.0,0.5,4.794000000000002,1.9743262141804243
0.1,0.4,1e-07,1.0,1.0,0.6,4.604000000000006,0.7601473541360253
0.1,0.4,1e-07,1.0,1.0,0.7,5.109999999999999,0.5140233457733208
0.1,0.5,1e-06,0.6,0.6,0.3,9.933000000000003,1.1099599091859143
0.1,0.5,1e-06,0.6,0.6,0.4,10.097000000000003,1.8410135795262357
0.1,0.5,1e-06,0.6,0.6,0.5,9.676000000000005,1.3784716174082094
0.1,0.5,1e-06,0.6,0.6,0.6,9.566000000000004,1.3773612452802648
0.1,0.5,1e-06,0.6,0.6,0.7,10.095000000000004,1.071146581939183
0.1,0.5,1e-06,0.6,0.8,0.3,9.809000000000003,1.2050804952367298
0.1,0.5,1e-06,0.6,0.8,0.4,9.647000000000006,1.05879695881694
0.1,0.5,1e-06,0.6,0.8,0.5,10.214000000000004,2.4122943435658897
0.1,0.5,1e-06,0.6,0.8,0.6,9.959000000000005,1.4757164361760018
0.1,0.5,1e-06,0.6,0.8,0.7,10.076000000000004,1.0307783466875855
0.1,0.5,1e-06,0.6,1.0,0.3,9.695000000000004,1.0738691726649012
0.1,0.5,1e-06,0.6,1.0,0.4,9.814000000000004,1.258937647383698
0.1,0.5,1e-06,0.6,1.0,0.5,9.777000000000003,1.1668123242407062
0.1,0.5,1e-06,0.6,1.0,0.6,9.807000000000004,1.5705448099306194
0.1,0.5,1e-06,0.6,1.0,0.7,10.170000000000007,0.9572147094565566
0.1,0.5,1e-06,0.8,0.6,0.3,9.696000000000002,2.0894554314461953
0.1,0.5,1e-06,0.8,0.6,0.4,9.632000000000001,1.4725814069177976
0.1,0.5,1e-06,0.8,0.6,0.5,9.370000000000005,1.3648662938178255
0.1,0.5,1e-06,0.8,0.6,0.6,9.142000000000005,1.237188748736423
0.1,0.5,1e-06,0.8,0.6,0.7,9.556000000000001,1.2404450814123138
0.1,0.5,1e-06,0.8,0.8,0.3,9.555000000000003,1.9207902019741796
0.1,0.5,1e-06,0.8,0.8,0.4,9.814000000000004,1.6071851169047076
0.1,0.5,1e-06,0.8,0.8,0.5,9.263000000000002,1.3935318439131574
0.1,0.5,1e-06,0.8,0.8,0.6,9.217000000000008,1.4500658605732348
0.1,0.5,1e-06,0.8,0.8,0.7,9.583000000000006,1.206039385758195
0.1,0.5,1e-06,0.8,1.0,0.3,9.719000000000003,1.9386848635092835
0.1,0.5,1e-06,0.8,1.0,0.4,9.922000000000006,1.7571215097425694
0.1,0.5,1e-06,0.8,1.0,0.5,9.137000000000004,1.5138200025102082
0.1,0.5,1e-06,0.8,1.0,0.6,9.293000000000006,1.4331263028777304
0.1,0.5,1e-06,0.8,1.0,0.7,9.581000000000007,1.1456085718953049
0.1,0.5,1e-06,1.0,0.6,0.3,4.524000000000003,2.073871741453654
0.1,0.5,1e-06,1.0,0.6,0.4,4.932000000000005,1.2404741029138797
