cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 20, 25, 35, 45, 75, 90]",0.95,0.1,0.5,1e-08,0.22979616147069667,0.0558808772936914
"[10, 20, 25, 35, 45, 80, 85]",0.95,0.1,0.5,1e-08,0.2364633615133665,0.06684364508132135
"[10, 20, 25, 35, 50, 55, 105]",0.95,0.1,0.5,1e-08,0.22846272146216284,0.06289666889372054
"[10, 20, 25, 35, 50, 60, 100]",0.95,0.1,0.5,1e-08,0.2360188815105218,0.05603621993613043
"[10, 20, 25, 35, 50, 65, 95]",0.95,0.1,0.5,1e-08,0.23824128152474533,0.05622979474222208
"[10, 20, 25, 35, 50, 70, 90]",0.95,0.1,0.5,1e-08,0.23512992150483253,0.05167068084668301
"[10, 20, 25, 35, 50, 75, 85]",0.95,0.1,0.5,1e-08,0.24046368153896905,0.07285134365788483
"[10, 20, 25, 35, 55, 60, 95]",0.95,0.1,0.5,1e-08,0.26313216168404713,0.08186882469281266
"[10, 20, 25, 35, 55, 65, 90]",0.95,0.1,0.5,1e-08,0.25379808162430906,0.08494569889789248
"[10, 20, 25, 35, 55, 70, 85]",0.95,0.1,0.5,1e-08,0.24624192157594882,0.06744389058107968
"[10, 20, 25, 35, 55, 75, 80]",0.95,0.1,0.5,1e-08,0.25646496164137633,0.08436459950555612
"[10, 20, 25, 35, 60, 65, 85]",0.95,0.1,0.5,1e-08,0.25113120160724123,0.054907224815077156
"[10, 20, 25, 35, 60, 70, 80]",0.95,0.1,0.5,1e-08,0.23646336151336603,0.05421198527344997
"[10, 20, 25, 35, 65, 70, 75]",0.95,0.1,0.5,1e-08,0.24535296157025988,0.05998998255434806
"[10, 20, 25, 40, 45, 50, 110]",0.95,0.1,0.5,1e-08,0.2449084815674155,0.07133038572591778
"[10, 20, 25, 40, 45, 55, 105]",0.95,0.1,0.5,1e-08,0.2306851214763861,0.05836751907683094
"[10, 20, 25, 40, 45, 60, 100]",0.95,0.1,0.5,1e-08,0.25113120160724123,0.06974229766438018
"[10, 20, 25, 40, 45, 65, 95]",0.95,0.1,0.5,1e-08,0.24179712154750238,0.0687494334692921
"[10, 20, 25, 40, 45, 70, 90]",0.95,0.1,0.5,1e-08,0.24313056155603666,0.05464754652124577
"[10, 20, 25, 40, 45, 75, 85]",0.95,0.1,0.5,1e-08,0.2524646416157746,0.07686548845488904
"[10, 20, 25, 40, 50, 55, 100]",0.95,0.1,0.5,1e-08,0.2511312016072411,0.06607670279097165
"[10, 20, 25, 40, 50, 60, 95]",0.95,0.1,0.5,1e-08,0.269799361726717,0.12269258407614801
"[10, 20, 25, 40, 50, 65, 90]",0.95,0.1,0.5,1e-08,0.2546870416299981,0.07733952049497249
"[10, 20, 25, 40, 50, 70, 85]",0.95,0.1,0.5,1e-08,0.24846432159017268,0.06161140604509762
"[10, 20, 25, 40, 50, 75, 80]",0.95,0.1,0.5,1e-08,0.24046368153896872,0.06161140604509791
"[10, 20, 25, 40, 55, 60, 90]",0.95,0.1,0.5,1e-08,0.24001920153612416,0.06168511350892288
"[10, 20, 25, 40, 55, 65, 85]",0.95,0.1,0.5,1e-08,0.24668640157879418,0.05609964521951714
"[10, 20, 25, 40, 55, 70, 80]",0.95,0.1,0.5,1e-08,0.24179712154750238,0.060495018377822056
"[10, 20, 25, 40, 60, 65, 80]",0.95,0.1,0.5,1e-08,0.248464321590173,0.06857679713720319
"[10, 20, 25, 40, 60, 70, 75]",0.95,0.1,0.5,1e-08,0.2360188815105221,0.05157500494923259
"[10, 20, 25, 45, 50, 55, 95]",0.95,0.1,0.5,1e-08,0.24801984158732862,0.06203004693502412
"[10, 20, 25, 45, 50, 60, 90]",0.95,0.1,0.5,1e-08,0.24224160155034724,0.04975397256298073
"[10, 20, 25, 45, 50, 65, 85]",0.95,0.1,0.5,1e-08,0.2591318416584449,0.07130545423244646
"[10, 20, 25, 45, 50, 70, 80]",0.95,0.1,0.5,1e-08,0.25335360162146464,0.06353110515279345
"[10, 20, 25, 45, 55, 60, 85]",0.95,0.1,0.5,1e-08,0.22846272146216207,0.054080632847979405
"[10, 20, 25, 45, 55, 65, 80]",0.95,0.1,0.5,1e-08,0.23201856148491973,0.046651347266543436
"[10, 20, 25, 45, 55, 70, 75]",0.95,0.1,0.5,1e-08,0.24579744157310507,0.06458892457971846
