cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 10, 15, 20, 25, 30, 35, 40, 120]",0.95,0.1,0.5,1e-08,0.25335360162146403,0.06096023388891121
"[5, 10, 15, 20, 25, 30, 35, 45, 115]",0.95,0.1,0.5,1e-08,0.2515756816100852,0.06660381195654838
"[5, 10, 15, 20, 25, 30, 35, 50, 110]",0.95,0.1,0.5,1e-08,0.2640211216897359,0.08397496596439007
"[5, 10, 15, 20, 25, 30, 35, 55, 105]",0.95,0.1,0.5,1e-08,0.2702438417295617,0.09462936461781117
"[5, 10, 15, 20, 25, 30, 35, 60, 100]",0.95,0.1,0.5,1e-08,0.25824288165275533,0.0751736454860034
"[5, 10, 15, 20, 25, 30, 35, 65, 95]",0.95,0.1,0.5,1e-08,0.24757536158448296,0.06143800621584009
"[5, 10, 15, 20, 25, 30, 35, 70, 90]",0.95,0.1,0.5,1e-08,0.2533536016214637,0.07944885782737901
"[5, 10, 15, 20, 25, 30, 35, 75, 85]",0.95,0.1,0.5,1e-08,0.25335360162146403,0.0711862165775341
"[5, 10, 15, 20, 25, 30, 40, 45, 110]",0.95,0.1,0.5,1e-08,0.25957632166128963,0.06909341210167196
"[5, 10, 15, 20, 25, 30, 40, 50, 105]",0.95,0.1,0.5,1e-08,0.25779840164991064,0.08340368500146117
"[5, 10, 15, 20, 25, 30, 40, 55, 100]",0.95,0.1,0.5,1e-08,0.25290912161861884,0.07980118265030227
"[5, 10, 15, 20, 25, 30, 40, 60, 95]",0.95,0.1,0.5,1e-08,0.23468544150198783,0.060579868744701906
"[5, 10, 15, 20, 25, 30, 40, 65, 90]",0.95,0.1,0.5,1e-08,0.24313056155603682,0.06719738001782953
"[5, 10, 15, 20, 25, 30, 40, 70, 85]",0.95,0.1,0.5,1e-08,0.23779680152190064,0.0587655683780512
"[5, 10, 15, 20, 25, 30, 40, 75, 80]",0.95,0.1,0.5,1e-08,0.2435750415588812,0.0659060583695652
"[5, 10, 15, 20, 25, 30, 45, 50, 100]",0.95,0.1,0.5,1e-08,0.25113120160724095,0.05208198108091086
"[5, 10, 15, 20, 25, 30, 45, 55, 95]",0.95,0.1,0.5,1e-08,0.2569094416442212,0.08143329765107153
"[5, 10, 15, 20, 25, 30, 45, 60, 90]",0.95,0.1,0.5,1e-08,0.2577984016499103,0.10526765460755892
"[5, 10, 15, 20, 25, 30, 45, 65, 85]",0.95,0.1,0.5,1e-08,0.2537980816243084,0.0636460599325049
"[5, 10, 15, 20, 25, 30, 45, 70, 80]",0.95,0.1,0.5,1e-08,0.24890880159301723,0.053430120099258224
"[5, 10, 15, 20, 25, 30, 50, 55, 90]",0.95,0.1,0.5,1e-08,0.2564649616413771,0.07721169071519834
"[5, 10, 15, 20, 25, 30, 50, 60, 85]",0.95,0.1,0.5,1e-08,0.2453529615702594,0.06428232014931247
"[5, 10, 15, 20, 25, 30, 50, 65, 80]",0.95,0.1,0.5,1e-08,0.2573539216470664,0.07335132164959854
"[5, 10, 15, 20, 25, 30, 50, 70, 75]",0.95,0.1,0.5,1e-08,0.24624192157594899,0.06964875419053579
"[5, 10, 15, 20, 25, 30, 55, 60, 80]",0.95,0.1,0.5,1e-08,0.2640211216897365,0.09108478735865827
"[5, 10, 15, 20, 25, 30, 55, 65, 75]",0.95,0.1,0.5,1e-08,0.24935328159586195,0.07000242551887657
"[5, 10, 15, 20, 25, 30, 60, 65, 70]",0.95,0.1,0.5,1e-08,0.2742441617551639,0.09722434921227993
"[5, 10, 15, 20, 25, 35, 40, 45, 105]",0.95,0.1,0.5,1e-08,0.2591318416584452,0.07327317220042381
"[5, 10, 15, 20, 25, 35, 40, 50, 100]",0.95,0.1,0.5,1e-08,0.27913344178645505,0.12249920486999032
"[5, 10, 15, 20, 25, 35, 40, 55, 95]",0.95,0.1,0.5,1e-08,0.2609097616698236,0.08994105300997152
"[5, 10, 15, 20, 25, 35, 40, 60, 90]",0.95,0.1,0.5,1e-08,0.24668640157879418,0.06353110515279364
"[5, 10, 15, 20, 25, 35, 40, 65, 85]",0.95,0.1,0.5,1e-08,0.2564649616413765,0.06481792614164532
"[5, 10, 15, 20, 25, 35, 40, 70, 80]",0.95,0.1,0.5,1e-08,0.2640211216897364,0.11342864932200848
"[5, 10, 15, 20, 25, 35, 45, 50, 95]",0.95,0.1,0.5,1e-08,0.24668640157879354,0.06759896448055341
"[5, 10, 15, 20, 25, 35, 45, 55, 90]",0.95,0.1,0.5,1e-08,0.2724662417437852,0.09017139865754328
"[5, 10, 15, 20, 25, 35, 45, 60, 85]",0.95,0.1,0.5,1e-08,0.24979776159870665,0.06911056609178212
"[5, 10, 15, 20, 25, 35, 45, 65, 80]",0.95,0.1,0.5,1e-08,0.2640211216897364,0.09377790741935219
"[5, 10, 15, 20, 25, 35, 45, 70, 75]",0.95,0.1,0.5,1e-08,0.2511312016072406,0.06910198962901837
"[5, 10, 15, 20, 25, 35, 50, 55, 85]",0.95,0.1,0.5,1e-08,0.26357664168689166,0.08114164758510321
"[5, 10, 15, 20, 25, 35, 50, 60, 80]",0.95,0.1,0.5,1e-08,0.2666880017068042,0.08110998920311208
"[5, 10, 15, 20, 25, 35, 50, 65, 75]",0.95,0.1,0.5,1e-08,0.25824288165275533,0.08152785928267968
"[5, 10, 15, 20, 25, 35, 55, 60, 75]",0.95,0.1,0.5,1e-08,0.24357504155888185,0.06300964573759393
"[5, 10, 15, 20, 25, 35, 55, 65, 70]",0.95,0.1,0.5,1e-08,0.27246624174378503,0.12645124083600515
"[5, 10, 15, 20, 25, 40, 45, 50, 90]",0.95,0.1,0.5,1e-08,0.26313216168404635,0.06182267869706459
"[5, 10, 15, 20, 25, 40, 45, 55, 85]",0.95,0.1,0.5,1e-08,0.23690784151621153,0.06253756242530138
"[5, 10, 15, 20, 25, 40, 45, 60, 80]",0.95,0.1,0.5,1e-08,0.24001920153612355,0.05842841374031694
"[5, 10, 15, 20, 25, 40, 45, 65, 75]",0.95,0.1,0.5,1e-08,0.24401952156172624,0.06820125264711512
"[5, 10, 15, 20, 25, 40, 50, 55, 80]",0.95,0.1,0.5,1e-08,0.2809113617978339,0.13780027085613633
"[5, 10, 15, 20, 25, 40, 50, 60, 75]",0.95,0.1,0.5,1e-08,0.24446400156457015,0.08054782188850097
"[5, 10, 15, 20, 25, 40, 50, 65, 70]",0.95,0.1,0.5,1e-08,0.27335520174947414,0.09707589792890738
"[5, 10, 15, 20, 25, 40, 55, 60, 70]",0.95,0.1,0.5,1e-08,0.26624352170395943,0.07276994245142379
"[5, 10, 15, 20, 25, 45, 50, 55, 75]",0.95,0.1,0.5,1e-08,0.2733552017494743,0.11267370815946672
"[5, 10, 15, 20, 25, 45, 50, 60, 70]",0.95,0.1,0.5,1e-08,0.27780000177792125,0.07731908193211738
"[5, 10, 15, 20, 25, 45, 55, 60, 65]",0.95,0.1,0.5,1e-08,0.2471308815816387,0.06438672947073719
"[5, 10, 15, 20, 30, 35, 40, 45, 100]",0.95,0.1,0.5,1e-08,0.24535296157026004,0.06203004693502425
"[5, 10, 15, 20, 30, 35, 40, 50, 95]",0.95,0.1,0.5,1e-08,0.23913024153043444,0.06992053314367717
"[5, 10, 15, 20, 30, 35, 40, 55, 90]",0.95,0.1,0.5,1e-08,0.2560204816385321,0.060462351914844406
"[5, 10, 15, 20, 30, 35, 40, 60, 85]",0.95,0.1,0.5,1e-08,0.2591318416584452,0.10774950711782295
"[5, 10, 15, 20, 30, 35, 40, 65, 80]",0.95,0.1,0.5,1e-08,0.23824128152474486,0.052127480781854744
"[5, 10, 15, 20, 30, 35, 40, 70, 75]",0.95,0.1,0.5,1e-08,0.22846272146216237,0.0532523401966518
"[5, 10, 15, 20, 30, 35, 45, 50, 90]",0.95,0.1,0.5,1e-08,0.26802144171533826,0.07594757375735703
"[5, 10, 15, 20, 30, 35, 45, 55, 85]",0.95,0.1,0.5,1e-08,0.24890880159301723,0.07792990708214224
"[5, 10, 15, 20, 30, 35, 45, 60, 80]",0.95,0.1,0.5,1e-08,0.24401952156172624,0.07323001956287704
"[5, 10, 15, 20, 30, 35, 45, 65, 75]",0.95,0.1,0.5,1e-08,0.23335200149345353,0.04599884873632614
"[5, 10, 15, 20, 30, 35, 50, 55, 80]",0.95,0.1,0.5,1e-08,0.26357664168689154,0.10661592021096739
"[5, 10, 15, 20, 30, 35, 50, 60, 75]",0.95,0.1,0.5,1e-08,0.24046368153896808,0.0672679037874762
"[5, 10, 15, 20, 30, 35, 50, 65, 70]",0.95,0.1,0.5,1e-08,0.2582428816527555,0.07529181627653099
"[5, 10, 15, 20, 30, 35, 55, 60, 70]",0.95,0.1,0.5,1e-08,0.2542425616271531,0.05760433399764348
