cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 20, 25, 35, 45, 75, 90]",0.95,0.1,0.5,1e-08,44.16975580268644,5.32608193094017
"[10, 20, 25, 35, 45, 80, 85]",0.95,0.1,0.5,1e-08,44.18042332275471,5.316560856215898
"[10, 20, 25, 35, 50, 55, 105]",0.95,0.1,0.5,1e-08,44.179534362749024,5.317036815114094
"[10, 20, 25, 35, 50, 60, 100]",0.95,0.1,0.5,1e-08,44.151976602572645,5.341191267100641
"[10, 20, 25, 35, 50, 65, 95]",0.95,0.1,0.5,1e-08,44.16575548266083,5.329231453231685
"[10, 20, 25, 35, 50, 70, 90]",0.95,0.1,0.5,1e-08,44.179089882746176,5.316763076139702
"[10, 20, 25, 35, 50, 75, 85]",0.95,0.1,0.5,1e-08,44.136419802473085,5.3551042973722955
"[10, 20, 25, 35, 55, 60, 95]",0.95,0.1,0.5,1e-08,44.185312602786,5.311176792735092
"[10, 20, 25, 35, 55, 65, 90]",0.95,0.1,0.5,1e-08,44.171533722697816,5.323571822752119
"[10, 20, 25, 35, 55, 70, 85]",0.95,0.1,0.5,1e-08,44.16975580268644,5.326370695209907
"[10, 20, 25, 35, 55, 75, 80]",0.95,0.1,0.5,1e-08,44.14886524255274,5.344479121620555
"[10, 20, 25, 35, 60, 65, 85]",0.95,0.1,0.5,1e-08,44.22131548301642,5.280139949469253
"[10, 20, 25, 35, 60, 70, 80]",0.95,0.1,0.5,1e-08,44.18753500280022,5.311581486064086
"[10, 20, 25, 35, 65, 70, 75]",0.95,0.1,0.5,1e-08,44.14086460250153,5.351114192597074
"[10, 20, 25, 40, 45, 50, 110]",0.95,0.1,0.5,1e-08,44.11641820234507,5.373032200722939
"[10, 20, 25, 40, 45, 55, 105]",0.95,0.1,0.5,1e-08,44.143531482518604,5.349208898555226
"[10, 20, 25, 40, 45, 60, 100]",0.95,0.1,0.5,1e-08,44.14042012249868,5.352538408806606
"[10, 20, 25, 40, 45, 65, 95]",0.95,0.1,0.5,1e-08,44.144420442524286,5.34928195158241
"[10, 20, 25, 40, 45, 70, 90]",0.95,0.1,0.5,1e-08,44.14842076254989,5.344021244705024
"[10, 20, 25, 40, 45, 75, 85]",0.95,0.1,0.5,1e-08,44.19375772284005,5.305728508165861
"[10, 20, 25, 40, 50, 55, 100]",0.95,0.1,0.5,1e-08,44.11997404236783,5.369495340377611
"[10, 20, 25, 40, 50, 60, 95]",0.95,0.1,0.5,1e-08,44.12575228240481,5.364693187885975
"[10, 20, 25, 40, 50, 65, 90]",0.95,0.1,0.5,1e-08,44.15508796259255,5.339643075409441
"[10, 20, 25, 40, 50, 70, 85]",0.95,0.1,0.5,1e-08,44.150643162564116,5.343402349839002
"[10, 20, 25, 40, 50, 75, 80]",0.95,0.1,0.5,1e-08,44.132419482447474,5.358568587531045
"[10, 20, 25, 40, 55, 60, 90]",0.95,0.1,0.5,1e-08,44.179978842751865,5.317337254076595
"[10, 20, 25, 40, 55, 65, 85]",0.95,0.1,0.5,1e-08,44.16931132268358,5.326664117084683
"[10, 20, 25, 40, 55, 70, 80]",0.95,0.1,0.5,1e-08,44.11997404236783,5.3747744507388155
"[10, 20, 25, 40, 60, 65, 80]",0.95,0.1,0.5,1e-08,44.17331164270919,5.3224882601285275
"[10, 20, 25, 40, 60, 70, 75]",0.95,0.1,0.5,1e-08,44.21375932296806,5.287606038704552
"[10, 20, 25, 45, 50, 55, 95]",0.95,0.1,0.5,1e-08,44.11686268234792,5.372714247435719
"[10, 20, 25, 45, 50, 60, 90]",0.95,0.1,0.5,1e-08,44.12841916242188,5.363703644228014
"[10, 20, 25, 45, 50, 65, 85]",0.95,0.1,0.5,1e-08,44.151087642566964,5.343420873360327
"[10, 20, 25, 45, 50, 70, 80]",0.95,0.1,0.5,1e-08,44.14042012249868,5.352405530968751
"[10, 20, 25, 45, 55, 60, 85]",0.95,0.1,0.5,1e-08,44.129308122427574,5.364019332461044
"[10, 20, 25, 45, 55, 65, 80]",0.95,0.1,0.5,1e-08,44.14664284253851,5.346297894807553
"[10, 20, 25, 45, 55, 70, 75]",0.95,0.1,0.5,1e-08,44.128863642424726,5.362117592303057
"[10, 20, 25, 45, 60, 65, 75]",0.95,0.1,0.5,1e-08,44.14130908250437,5.351580396483838
"[10, 20, 25, 50, 55, 60, 80]",0.95,0.1,0.5,1e-08,44.13464188246171,5.3588821450876285
"[10, 20, 25, 50, 55, 65, 75]",0.95,0.1,0.5,1e-08,44.14219804251006,5.354792584691556
"[10, 20, 25, 50, 60, 65, 70]",0.95,0.1,0.5,1e-08,44.18886844280875,5.31020681667386
"[10, 20, 30, 35, 40, 45, 120]",0.95,0.1,0.5,1e-08,44.11730716235076,5.371975899604896
"[10, 20, 30, 35, 40, 50, 115]",0.95,0.1,0.5,1e-08,44.13286396245033,5.358387818146884
"[10, 20, 30, 35, 40, 55, 110]",0.95,0.1,0.5,1e-08,44.1435314825186,5.3494399096465
"[10, 20, 30, 35, 40, 60, 105]",0.95,0.1,0.5,1e-08,44.138197722484456,5.353284862566155
"[10, 20, 30, 35, 40, 65, 100]",0.95,0.1,0.5,1e-08,44.13597532247024,5.35489035426256
"[10, 20, 30, 35, 40, 70, 95]",0.95,0.1,0.5,1e-08,44.12664124241049,5.3642088248745745
"[10, 20, 30, 35, 40, 75, 90]",0.95,0.1,0.5,1e-08,44.14975420255843,5.343496630566628
"[10, 20, 30, 35, 40, 80, 85]",0.95,0.1,0.5,1e-08,44.12753020241619,5.365581993686085
"[10, 20, 30, 35, 45, 50, 110]",0.95,0.1,0.5,1e-08,44.11019548230525,5.378628253642947
"[10, 20, 30, 35, 45, 55, 105]",0.95,0.1,0.5,1e-08,44.159977242623846,5.334803830329308
"[10, 20, 30, 35, 45, 60, 100]",0.95,0.1,0.5,1e-08,44.15508796259256,5.340229110432471
"[10, 20, 30, 35, 45, 65, 95]",0.95,0.1,0.5,1e-08,44.11464028233369,5.380017424875428
"[10, 20, 30, 35, 45, 70, 90]",0.95,0.1,0.5,1e-08,44.11152892231379,5.3808053377771845
"[10, 20, 30, 35, 45, 75, 85]",0.95,0.1,0.5,1e-08,44.14264252251291,5.35266297878376
"[10, 20, 30, 35, 50, 55, 100]",0.95,0.1,0.5,1e-08,44.12175196237921,5.367888291388555
"[10, 20, 30, 35, 50, 60, 95]",0.95,0.1,0.5,1e-08,44.10486172227112,5.3851588466942255
"[10, 20, 30, 35, 50, 65, 90]",0.95,0.1,0.5,1e-08,44.116418202345066,5.374949559908149
"[10, 20, 30, 35, 50, 70, 85]",0.95,0.1,0.5,1e-08,44.17908988274617,5.318251062321531
"[10, 20, 30, 35, 50, 75, 80]",0.95,0.1,0.5,1e-08,44.1177516423536,5.371462511906476
"[10, 20, 30, 35, 55, 60, 90]",0.95,0.1,0.5,1e-08,44.1226409223849,5.3671381999679015
"[10, 20, 30, 35, 55, 65, 85]",0.95,0.1,0.5,1e-08,44.13641980247307,5.354667658408037
"[10, 20, 30, 35, 55, 70, 80]",0.95,0.1,0.5,1e-08,44.1306415624361,5.363484850442527
"[10, 20, 30, 35, 60, 65, 80]",0.95,0.1,0.5,1e-08,44.11997404236783,5.369453947541852
"[10, 20, 30, 35, 60, 70, 75]",0.95,0.1,0.5,1e-08,44.13419740245887,5.357515039847903
"[10, 20, 30, 40, 45, 50, 105]",0.95,0.1,0.5,1e-08,44.131975002444634,5.359291788411726
"[10, 20, 30, 40, 45, 55, 100]",0.95,0.1,0.5,1e-08,44.07997084211181,5.406862118598415
"[10, 20, 30, 40, 45, 60, 95]",0.95,0.1,0.5,1e-08,44.11597372234223,5.372845446353876
"[10, 20, 30, 40, 45, 65, 90]",0.95,0.1,0.5,1e-08,44.131086042438945,5.360236923128873
"[10, 20, 30, 40, 45, 70, 85]",0.95,0.1,0.5,1e-08,44.1564214026011,5.337469300468934
"[10, 20, 30, 40, 45, 75, 80]",0.95,0.1,0.5,1e-08,44.13419740245886,5.357556524924452
