cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 10, 15, 20, 25, 30, 35, 40, 120]",0.95,0.1,0.5,1e-08,44.131975002444634,5.360204083404599
"[5, 10, 15, 20, 25, 30, 35, 45, 115]",0.95,0.1,0.5,1e-08,44.15508796259256,5.338828846136052
"[5, 10, 15, 20, 25, 30, 35, 50, 110]",0.95,0.1,0.5,1e-08,44.131086042438945,5.361207096939437
"[5, 10, 15, 20, 25, 30, 35, 55, 105]",0.95,0.1,0.5,1e-08,44.14130908250438,5.35225814344152
"[5, 10, 15, 20, 25, 30, 35, 60, 100]",0.95,0.1,0.5,1e-08,44.115529242339385,5.3755652269807745
"[5, 10, 15, 20, 25, 30, 35, 65, 95]",0.95,0.1,0.5,1e-08,44.11819612235646,5.37293663653977
"[5, 10, 15, 20, 25, 30, 35, 70, 90]",0.95,0.1,0.5,1e-08,44.131975002444634,5.359197232594751
"[5, 10, 15, 20, 25, 30, 35, 75, 85]",0.95,0.1,0.5,1e-08,44.167088922669365,5.327825072453827
"[5, 10, 15, 20, 25, 30, 40, 45, 110]",0.95,0.1,0.5,1e-08,44.10219484225404,5.3870091778298335
"[5, 10, 15, 20, 25, 30, 40, 50, 105]",0.95,0.1,0.5,1e-08,44.143087002515756,5.351531001765061
"[5, 10, 15, 20, 25, 30, 40, 55, 100]",0.95,0.1,0.5,1e-08,44.13375292245601,5.357289392281583
"[5, 10, 15, 20, 25, 30, 40, 60, 95]",0.95,0.1,0.5,1e-08,44.15375452258403,5.339699905864078
"[5, 10, 15, 20, 25, 30, 40, 65, 90]",0.95,0.1,0.5,1e-08,44.17020028268928,5.324895292251691
"[5, 10, 15, 20, 25, 30, 40, 70, 85]",0.95,0.1,0.5,1e-08,44.16753340267221,5.327541912418996
"[5, 10, 15, 20, 25, 30, 40, 75, 80]",0.95,0.1,0.5,1e-08,44.158643802615316,5.33610496556887
"[5, 10, 15, 20, 25, 30, 45, 50, 100]",0.95,0.1,0.5,1e-08,44.13819772248446,5.353407754491491
"[5, 10, 15, 20, 25, 30, 45, 55, 95]",0.95,0.1,0.5,1e-08,44.15375452258403,5.340247644960696
"[5, 10, 15, 20, 25, 30, 45, 60, 90]",0.95,0.1,0.5,1e-08,44.16086620262954,5.333509341523045
"[5, 10, 15, 20, 25, 30, 45, 65, 85]",0.95,0.1,0.5,1e-08,44.11819612235645,5.371205597356127
"[5, 10, 15, 20, 25, 30, 45, 70, 80]",0.95,0.1,0.5,1e-08,44.12664124241049,5.365411917909326
"[5, 10, 15, 20, 25, 30, 50, 55, 90]",0.95,0.1,0.5,1e-08,44.12530780240197,5.367464286741929
"[5, 10, 15, 20, 25, 30, 50, 60, 85]",0.95,0.1,0.5,1e-08,44.19598012285427,5.3038040047485495
"[5, 10, 15, 20, 25, 30, 50, 65, 80]",0.95,0.1,0.5,1e-08,44.15553244259541,5.341206099455014
"[5, 10, 15, 20, 25, 30, 50, 70, 75]",0.95,0.1,0.5,1e-08,44.20042492288272,5.2985492640364145
"[5, 10, 15, 20, 25, 30, 55, 60, 80]",0.95,0.1,0.5,1e-08,44.141753562507226,5.350438331583676
"[5, 10, 15, 20, 25, 30, 55, 65, 75]",0.95,0.1,0.5,1e-08,44.105750682276806,5.382184476761501
"[5, 10, 15, 20, 25, 30, 60, 65, 70]",0.95,0.1,0.5,1e-08,44.135975322470244,5.356392645203883
"[5, 10, 15, 20, 25, 35, 40, 45, 105]",0.95,0.1,0.5,1e-08,44.070636762052075,5.414540095707532
"[5, 10, 15, 20, 25, 35, 40, 50, 100]",0.95,0.1,0.5,1e-08,44.147976282547056,5.34482592267326
"[5, 10, 15, 20, 25, 35, 40, 55, 95]",0.95,0.1,0.5,1e-08,44.18309020277177,5.314067925102532
"[5, 10, 15, 20, 25, 35, 40, 60, 90]",0.95,0.1,0.5,1e-08,44.16219964263807,5.332865554247504
"[5, 10, 15, 20, 25, 35, 40, 65, 85]",0.95,0.1,0.5,1e-08,44.135530842467396,5.355994473093089
"[5, 10, 15, 20, 25, 35, 40, 70, 80]",0.95,0.1,0.5,1e-08,44.131975002444634,5.36255708773017
"[5, 10, 15, 20, 25, 35, 45, 50, 95]",0.95,0.1,0.5,1e-08,44.07774844209758,5.4082009322117
"[5, 10, 15, 20, 25, 35, 45, 55, 90]",0.95,0.1,0.5,1e-08,44.123085402387744,5.366501318444486
"[5, 10, 15, 20, 25, 35, 45, 60, 85]",0.95,0.1,0.5,1e-08,44.108862042296714,5.37923879864625
"[5, 10, 15, 20, 25, 35, 45, 65, 80]",0.95,0.1,0.5,1e-08,44.04530140188992,5.444706485317823
"[5, 10, 15, 20, 25, 35, 45, 70, 75]",0.95,0.1,0.5,1e-08,44.10486172227112,5.384790685374632
"[5, 10, 15, 20, 25, 35, 50, 55, 85]",0.95,0.1,0.5,1e-08,44.12886364242472,5.362285046187385
"[5, 10, 15, 20, 25, 35, 50, 60, 80]",0.95,0.1,0.5,1e-08,44.11819612235645,5.371308217526596
"[5, 10, 15, 20, 25, 35, 50, 65, 75]",0.95,0.1,0.5,1e-08,44.15242108257549,5.341184720138101
"[5, 10, 15, 20, 25, 35, 55, 60, 75]",0.95,0.1,0.5,1e-08,44.158643802615316,5.338776669065747
