cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 10, 15, 20, 25, 30, 35, 160]",0.95,0.1,0.5,1e-08,119.3504369238428,59.462039026137624
"[5, 10, 15, 20, 25, 30, 40, 155]",0.95,0.1,0.5,1e-08,104.43413250837845,52.4296519069075
"[5, 10, 15, 20, 25, 30, 45, 150]",0.95,0.1,0.5,1e-08,115.94127530202417,59.165406416272425
"[5, 10, 15, 20, 25, 30, 50, 145]",0.95,0.1,0.5,1e-08,106.91210852423751,53.789493072884746
"[5, 10, 15, 20, 25, 30, 55, 140]",0.95,0.1,0.5,1e-08,105.9191401978825,51.32716083210871
"[5, 10, 15, 20, 25, 30, 60, 135]",0.95,0.1,0.5,1e-08,118.04455467548517,62.41541945020038
"[5, 10, 15, 20, 25, 30, 65, 130]",0.95,0.1,0.5,1e-08,111.028437830582,55.80054761626707
"[5, 10, 15, 20, 25, 30, 70, 125]",0.95,0.1,0.5,1e-08,112.0609648771902,57.6021899762888
"[5, 10, 15, 20, 25, 30, 75, 120]",0.95,0.1,0.5,1e-08,116.37553226480343,61.51528758651381
"[5, 10, 15, 20, 25, 30, 80, 115]",0.95,0.1,0.5,1e-08,105.98536771830635,50.72270570512081
"[5, 10, 15, 20, 25, 30, 85, 110]",0.95,0.1,0.5,1e-08,110.79108550906297,56.14042185017977
"[5, 10, 15, 20, 25, 30, 90, 105]",0.95,0.1,0.5,1e-08,113.94422664924303,56.37581358508011
"[5, 10, 15, 20, 25, 30, 95, 100]",0.95,0.1,0.5,1e-08,110.54217670746995,55.02814888310011
"[5, 10, 15, 20, 25, 35, 40, 150]",0.95,0.1,0.5,1e-08,107.90729925060671,54.40128786640154
"[5, 10, 15, 20, 25, 35, 45, 145]",0.95,0.1,0.5,1e-08,106.93522148438544,53.423623692502815
"[5, 10, 15, 20, 25, 35, 50, 140]",0.95,0.1,0.5,1e-08,123.94947151327665,62.99332133730436
"[5, 10, 15, 20, 25, 35, 55, 135]",0.95,0.1,0.5,1e-08,120.8398894133753,60.830078959770645
"[5, 10, 15, 20, 25, 35, 60, 130]",0.95,0.1,0.5,1e-08,119.68601932599053,59.57326734984452
"[5, 10, 15, 20, 25, 35, 65, 125]",0.95,0.1,0.5,1e-08,103.81630530442435,50.244259526034625
"[5, 10, 15, 20, 25, 35, 70, 120]",0.95,0.1,0.5,1e-08,112.7299072814714,56.36417413657157
"[5, 10, 15, 20, 25, 35, 75, 115]",0.95,0.1,0.5,1e-08,112.44988487967926,48.65988942156677
"[5, 10, 15, 20, 25, 35, 80, 110]",0.95,0.1,0.5,1e-08,110.31326950600496,55.83401762037573
"[5, 10, 15, 20, 25, 35, 85, 105]",0.95,0.1,0.5,1e-08,119.27043052333077,61.39145692250967
"[5, 10, 15, 20, 25, 35, 90, 100]",0.95,0.1,0.5,1e-08,107.09167844538673,53.25443351338638
"[5, 10, 15, 20, 25, 40, 45, 140]",0.95,0.1,0.5,1e-08,113.60819976709249,59.18109973335616
"[5, 10, 15, 20, 25, 40, 50, 135]",0.95,0.1,0.5,1e-08,109.72833382226132,52.23059704795573
"[5, 10, 15, 20, 25, 40, 55, 130]",0.95,0.1,0.5,1e-08,123.7867918322355,65.12405061200356
"[5, 10, 15, 20, 25, 40, 60, 125]",0.95,0.1,0.5,1e-08,115.5505773795237,57.070056620457024
"[5, 10, 15, 20, 25, 40, 65, 120]",0.95,0.1,0.5,1e-08,118.38191499764426,57.42091660042897
"[5, 10, 15, 20, 25, 40, 70, 115]",0.95,0.1,0.5,1e-08,124.28772079544142,64.60424342362967
"[5, 10, 15, 20, 25, 40, 75, 110]",0.95,0.1,0.5,1e-08,112.4072147994062,54.86506329209907
"[5, 10, 15, 20, 25, 40, 80, 105]",0.95,0.1,0.5,1e-08,114.75940297446017,56.85062773480366
"[5, 10, 15, 20, 25, 40, 85, 100]",0.95,0.1,0.5,1e-08,121.28392493621715,60.16939325631451
"[5, 10, 15, 20, 25, 40, 90, 95]",0.95,0.1,0.5,1e-08,113.16594216426205,54.376506876752
"[5, 10, 15, 20, 25, 45, 50, 130]",0.95,0.1,0.5,1e-08,121.80796685957102,62.74110322685459
"[5, 10, 15, 20, 25, 45, 55, 125]",0.95,0.1,0.5,1e-08,115.07320585646855,55.62120554094275
"[5, 10, 15, 20, 25, 45, 60, 120]",0.95,0.1,0.5,1e-08,117.38894667128928,59.36863652880851
"[5, 10, 15, 20, 25, 45, 65, 115]",0.95,0.1,0.5,1e-08,114.94341769563788,56.97043055611923
"[5, 10, 15, 20, 25, 45, 70, 110]",0.95,0.1,0.5,1e-08,110.24704198558108,54.70638830786498
"[5, 10, 15, 20, 25, 45, 75, 105]",0.95,0.1,0.5,1e-08,113.41796232587498,56.78842459846085
"[5, 10, 15, 20, 25, 45, 80, 100]",0.95,0.1,0.5,1e-08,123.62455663119718,62.52876296137397
"[5, 10, 15, 20, 25, 45, 85, 95]",0.95,0.1,0.5,1e-08,111.09555431101154,51.35852288136917
"[5, 10, 15, 20, 25, 50, 55, 120]",0.95,0.1,0.5,1e-08,115.1314327368412,56.76845101526677
"[5, 10, 15, 20, 25, 50, 60, 115]",0.95,0.1,0.5,1e-08,111.2471219919816,55.06416754516404
"[5, 10, 15, 20, 25, 50, 65, 110]",0.95,0.1,0.5,1e-08,117.23382315029649,57.673856839653126
"[5, 10, 15, 20, 25, 50, 70, 105]",0.95,0.1,0.5,1e-08,120.85500173347201,61.2510780749354
"[5, 10, 15, 20, 25, 50, 75, 100]",0.95,0.1,0.5,1e-08,119.83803148696342,62.04444797075793
"[5, 10, 15, 20, 25, 50, 80, 95]",0.95,0.1,0.5,1e-08,115.11498697673595,59.770576489691294
"[5, 10, 15, 20, 25, 50, 85, 90]",0.95,0.1,0.5,1e-08,111.56581415402121,60.44228131067912
"[5, 10, 15, 20, 25, 55, 60, 110]",0.95,0.1,0.5,1e-08,123.56232943079894,65.68481443842097
"[5, 10, 15, 20, 25, 55, 65, 105]",0.95,0.1,0.5,1e-08,112.32943079890836,57.15682075479057
"[5, 10, 15, 20, 25, 55, 70, 100]",0.95,0.1,0.5,1e-08,120.7083233325333,61.79169853651004
"[5, 10, 15, 20, 25, 55, 75, 95]",0.95,0.1,0.5,1e-08,103.79052546425935,51.28996076181583
"[5, 10, 15, 20, 25, 55, 80, 90]",0.95,0.1,0.5,1e-08,122.73070734547653,59.965152107798424
"[5, 10, 15, 20, 25, 60, 65, 100]",0.95,0.1,0.5,1e-08,114.94786249566631,58.28089637732751
"[5, 10, 15, 20, 25, 60, 70, 95]",0.95,0.1,0.5,1e-08,106.1898285196149,49.848286660956575
"[5, 10, 15, 20, 25, 60, 75, 90]",0.95,0.1,0.5,1e-08,119.17042252269071,61.4002570421608
"[5, 10, 15, 20, 25, 60, 80, 85]",0.95,0.1,0.5,1e-08,113.56997448684784,52.2393140139566
"[5, 10, 15, 20, 25, 65, 70, 90]",0.95,0.1,0.5,1e-08,117.75697611364465,61.43183116401351
"[5, 10, 15, 20, 25, 65, 75, 85]",0.95,0.1,0.5,1e-08,115.4252340187215,61.474341978063684
"[5, 10, 15, 20, 25, 70, 75, 80]",0.95,0.1,0.5,1e-08,111.14400263132163,55.70653757817459
"[5, 10, 15, 20, 30, 35, 40, 145]",0.95,0.1,0.5,1e-08,109.91457094345324,59.375530678083
"[5, 10, 15, 20, 30, 35, 45, 140]",0.95,0.1,0.5,1e-08,111.10044359104283,58.63228567653962
"[5, 10, 15, 20, 30, 35, 50, 135]",0.95,0.1,0.5,1e-08,119.73224524628638,61.973046204651254
"[5, 10, 15, 20, 30, 35, 55, 130]",0.95,0.1,0.5,1e-08,111.94406663644205,60.26209916815393
"[5, 10, 15, 20, 30, 35, 60, 125]",0.95,0.1,0.5,1e-08,104.98439875190016,51.68393787943019
"[5, 10, 15, 20, 30, 35, 65, 120]",0.95,0.1,0.5,1e-08,111.81650087562564,57.79357626181389
"[5, 10, 15, 20, 30, 35, 70, 115]",0.95,0.1,0.5,1e-08,113.54508360668855,57.32144204537842
"[5, 10, 15, 20, 30, 35, 75, 110]",0.95,0.1,0.5,1e-08,120.24028588953786,62.36102019998791
"[5, 10, 15, 20, 30, 35, 80, 105]",0.95,0.1,0.5,1e-08,114.7425127343521,58.83294006855693
"[5, 10, 15, 20, 30, 35, 85, 100]",0.95,0.1,0.5,1e-08,112.51922376012303,62.570915542183954
"[5, 10, 15, 20, 30, 35, 90, 95]",0.95,0.1,0.5,1e-08,123.95524975331362,63.962833114007275
"[5, 10, 15, 20, 30, 40, 45, 135]",0.95,0.1,0.5,1e-08,113.59086504698152,59.20147609172248
"[5, 10, 15, 20, 30, 40, 50, 130]",0.95,0.1,0.5,1e-08,116.54532362589008,57.42945240371191
"[5, 10, 15, 20, 30, 40, 55, 125]",0.95,0.1,0.5,1e-08,107.07478820527865,53.32642791457402
"[5, 10, 15, 20, 30, 40, 60, 120]",0.95,0.1,0.5,1e-08,110.70752326852819,58.079305021353434
"[5, 10, 15, 20, 30, 40, 65, 115]",0.95,0.1,0.5,1e-08,108.87359877679104,54.42616069532467
"[5, 10, 15, 20, 30, 40, 70, 110]",0.95,0.1,0.5,1e-08,117.86587371434163,60.56039087163595
"[5, 10, 15, 20, 30, 40, 75, 105]",0.95,0.1,0.5,1e-08,116.99424842876319,60.89400387018786
"[5, 10, 15, 20, 30, 40, 80, 100]",0.95,0.1,0.5,1e-08,110.64662950813846,55.96473485784308
"[5, 10, 15, 20, 30, 40, 85, 95]",0.95,0.1,0.5,1e-08,118.65793707941081,62.55576443364265
"[5, 10, 15, 20, 30, 45, 50, 125]",0.95,0.1,0.5,1e-08,106.95344516450207,53.03287693369646
"[5, 10, 15, 20, 30, 45, 55, 120]",0.95,0.1,0.5,1e-08,106.9627792445618,50.55938782457211
"[5, 10, 15, 20, 30, 45, 60, 115]",0.95,0.1,0.5,1e-08,112.69345992123817,59.94484977383053
"[5, 10, 15, 20, 30, 45, 65, 110]",0.95,0.1,0.5,1e-08,106.7916544434666,47.792563307180636
"[5, 10, 15, 20, 30, 45, 70, 105]",0.95,0.1,0.5,1e-08,113.35395720546532,57.595063628529225
"[5, 10, 15, 20, 30, 45, 75, 100]",0.95,0.1,0.5,1e-08,118.76683468010776,60.192110979238585
"[5, 10, 15, 20, 30, 45, 80, 95]",0.95,0.1,0.5,1e-08,106.89166244410664,53.773173965007324
"[5, 10, 15, 20, 30, 45, 85, 90]",0.95,0.1,0.5,1e-08,122.81515854601705,65.76502713849418
"[5, 10, 15, 20, 30, 50, 55, 115]",0.95,0.1,0.5,1e-08,113.95400520930565,59.182352752981835
"[5, 10, 15, 20, 30, 50, 60, 110]",0.95,0.1,0.5,1e-08,110.92531846992208,55.10047545791519
"[5, 10, 15, 20, 30, 50, 65, 105]",0.95,0.1,0.5,1e-08,111.07555271088356,57.11414365470366
"[5, 10, 15, 20, 30, 50, 70, 100]",0.95,0.1,0.5,1e-08,111.02399303055356,57.91479474141233
"[5, 10, 15, 20, 30, 50, 75, 95]",0.95,0.1,0.5,1e-08,100.86273568552153,50.03996491363149
