cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 20, 25, 35, 45, 75, 90]",0.95,0.1,0.5,1e-08,6.840000000000002,1.594607579730302
"[10, 20, 25, 35, 45, 80, 85]",0.95,0.1,0.5,1e-08,6.5244444444444465,1.7013348426790005
"[10, 20, 25, 35, 50, 55, 105]",0.95,0.1,0.5,1e-08,6.3386666666666684,1.8065874521379315
"[10, 20, 25, 35, 50, 60, 100]",0.95,0.1,0.5,1e-08,6.7888888888888905,1.552034109336264
"[10, 20, 25, 35, 50, 65, 95]",0.95,0.1,0.5,1e-08,6.719555555555557,1.8784319176206
"[10, 20, 25, 35, 50, 70, 90]",0.95,0.1,0.5,1e-08,6.796888888888891,1.9983769216510825
"[10, 20, 25, 35, 50, 75, 85]",0.95,0.1,0.5,1e-08,6.355111111111114,1.4961470846027916
"[10, 20, 25, 35, 55, 60, 95]",0.95,0.1,0.5,1e-08,6.52977777777778,1.690152509737757
"[10, 20, 25, 35, 55, 65, 90]",0.95,0.1,0.5,1e-08,6.689333333333336,2.1583392792710896
"[10, 20, 25, 35, 55, 70, 85]",0.95,0.1,0.5,1e-08,6.392444444444446,2.0043787128911936
"[10, 20, 25, 35, 55, 75, 80]",0.95,0.1,0.5,1e-08,6.194222222222224,1.642045457333815
"[10, 20, 25, 35, 60, 65, 85]",0.95,0.1,0.5,1e-08,6.380000000000001,1.638318921604976
"[10, 20, 25, 35, 60, 70, 80]",0.95,0.1,0.5,1e-08,6.597777777777777,1.6675103050008262
"[10, 20, 25, 35, 65, 70, 75]",0.95,0.1,0.5,1e-08,6.248444444444446,1.7924706172153142
"[10, 20, 25, 40, 45, 50, 110]",0.95,0.1,0.5,1e-08,6.118222222222223,1.927839653185675
"[10, 20, 25, 40, 45, 55, 105]",0.95,0.1,0.5,1e-08,6.412888888888891,1.7040665378535251
"[10, 20, 25, 40, 45, 60, 100]",0.95,0.1,0.5,1e-08,6.464444444444445,1.9624424187510778
"[10, 20, 25, 40, 45, 65, 95]",0.95,0.1,0.5,1e-08,6.092888888888889,1.6887505206476343
"[10, 20, 25, 40, 45, 70, 90]",0.95,0.1,0.5,1e-08,7.127555555555555,2.0400186878834177
"[10, 20, 25, 40, 45, 75, 85]",0.95,0.1,0.5,1e-08,6.476000000000002,2.2690481606954833
"[10, 20, 25, 40, 50, 55, 100]",0.95,0.1,0.5,1e-08,6.412444444444445,1.7925092971158934
"[10, 20, 25, 40, 50, 60, 95]",0.95,0.1,0.5,1e-08,6.705777777777778,1.5833613876656898
"[10, 20, 25, 40, 50, 65, 90]",0.95,0.1,0.5,1e-08,6.59288888888889,1.4095241470041067
"[10, 20, 25, 40, 50, 70, 85]",0.95,0.1,0.5,1e-08,6.744888888888891,1.7274677964159912
"[10, 20, 25, 40, 50, 75, 80]",0.95,0.1,0.5,1e-08,6.44888888888889,1.536209219290165
"[10, 20, 25, 40, 55, 60, 90]",0.95,0.1,0.5,1e-08,6.029333333333333,1.63881583264665
"[10, 20, 25, 40, 55, 65, 85]",0.95,0.1,0.5,1e-08,6.304,1.5722742197918984
"[10, 20, 25, 40, 55, 70, 80]",0.95,0.1,0.5,1e-08,6.479555555555559,1.7355651728286676
"[10, 20, 25, 40, 60, 65, 80]",0.95,0.1,0.5,1e-08,6.162666666666669,1.5171528890948625
"[10, 20, 25, 40, 60, 70, 75]",0.95,0.1,0.5,1e-08,6.821777777777781,2.0355979617125763
"[10, 20, 25, 45, 50, 55, 95]",0.95,0.1,0.5,1e-08,6.661777777777778,1.484400797761528
"[10, 20, 25, 45, 50, 60, 90]",0.95,0.1,0.5,1e-08,6.000000000000001,1.8298900999179646
"[10, 20, 25, 45, 50, 65, 85]",0.95,0.1,0.5,1e-08,6.417333333333335,1.7184727069245074
"[10, 20, 25, 45, 50, 70, 80]",0.95,0.1,0.5,1e-08,6.301777777777779,1.6581801120356678
"[10, 20, 25, 45, 55, 60, 85]",0.95,0.1,0.5,1e-08,6.464444444444445,1.8422058704541693
"[10, 20, 25, 45, 55, 65, 80]",0.95,0.1,0.5,1e-08,6.432888888888891,1.8186058423629197
"[10, 20, 25, 45, 55, 70, 75]",0.95,0.1,0.5,1e-08,6.601333333333334,1.3347552418161
"[10, 20, 25, 45, 60, 65, 75]",0.95,0.1,0.5,1e-08,6.373333333333335,1.6405419158856556
"[10, 20, 25, 50, 55, 60, 80]",0.95,0.1,0.5,1e-08,6.224888888888889,1.6609242704285965
"[10, 20, 25, 50, 55, 65, 75]",0.95,0.1,0.5,1e-08,6.865333333333336,1.8866756183533215
"[10, 20, 25, 50, 60, 65, 70]",0.95,0.1,0.5,1e-08,6.783555555555557,1.7062149865262912
"[10, 20, 30, 35, 40, 45, 120]",0.95,0.1,0.5,1e-08,6.572888888888889,1.5556700910214747
"[10, 20, 30, 35, 40, 50, 115]",0.95,0.1,0.5,1e-08,5.942666666666667,1.9541709239470333
"[10, 20, 30, 35, 40, 55, 110]",0.95,0.1,0.5,1e-08,6.181777777777779,1.721404192821002
"[10, 20, 30, 35, 40, 60, 105]",0.95,0.1,0.5,1e-08,6.294666666666669,1.865673068894977
"[10, 20, 30, 35, 40, 65, 100]",0.95,0.1,0.5,1e-08,6.102666666666668,1.7482516981258733
"[10, 20, 30, 35, 40, 70, 95]",0.95,0.1,0.5,1e-08,6.551111111111111,1.6037764075556478
"[10, 20, 30, 35, 40, 75, 90]",0.95,0.1,0.5,1e-08,6.532444444444446,1.7114375446202543
"[10, 20, 30, 35, 40, 80, 85]",0.95,0.1,0.5,1e-08,6.357333333333334,1.410302410438587
"[10, 20, 30, 35, 45, 50, 110]",0.95,0.1,0.5,1e-08,6.200444444444444,1.3242523350606485
"[10, 20, 30, 35, 45, 55, 105]",0.95,0.1,0.5,1e-08,6.832000000000002,2.658602473313961
"[10, 20, 30, 35, 45, 60, 100]",0.95,0.1,0.5,1e-08,5.986666666666669,1.8188005815799475
"[10, 20, 30, 35, 45, 65, 95]",0.95,0.1,0.5,1e-08,6.675555555555557,1.6861732553072886
"[10, 20, 30, 35, 45, 70, 90]",0.95,0.1,0.5,1e-08,6.241777777777779,1.5703124797156196
"[10, 20, 30, 35, 45, 75, 85]",0.95,0.1,0.5,1e-08,6.855111111111111,1.5607528414514467
"[10, 20, 30, 35, 50, 55, 100]",0.95,0.1,0.5,1e-08,6.2733333333333325,1.6735059671905035
"[10, 20, 30, 35, 50, 60, 95]",0.95,0.1,0.5,1e-08,6.36488888888889,1.4823114415926706
"[10, 20, 30, 35, 50, 65, 90]",0.95,0.1,0.5,1e-08,6.320444444444445,1.641124215700331
"[10, 20, 30, 35, 50, 70, 85]",0.95,0.1,0.5,1e-08,6.040000000000002,1.6767640793438343
"[10, 20, 30, 35, 50, 75, 80]",0.95,0.1,0.5,1e-08,6.183111111111112,1.2374163445972997
"[10, 20, 30, 35, 55, 60, 90]",0.95,0.1,0.5,1e-08,6.4013333333333335,1.6689072938769112
"[10, 20, 30, 35, 55, 65, 85]",0.95,0.1,0.5,1e-08,6.464444444444445,1.7135428608011152
"[10, 20, 30, 35, 55, 70, 80]",0.95,0.1,0.5,1e-08,6.736888888888888,1.648179901483549
"[10, 20, 30, 35, 60, 65, 80]",0.95,0.1,0.5,1e-08,6.5213333333333345,1.7868626758154145
"[10, 20, 30, 35, 60, 70, 75]",0.95,0.1,0.5,1e-08,6.393777777777778,1.6040217356367286
"[10, 20, 30, 40, 45, 50, 105]",0.95,0.1,0.5,1e-08,6.112,1.9988236540525528
"[10, 20, 30, 40, 45, 55, 100]",0.95,0.1,0.5,1e-08,5.94,1.475693433986582
"[10, 20, 30, 40, 45, 60, 95]",0.95,0.1,0.5,1e-08,6.496888888888889,1.5280311547467031
"[10, 20, 30, 40, 45, 65, 90]",0.95,0.1,0.5,1e-08,6.352444444444446,1.8040561158500044
"[10, 20, 30, 40, 45, 70, 85]",0.95,0.1,0.5,1e-08,6.033333333333335,1.521911079312236
"[10, 20, 30, 40, 45, 75, 80]",0.95,0.1,0.5,1e-08,6.391555555555556,1.5984686498931904
"[10, 20, 30, 40, 50, 55, 95]",0.95,0.1,0.5,1e-08,6.432888888888889,1.6505899581290762
"[10, 20, 30, 40, 50, 60, 90]",0.95,0.1,0.5,1e-08,6.573333333333335,1.8226378929696618
"[10, 20, 30, 40, 50, 65, 85]",0.95,0.1,0.5,1e-08,6.271111111111112,1.9770665387804813
"[10, 20, 30, 40, 50, 70, 80]",0.95,0.1,0.5,1e-08,6.396888888888889,1.6883177981808757
"[10, 20, 30, 40, 55, 60, 85]",0.95,0.1,0.5,1e-08,6.308888888888889,1.5436208835393372
"[10, 20, 30, 40, 55, 65, 80]",0.95,0.1,0.5,1e-08,6.442222222222222,1.9091974915467482
"[10, 20, 30, 40, 55, 70, 75]",0.95,0.1,0.5,1e-08,6.375111111111111,1.9511644639630203
"[10, 20, 30, 40, 60, 65, 75]",0.95,0.1,0.5,1e-08,6.626666666666668,2.0636537177217176
"[10, 20, 30, 45, 50, 55, 90]",0.95,0.1,0.5,1e-08,6.405777777777779,2.072849342104179
"[10, 20, 30, 45, 50, 60, 85]",0.95,0.1,0.5,1e-08,6.303555555555555,1.608932227777245
"[10, 20, 30, 45, 50, 65, 80]",0.95,0.1,0.5,1e-08,6.315555555555558,1.9064143837238376
"[10, 20, 30, 45, 50, 70, 75]",0.95,0.1,0.5,1e-08,6.176888888888891,1.661859496965469
"[10, 20, 30, 45, 55, 60, 80]",0.95,0.1,0.5,1e-08,6.2217777777777785,1.9425198856569887
