cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.1,1e-08,1.6054617702749574,0.7967725272996758
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.2,1e-08,1.5467904098994596,0.9289398119664399
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.3,1e-08,0.8645136055328879,0.5281986113391366
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.4,1e-08,0.37736352241512744,0.2551230035811838
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.5,1e-08,0.2835782418149018,0.1391059091968569
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.6,1e-08,0.29557920189170755,0.0957748694495799
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.7,1e-08,0.34580544221315535,0.1329181014915981
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.8,1e-08,0.31780320203394186,0.10356479447816434
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.1,0.9,1e-08,0.2760220817665418,0.12079229642524217
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.1,1e-08,2.913566418646826,0.9944012080790327
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.2,1e-08,3.0162412993039456,0.9687567847001052
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.3,1e-08,3.353157141460206,0.9515676381243435
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.4,1e-08,3.4504982620831908,1.0603290097026328
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.5,1e-08,3.47894498226525,0.9658046241010962
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.6,1e-08,3.792303384270743,1.1661037704348116
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.7,1e-08,3.8705318647714035,1.2479504127161376
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.8,1e-08,4.037211865838156,1.0116667559690908
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.3,0.9,1e-08,4.094105306202275,0.9979604551445644
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.1,1e-08,3.189144020410522,0.9437567608123907
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.2,1e-08,3.719853143807062,1.0710892778729164
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.3,1e-08,4.053213145940564,0.9870442837084433
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.4,1e-08,4.135886426469674,0.9645011230060013
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.5,1e-08,4.277675547377125,0.8703349758599379
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.6,1e-08,4.409241628219146,0.9813299119907567
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.7,1e-08,4.8141629108106425,1.3197811131301387
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.8,1e-08,4.762603230480661,0.9389843887468482
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.5,0.9,1e-08,4.880834911237344,0.928513725794989
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.1,1e-08,3.658514903414496,1.09801171785521
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.2,1e-08,4.067436506031593,0.9942148336400058
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.3,1e-08,4.248339867189376,1.0264924770145596
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.4,1e-08,4.663928669849144,1.3908251603140465
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.5,1e-08,4.604812829470803,1.0629690712451834
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.6,1e-08,4.848832351032527,1.3412145603462726
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.7,1e-08,4.782604830608672,1.2076007168865948
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.8,1e-08,4.857277471086576,1.1254182763854759
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.7,0.9,1e-08,4.932394591567325,1.1011534349719916
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.1,1e-08,3.639402263292175,0.9509676408569113
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.2,1e-08,4.0794374661084,1.025613504196217
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.3,1e-08,4.47324674862878,1.0222985954675206
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.4,1e-08,4.578144029300122,1.1638358980205632
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.5,1e-08,4.675040669920261,1.102920143841812
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.6,1e-08,4.827497310895982,1.1656672602255564
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.7,1e-08,5.003955872025317,1.1075605117945049
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.8,1e-08,4.961285791752228,0.8401302298063404
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,0.9,0.9,1e-08,5.151523232969749,0.9532702426285741
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,1.0,0.1,1e-08,3.6242899431954565,0.9171760582663911
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,1.0,0.2,1e-08,4.10610626627908,0.961109872126829
"[5, 15, 20, 25, 40, 45, 50, 100]",0.92,1.0,0.3,1e-08,4.768381470517642,1.1643107648389408
