cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.1,1e-08,95.62587229200558,60.60166181114597
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.2,1e-08,112.55078184032502,57.82979995971317
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.3,1e-08,129.19122418682386,61.36461508702397
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.4,1e-08,129.42413170831446,60.85372948696805
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.5,1e-08,127.61154225671388,62.12587102902129
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.6,1e-08,115.36211785831755,53.194956062814335
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.7,1e-08,121.20125165568803,56.55480666914407
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.8,1e-08,119.19886924287279,53.58694046673613
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.1,0.9,1e-08,117.23026731027375,54.60981059027017
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.1,1e-08,107.36636708714477,58.40631726490217
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.2,1e-08,136.82339031566974,66.2172046356666
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.3,1e-08,134.26318549928442,63.468969934396284
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.4,1e-08,121.58883821816859,59.13302414464658
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.5,1e-08,124.70864335813532,59.00035246917668
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.6,1e-08,136.45758327332857,64.19068599992264
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.7,1e-08,138.18261016436873,62.901877856531385
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.8,1e-08,139.4853810527065,64.23690909419393
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.3,0.9,1e-08,137.2758709585656,63.0942712956582
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.1,1e-08,113.06148936359354,62.45259988608092
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.2,1e-08,127.72621809744783,62.84015660860954
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.3,1e-08,125.8900712056965,60.113437703155455
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.4,1e-08,132.56349396840642,61.15105739080094
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.5,1e-08,137.13986007769515,65.4409462945594
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.6,1e-08,137.2011983180877,65.86076556894096
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.7,1e-08,135.0250242241602,64.86977325821037
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.8,1e-08,131.2233867598297,65.07246127996981
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.5,0.9,1e-08,132.28480500662278,67.61625282530593
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.1,1e-08,107.780622449796,64.60663564869512
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.2,1e-08,125.77583984496543,66.24683148165646
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.3,1e-08,124.82509711888065,63.888527835706526
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.4,1e-08,131.2233867598297,66.95702326162684
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.5,1e-08,138.96267256936113,71.48422627570017
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.6,1e-08,135.9939906303616,72.33219606987375
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.7,1e-08,126.55012400992084,69.51441117295323
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.8,1e-08,117.42272715150547,67.51064239273809
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.7,0.9,1e-08,113.00726280324652,67.21024421233786
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.1,1e-08,112.92903432274584,65.22455551942683
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.2,1e-08,115.80037514112244,58.929330678480945
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.3,1e-08,127.2043985741082,68.5446862577088
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.4,1e-08,124.8215412788579,66.29422179899565
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.5,1e-08,121.23681005591563,66.84258548469882
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.6,1e-08,117.11781386955403,67.137922699426
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.7,1e-08,111.38579975286913,67.97463804879881
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.8,1e-08,107.8144029300122,67.122883838731
"[10, 20, 25, 30, 50, 80, 85]",0.92,0.9,0.9,1e-08,108.86915397676262,70.38890646036747
